,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
418941,60.45,3.799028517299391,-1.0,-1.0,-1.0,-1.0
418942,60.11,3.4164059173157137,-1.0,-1.0,-1.0,1.0
418943,59.5,2.7637833173320345,-1.0,1.0,-1.0,1.0
418944,59.11,2.3311607173483537,1.0,1.0,1.0,1.0
418945,59.39,2.568538117364674,1.0,1.0,1.0,1.0
418946,59.51,2.6459155173809914,1.0,1.0,1.0,1.0
418947,60.68,3.773292917397313,-1.0,1.0,-1.0,1.0
418948,60.39,3.440670317413634,-1.0,1.0,-1.0,1.0
418949,59.23,2.2380477174299505,-1.0,1.0,-1.0,1.0
418950,58.96,1.9254251174462735,-1.0,1.0,-1.0,1.0
418951,58.95,1.8728025174625955,1.0,1.0,1.0,1.0
418952,59.62,2.50017991747891,-1.0,1.0,-1.0,1.0
418953,58.93,1.767557317495239,1.0,1.0,1.0,1.0
418954,59.19,1.9849347175115568,-1.0,1.0,-1.0,1.0
418955,58.86,1.6123121175278785,1.0,1.0,1.0,1.0
418956,59.26,1.9696895175441969,1.0,1.0,1.0,1.0
418957,59.35,2.01706691756052,1.0,1.0,1.0,1.0
418958,60.4,3.0244443175768367,-1.0,1.0,-1.0,1.0
418959,60.25,2.8318217175931584,-1.0,1.0,-1.0,1.0
418960,59.9,2.4391991176094763,1.0,1.0,1.0,1.0
418961,60.38,2.8765765176257996,-1.0,1.0,-1.0,1.0
418962,60.3,2.7539539176421144,1.0,1.0,1.0,1.0
418963,60.4,2.811331317658436,1.0,1.0,1.0,1.0
418964,60.74,3.1087087176747663,1.0,1.0,1.0,1.0
418965,60.75,3.076086117691084,-1.0,1.0,-1.0,1.0
418966,60.34,2.623463517707407,-1.0,1.0,-1.0,1.0
418967,60.02,2.2608409177237263,1.0,1.0,1.0,1.0
418968,60.04,2.238218317740042,1.0,1.0,1.0,1.0
418969,60.11,2.265595717756362,1.0,1.0,1.0,1.0
418970,60.12,2.2329731177726804,-1.0,1.0,-1.0,1.0
418971,60.01,2.0803505177890003,-1.0,1.0,-1.0,1.0
418972,59.48,1.5077279178053191,1.0,1.0,1.0,1.0
