,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
420808,30.85,-5.944515638523264,1.0,-1.0,-1.0,-1.0
420809,30.9,-5.887197233673903,1.0,-1.0,1.0,-1.0
420810,30.97,-5.8098788288245435,-1.0,-1.0,-1.0,1.0
420811,30.75,-6.022560423975179,-1.0,-1.0,-1.0,-1.0
420812,30.1,-6.665242019125812,0.0,-1.0,0.0,-1.0
420813,30.1,-6.6579236142764495,-1.0,-1.0,-1.0,-1.0
420814,29.99,-6.760605209427087,-1.0,-1.0,-1.0,-1.0
420815,29.88,-6.863286804577728,1.0,-1.0,1.0,-1.0
420816,30.05,-6.685968399728362,1.0,-1.0,1.0,-1.0
420817,30.15,-6.578649994879002,1.0,-1.0,1.0,-1.0
420818,30.5,-6.221331590029634,1.0,-1.0,1.0,-1.0
420819,30.82,-5.8940131851802695,-1.0,-1.0,-1.0,-1.0
420820,30.7,-6.006694780330914,-1.0,-1.0,-1.0,-1.0
420821,30.02,-6.6793763754815485,1.0,-1.0,-1.0,-1.0
420822,30.05,-6.642057970632184,-1.0,-1.0,-1.0,-1.0
420823,29.52,-7.1647395657828215,1.0,-1.0,1.0,-1.0
420824,29.62,-7.057421160933463,1.0,-1.0,1.0,-1.0
420825,29.79,-6.880102756084098,-1.0,-1.0,-1.0,-1.0
420826,29.69,-6.972784351234733,-1.0,-1.0,-1.0,-1.0
420827,29.64,-7.015465946385369,-1.0,-1.0,-1.0,-1.0
420828,29.5,-7.148147541536004,-1.0,-1.0,-1.0,-1.0
420829,29.44,-7.200829136686647,0.0,-1.0,0.0,-1.0
420830,29.44,-7.193510731837282,1.0,-1.0,0.0,-1.0
420831,29.46,-7.166192326987917,-1.0,-1.0,-1.0,-1.0
420832,29.22,-7.398873922138557,1.0,-1.0,1.0,-1.0
420833,29.33,-7.281555517289193,-1.0,-1.0,-1.0,-1.0
420834,29.25,-7.354237112439831,-1.0,-1.0,-1.0,-1.0
420835,28.73,-7.866918707590468,1.0,1.0,1.0,-1.0
420836,28.83,-7.759600302741107,1.0,-1.0,1.0,-1.0
420837,29.12,-7.462281897891739,-1.0,1.0,-1.0,-1.0
420838,28.88,-7.694963493042383,-1.0,1.0,-1.0,1.0
420839,28.52,-8.047645088193017,1.0,1.0,1.0,1.0
420840,28.78,-7.780326683343652,1.0,1.0,1.0,-1.0
420841,29.45,-7.10300827849429,1.0,1.0,1.0,1.0
420842,29.63,-6.915689873644926,-1.0,-1.0,-1.0,-1.0
420843,29.36,-7.178371468795568,-1.0,1.0,-1.0,-1.0
420844,29.12,-7.411053063946202,-1.0,1.0,-1.0,1.0
420845,28.86,-7.663734659096839,-1.0,1.0,-1.0,1.0
420846,28.83,-7.686416254247477,-1.0,1.0,-1.0,1.0
420847,28.58,-7.929097849398111,1.0,1.0,-1.0,1.0
420848,28.82,-7.681779444548754,-1.0,1.0,-1.0,1.0
420849,28.19,-8.304461039699387,-1.0,1.0,-1.0,1.0
420850,27.96,-8.527142634850023,1.0,1.0,1.0,1.0
420851,27.98,-8.499824230000659,1.0,1.0,1.0,1.0
420852,28.0,-8.472505825151295,1.0,1.0,1.0,1.0
420853,28.29,-8.175187420301938,1.0,1.0,1.0,1.0
420854,28.52,-7.937869015452573,-1.0,1.0,-1.0,1.0
420855,28.31,-8.14055061060321,1.0,1.0,1.0,1.0
420856,28.45,-7.993232205753845,-1.0,1.0,-1.0,1.0
420857,27.93,-8.505913800904487,-1.0,1.0,-1.0,1.0
420858,27.54,-8.888595396055123,-1.0,1.0,-1.0,1.0
420859,27.5,-8.921276991205758,1.0,1.0,1.0,-1.0
420860,27.56,-8.853958586356395,1.0,1.0,1.0,1.0
420861,28.29,-8.11664018150703,1.0,1.0,1.0,1.0
420862,28.5,-7.899321776657673,-1.0,1.0,-1.0,1.0
420863,28.33,-8.06200337180831,1.0,1.0,1.0,1.0
420864,29.06,-7.3246849669589436,-1.0,-1.0,-1.0,-1.0
420865,29.02,-7.357366562109579,-1.0,-1.0,-1.0,-1.0
420866,28.69,-7.680048157260213,1.0,-1.0,1.0,-1.0
420867,29.18,-7.182729752410857,1.0,-1.0,-1.0,-1.0
420868,29.29,-7.0654113475614935,-1.0,-1.0,-1.0,-1.0
420869,29.0,-7.348092942712128,1.0,-1.0,-1.0,-1.0
420870,29.38,-6.960774537862765,1.0,-1.0,1.0,-1.0
420871,29.75,-6.5834561330133985,-1.0,-1.0,-1.0,-1.0
420872,29.52,-6.8061377281640425,1.0,-1.0,1.0,-1.0
420873,29.79,-6.528819323314679,-1.0,-1.0,-1.0,-1.0
420874,29.73,-6.581500918465313,-1.0,-1.0,-1.0,-1.0
420875,29.69,-6.614182513615947,-1.0,-1.0,-1.0,-1.0
420876,29.53,-6.76686410876659,-1.0,-1.0,-1.0,-1.0
420877,29.45,-6.839545703917228,1.0,-1.0,-1.0,-1.0
420878,29.5,-6.782227299067862,-1.0,-1.0,-1.0,-1.0
420879,29.36,-6.914908894218499,-1.0,-1.0,-1.0,-1.0
420880,29.21,-7.057590489369132,1.0,-1.0,1.0,-1.0
420881,29.7,-6.560272084519777,-1.0,-1.0,-1.0,-1.0
420882,29.61,-6.642953679670413,1.0,-1.0,1.0,-1.0
420883,29.62,-6.625635274821048,0.0,-1.0,-1.0,-1.0
420884,29.62,-6.618316869971683,-1.0,-1.0,-1.0,-1.0
420885,29.1,-7.1309984651223175,-1.0,-1.0,-1.0,-1.0
420886,28.6,-7.623680060272959,-1.0,-1.0,-1.0,-1.0
420887,28.26,-7.956361655423597,1.0,-1.0,1.0,-1.0
420888,28.3,-7.909043250574232,1.0,-1.0,1.0,-1.0
420889,28.4,-7.80172484572487,1.0,-1.0,1.0,-1.0
420890,28.73,-7.4644064408755115,1.0,-1.0,1.0,-1.0
420891,29.27,-6.917088036026148,-1.0,-1.0,-1.0,-1.0
420892,29.26,-6.919769631176782,-1.0,-1.0,-1.0,-1.0
420893,29.11,-7.062451226327418,-1.0,-1.0,-1.0,-1.0
420894,28.98,-7.185132821478052,-1.0,-1.0,-1.0,-1.0
420895,28.92,-7.2378144166286935,-1.0,-1.0,-1.0,-1.0
420896,28.36,-7.790496011779332,-1.0,-1.0,-1.0,-1.0
420897,28.17,-7.9731776069299665,1.0,-1.0,-1.0,-1.0
420898,28.19,-7.9458592020806025,-1.0,-1.0,-1.0,-1.0
420899,28.03,-8.098540797231237,1.0,-1.0,1.0,-1.0
420900,28.59,-7.53122239238188,-1.0,-1.0,-1.0,-1.0
420901,28.19,-7.9239039875325155,1.0,-1.0,1.0,-1.0
420902,28.35,-7.756585582683152,1.0,-1.0,1.0,-1.0
420903,28.5,-7.599267177833787,1.0,-1.0,1.0,-1.0
420904,28.51,-7.581948772984423,-1.0,-1.0,-1.0,-1.0
420905,28.36,-7.724630368135068,-1.0,-1.0,-1.0,-1.0
420906,27.5,-8.577311963285702,1.0,-1.0,-1.0,-1.0
420907,27.57,-8.499993558436337,1.0,-1.0,1.0,-1.0
420908,28.18,-7.882675153586973,-1.0,-1.0,1.0,-1.0
420909,28.16,-7.895356748737607,1.0,-1.0,1.0,-1.0
420910,28.23,-7.818038343888251,0.0,-1.0,0.0,-1.0
420911,28.23,-7.810719939038887,-1.0,-1.0,-1.0,-1.0
420912,27.85,-8.183401534189521,-1.0,-1.0,-1.0,1.0
420913,27.72,-8.30608312934016,-1.0,-1.0,-1.0,1.0
420914,26.47,-9.548764724490802,-1.0,-1.0,-1.0,-1.0
420915,25.92,-10.091446319641435,-1.0,1.0,-1.0,1.0
420916,23.66,-12.344127914792073,1.0,1.0,1.0,1.0
420917,25.92,-10.076809509942708,1.0,1.0,1.0,1.0
420918,26.05,-9.939491105093342,1.0,-1.0,1.0,-1.0
420919,27.45,-8.532172700243986,-1.0,-1.0,1.0,-1.0
420920,26.77,-9.204854295394624,1.0,-1.0,-1.0,-1.0
420921,27.08,-8.887535890545257,-1.0,-1.0,-1.0,-1.0
420922,26.5,-9.460217485695892,-1.0,1.0,-1.0,1.0
420923,26.28,-9.672899080846527,-1.0,1.0,-1.0,1.0
420924,24.82,-11.125580675997169,-1.0,1.0,-1.0,1.0
420925,23.82,-12.118262271147804,-1.0,1.0,-1.0,1.0
420926,23.76,-12.17094386629844,1.0,1.0,1.0,1.0
420927,24.54,-11.383625461449077,-1.0,1.0,-1.0,1.0
420928,24.45,-11.46630705659972,0.0,1.0,0.0,1.0
420929,24.45,-11.458988651750355,1.0,1.0,0.0,1.0
420930,24.78,-11.12167024690099,1.0,1.0,1.0,1.0
420931,25.31,-10.584351842051626,1.0,1.0,1.0,1.0
420932,25.37,-10.517033437202262,1.0,1.0,1.0,1.0
420933,25.85,-10.029715032352904,-1.0,1.0,-1.0,1.0
420934,25.72,-10.152396627503544,-1.0,1.0,-1.0,1.0
420935,25.19,-10.675078222654175,1.0,1.0,1.0,1.0
420936,25.37,-10.487759817804813,1.0,1.0,1.0,1.0
420937,25.44,-10.410441412955445,-1.0,1.0,-1.0,1.0
420938,25.4,-10.443123008106092,-1.0,1.0,-1.0,1.0
420939,24.85,-10.985804603256724,1.0,1.0,1.0,1.0
420940,24.96,-10.868486198407359,1.0,1.0,-1.0,1.0
420941,24.97,-10.851167793558,1.0,1.0,1.0,1.0
420942,25.25,-10.563849388708633,1.0,1.0,1.0,1.0
420943,25.54,-10.266530983859276,-1.0,1.0,-1.0,1.0
420944,25.5,-10.299212579009913,1.0,1.0,1.0,1.0
420945,26.68,-9.111894174160547,1.0,1.0,-1.0,1.0
420946,26.7,-9.084575769311183,-1.0,1.0,-1.0,1.0
420947,26.55,-9.227257364461824,-1.0,1.0,-1.0,1.0
420948,25.69,-10.079938959612461,-1.0,1.0,-1.0,1.0
420949,25.52,-10.242620554763095,1.0,1.0,1.0,1.0
420950,26.34,-9.415302149913733,1.0,1.0,1.0,1.0
420951,27.03,-8.717983745064366,-1.0,1.0,-1.0,1.0
420952,26.62,-9.120665340215009,-1.0,1.0,-1.0,1.0
420953,26.32,-9.413346935365645,-1.0,1.0,-1.0,1.0
420954,25.89,-9.836028530516279,-1.0,1.0,-1.0,1.0
420955,25.48,-10.238710125666916,1.0,1.0,1.0,1.0
420956,26.05,-9.661391720817553,1.0,1.0,1.0,1.0
420957,26.59,-9.114073315968195,1.0,1.0,1.0,1.0
420958,26.7,-8.996754911118831,-1.0,1.0,-1.0,1.0
420959,26.34,-9.349436506269466,1.0,1.0,-1.0,1.0
420960,26.87,-8.812118101420099,-1.0,1.0,-1.0,1.0
420961,26.85,-8.824799696570743,1.0,1.0,1.0,1.0
420962,26.9,-8.767481291721381,1.0,1.0,1.0,1.0
420963,26.92,-8.740162886872014,-1.0,1.0,-1.0,1.0
420964,26.89,-8.76284448202265,1.0,1.0,1.0,1.0
420965,28.19,-7.455526077173285,-1.0,1.0,-1.0,1.0
420966,28.06,-7.5782076723239316,-1.0,1.0,-1.0,1.0
420967,27.58,-8.050889267474568,1.0,1.0,1.0,1.0
420968,28.23,-7.393570862625201,1.0,1.0,1.0,1.0
420969,29.22,-6.396252457775838,1.0,1.0,-1.0,1.0
420970,29.98,-5.628934052926471,1.0,1.0,1.0,1.0
420971,30.11,-5.491615648077115,-1.0,1.0,1.0,1.0
420972,29.66,-5.93429724322775,-1.0,-1.0,-1.0,-1.0
420973,29.44,-6.146978838378384,-1.0,1.0,-1.0,1.0
420974,29.1,-6.47966043352902,-1.0,1.0,-1.0,1.0
420975,28.6,-6.972342028679655,-1.0,1.0,-1.0,1.0
420976,27.82,-7.745023623830299,1.0,1.0,1.0,1.0
420977,28.06,-7.497705218980937,1.0,1.0,1.0,1.0
420978,28.17,-7.380386814131569,1.0,1.0,-1.0,1.0
420979,28.31,-7.233068409282207,-1.0,1.0,-1.0,1.0
420980,27.96,-7.57575000443284,1.0,1.0,1.0,1.0
420981,28.15,-7.378431599583486,-1.0,1.0,1.0,1.0
420982,27.03,-8.491113194734119,1.0,1.0,1.0,1.0
420983,27.43,-8.083794789884756,1.0,1.0,1.0,1.0
420984,27.57,-7.936476385035392,1.0,1.0,1.0,1.0
420985,27.73,-7.7691579801860335,1.0,1.0,1.0,1.0
420986,27.96,-7.531839575336669,-1.0,1.0,-1.0,1.0
420987,27.77,-7.7145211704873065,1.0,1.0,-1.0,1.0
420988,28.32,-7.1572027656379404,-1.0,1.0,1.0,1.0
420989,28.25,-7.219884360788576,1.0,1.0,1.0,1.0
420990,28.59,-6.872565955939219,1.0,1.0,-1.0,1.0
420991,28.61,-6.845247551089855,-1.0,1.0,1.0,1.0
420992,28.02,-7.427929146240491,1.0,1.0,-1.0,1.0
420993,29.0,-6.440610741391126,-1.0,1.0,-1.0,1.0
420994,28.8,-6.6332923365417615,1.0,1.0,1.0,1.0
420995,29.54,-5.885973931692405,-1.0,1.0,-1.0,1.0
420996,29.5,-5.91865552684304,1.0,1.0,1.0,1.0
420997,30.26,-5.151337121993674,1.0,1.0,1.0,1.0
420998,31.0,-4.404018717144312,-1.0,1.0,-1.0,1.0
420999,30.91,-4.4867003122949525,-1.0,1.0,-1.0,1.0
421000,30.86,-4.52938190744559,-1.0,1.0,-1.0,1.0
421001,30.42,-4.962063502596223,-1.0,1.0,-1.0,1.0
421002,29.55,-5.82474509774686,1.0,1.0,1.0,1.0
421003,29.6,-5.7674266928974935,-1.0,1.0,-1.0,1.0
421004,29.49,-5.87010828804814,-1.0,1.0,-1.0,1.0
421005,29.2,-6.152789883198775,-1.0,1.0,-1.0,-1.0
421006,29.09,-6.25547147834941,-1.0,1.0,-1.0,1.0
421007,28.83,-6.508153073500048,1.0,1.0,1.0,-1.0
421008,29.84,-5.490834668650682,-1.0,1.0,1.0,1.0
421009,29.79,-5.533516263801324,1.0,1.0,1.0,-1.0
421010,30.14,-5.176197858951959,1.0,1.0,1.0,-1.0
421011,30.71,-4.598879454102594,1.0,1.0,-1.0,1.0
421012,30.95,-4.351561049253231,1.0,1.0,1.0,1.0
421013,31.37,-3.9242426444038654,1.0,1.0,1.0,1.0
421014,31.74,-3.5469242395545093,-1.0,1.0,-1.0,1.0
421015,31.29,-3.9896058347051446,1.0,1.0,1.0,1.0
421016,31.56,-3.712287429855781,1.0,1.0,1.0,1.0
421017,32.17,-3.0949690250064137,1.0,1.0,1.0,1.0
421018,32.49,-2.7676506201570557,0.0,-1.0,0.0,-1.0
421019,32.49,-2.760332215307692,1.0,-1.0,1.0,-1.0
421020,32.65,-2.5930138104583307,1.0,-1.0,1.0,-1.0
421021,32.89,-2.3456954056089643,-1.0,-1.0,-1.0,-1.0
421022,32.81,-2.418377000759598,1.0,-1.0,1.0,-1.0
421023,33.18,-2.0410585959102434,1.0,-1.0,1.0,-1.0
421024,33.39,-1.823740191060878,-1.0,-1.0,-1.0,-1.0
421025,33.08,-2.126421786211516,-1.0,1.0,-1.0,1.0
421026,32.86,-2.3391033813621505,1.0,1.0,1.0,1.0
421027,33.07,-2.1217849765127847,-1.0,1.0,-1.0,1.0
421028,32.83,-2.35446657166343,1.0,1.0,1.0,1.0
421029,33.03,-2.1471481668140626,-1.0,1.0,-1.0,1.0
421030,32.77,-2.3998297619646958,1.0,1.0,1.0,1.0
421031,32.81,-2.3525113571153327,-1.0,1.0,-1.0,1.0
421032,32.68,-2.475192952265971,1.0,1.0,1.0,1.0
421033,33.23,-1.9178745474166163,-1.0,1.0,-1.0,1.0
421034,32.84,-2.3005561425672454,-1.0,1.0,-1.0,1.0
421035,32.38,-2.753237737717882,-1.0,1.0,-1.0,1.0
421036,32.24,-2.8859193328685184,1.0,1.0,1.0,1.0
421037,32.47,-2.6486009280191642,-1.0,1.0,-1.0,1.0
421038,32.33,-2.7812825231698,-1.0,1.0,-1.0,1.0
421039,32.18,-2.9239641183204337,-1.0,1.0,-1.0,1.0
421040,31.92,-3.176645713471068,1.0,1.0,1.0,1.0
421041,32.26,-2.829327308621707,-1.0,1.0,-1.0,1.0
421042,31.84,-3.2420089037723483,1.0,1.0,1.0,1.0
421043,32.07,-3.004690498922983,1.0,1.0,-1.0,1.0
421044,32.64,-2.4273720940736183,-1.0,1.0,-1.0,1.0
421045,32.35,-2.7100536892242526,1.0,1.0,1.0,1.0
421046,32.57,-2.4827352843748898,-1.0,1.0,-1.0,1.0
421047,32.31,-2.7354168795255305,-1.0,1.0,-1.0,1.0
421048,32.15,-2.8880984746761698,1.0,1.0,1.0,1.0
421049,32.33,-2.7007800698268056,-1.0,1.0,-1.0,1.0
421050,32.23,-2.793461664977442,-1.0,1.0,-1.0,1.0
421051,32.07,-2.9461432601280753,1.0,1.0,1.0,1.0
421052,32.23,-2.778824855278721,1.0,1.0,-1.0,1.0
421053,32.32,-2.681506450429353,1.0,1.0,-1.0,1.0
421054,33.24,-1.754188045579987,1.0,1.0,1.0,1.0
421055,34.76,-0.2268696407306265,1.0,1.0,1.0,1.0
421056,35.26,0.2804487641187308,-1.0,1.0,-1.0,1.0
421057,35.24,0.2677671689680992,1.0,1.0,1.0,1.0
421058,35.92,0.9550855738174632,1.0,1.0,-1.0,1.0
421059,36.29,1.3324039786668251,-1.0,1.0,-1.0,1.0
421060,36.23,1.2797223835161873,-1.0,1.0,-1.0,1.0
421061,35.35,0.4070407883655491,1.0,1.0,-1.0,1.0
421062,36.3,1.3643591932149093,1.0,1.0,1.0,1.0
421063,36.73,1.8016775980642732,1.0,-1.0,1.0,-1.0
421064,37.52,2.598996002913644,-1.0,-1.0,-1.0,-1.0
421065,36.74,1.8263144077630076,-1.0,-1.0,-1.0,-1.0
421066,36.61,1.7036328126123619,-1.0,-1.0,-1.0,-1.0
421067,36.05,1.1509512174617242,1.0,-1.0,-1.0,-1.0
421068,36.25,1.3582696223110915,1.0,-1.0,1.0,-1.0
421069,36.85,1.965588027160457,1.0,-1.0,1.0,-1.0
421070,37.14,2.2629064320098142,-1.0,-1.0,-1.0,-1.0
421071,36.75,1.8802248368591776,1.0,-1.0,1.0,-1.0
421072,37.07,2.2075432417085423,1.0,-1.0,1.0,-1.0
421073,37.38,2.5248616465579095,1.0,-1.0,1.0,-1.0
421074,38.6,3.752180051407272,-1.0,-1.0,-1.0,-1.0
421075,38.37,3.5294984562566256,1.0,-1.0,1.0,-1.0
421076,38.44,3.6068168611059903,1.0,-1.0,-1.0,-1.0
421077,39.25,4.424135265955356,-1.0,-1.0,-1.0,-1.0
421078,39.01,4.1914536708047185,-1.0,-1.0,-1.0,-1.0
421079,38.65,3.838772075654085,1.0,-1.0,1.0,-1.0
421080,39.1,4.2960904805034446,1.0,-1.0,-1.0,-1.0
421081,39.73,4.9334088853528035,-1.0,-1.0,-1.0,-1.0
421082,39.22,4.430727290202171,1.0,-1.0,-1.0,-1.0
421083,39.85,5.068045695051539,-1.0,-1.0,-1.0,-1.0
421084,39.38,4.605364099900903,-1.0,-1.0,-1.0,-1.0
421085,38.1,3.3326825047502595,1.0,-1.0,1.0,-1.0
421086,38.23,3.47000090959962,1.0,-1.0,1.0,-1.0
421087,38.52,3.76731931444899,-1.0,-1.0,-1.0,-1.0
421088,38.41,3.6646377192983484,-1.0,-1.0,-1.0,-1.0
421089,37.7,2.9619561241477186,-1.0,-1.0,-1.0,-1.0
421090,37.24,2.509274528997075,1.0,-1.0,1.0,-1.0
421091,37.25,2.526592933846437,-1.0,-1.0,-1.0,-1.0
