,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
426129,26.0,-36.43949231159046,1.0,1.0,1.0,1.0
426130,26.2,-36.23200024443125,1.0,1.0,1.0,1.0
426131,26.42,-36.00450817727203,-1.0,1.0,1.0,1.0
426132,26.14,-36.27701611011281,-1.0,1.0,-1.0,1.0
426133,26.1,-36.3095240429536,1.0,1.0,-1.0,1.0
426134,26.56,-35.84203197579437,1.0,1.0,1.0,1.0
426135,28.05,-34.344539908635156,1.0,1.0,1.0,1.0
426136,28.4,-33.98704784147593,1.0,1.0,-1.0,1.0
426137,28.68,-33.699555774316714,1.0,1.0,-1.0,1.0
426138,29.35,-33.0220637071575,1.0,1.0,-1.0,1.0
426139,29.76,-32.604571639998284,-1.0,1.0,-1.0,1.0
426140,29.5,-32.85707957283906,1.0,1.0,-1.0,1.0
426141,30.5,-31.849587505679846,-1.0,1.0,-1.0,1.0
426142,29.78,-32.56209543852062,1.0,1.0,1.0,1.0
426143,29.85,-32.4846033713614,-1.0,1.0,-1.0,1.0
426144,29.84,-32.48711130420219,1.0,1.0,-1.0,1.0
426145,30.95,-31.369619237042972,1.0,1.0,1.0,1.0
426146,31.3,-31.01212716988375,1.0,1.0,-1.0,1.0
426147,31.67,-30.634635102724534,1.0,1.0,1.0,1.0
426148,32.51,-29.787143035565315,1.0,1.0,-1.0,1.0
426149,33.13,-29.15965096840609,-1.0,1.0,-1.0,1.0
426150,32.66,-29.622158901246877,1.0,1.0,1.0,1.0
426151,33.21,-29.064666834087657,1.0,1.0,1.0,1.0
426152,33.97,-28.297174766928443,-1.0,1.0,-1.0,1.0
426153,33.47,-28.789682699769227,1.0,1.0,1.0,1.0
426154,33.61,-28.642190632610003,1.0,1.0,1.0,1.0
426155,42.85,-19.39469856545078,0.0,1.0,-1.0,1.0
426156,42.85,-19.387206498291558,-1.0,1.0,1.0,1.0
426157,42.25,-19.979714431132344,-1.0,1.0,-1.0,1.0
426158,41.82,-20.402222363973127,-1.0,1.0,-1.0,1.0
426159,41.1,-21.11473029681391,-1.0,1.0,-1.0,1.0
426160,41.05,-21.15723822965469,-1.0,1.0,-1.0,1.0
426161,40.76,-21.439746162495478,1.0,1.0,-1.0,1.0
426162,41.51,-20.682254095336255,1.0,1.0,1.0,1.0
426163,43.66,-18.52476202817704,-1.0,-1.0,-1.0,-1.0
426164,42.69,-19.487269961017823,1.0,1.0,1.0,1.0
426165,43.25,-18.9197778938586,1.0,1.0,1.0,1.0
426166,45.73,-16.432285826699385,1.0,-1.0,1.0,-1.0
426167,47.95,-14.20479375954016,1.0,-1.0,1.0,-1.0
426168,48.63,-13.517301692380938,-1.0,-1.0,1.0,-1.0
426169,46.81,-15.329809625221719,-1.0,-1.0,-1.0,-1.0
426170,46.1,-16.032317558062502,1.0,-1.0,1.0,-1.0
426171,47.08,-15.044825490903294,1.0,-1.0,1.0,-1.0
426172,49.59,-12.527333423744068,-1.0,-1.0,-1.0,-1.0
426173,48.57,-13.539841356584851,1.0,-1.0,1.0,-1.0
426174,48.75,-13.352349289425632,-1.0,-1.0,-1.0,-1.0
426175,47.57,-14.524857222266412,1.0,-1.0,1.0,-1.0
426176,47.65,-14.437365155107196,-1.0,-1.0,1.0,-1.0
426177,46.28,-15.799873087947981,-1.0,-1.0,-1.0,-1.0
426178,45.32,-16.75238102078876,1.0,1.0,1.0,-1.0
426179,48.09,-13.974888953629536,1.0,1.0,1.0,1.0
426180,48.63,-13.427396886470321,1.0,-1.0,-1.0,-1.0
426181,48.72,-13.329904819311107,-1.0,-1.0,-1.0,-1.0
426182,47.0,-15.042412752151884,1.0,-1.0,1.0,-1.0
426183,47.08,-14.954920684992663,-1.0,-1.0,-1.0,-1.0
426184,46.53,-15.49742861783345,-1.0,-1.0,-1.0,-1.0
426185,45.02,-16.999936550674228,1.0,-1.0,-1.0,-1.0
426186,45.69,-16.322444483515014,1.0,-1.0,1.0,-1.0
426187,46.59,-15.414952416355787,-1.0,-1.0,-1.0,-1.0
426188,46.15,-15.847460349196576,1.0,-1.0,1.0,-1.0
426189,47.01,-14.979968282037357,1.0,-1.0,-1.0,-1.0
426190,47.45,-14.53247621487813,1.0,-1.0,1.0,-1.0
426191,47.53,-14.444984147718921,-1.0,-1.0,-1.0,-1.0
426192,46.8,-15.167492080559704,-1.0,-1.0,-1.0,-1.0
426193,43.17,-18.79000001340048,-1.0,-1.0,-1.0,-1.0
426194,42.9,-19.052507946241267,1.0,-1.0,1.0,-1.0
426195,43.98,-17.96501587908205,-1.0,-1.0,-1.0,-1.0
426196,43.62,-18.317523811922825,-1.0,-1.0,-1.0,-1.0
426197,42.1,-19.83003174476361,1.0,-1.0,1.0,-1.0
426198,42.88,-19.042539677604392,1.0,-1.0,1.0,-1.0
426199,42.98,-18.935047610445174,-1.0,-1.0,-1.0,-1.0
426200,41.9,-20.007555543285953,-1.0,-1.0,-1.0,-1.0
426201,41.28,-20.62006347612673,1.0,-1.0,1.0,-1.0
426202,43.39,-18.502571408967512,-1.0,-1.0,-1.0,-1.0
426203,41.32,-20.565079341808293,1.0,-1.0,1.0,-1.0
426204,42.56,-19.317587274649078,1.0,-1.0,1.0,-1.0
426205,44.36,-17.51009520748986,1.0,-1.0,-1.0,-1.0
426206,45.9,-15.962603140330645,-1.0,-1.0,-1.0,-1.0
426207,45.67,-16.18511107317142,1.0,-1.0,1.0,-1.0
426208,48.11,-13.737619006012206,1.0,-1.0,-1.0,-1.0
426209,48.62,-13.220126938852985,-1.0,-1.0,-1.0,-1.0
426210,45.96,-15.87263487169377,-1.0,-1.0,-1.0,-1.0
426211,43.8,-18.025142804534553,1.0,-1.0,1.0,-1.0
426212,44.1,-17.71765073737533,-1.0,-1.0,-1.0,-1.0
426213,41.75,-20.06015867021611,-1.0,1.0,-1.0,1.0
426214,41.5,-20.302666603056885,-1.0,-1.0,-1.0,-1.0
426215,40.18,-21.615174535897676,1.0,1.0,1.0,1.0
426216,40.62,-21.16768246873845,-1.0,1.0,-1.0,1.0
426217,40.2,-21.580190401579237,1.0,1.0,1.0,1.0
426218,40.75,-21.02269833442002,-1.0,1.0,-1.0,1.0
426219,40.14,-21.6252062672608,-1.0,1.0,-1.0,1.0
426220,37.79,-23.967714200101586,-1.0,1.0,-1.0,1.0
426221,37.55,-24.20022213294236,1.0,1.0,1.0,1.0
426222,40.71,-21.03273006578314,1.0,1.0,1.0,1.0
426223,41.78,-19.95523799862392,1.0,1.0,1.0,1.0
426224,41.96,-19.76774593146471,-1.0,1.0,-1.0,-1.0
426225,40.94,-20.780253864305493,1.0,1.0,1.0,1.0
426226,41.2,-20.512761797146272,1.0,1.0,-1.0,1.0
426227,41.95,-19.755269729987052,-1.0,-1.0,-1.0,-1.0
426228,40.0,-21.697777662827832,-1.0,-1.0,-1.0,-1.0
426229,39.38,-22.31028559566861,-1.0,1.0,-1.0,1.0
426230,37.76,-23.9227935285094,-1.0,1.0,-1.0,1.0
426231,37.37,-24.305301461350183,1.0,1.0,1.0,1.0
426232,38.73,-22.937809394190964,-1.0,1.0,-1.0,1.0
426233,38.59,-23.070317327031738,-1.0,1.0,-1.0,1.0
426234,36.04,-25.612825259872523,1.0,1.0,1.0,1.0
426235,38.37,-23.275333192713305,-1.0,1.0,-1.0,1.0
426236,38.18,-23.457841125554086,1.0,1.0,1.0,1.0
426237,41.1,-20.530349058394872,-1.0,-1.0,-1.0,-1.0
426238,38.84,-22.782856991235647,-1.0,1.0,-1.0,1.0
426239,37.69,-23.925364924076433,1.0,1.0,1.0,1.0
426240,39.25,-22.35787285691721,1.0,1.0,-1.0,1.0
426241,39.41,-22.190380789757995,1.0,1.0,1.0,1.0
426242,41.11,-20.482888722598773,1.0,-1.0,1.0,-1.0
426243,41.97,-19.615396655439557,-1.0,-1.0,-1.0,-1.0
426244,41.35,-20.22790458828034,1.0,-1.0,1.0,-1.0
426245,42.86,-18.71041252112112,-1.0,-1.0,-1.0,-1.0
426246,42.54,-19.022920453961905,1.0,1.0,-1.0,-1.0
426247,43.94,-17.615428386802684,-1.0,-1.0,-1.0,-1.0
426248,43.21,-18.33793631964346,-1.0,-1.0,-1.0,-1.0
426249,40.69,-20.850444252484245,1.0,1.0,1.0,1.0
426250,41.84,-19.692952185325023,1.0,1.0,1.0,1.0
426251,42.89,-18.635460118165806,-1.0,1.0,-1.0,1.0
426252,42.67,-18.84796805100659,1.0,1.0,1.0,1.0
426253,44.44,-17.070475983847373,-1.0,1.0,-1.0,1.0
426254,43.54,-17.962983916688152,-1.0,1.0,-1.0,-1.0
426255,42.62,-18.87549184952893,0.0,1.0,0.0,1.0
426256,42.62,-18.867999782369715,-1.0,1.0,1.0,1.0
426257,40.69,-20.790507715210506,-1.0,1.0,-1.0,1.0
426258,39.05,-22.423015648051287,1.0,1.0,1.0,1.0
426259,39.4,-22.065523580892066,-1.0,1.0,-1.0,1.0
426260,38.91,-22.548031513732845,1.0,1.0,1.0,1.0
426261,38.92,-22.53053944657362,1.0,1.0,1.0,1.0
426262,40.63,-20.8130473794144,1.0,1.0,1.0,1.0
426263,41.67,-19.765555312255188,-1.0,1.0,-1.0,1.0
426264,39.98,-21.448063245095973,-1.0,1.0,-1.0,1.0
426265,39.66,-21.760571177936754,1.0,1.0,1.0,1.0
426266,39.9,-21.513079110777525,-1.0,1.0,-1.0,1.0
426267,39.53,-21.875587043618307,1.0,1.0,1.0,1.0
