,Close,Target(1),Target(30),Prediction(1),Prediction(30)
427503,10.91,-1.0,1.0,-1.0,1.0
427504,10.8,-1.0,1.0,-1.0,1.0
427505,10.76,-1.0,1.0,-1.0,1.0
427506,10.67,1.0,1.0,1.0,1.0
427507,10.72,1.0,1.0,1.0,1.0
427508,10.74,1.0,1.0,1.0,1.0
427509,10.82,-1.0,1.0,-1.0,1.0
427510,10.76,-1.0,1.0,-1.0,1.0
427511,10.58,1.0,1.0,1.0,1.0
427512,10.59,-1.0,1.0,-1.0,1.0
427513,10.56,1.0,1.0,1.0,1.0
427514,10.68,-1.0,-1.0,-1.0,1.0
427515,10.62,1.0,0.0,1.0,0.0
427516,10.72,-1.0,-1.0,-1.0,1.0
427517,10.68,1.0,-1.0,1.0,-1.0
427518,10.79,1.0,-1.0,1.0,-1.0
427519,10.86,1.0,-1.0,1.0,-1.0
427520,11.0,1.0,-1.0,1.0,1.0
427521,11.04,1.0,-1.0,1.0,-1.0
427522,11.05,-1.0,-1.0,1.0,-1.0
427523,10.84,1.0,1.0,1.0,1.0
427524,10.94,1.0,1.0,1.0,1.0
427525,11.16,-1.0,1.0,-1.0,1.0
427526,11.05,1.0,1.0,-1.0,1.0
427527,11.2,1.0,1.0,1.0,1.0
427528,11.34,-1.0,1.0,-1.0,1.0
427529,11.26,1.0,1.0,1.0,1.0
427530,11.34,1.0,1.0,-1.0,1.0
427531,11.37,1.0,1.0,-1.0,1.0
427532,11.45,-1.0,1.0,-1.0,1.0
427533,11.18,-1.0,1.0,-1.0,1.0
427534,11.08,-1.0,1.0,-1.0,1.0
427535,10.89,1.0,1.0,1.0,1.0
427536,11.14,1.0,1.0,1.0,1.0
427537,11.15,-1.0,1.0,-1.0,1.0
427538,11.14,1.0,1.0,1.0,1.0
427539,11.22,-1.0,1.0,-1.0,1.0
427540,11.12,-1.0,0.0,-1.0,0.0
427541,10.82,-1.0,1.0,-1.0,1.0
427542,10.66,1.0,1.0,-1.0,1.0
427543,10.7,-1.0,1.0,-1.0,1.0
427544,10.62,0.0,1.0,0.0,1.0
427545,10.62,-1.0,1.0,-1.0,1.0
427546,10.6,1.0,1.0,1.0,1.0
427547,10.67,1.0,1.0,1.0,1.0
427548,10.72,1.0,1.0,1.0,1.0
427549,10.83,1.0,1.0,1.0,1.0
427550,10.94,1.0,1.0,1.0,1.0
427551,11.02,-1.0,1.0,1.0,1.0
427552,10.97,1.0,1.0,1.0,1.0
427553,11.12,1.0,1.0,1.0,1.0
427554,11.19,1.0,-1.0,1.0,-1.0
427555,11.27,-1.0,-1.0,-1.0,-1.0
427556,11.26,1.0,-1.0,1.0,-1.0
427557,11.34,1.0,-1.0,-1.0,-1.0
427558,11.57,1.0,-1.0,1.0,-1.0
427559,11.7,1.0,-1.0,1.0,-1.0
427560,11.82,-1.0,-1.0,-1.0,-1.0
427561,11.75,-1.0,-1.0,-1.0,-1.0
427562,11.7,1.0,-1.0,-1.0,-1.0
427563,11.75,1.0,-1.0,1.0,-1.0
427564,11.84,1.0,-1.0,-1.0,-1.0
427565,11.85,-1.0,-1.0,-1.0,-1.0
427566,11.8,-1.0,-1.0,-1.0,-1.0
427567,11.46,1.0,-1.0,1.0,-1.0
427568,11.54,-1.0,-1.0,-1.0,-1.0
427569,11.25,-1.0,-1.0,-1.0,-1.0
427570,11.12,1.0,-1.0,1.0,-1.0
427571,11.37,-1.0,-1.0,-1.0,-1.0
427572,11.3,-1.0,-1.0,1.0,-1.0
427573,11.28,-1.0,-1.0,-1.0,-1.0
427574,11.0,-1.0,-1.0,-1.0,-1.0
427575,10.78,1.0,-1.0,1.0,1.0
427576,11.1,-1.0,-1.0,-1.0,-1.0
427577,11.08,-1.0,-1.0,-1.0,-1.0
427578,11.06,1.0,-1.0,1.0,-1.0
427579,11.26,-1.0,-1.0,-1.0,-1.0
427580,11.12,-1.0,-1.0,-1.0,-1.0
427581,11.04,1.0,-1.0,1.0,-1.0
427582,11.2,1.0,-1.0,1.0,-1.0
427583,11.24,-1.0,-1.0,-1.0,-1.0
