,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
429370,50.29,-2.898217707264521,-1.0,1.0,-1.0,1.0
429371,50.25,-2.9360873774018543,1.0,1.0,1.0,1.0
429372,50.51,-2.6739570475391834,1.0,1.0,1.0,1.0
429373,50.53,-2.6518267176765136,-1.0,1.0,-1.0,-1.0
429374,50.37,-2.809696387813844,1.0,1.0,1.0,-1.0
429375,50.92,-2.2575660579511663,1.0,1.0,1.0,1.0
429376,51.92,-1.2554357280885,1.0,1.0,-1.0,1.0
429377,52.14,-1.0333053982258278,-1.0,1.0,-1.0,1.0
429378,50.07,-3.1011750683631623,-1.0,1.0,-1.0,1.0
429379,49.32,-3.849044738500488,-1.0,1.0,-1.0,-1.0
429380,49.2,-3.96691440863782,1.0,1.0,1.0,1.0
429381,49.85,-3.314784078775148,-1.0,1.0,-1.0,-1.0
429382,49.7,-3.46265374891248,-1.0,1.0,-1.0,1.0
429383,49.44,-3.720523419049812,1.0,1.0,1.0,1.0
429384,49.83,-3.3283930891871454,1.0,1.0,1.0,1.0
429385,50.65,-2.5062627593244717,1.0,1.0,1.0,1.0
429386,51.21,-1.9441324294618028,1.0,1.0,1.0,1.0
429387,51.36,-1.7920020995991308,1.0,1.0,1.0,1.0
429388,51.74,-1.409871769736462,-1.0,1.0,-1.0,1.0
429389,51.13,-2.017741439873788,-1.0,1.0,-1.0,1.0
429390,50.93,-2.2156111100111247,1.0,1.0,1.0,1.0
429391,51.59,-1.5534807801484476,1.0,1.0,1.0,1.0
429392,54.08,0.9386495497142135,-1.0,1.0,-1.0,1.0
429393,53.82,0.6807798795768889,1.0,1.0,1.0,1.0
429394,53.94,0.8029102094395597,-1.0,1.0,-1.0,1.0
429395,53.23,0.09504053930222513,-1.0,1.0,-1.0,1.0
429396,53.1,-0.032829130835096976,1.0,1.0,1.0,1.0
429397,53.79,0.659301199027567,1.0,1.0,1.0,1.0
429398,54.7,1.571431528890244,-1.0,1.0,-1.0,-1.0
429399,54.46,1.3335618587529083,-1.0,1.0,-1.0,1.0
429400,54.1,0.9756921886155824,-1.0,1.0,-1.0,1.0
429401,53.13,0.007822518478249663,1.0,1.0,1.0,1.0
429402,53.25,0.12995284834092047,1.0,1.0,-1.0,1.0
429403,53.67,0.5520831782035884,1.0,1.0,1.0,1.0
429404,54.41,1.294213508066257,1.0,1.0,-1.0,1.0
429405,55.03,1.9163438379289277,-1.0,1.0,-1.0,1.0
429406,54.99,1.8784741677916017,-1.0,1.0,-1.0,1.0
429407,54.48,1.3706044976542628,1.0,1.0,1.0,1.0
429408,55.26,2.1527348275169373,1.0,1.0,-1.0,1.0
429409,55.72,2.6148651573796045,1.0,-1.0,1.0,-1.0
429410,56.37,3.2669954872422764,-1.0,-1.0,-1.0,-1.0
429411,56.06,2.9591258171049475,1.0,-1.0,1.0,-1.0
429412,56.22,3.121256146967617,-1.0,-1.0,-1.0,-1.0
429413,56.18,3.083386476830292,-1.0,1.0,-1.0,1.0
429414,55.74,2.6455168066929597,-1.0,1.0,-1.0,-1.0
429415,55.25,2.157647136555632,-1.0,1.0,-1.0,1.0
429416,54.78,1.6897774664182992,1.0,-1.0,1.0,-1.0
429417,55.34,2.2519077962809746,1.0,-1.0,1.0,-1.0
429418,57.42,4.334038126143638,1.0,-1.0,1.0,-1.0
429419,57.5,4.416168456006312,-1.0,-1.0,-1.0,-1.0
429420,57.14,4.058298785868978,-1.0,-1.0,-1.0,-1.0
429421,56.63,3.5504291157316534,1.0,-1.0,1.0,-1.0
429422,56.84,3.7625594455943197,-1.0,-1.0,-1.0,-1.0
429423,55.98,2.904689775456987,1.0,-1.0,1.0,-1.0
429424,56.49,3.4168201053196583,1.0,-1.0,1.0,-1.0
429425,56.9,3.828950435182328,1.0,-1.0,1.0,-1.0
429426,57.68,4.6110807650449965,-1.0,-1.0,-1.0,-1.0
429427,57.14,4.07321109490767,-1.0,-1.0,-1.0,-1.0
429428,56.76,3.6953414247703336,-1.0,-1.0,1.0,-1.0
429429,56.25,3.187471754633009,1.0,-1.0,1.0,-1.0
429430,56.34,3.2796020844956786,1.0,-1.0,1.0,-1.0
429431,58.57,5.511732414358349,-1.0,-1.0,-1.0,-1.0
429432,58.48,5.423862744221019,-1.0,-1.0,-1.0,-1.0
429433,57.86,4.8059930740836885,-1.0,-1.0,-1.0,-1.0
429434,56.8,3.748123403946359,-1.0,-1.0,-1.0,-1.0
429435,56.42,3.370253733809029,1.0,-1.0,1.0,-1.0
429436,56.56,3.5123840636717034,-1.0,-1.0,-1.0,-1.0
429437,54.99,1.9445143935343692,1.0,-1.0,-1.0,-1.0
429438,56.97,3.92664472339704,-1.0,-1.0,1.0,-1.0
429439,55.66,2.618775053259704,1.0,-1.0,1.0,-1.0
429440,56.1,3.0609053831223814,-1.0,-1.0,-1.0,-1.0
429441,54.57,1.5330357129850467,-1.0,-1.0,-1.0,-1.0
429442,53.68,0.6451660428477197,1.0,-1.0,1.0,-1.0
429443,56.55,3.5172963727103834,1.0,-1.0,1.0,-1.0
429444,56.72,3.6894267025730585,1.0,-1.0,1.0,-1.0
429445,57.15,4.1215570324357245,-1.0,-1.0,-1.0,-1.0
429446,53.81,0.7836873622984015,-1.0,-1.0,-1.0,-1.0
429447,53.45,0.4258176921610684,1.0,-1.0,1.0,-1.0
