,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
431237,30.79,-21.08574431037546,1.0,1.0,1.0,1.0
431238,31.13,-20.77876077897156,1.0,1.0,1.0,1.0
431239,31.35,-20.59177724756765,-1.0,1.0,-1.0,1.0
431240,31.19,-20.784793716163744,-1.0,1.0,-1.0,1.0
431241,29.7,-22.30781018475984,1.0,1.0,1.0,1.0
431242,30.78,-21.26082665335594,1.0,1.0,1.0,1.0
431243,30.79,-21.28384312195204,1.0,1.0,1.0,1.0
431244,31.12,-20.98685959054813,-1.0,1.0,-1.0,1.0
431245,29.86,-22.27987605914423,1.0,1.0,1.0,1.0
431246,30.27,-21.902892527740327,-1.0,1.0,-1.0,1.0
431247,29.96,-22.24590899633641,1.0,1.0,1.0,1.0
431248,30.33,-21.90892546493252,1.0,1.0,1.0,1.0
431249,30.44,-21.831941933528608,1.0,1.0,1.0,1.0
431250,31.93,-20.374958402124705,1.0,1.0,1.0,1.0
431251,32.39,-19.947974870720802,1.0,1.0,1.0,1.0
431252,33.08,-19.290991339316896,-1.0,1.0,-1.0,1.0
431253,33.06,-19.344007807912988,1.0,1.0,1.0,1.0
431254,33.15,-19.287024276509094,1.0,1.0,1.0,1.0
431255,33.92,-18.550040745105182,1.0,1.0,1.0,1.0
431256,34.87,-17.633057213701285,-1.0,1.0,1.0,1.0
431257,34.39,-18.146073682297374,-1.0,1.0,-1.0,1.0
431258,34.32,-18.249090150893476,1.0,1.0,1.0,1.0
431259,34.99,-17.612106619489566,-1.0,1.0,-1.0,1.0
431260,34.3,-18.335123088085663,1.0,1.0,1.0,1.0
431261,35.41,-17.258139556681762,-1.0,1.0,1.0,1.0
431262,35.11,-17.591156025277854,-1.0,1.0,-1.0,1.0
431263,34.68,-18.05417249387395,1.0,1.0,1.0,1.0
431264,34.88,-17.887188962470038,1.0,1.0,1.0,1.0
431265,35.45,-17.350205431066133,1.0,1.0,1.0,1.0
431266,35.55,-17.283221899662234,1.0,1.0,1.0,1.0
431267,35.89,-16.976238368258336,1.0,1.0,1.0,1.0
431268,35.99,-16.90925483685443,1.0,1.0,-1.0,1.0
431269,36.0,-16.932271305450527,-1.0,1.0,-1.0,1.0
431270,35.75,-17.215287774046622,-1.0,1.0,-1.0,-1.0
431271,35.57,-17.428304242642714,1.0,1.0,1.0,1.0
431272,36.33,-16.701320711238814,-1.0,1.0,-1.0,1.0
431273,36.1,-16.964337179834907,-1.0,1.0,-1.0,1.0
