,Close,Target(1),Target(30),Prediction(1),Prediction(30)
434971,18.6,1.0,1.0,1.0,1.0
434972,19.4,1.0,1.0,1.0,1.0
434973,19.71,-1.0,1.0,-1.0,1.0
434974,19.21,-1.0,1.0,-1.0,1.0
434975,19.02,1.0,1.0,1.0,1.0
434976,19.65,1.0,1.0,1.0,1.0
434977,20.32,-1.0,1.0,-1.0,1.0
434978,20.26,-1.0,1.0,-1.0,1.0
434979,20.03,1.0,1.0,1.0,1.0
434980,20.47,-1.0,1.0,-1.0,1.0
434981,20.01,1.0,1.0,-1.0,1.0
434982,20.34,-1.0,1.0,-1.0,1.0
434983,20.09,1.0,1.0,1.0,1.0
434984,20.34,1.0,1.0,1.0,1.0
434985,20.48,1.0,1.0,1.0,1.0
434986,20.83,1.0,1.0,1.0,1.0
434987,21.05,1.0,1.0,1.0,1.0
434988,21.34,1.0,1.0,1.0,1.0
434989,21.4,1.0,1.0,1.0,1.0
434990,21.5,-1.0,1.0,-1.0,1.0
434991,21.03,1.0,1.0,1.0,1.0
434992,21.54,1.0,1.0,1.0,1.0
434993,22.15,-1.0,1.0,-1.0,1.0
434994,22.11,1.0,1.0,1.0,1.0
434995,22.53,-1.0,1.0,-1.0,1.0
434996,22.43,1.0,1.0,1.0,1.0
434997,22.65,1.0,1.0,1.0,1.0
434998,22.98,1.0,1.0,1.0,1.0
434999,23.28,1.0,1.0,1.0,1.0
435000,23.47,1.0,1.0,-1.0,1.0
435001,23.59,-1.0,1.0,-1.0,1.0
435002,23.49,1.0,1.0,1.0,1.0
435003,23.61,1.0,1.0,1.0,1.0
435004,23.74,-1.0,1.0,1.0,1.0
435005,23.71,1.0,1.0,1.0,1.0
435006,24.71,-1.0,1.0,-1.0,1.0
435007,24.68,1.0,1.0,1.0,1.0
435008,24.75,-1.0,1.0,-1.0,1.0
435009,24.67,1.0,1.0,1.0,1.0
435010,25.29,1.0,1.0,1.0,1.0
435011,25.46,-1.0,1.0,1.0,1.0
435012,24.98,1.0,1.0,1.0,1.0
435013,25.34,1.0,-1.0,1.0,-1.0
435014,25.54,1.0,1.0,1.0,1.0
435015,25.78,1.0,1.0,1.0,1.0
435016,25.88,-1.0,1.0,-1.0,1.0
435017,24.62,1.0,1.0,1.0,1.0
435018,24.8,1.0,1.0,1.0,1.0
435019,25.73,-1.0,-1.0,-1.0,-1.0
435020,25.72,-1.0,-1.0,1.0,-1.0
435021,25.68,1.0,-1.0,1.0,-1.0
435022,26.28,1.0,-1.0,1.0,-1.0
435023,26.62,1.0,-1.0,1.0,-1.0
435024,26.89,1.0,-1.0,1.0,-1.0
435025,27.19,-1.0,-1.0,-1.0,-1.0
435026,27.03,1.0,-1.0,1.0,-1.0
435027,27.56,-1.0,-1.0,1.0,-1.0
435028,27.07,1.0,-1.0,1.0,-1.0
435029,27.26,1.0,-1.0,1.0,-1.0
435030,27.59,1.0,-1.0,1.0,-1.0
435031,28.03,1.0,-1.0,1.0,-1.0
435032,28.59,-1.0,-1.0,-1.0,-1.0
435033,28.48,1.0,-1.0,1.0,-1.0
435034,28.57,-1.0,-1.0,1.0,1.0
