,Close,Target(1),Target(30),Prediction(1),Prediction(30)
436838,73.05,1.0,-1.0,1.0,-1.0
436839,73.18,-1.0,-1.0,-1.0,-1.0
436840,72.19,-1.0,1.0,-1.0,1.0
436841,71.04,1.0,1.0,1.0,1.0
436842,71.1,1.0,1.0,1.0,1.0
436843,71.6,1.0,1.0,1.0,1.0
436844,72.6,-1.0,1.0,-1.0,1.0
436845,71.8,-1.0,1.0,-1.0,1.0
436846,70.54,1.0,1.0,1.0,1.0
436847,70.64,-1.0,1.0,1.0,1.0
436848,70.14,1.0,1.0,1.0,1.0
436849,70.15,1.0,1.0,1.0,1.0
436850,70.97,1.0,1.0,1.0,1.0
436851,71.56,1.0,1.0,1.0,1.0
436852,71.76,1.0,1.0,1.0,1.0
436853,72.43,1.0,1.0,1.0,1.0
436854,73.15,-1.0,1.0,-1.0,1.0
436855,73.12,1.0,1.0,1.0,1.0
436856,73.98,-1.0,1.0,-1.0,1.0
436857,73.97,-1.0,1.0,-1.0,1.0
436858,73.4,1.0,1.0,-1.0,1.0
436859,73.5,-1.0,1.0,-1.0,1.0
436860,73.13,1.0,1.0,1.0,1.0
436861,73.31,1.0,1.0,1.0,1.0
436862,74.19,1.0,1.0,1.0,1.0
436863,74.65,-1.0,1.0,-1.0,1.0
436864,73.28,-1.0,1.0,-1.0,1.0
436865,72.59,-1.0,1.0,-1.0,1.0
436866,72.45,-1.0,1.0,-1.0,1.0
436867,72.04,-1.0,1.0,-1.0,1.0
436868,71.89,1.0,1.0,1.0,1.0
436869,72.32,1.0,1.0,1.0,1.0
436870,73.78,-1.0,1.0,-1.0,1.0
436871,73.7,1.0,1.0,1.0,1.0
436872,74.67,1.0,1.0,1.0,1.0
436873,75.0,1.0,1.0,1.0,1.0
436874,75.71,1.0,1.0,1.0,1.0
436875,76.17,-1.0,1.0,-1.0,1.0
436876,75.51,1.0,1.0,1.0,1.0
436877,76.26,-1.0,1.0,-1.0,1.0
436878,74.33,-1.0,1.0,1.0,1.0
436879,73.98,1.0,1.0,1.0,1.0
436880,74.9,1.0,1.0,1.0,1.0
436881,75.58,1.0,1.0,1.0,1.0
436882,75.81,1.0,1.0,1.0,1.0
436883,75.95,-1.0,1.0,-1.0,1.0
436884,75.71,1.0,1.0,1.0,1.0
436885,77.17,-1.0,1.0,-1.0,1.0
436886,76.89,1.0,1.0,-1.0,1.0
436887,77.15,-1.0,-1.0,-1.0,-1.0
436888,76.46,-1.0,1.0,-1.0,1.0
436889,76.13,1.0,-1.0,-1.0,-1.0
436890,76.16,1.0,-1.0,-1.0,1.0
436891,76.67,-1.0,-1.0,-1.0,-1.0
436892,76.44,-1.0,-1.0,-1.0,-1.0
436893,76.26,1.0,-1.0,1.0,-1.0
436894,77.75,-1.0,-1.0,-1.0,-1.0
436895,76.98,1.0,-1.0,1.0,-1.0
436896,79.33,1.0,-1.0,1.0,-1.0
436897,80.24,1.0,-1.0,1.0,-1.0
436898,81.0,-1.0,-1.0,-1.0,-1.0
436899,80.69,-1.0,-1.0,1.0,-1.0
436900,79.99,-1.0,-1.0,-1.0,-1.0
436901,78.91,-1.0,-1.0,-1.0,1.0
436902,77.42,1.0,-1.0,1.0,1.0
436903,78.13,1.0,-1.0,-1.0,-1.0
436904,78.83,-1.0,-1.0,-1.0,-1.0
436905,78.57,-1.0,1.0,-1.0,1.0
436906,78.56,-1.0,1.0,-1.0,1.0
436907,77.83,-1.0,1.0,-1.0,1.0
436908,77.67,-1.0,1.0,-1.0,-1.0
436909,76.26,-1.0,1.0,-1.0,1.0
436910,75.23,1.0,1.0,1.0,1.0
436911,76.86,1.0,1.0,1.0,1.0
436912,76.94,1.0,1.0,1.0,1.0
436913,77.19,1.0,-1.0,1.0,-1.0
436914,77.8,-1.0,-1.0,-1.0,1.0
436915,77.47,1.0,1.0,1.0,1.0
436916,77.52,-1.0,-1.0,-1.0,-1.0
436917,76.93,1.0,-1.0,1.0,-1.0
436918,77.71,-1.0,-1.0,-1.0,1.0
436919,75.98,1.0,-1.0,-1.0,-1.0
436920,76.0,-1.0,-1.0,-1.0,-1.0
436921,75.4,1.0,-1.0,1.0,-1.0
436922,75.46,-1.0,1.0,1.0,1.0
436923,74.99,1.0,-1.0,1.0,-1.0
436924,76.41,-1.0,-1.0,-1.0,-1.0
436925,75.61,-1.0,1.0,-1.0,1.0
436926,75.0,1.0,1.0,1.0,1.0
436927,76.58,1.0,0.0,1.0,1.0
436928,76.87,-1.0,-1.0,-1.0,-1.0
436929,75.05,-1.0,1.0,-1.0,1.0
436930,75.0,1.0,1.0,1.0,1.0
436931,75.46,1.0,1.0,1.0,1.0
436932,75.57,1.0,-1.0,1.0,-1.0
