,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
438705,9.86,0.12682497820876293,-1.0,1.0,-1.0,1.0
438706,9.7,-0.04735363061237763,-1.0,1.0,-1.0,1.0
438707,9.64,-0.12153223943351675,-1.0,1.0,-1.0,1.0
438708,9.48,-0.2957108482546573,-1.0,1.0,-1.0,1.0
438709,9.38,-0.4098894570757974,-1.0,1.0,-1.0,1.0
438710,9.32,-0.4840680658969365,1.0,1.0,1.0,1.0
438711,9.45,-0.3682466747180779,-1.0,1.0,1.0,1.0
438712,9.3,-0.5324252835392169,-1.0,1.0,1.0,1.0
438713,9.16,-0.6866038923603579,1.0,1.0,1.0,1.0
438714,9.18,-0.6807825011814987,-1.0,1.0,-1.0,1.0
438715,9.08,-0.7949611100026388,1.0,1.0,1.0,1.0
438716,9.22,-0.6691397188237787,1.0,1.0,1.0,1.0
438717,9.25,-0.6533183276449197,1.0,1.0,1.0,1.0
438718,9.29,-0.627496936466061,1.0,1.0,-1.0,1.0
438719,9.42,-0.5116755452872006,-1.0,1.0,-1.0,1.0
438720,9.41,-0.5358541541083408,1.0,1.0,1.0,1.0
438721,9.42,-0.5400327629294814,1.0,1.0,1.0,1.0
438722,9.44,-0.5342113717506205,-1.0,1.0,-1.0,1.0
438723,9.41,-0.5783899805717603,-1.0,1.0,-1.0,1.0
438724,9.38,-0.6225685893929,-1.0,1.0,-1.0,1.0
438725,9.28,-0.7367471982140419,1.0,1.0,-1.0,1.0
438726,9.47,-0.560925807035181,0.0,1.0,0.0,1.0
438727,9.47,-0.5751044158563214,1.0,1.0,1.0,1.0
438728,9.58,-0.4792830246774624,1.0,1.0,1.0,1.0
438729,9.68,-0.3934616334986032,1.0,1.0,1.0,1.0
438730,9.88,-0.2076402423197425,1.0,1.0,1.0,1.0
438731,9.95,-0.15181885114088445,-1.0,1.0,1.0,1.0
438732,9.94,-0.17599745996202465,1.0,1.0,1.0,1.0
438733,10.08,-0.050176068783164496,1.0,1.0,1.0,1.0
438734,10.1,-0.04435467760430534,1.0,1.0,1.0,1.0
438735,10.29,0.13146671357455553,-1.0,1.0,-1.0,1.0
438736,10.28,0.10728810475341533,1.0,1.0,1.0,1.0
438737,10.38,0.19310949593227636,-1.0,1.0,-1.0,1.0
438738,10.36,0.15893088711113454,-1.0,1.0,-1.0,1.0
438739,10.3,0.08475227828999543,1.0,1.0,1.0,1.0
438740,10.32,0.0905736694688546,-1.0,1.0,-1.0,1.0
438741,10.2,-0.04360493935228682,-1.0,1.0,-1.0,1.0
438742,10.18,-0.07778354817342681,-1.0,1.0,-1.0,1.0
438743,10.05,-0.22196215699456626,1.0,1.0,-1.0,1.0
438744,10.18,-0.10614076581570764,1.0,-1.0,1.0,-1.0
438745,10.24,-0.06031937463684756,-1.0,-1.0,-1.0,-1.0
438746,10.1,-0.2144979834579885,-1.0,-1.0,-1.0,-1.0
438747,9.92,-0.4086765922791287,-1.0,-1.0,-1.0,-1.0
438748,9.81,-0.5328552011002667,1.0,1.0,-1.0,1.0
438749,10.02,-0.3370338099214081,1.0,1.0,1.0,1.0
438750,10.1,-0.2712124187425484,1.0,-1.0,1.0,-1.0
438751,10.15,-0.2353910275636881,-1.0,-1.0,-1.0,-1.0
438752,10.1,-0.29956963638482925,-1.0,-1.0,1.0,-1.0
438753,10.08,-0.33374824520596924,0.0,-1.0,-1.0,-1.0
438754,10.08,-0.3479268540271097,-1.0,-1.0,-1.0,-1.0
438755,10.06,-0.3821054628482496,1.0,-1.0,1.0,-1.0
438756,10.1,-0.3562840716693909,1.0,-1.0,1.0,-1.0
438757,10.2,-0.2704626804905317,-1.0,-1.0,-1.0,-1.0
438758,10.16,-0.32464128931167124,1.0,-1.0,1.0,-1.0
438759,10.26,-0.238819898132812,1.0,-1.0,-1.0,-1.0
438760,10.35,-0.16299850695395254,-1.0,-1.0,-1.0,-1.0
438761,10.22,-0.3071771157750902,1.0,-1.0,1.0,-1.0
438762,10.29,-0.2513557245962321,1.0,-1.0,1.0,-1.0
438763,10.41,-0.14553433341737154,-1.0,-1.0,-1.0,-1.0
438764,10.38,-0.18971294223851126,1.0,-1.0,1.0,-1.0
438765,10.5,-0.08389155105965251,1.0,-1.0,1.0,-1.0
438766,10.71,0.11192984011920792,1.0,-1.0,1.0,-1.0
438767,10.78,0.16775123129806602,-1.0,-1.0,-1.0,-1.0
438768,10.57,-0.056427377523073474,1.0,-1.0,1.0,-1.0
438769,10.6,-0.04060598634421453,-1.0,-1.0,-1.0,-1.0
438770,10.59,-0.06478459516535473,-1.0,-1.0,-1.0,-1.0
438771,10.54,-0.12896320398649586,1.0,-1.0,1.0,-1.0
438772,10.62,-0.0631418128076362,-1.0,-1.0,-1.0,-1.0
438773,10.21,-0.4873204216287732,-1.0,-1.0,-1.0,-1.0
438774,10.06,-0.651499030449914,-1.0,-1.0,-1.0,-1.0
438775,9.71,-1.015677639271054,-1.0,1.0,-1.0,1.0
438776,9.32,-1.419856248092195,1.0,1.0,1.0,1.0
438777,9.87,-0.8840348569133365,-1.0,-1.0,-1.0,1.0
438778,9.86,-0.9082134657344768,1.0,-1.0,1.0,-1.0
438779,10.12,-0.6623920745556173,-1.0,-1.0,-1.0,-1.0
438780,9.94,-0.8565706833767575,-1.0,-1.0,-1.0,-1.0
438781,9.56,-1.2507492921978969,-1.0,1.0,1.0,1.0
438782,9.48,-1.3449279010190374,-1.0,1.0,-1.0,1.0
438783,9.21,-1.6291065098401774,-1.0,1.0,1.0,1.0
438784,9.12,-1.7332851186613194,-1.0,1.0,-1.0,1.0
438785,8.75,-2.117463727482459,1.0,1.0,1.0,1.0
438786,9.0,-1.8816423363035997,-1.0,1.0,1.0,1.0
438787,8.98,-1.9158209451247397,1.0,1.0,1.0,1.0
438788,9.1,-1.8099995539458789,-1.0,1.0,1.0,1.0
438789,9.05,-1.8741781627670184,1.0,1.0,1.0,1.0
438790,9.31,-1.6283567715881588,-1.0,1.0,-1.0,1.0
438791,9.21,-1.7425353804092991,-1.0,1.0,-1.0,1.0
438792,8.96,-2.0067139892304398,1.0,1.0,1.0,1.0
438793,9.14,-1.8408925980515802,1.0,1.0,1.0,1.0
438794,9.32,-1.6750712068727207,-1.0,1.0,-1.0,1.0
438795,9.05,-1.9592498156938607,-1.0,1.0,-1.0,1.0
438796,8.82,-2.203428424515001,1.0,1.0,1.0,1.0
438797,8.86,-2.1776070333361432,1.0,1.0,1.0,1.0
438798,8.94,-2.1117856421572814,1.0,1.0,1.0,1.0
438799,9.33,-1.7359642509784212,1.0,1.0,1.0,1.0
438800,9.44,-1.6401428597995622,1.0,1.0,1.0,1.0
438801,9.46,-1.6343214686207013,1.0,1.0,1.0,1.0
438802,9.68,-1.4285000774418428,1.0,1.0,1.0,1.0
438803,9.7,-1.4226786862629837,1.0,1.0,1.0,1.0
438804,9.84,-1.2968572950841235,1.0,1.0,1.0,1.0
438805,9.88,-1.271035903905263,1.0,1.0,1.0,1.0
438806,9.89,-1.2752145127264036,-1.0,1.0,-1.0,1.0
438807,9.74,-1.4393931215475444,1.0,1.0,1.0,1.0
438808,9.84,-1.3535717303686852,-1.0,1.0,1.0,1.0
438809,9.82,-1.3877503391898252,-1.0,1.0,-1.0,1.0
438810,9.8,-1.4219289480109651,1.0,1.0,1.0,1.0
438811,9.86,-1.3761075568321068,-1.0,1.0,-1.0,1.0
438812,9.58,-1.6702861656532466,1.0,1.0,1.0,1.0
438813,9.64,-1.6244647744743848,-1.0,1.0,-1.0,1.0
438814,9.6,-1.6786433832955259,-1.0,1.0,-1.0,1.0
438815,9.47,-1.8228219921166653,1.0,1.0,1.0,1.0
438816,9.51,-1.7970006009378068,1.0,1.0,1.0,1.0
438817,9.88,-1.4411792097589462,1.0,-1.0,1.0,1.0
438818,10.0,-1.3353578185800874,1.0,-1.0,1.0,-1.0
438819,10.08,-1.2695364274012275,1.0,-1.0,1.0,-1.0
438820,10.09,-1.2737150362223684,1.0,-1.0,1.0,-1.0
438821,10.22,-1.157893645043508,1.0,-1.0,1.0,-1.0
438822,10.36,-1.0320722538646496,-1.0,-1.0,-1.0,-1.0
438823,10.32,-1.0862508626857892,-1.0,-1.0,-1.0,-1.0
438824,9.97,-1.4504294715069277,1.0,-1.0,1.0,-1.0
438825,10.07,-1.3646080803280682,1.0,-1.0,-1.0,-1.0
438826,10.22,-1.2287866891492083,-1.0,-1.0,-1.0,-1.0
438827,10.12,-1.34296529797035,1.0,-1.0,-1.0,-1.0
438828,10.41,-1.0671439067914896,1.0,-1.0,-1.0,-1.0
438829,10.48,-1.0113225156126298,0.0,-1.0,0.0,-1.0
438830,10.48,-1.0255011244337702,1.0,-1.0,1.0,-1.0
438831,10.5,-1.0196797332549108,0.0,-1.0,1.0,-1.0
438832,10.5,-1.0338583420760514,-1.0,-1.0,-1.0,-1.0
438833,9.86,-1.6880369508971924,1.0,-1.0,1.0,-1.0
