,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
440571,85.57,27.4782823204187,-1.0,1.0,-1.0,-1.0
440572,84.99,26.85059762489533,1.0,1.0,1.0,1.0
440573,85.51,27.322912929371967,-1.0,1.0,-1.0,1.0
440574,84.36,26.125228233848595,-1.0,1.0,-1.0,1.0
440575,83.34,25.057543538325227,1.0,1.0,1.0,1.0
440576,84.64,26.30985884280185,1.0,1.0,-1.0,-1.0
440577,87.09,28.712174147278482,-1.0,1.0,-1.0,1.0
440578,86.95,28.52448945175511,-1.0,1.0,-1.0,1.0
440579,84.52,26.046804756231733,-1.0,1.0,-1.0,1.0
440580,84.24,25.719120060708367,1.0,1.0,1.0,1.0
440581,84.6,26.03143536518499,1.0,1.0,1.0,1.0
440582,86.01,27.393750669661628,-1.0,1.0,-1.0,1.0
440583,85.99,27.326065974138245,1.0,1.0,1.0,1.0
440584,87.08,28.36838127861488,-1.0,1.0,-1.0,1.0
440585,87.01,28.25069658309151,1.0,1.0,1.0,1.0
440586,87.6,28.79301188756813,1.0,1.0,1.0,1.0
440587,88.11,29.255327192044764,1.0,1.0,-1.0,1.0
440588,89.85,30.947642496521393,1.0,1.0,1.0,1.0
440589,90.34,31.389957800998026,1.0,1.0,1.0,1.0
440590,91.32,32.322273105474636,-1.0,1.0,1.0,1.0
440591,90.18,31.134588409951288,1.0,1.0,1.0,1.0
440592,91.33,32.2369037144279,-1.0,1.0,1.0,1.0
440593,91.05,31.909219018904533,1.0,1.0,1.0,1.0
440594,91.42,32.23153432338117,1.0,1.0,1.0,1.0
440595,91.92,32.683849627857796,1.0,1.0,1.0,1.0
440596,92.42,33.13616493233443,1.0,1.0,1.0,1.0
440597,92.59,33.25848023681105,-1.0,1.0,-1.0,1.0
440598,92.47,33.09079554128768,1.0,1.0,1.0,1.0
440599,93.16,33.7331108457643,-1.0,1.0,-1.0,1.0
440600,92.54,33.06542615024094,-1.0,1.0,-1.0,1.0
440601,92.28,32.75774145471757,1.0,1.0,1.0,1.0
440602,92.56,32.990056759194196,-1.0,1.0,-1.0,1.0
440603,92.44,32.82237206367082,-1.0,1.0,-1.0,1.0
440604,92.32,32.65468736814744,1.0,1.0,1.0,1.0
440605,92.44,32.727002672624074,1.0,1.0,1.0,1.0
440606,92.95,33.189317977100714,1.0,1.0,1.0,-1.0
440607,94.01,34.20163328157734,1.0,1.0,1.0,1.0
440608,94.18,34.323948586053966,-1.0,-1.0,-1.0,-1.0
440609,94.17,34.266263890530595,0.0,1.0,0.0,1.0
440610,94.17,34.218579195007216,1.0,-1.0,1.0,-1.0
440611,94.62,34.62089449948385,-1.0,-1.0,1.0,-1.0
440612,93.52,33.473209803960465,-1.0,-1.0,-1.0,-1.0
440613,92.96,32.8655251084371,1.0,-1.0,1.0,-1.0
440614,93.26,33.11784041291373,1.0,-1.0,1.0,-1.0
440615,93.59,33.40015571739037,-1.0,-1.0,-1.0,-1.0
440616,92.94,32.70247102186699,-1.0,-1.0,-1.0,-1.0
440617,91.63,31.344786326343613,1.0,-1.0,1.0,-1.0
440618,92.53,32.19710163082025,1.0,-1.0,-1.0,-1.0
440619,92.83,32.449416935296874,1.0,-1.0,1.0,-1.0
440620,93.1,32.671732239773505,-1.0,-1.0,1.0,-1.0
440621,92.67,32.19404754425014,-1.0,-1.0,-1.0,-1.0
440622,92.52,31.996362848726765,1.0,-1.0,1.0,-1.0
440623,93.91,33.33867815320339,1.0,-1.0,1.0,-1.0
440624,94.39,33.77099345768002,1.0,-1.0,1.0,-1.0
440625,95.18,34.51330876215665,1.0,-1.0,1.0,-1.0
440626,95.61,34.895624066633275,1.0,-1.0,-1.0,-1.0
440627,96.02,35.2579393711099,-1.0,-1.0,-1.0,-1.0
440628,94.8,33.990254675586534,1.0,-1.0,1.0,-1.0
440629,95.15,34.29256998006317,1.0,-1.0,1.0,-1.0
440630,96.53,35.62488528453979,1.0,-1.0,1.0,-1.0
440631,97.54,36.587200589016426,-1.0,-1.0,-1.0,-1.0
440632,96.73,35.729515893493044,1.0,-1.0,1.0,-1.0
440633,96.82,35.77183119796967,-1.0,-1.0,-1.0,-1.0
440634,96.11,35.0141465024463,-1.0,-1.0,1.0,-1.0
440635,93.82,32.67646180692293,1.0,-1.0,1.0,-1.0
440636,93.92,32.728777111399566,1.0,-1.0,1.0,-1.0
440637,95.43,34.1910924158762,-1.0,-1.0,-1.0,-1.0
440638,93.57,32.283407720352805,1.0,-1.0,1.0,-1.0
440639,95.34,34.00572302482945,-1.0,-1.0,-1.0,-1.0
440640,92.51,31.12803832930608,1.0,-1.0,1.0,-1.0
440641,92.56,31.1303536337827,-1.0,-1.0,1.0,-1.0
440642,89.66,28.18266893825933,-1.0,-1.0,1.0,-1.0
440643,86.52,24.994984242735963,1.0,-1.0,1.0,-1.0
440644,89.26,27.6872995472126,1.0,-1.0,1.0,-1.0
440645,89.88,28.25961485168921,1.0,-1.0,1.0,-1.0
440646,90.87,29.20193015616585,-1.0,-1.0,-1.0,-1.0
440647,89.73,28.01424546064248,-1.0,-1.0,-1.0,-1.0
440648,88.33,26.5665607651191,1.0,-1.0,1.0,-1.0
440649,88.39,26.578876069595733,-1.0,-1.0,-1.0,-1.0
440650,87.52,25.66119137407236,-1.0,-1.0,-1.0,-1.0
440651,86.27,24.36350667854899,-1.0,-1.0,-1.0,-1.0
440652,82.62,20.665821983025626,1.0,-1.0,1.0,-1.0
440653,83.67,21.668137287502248,-1.0,-1.0,-1.0,-1.0
440654,82.95,20.90045259197888,-1.0,-1.0,-1.0,-1.0
440655,82.65,20.552767896455507,-1.0,-1.0,-1.0,-1.0
440656,81.97,19.825083200932134,1.0,-1.0,1.0,-1.0
440657,83.82,21.627398505408763,-1.0,-1.0,-1.0,-1.0
440658,82.63,20.389713809885386,-1.0,-1.0,1.0,-1.0
440659,81.64,19.352029114362022,1.0,-1.0,1.0,-1.0
440660,82.24,19.90434441883864,1.0,-1.0,1.0,-1.0
440661,83.33,20.94665972331527,-1.0,-1.0,-1.0,-1.0
440662,81.12,18.688975027791905,-1.0,-1.0,-1.0,-1.0
440663,79.52,17.041290332268527,-1.0,-1.0,-1.0,-1.0
440664,79.48,16.953605636745163,-1.0,-1.0,-1.0,-1.0
440665,79.16,16.585920941221787,1.0,-1.0,1.0,-1.0
440666,79.88,17.258236245698413,-1.0,-1.0,-1.0,-1.0
440667,79.61,16.940551550175044,1.0,-1.0,1.0,-1.0
440668,80.26,17.542866854651674,1.0,-1.0,1.0,-1.0
440669,82.45,19.685182159128303,-1.0,-1.0,-1.0,-1.0
440670,82.13,19.31749746360493,1.0,-1.0,1.0,-1.0
440671,82.38,19.519812768081557,-1.0,-1.0,-1.0,-1.0
440672,81.61,18.702128072558192,-1.0,-1.0,-1.0,-1.0
440673,81.39,18.434443377034818,-1.0,-1.0,-1.0,-1.0
440674,78.8,15.796758681511443,-1.0,-1.0,-1.0,-1.0
440675,77.84,14.789073985988074,-1.0,-1.0,-1.0,-1.0
440676,75.24,12.1413892904647,-1.0,-1.0,-1.0,-1.0
440677,74.85,11.703704594941328,-1.0,-1.0,-1.0,-1.0
440678,74.62,11.426019899417966,-1.0,-1.0,-1.0,-1.0
440679,71.57,8.328335203894582,-1.0,-1.0,-1.0,-1.0
440680,70.84,7.55065050837122,-1.0,-1.0,-1.0,-1.0
440681,70.36,7.022965812847843,1.0,-1.0,1.0,-1.0
440682,70.43,7.045281117324477,-1.0,-1.0,-1.0,-1.0
440683,70.32,6.887596421801093,1.0,1.0,1.0,-1.0
440684,72.8,9.31991172627773,1.0,-1.0,1.0,-1.0
440685,74.0,10.47222703075436,-1.0,-1.0,-1.0,-1.0
440686,73.22,9.64454233523099,-1.0,-1.0,-1.0,-1.0
440687,71.86,8.236857639707615,1.0,-1.0,1.0,-1.0
440688,73.25,9.579172944184243,1.0,-1.0,1.0,-1.0
440689,74.49,10.771488248660868,-1.0,-1.0,-1.0,-1.0
440690,73.79,10.023803553137512,-1.0,-1.0,1.0,-1.0
440691,71.63,7.816118857614128,1.0,-1.0,1.0,-1.0
440692,72.32,8.458434162090754,1.0,-1.0,1.0,-1.0
440693,73.12,9.210749466567393,-1.0,-1.0,-1.0,-1.0
440694,72.34,8.383064771044019,1.0,-1.0,1.0,-1.0
440695,74.23,10.225380075520649,1.0,-1.0,1.0,-1.0
440696,75.15,11.097695379997274,1.0,-1.0,1.0,-1.0
440697,76.65,12.550010684473904,-1.0,-1.0,-1.0,1.0
440698,73.03,8.882325988950528,1.0,-1.0,1.0,-1.0
440699,74.03,9.834641293427154,-1.0,-1.0,-1.0,-1.0
440700,73.55,9.306956597903778,-1.0,-1.0,1.0,-1.0
440701,73.04,8.749271902380428,1.0,-1.0,1.0,-1.0
440702,74.25,9.911587206857051,1.0,-1.0,1.0,-1.0
440703,74.47,10.083902511333676,1.0,-1.0,1.0,-1.0
440704,74.74,10.306217815810301,1.0,-1.0,1.0,-1.0
440705,74.82,10.338533120286924,-1.0,-1.0,1.0,-1.0
440706,74.43,9.900848424763566,1.0,-1.0,1.0,-1.0
440707,74.55,9.973163729240184,-1.0,-1.0,-1.0,-1.0
440708,74.06,9.435479033716817,-1.0,-1.0,-1.0,-1.0
440709,71.56,6.887794338193443,-1.0,-1.0,1.0,-1.0
440710,70.27,5.5501096426700665,-1.0,1.0,-1.0,1.0
440711,70.26,5.492424947146702,-1.0,1.0,-1.0,1.0
440712,70.11,5.294740251623324,1.0,1.0,1.0,1.0
440713,71.29,6.427055556099957,1.0,1.0,1.0,1.0
440714,71.44,6.5293708605765906,-1.0,1.0,-1.0,1.0
440715,70.06,5.101686165053224,-1.0,1.0,-1.0,1.0
440716,69.27,4.264001469529845,-1.0,1.0,-1.0,1.0
440717,68.8,3.746316774006473,-1.0,1.0,-1.0,1.0
440718,67.87,2.7686320784831078,1.0,1.0,1.0,1.0
440719,67.93,2.7809473829597384,-1.0,1.0,1.0,1.0
440720,67.89,2.6932626874363588,1.0,1.0,1.0,1.0
440721,68.71,3.46557799191298,-1.0,1.0,-1.0,1.0
440722,67.06,1.767893296389616,-1.0,1.0,-1.0,1.0
440723,66.65,1.3102086008662468,1.0,1.0,1.0,1.0
440724,69.27,3.8825239053428646,1.0,1.0,1.0,1.0
440725,69.91,4.474839209819494,1.0,1.0,1.0,1.0
440726,70.68,5.1971545142961295,-1.0,1.0,-1.0,1.0
440727,69.37,3.839469818772756,-1.0,-1.0,-1.0,1.0
440728,68.77,3.1917851232493746,-1.0,1.0,-1.0,1.0
440729,68.27,2.6441004277260163,1.0,1.0,1.0,1.0
440730,68.5,2.826415732202648,1.0,1.0,1.0,1.0
440731,69.26,3.5387310366792804,-1.0,1.0,-1.0,1.0
440732,69.05,3.2810463411559,-1.0,1.0,-1.0,1.0
440733,68.79,2.9733616456325365,1.0,1.0,1.0,1.0
440734,69.0,3.1356769501091577,1.0,1.0,1.0,1.0
440735,70.73,4.817992254585789,1.0,1.0,1.0,1.0
440736,71.56,5.600307559062415,-1.0,1.0,-1.0,1.0
440737,71.49,5.482622863539035,-1.0,1.0,-1.0,1.0
440738,70.91,4.854938168015664,-1.0,1.0,-1.0,1.0
440739,69.72,3.6172534724922936,1.0,1.0,1.0,1.0
440740,71.61,5.459568776968921,-1.0,1.0,-1.0,1.0
440741,71.25,5.0518840814455634,1.0,1.0,1.0,1.0
