,Close,Target(1),Target(30),Prediction(1),Prediction(30)
446172,15.91,-1.0,1.0,-1.0,1.0
446173,15.87,-1.0,1.0,-1.0,1.0
446174,15.54,1.0,1.0,1.0,1.0
446175,15.62,-1.0,1.0,-1.0,1.0
446176,15.6,1.0,1.0,1.0,1.0
446177,15.66,1.0,1.0,1.0,1.0
446178,15.8,-1.0,1.0,-1.0,1.0
446179,15.72,-1.0,1.0,-1.0,1.0
446180,15.3,1.0,1.0,1.0,1.0
446181,15.35,-1.0,1.0,1.0,1.0
446182,15.31,1.0,1.0,1.0,1.0
446183,15.4,-1.0,1.0,-1.0,1.0
446184,15.32,1.0,1.0,1.0,1.0
446185,15.46,1.0,1.0,1.0,1.0
446186,15.48,1.0,1.0,1.0,1.0
446187,15.83,-1.0,1.0,-1.0,1.0
446188,15.8,1.0,1.0,1.0,1.0
446189,15.96,1.0,1.0,1.0,1.0
446190,16.21,1.0,1.0,1.0,1.0
446191,16.22,-1.0,1.0,-1.0,1.0
446192,16.04,-1.0,1.0,-1.0,1.0
446193,16.01,-1.0,1.0,-1.0,1.0
446194,15.86,-1.0,1.0,1.0,1.0
446195,15.82,1.0,1.0,1.0,1.0
446196,16.1,1.0,1.0,1.0,1.0
446197,16.34,-1.0,1.0,-1.0,1.0
446198,16.24,1.0,1.0,1.0,1.0
446199,16.26,1.0,1.0,1.0,1.0
446200,16.42,1.0,1.0,1.0,1.0
446201,16.54,0.0,1.0,1.0,1.0
446202,16.54,1.0,1.0,1.0,1.0
446203,16.59,1.0,1.0,1.0,1.0
446204,16.76,1.0,1.0,1.0,1.0
446205,16.88,-1.0,1.0,-1.0,1.0
446206,16.8,-1.0,1.0,-1.0,1.0
446207,16.74,1.0,1.0,1.0,1.0
446208,16.9,-1.0,1.0,-1.0,1.0
446209,16.24,1.0,1.0,-1.0,1.0
446210,16.35,1.0,1.0,1.0,1.0
446211,16.42,1.0,1.0,1.0,1.0
446212,16.73,-1.0,1.0,-1.0,1.0
446213,16.61,-1.0,-1.0,-1.0,-1.0
446214,16.6,-1.0,-1.0,1.0,-1.0
446215,16.58,1.0,1.0,1.0,1.0
446216,16.72,-1.0,1.0,-1.0,1.0
446217,16.69,-1.0,1.0,-1.0,1.0
446218,16.63,1.0,1.0,1.0,1.0
446219,16.9,1.0,1.0,1.0,1.0
446220,16.96,1.0,1.0,1.0,1.0
446221,17.08,-1.0,1.0,1.0,1.0
446222,16.94,-1.0,-1.0,-1.0,-1.0
446223,16.82,-1.0,-1.0,1.0,-1.0
446224,16.8,1.0,-1.0,1.0,1.0
446225,16.88,0.0,-1.0,0.0,-1.0
446226,16.88,1.0,-1.0,1.0,-1.0
446227,17.15,1.0,-1.0,1.0,1.0
446228,17.28,-1.0,-1.0,-1.0,1.0
446229,17.24,0.0,-1.0,0.0,-1.0
446230,17.24,1.0,-1.0,1.0,-1.0
446231,17.48,1.0,-1.0,1.0,-1.0
446232,17.67,1.0,-1.0,-1.0,-1.0
446233,17.86,-1.0,-1.0,-1.0,-1.0
446234,17.82,-1.0,-1.0,-1.0,-1.0
446235,17.68,-1.0,-1.0,-1.0,-1.0
446236,17.1,-1.0,-1.0,-1.0,-1.0
446237,16.91,1.0,-1.0,1.0,-1.0
446238,17.07,1.0,-1.0,1.0,-1.0
446239,17.1,1.0,-1.0,1.0,-1.0
446240,17.26,-1.0,-1.0,-1.0,1.0
446241,16.83,-1.0,-1.0,1.0,1.0
446242,16.75,-1.0,1.0,-1.0,1.0
446243,16.1,-1.0,1.0,-1.0,1.0
446244,15.88,1.0,1.0,1.0,1.0
446245,16.64,1.0,-1.0,1.0,-1.0
446246,16.85,1.0,-1.0,1.0,-1.0
446247,17.08,1.0,-1.0,1.0,-1.0
446248,17.12,-1.0,-1.0,1.0,-1.0
446249,17.06,1.0,-1.0,1.0,1.0
446250,17.26,-1.0,-1.0,-1.0,-1.0
446251,17.14,-1.0,-1.0,-1.0,-1.0
446252,16.77,-1.0,-1.0,1.0,-1.0
446253,16.06,-1.0,-1.0,-1.0,1.0
446254,15.9,-1.0,1.0,-1.0,1.0
446255,15.79,-1.0,1.0,-1.0,1.0
446256,15.57,1.0,1.0,1.0,1.0
446257,15.61,1.0,1.0,1.0,1.0
446258,16.03,1.0,1.0,1.0,1.0
446259,16.07,-1.0,1.0,-1.0,1.0
446260,15.78,1.0,1.0,1.0,1.0
446261,16.1,1.0,1.0,1.0,1.0
446262,16.36,-1.0,1.0,1.0,1.0
446263,15.7,1.0,1.0,1.0,1.0
446264,15.78,1.0,1.0,1.0,1.0
446265,15.85,-1.0,1.0,-1.0,1.0
446266,15.84,1.0,1.0,1.0,1.0
446267,16.18,1.0,1.0,1.0,1.0
446268,16.2,1.0,1.0,1.0,1.0
446269,16.22,1.0,1.0,1.0,1.0
446270,16.54,1.0,1.0,1.0,1.0
446271,16.78,1.0,1.0,1.0,1.0
446272,16.94,-1.0,1.0,-1.0,1.0
446273,16.77,-1.0,1.0,-1.0,1.0
446274,16.56,-1.0,1.0,-1.0,1.0
446275,16.17,-1.0,1.0,-1.0,1.0
446276,15.91,-1.0,1.0,-1.0,1.0
446277,15.9,1.0,1.0,1.0,1.0
446278,16.08,1.0,1.0,1.0,1.0
446279,16.26,-1.0,1.0,-1.0,1.0
446280,15.86,1.0,1.0,1.0,1.0
446281,15.87,-1.0,1.0,-1.0,1.0
