,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
456919,26.95,-8.583774044616721,1.0,1.0,1.0,1.0
456920,27.41,-8.16469413302892,1.0,1.0,1.0,1.0
456921,28.35,-7.265614221441119,1.0,1.0,1.0,1.0
456922,28.85,-6.806534309853313,-1.0,1.0,-1.0,1.0
456923,28.44,-7.257454398265513,-1.0,1.0,-1.0,1.0
456924,28.34,-7.398374486677714,-1.0,1.0,-1.0,1.0
456925,28.29,-7.489294575089914,-1.0,1.0,-1.0,1.0
456926,27.4,-8.420214663502115,1.0,1.0,1.0,1.0
456927,27.66,-8.201134751914314,-1.0,1.0,-1.0,1.0
456928,26.7,-9.202054840326515,1.0,1.0,1.0,1.0
456929,27.23,-8.712974928738713,1.0,1.0,1.0,1.0
456930,27.69,-8.293895017150913,1.0,1.0,1.0,1.0
456931,28.75,-7.274815105563114,1.0,1.0,1.0,1.0
456932,29.68,-6.3857351939753135,-1.0,1.0,-1.0,1.0
456933,28.95,-7.156655282387508,1.0,1.0,1.0,1.0
456934,29.5,-6.647575370799707,-1.0,1.0,-1.0,1.0
456935,29.38,-6.808495459211907,1.0,1.0,1.0,1.0
456936,29.75,-6.479415547624107,-1.0,1.0,-1.0,1.0
456937,29.21,-7.0603356360363065,1.0,1.0,-1.0,1.0
456938,29.88,-6.4312557244485085,1.0,1.0,1.0,1.0
456939,30.49,-5.862175812860709,1.0,1.0,1.0,1.0
456940,30.52,-5.873095901272907,1.0,1.0,1.0,1.0
456941,31.08,-5.3540159896851085,1.0,1.0,1.0,1.0
456942,31.6,-4.874936078097306,-1.0,1.0,-1.0,1.0
456943,30.86,-5.6558561665095075,-1.0,1.0,1.0,1.0
456944,30.61,-5.946776254921701,1.0,1.0,1.0,1.0
456945,31.1,-5.4976963433338994,1.0,1.0,1.0,1.0
456946,31.86,-4.7786164317461015,1.0,1.0,1.0,1.0
456947,31.99,-4.689536520158303,-1.0,1.0,1.0,1.0
456948,31.75,-4.970456608570501,-1.0,1.0,1.0,1.0
456949,31.2,-5.561376696982702,1.0,1.0,1.0,1.0
456950,31.87,-4.9322967853949,1.0,1.0,1.0,1.0
456951,32.1,-4.7432168738071,1.0,1.0,1.0,1.0
456952,32.55,-4.334136962219304,1.0,1.0,1.0,1.0
456953,32.95,-3.9750570506314986,-1.0,1.0,1.0,1.0
456954,32.93,-4.035977139043702,1.0,1.0,1.0,1.0
456955,32.96,-4.046897227455894,1.0,1.0,1.0,1.0
456956,33.28,-3.767817315868093,1.0,1.0,1.0,1.0
456957,33.4,-3.6887374042802965,1.0,1.0,1.0,1.0
456958,33.76,-3.3696574926924967,1.0,1.0,1.0,1.0
456959,34.4,-2.7705775811046958,1.0,1.0,1.0,1.0
456960,34.56,-2.6514976695168926,1.0,1.0,1.0,1.0
456961,34.87,-2.382417757929097,-1.0,1.0,-1.0,1.0
456962,34.85,-2.4433378463412936,1.0,1.0,1.0,1.0
456963,34.97,-2.364257934753496,-1.0,1.0,-1.0,1.0
456964,34.62,-2.7551780231656977,1.0,1.0,1.0,1.0
456965,35.24,-2.176098111577893,1.0,1.0,1.0,1.0
456966,36.47,-0.9870181999900892,1.0,1.0,1.0,1.0
456967,36.74,-0.7579382884022863,-1.0,1.0,-1.0,1.0
456968,36.4,-1.1388583768144898,1.0,1.0,1.0,1.0
456969,36.61,-0.9697784652266891,-1.0,1.0,-1.0,1.0
456970,36.5,-1.1206985536388885,-1.0,1.0,-1.0,1.0
456971,35.66,-2.001618642051092,-1.0,1.0,-1.0,1.0
456972,35.42,-2.2825387304632874,-1.0,1.0,-1.0,1.0
456973,35.05,-2.6934588188754915,1.0,1.0,1.0,1.0
456974,35.65,-2.13437890728769,1.0,1.0,1.0,1.0
456975,35.7,-2.125298995699886,1.0,1.0,-1.0,1.0
456976,36.0,-1.866219084112089,1.0,1.0,1.0,1.0
456977,36.2,-1.7071391725242862,-1.0,1.0,1.0,1.0
456978,34.86,-3.0880592609364825,1.0,1.0,1.0,1.0
456979,35.94,-2.0489793493486843,1.0,1.0,-1.0,1.0
456980,36.84,-1.1898994377608787,-1.0,1.0,-1.0,1.0
456981,36.55,-1.520819526173085,-1.0,1.0,1.0,1.0
456982,36.12,-1.9917396145852848,1.0,1.0,1.0,1.0
456983,36.17,-1.9826597029974808,-1.0,1.0,-1.0,1.0
456984,35.52,-2.6735797914096797,-1.0,1.0,-1.0,1.0
456985,35.48,-2.7544998798218856,1.0,1.0,1.0,1.0
456986,35.84,-2.435419968234079,1.0,1.0,1.0,1.0
456987,36.75,-1.5663400566462826,1.0,1.0,1.0,1.0
456988,37.07,-1.2872601450584753,1.0,1.0,1.0,1.0
456989,37.4,-0.9981802334706772,1.0,1.0,1.0,1.0
456990,37.48,-0.9591003218828787,1.0,1.0,1.0,1.0
456991,37.54,-0.9400204102950768,1.0,1.0,1.0,1.0
456992,38.59,0.06905950129272752,-1.0,1.0,-1.0,1.0
456993,37.95,-0.6118605871194731,-1.0,1.0,-1.0,-1.0
456994,35.84,-2.7627806755316726,1.0,1.0,1.0,1.0
456995,36.64,-2.0037007639438755,1.0,1.0,1.0,1.0
456996,36.7,-1.984620852356073,1.0,1.0,1.0,1.0
456997,38.17,-0.5555409407682745,-1.0,1.0,-1.0,1.0
456998,38.08,-0.686461029180478,-1.0,1.0,-1.0,1.0
456999,37.06,-1.747381117592674,1.0,1.0,1.0,1.0
457000,38.07,-0.7783012060048762,1.0,1.0,1.0,1.0
457001,39.56,0.6707787055829328,1.0,1.0,1.0,1.0
457002,39.64,0.7098586171707311,1.0,1.0,1.0,1.0
457003,39.83,0.8589385287585287,1.0,1.0,1.0,1.0
457004,40.73,1.7180184403463272,1.0,1.0,1.0,1.0
457005,40.9,1.8470983519341289,-1.0,1.0,-1.0,1.0
457006,39.69,0.5961782635219279,-1.0,1.0,-1.0,1.0
457007,39.16,0.025258175109726718,1.0,1.0,-1.0,-1.0
457008,39.19,0.014338086697527784,-1.0,1.0,1.0,1.0
457009,38.28,-0.9365820017146688,-1.0,1.0,-1.0,1.0
457010,38.09,-1.167502090126867,1.0,1.0,1.0,1.0
457011,38.99,-0.30842217853906817,-1.0,1.0,-1.0,1.0
457012,38.4,-0.9393422669512644,1.0,1.0,1.0,1.0
457013,39.67,0.2897376446365385,-1.0,1.0,-1.0,1.0
457014,39.05,-0.3711824437756661,1.0,1.0,1.0,1.0
457015,39.87,0.4078974678121341,1.0,1.0,1.0,1.0
457016,40.39,0.8869773793999371,-1.0,1.0,-1.0,-1.0
