,Close,Target(1),Target(30),Prediction(1),Prediction(30)
462323,45.74,1.0,1.0,1.0,1.0
462324,46.17,1.0,1.0,1.0,1.0
462325,46.52,0.0,1.0,0.0,1.0
462326,46.52,1.0,1.0,1.0,1.0
462327,46.92,1.0,1.0,1.0,1.0
462328,47.39,1.0,1.0,1.0,1.0
462329,47.91,-1.0,1.0,1.0,1.0
462330,47.36,-1.0,1.0,-1.0,1.0
462331,46.75,1.0,1.0,1.0,1.0
462332,46.76,-1.0,1.0,-1.0,1.0
462333,46.2,-1.0,1.0,-1.0,1.0
462334,45.98,-1.0,1.0,1.0,1.0
462335,45.97,1.0,1.0,1.0,1.0
462336,46.35,1.0,1.0,1.0,1.0
462337,46.48,1.0,1.0,1.0,1.0
462338,47.75,1.0,1.0,1.0,1.0
462339,48.74,1.0,1.0,1.0,1.0
462340,49.79,-1.0,1.0,1.0,1.0
462341,49.53,1.0,1.0,1.0,1.0
462342,50.33,1.0,1.0,1.0,1.0
462343,51.05,1.0,1.0,1.0,1.0
462344,51.7,1.0,-1.0,1.0,-1.0
462345,52.61,-1.0,-1.0,1.0,-1.0
462346,51.94,1.0,1.0,1.0,1.0
462347,52.21,-1.0,1.0,-1.0,1.0
462348,52.01,-1.0,1.0,-1.0,1.0
462349,50.98,1.0,1.0,1.0,1.0
462350,51.42,1.0,-1.0,1.0,-1.0
462351,53.07,1.0,-1.0,1.0,-1.0
462352,53.38,1.0,-1.0,1.0,-1.0
462353,53.78,-1.0,-1.0,-1.0,1.0
462354,53.42,-1.0,0.0,-1.0,1.0
462355,53.37,1.0,1.0,-1.0,1.0
462356,53.66,-1.0,1.0,-1.0,1.0
462357,53.52,1.0,1.0,1.0,1.0
462358,54.44,1.0,-1.0,1.0,-1.0
462359,54.85,-1.0,1.0,-1.0,1.0
462360,54.62,-1.0,1.0,-1.0,1.0
462361,54.41,1.0,1.0,1.0,1.0
462362,54.9,-1.0,1.0,-1.0,1.0
462363,54.38,-1.0,1.0,-1.0,-1.0
462364,54.12,-1.0,-1.0,-1.0,-1.0
462365,53.82,-1.0,-1.0,-1.0,-1.0
462366,53.64,1.0,1.0,1.0,1.0
462367,54.04,-1.0,1.0,-1.0,1.0
462368,53.25,-1.0,1.0,-1.0,1.0
462369,51.79,-1.0,1.0,-1.0,1.0
462370,51.24,1.0,1.0,1.0,1.0
462371,51.47,1.0,1.0,1.0,1.0
462372,51.99,-1.0,1.0,-1.0,1.0
462373,51.41,-1.0,1.0,1.0,1.0
462374,51.15,1.0,1.0,1.0,1.0
462375,52.22,-1.0,1.0,-1.0,1.0
462376,52.03,1.0,1.0,1.0,1.0
462377,52.23,0.0,1.0,0.0,1.0
462378,52.23,-1.0,1.0,1.0,1.0
462379,51.21,-1.0,1.0,-1.0,1.0
462380,50.52,1.0,1.0,1.0,1.0
462381,51.19,1.0,1.0,1.0,1.0
462382,51.68,1.0,1.0,1.0,1.0
462383,53.02,1.0,1.0,1.0,1.0
462384,53.42,1.0,-1.0,1.0,-1.0
462385,53.83,1.0,-1.0,1.0,-1.0
462386,54.43,-1.0,-1.0,-1.0,-1.0
462387,53.7,1.0,-1.0,1.0,-1.0
462388,54.03,1.0,-1.0,-1.0,1.0
462389,56.13,-1.0,-1.0,-1.0,-1.0
462390,55.27,1.0,-1.0,1.0,-1.0
462391,57.22,-1.0,-1.0,-1.0,-1.0
462392,56.3,-1.0,-1.0,-1.0,-1.0
462393,55.84,-1.0,-1.0,-1.0,-1.0
462394,54.0,-1.0,-1.0,-1.0,-1.0
462395,52.52,1.0,1.0,1.0,1.0
462396,55.24,1.0,-1.0,-1.0,-1.0
462397,55.97,1.0,-1.0,-1.0,-1.0
462398,56.77,-1.0,-1.0,-1.0,-1.0
462399,56.59,-1.0,-1.0,-1.0,-1.0
462400,55.86,1.0,-1.0,-1.0,-1.0
462401,56.12,-1.0,-1.0,-1.0,-1.0
462402,54.71,0.0,-1.0,0.0,-1.0
462403,54.71,-1.0,-1.0,-1.0,-1.0
462404,52.05,1.0,-1.0,1.0,-1.0
462405,53.47,-1.0,-1.0,1.0,1.0
462406,52.17,1.0,1.0,1.0,1.0
462407,53.61,1.0,-1.0,1.0,1.0
462408,53.65,1.0,-1.0,1.0,-1.0
462409,55.67,-1.0,-1.0,-1.0,-1.0
462410,54.63,-1.0,-1.0,-1.0,-1.0
462411,53.4,1.0,-1.0,1.0,1.0
462412,53.86,-1.0,-1.0,-1.0,-1.0
462413,53.53,-1.0,-1.0,-1.0,-1.0
462414,51.07,-1.0,1.0,1.0,1.0
462415,50.96,1.0,1.0,1.0,1.0
462416,51.55,-1.0,1.0,-1.0,1.0
462417,51.37,1.0,1.0,1.0,1.0
462418,52.71,1.0,1.0,1.0,1.0
462419,53.0,1.0,1.0,1.0,1.0
462420,53.25,1.0,1.0,1.0,1.0
462421,53.73,-1.0,1.0,-1.0,1.0
462422,53.6,1.0,1.0,1.0,1.0
462423,53.61,1.0,1.0,1.0,1.0
462424,53.66,-1.0,1.0,-1.0,1.0
462425,53.07,-1.0,1.0,-1.0,1.0
462426,52.07,-1.0,1.0,1.0,1.0
462427,52.0,-1.0,1.0,1.0,1.0
462428,51.72,1.0,1.0,1.0,1.0
462429,53.03,-1.0,1.0,-1.0,1.0
462430,52.12,-1.0,1.0,-1.0,1.0
462431,51.41,1.0,1.0,-1.0,1.0
462432,51.47,-1.0,1.0,-1.0,1.0
462433,51.06,-1.0,1.0,-1.0,1.0
462434,50.59,-1.0,1.0,-1.0,1.0
462435,50.1,1.0,1.0,1.0,1.0
462436,52.19,1.0,1.0,1.0,1.0
462437,53.06,1.0,1.0,1.0,1.0
462438,53.27,-1.0,1.0,-1.0,1.0
462439,52.75,1.0,1.0,1.0,1.0
462440,53.27,-1.0,1.0,-1.0,1.0
462441,52.91,-1.0,1.0,-1.0,1.0
462442,52.81,-1.0,1.0,-1.0,1.0
462443,51.37,1.0,1.0,1.0,1.0
462444,51.91,1.0,1.0,1.0,1.0
462445,53.46,-1.0,1.0,-1.0,1.0
462446,52.57,1.0,1.0,1.0,1.0
462447,54.46,1.0,1.0,1.0,-1.0
462448,54.68,1.0,1.0,-1.0,-1.0
462449,56.53,1.0,1.0,1.0,1.0
462450,56.7,-1.0,1.0,-1.0,-1.0
462451,56.52,-1.0,-1.0,-1.0,-1.0
462452,56.38,1.0,1.0,1.0,1.0
462453,56.48,1.0,1.0,1.0,1.0
462454,58.06,-1.0,-1.0,-1.0,-1.0
462455,57.45,1.0,1.0,1.0,1.0
462456,57.83,-1.0,1.0,-1.0,1.0
462457,57.09,-1.0,1.0,-1.0,1.0
462458,56.72,1.0,1.0,1.0,1.0
462459,56.92,-1.0,1.0,-1.0,1.0
462460,56.75,-1.0,1.0,-1.0,1.0
462461,55.75,-1.0,1.0,-1.0,1.0
462462,54.88,-1.0,1.0,-1.0,1.0
462463,54.75,-1.0,1.0,-1.0,1.0
462464,54.68,1.0,1.0,1.0,1.0
462465,56.07,1.0,1.0,1.0,1.0
462466,56.5,-1.0,1.0,-1.0,1.0
462467,55.12,-1.0,1.0,-1.0,1.0
462468,54.71,-1.0,1.0,1.0,1.0
462469,54.27,1.0,1.0,1.0,1.0
462470,54.45,1.0,1.0,1.0,1.0
462471,55.69,-1.0,1.0,1.0,1.0
462472,55.6,1.0,1.0,1.0,1.0
462473,56.14,-1.0,1.0,-1.0,1.0
462474,55.85,1.0,1.0,1.0,1.0
462475,56.75,1.0,1.0,1.0,1.0
462476,58.5,-1.0,1.0,-1.0,1.0
462477,58.46,1.0,1.0,1.0,1.0
462478,58.72,-1.0,1.0,-1.0,1.0
462479,57.12,-1.0,1.0,-1.0,1.0
462480,57.0,-1.0,1.0,-1.0,1.0
462481,56.49,1.0,1.0,1.0,1.0
462482,57.01,1.0,1.0,1.0,1.0
462483,58.14,-1.0,1.0,-1.0,1.0
462484,57.72,1.0,1.0,1.0,1.0
462485,58.53,1.0,1.0,1.0,1.0
462486,58.54,1.0,1.0,-1.0,1.0
462487,58.92,1.0,1.0,-1.0,1.0
462488,60.74,-1.0,1.0,-1.0,1.0
462489,58.87,-1.0,1.0,-1.0,1.0
462490,58.19,-1.0,1.0,-1.0,1.0
462491,57.01,1.0,1.0,1.0,1.0
462492,58.79,-1.0,1.0,-1.0,1.0
462493,58.29,1.0,1.0,1.0,1.0
462494,58.38,-1.0,1.0,1.0,1.0
462495,58.01,1.0,1.0,1.0,1.0
462496,58.28,1.0,1.0,1.0,1.0
462497,58.64,1.0,1.0,1.0,1.0
462498,58.91,1.0,1.0,1.0,1.0
462499,60.52,-1.0,-1.0,-1.0,-1.0
462500,60.39,-1.0,-1.0,-1.0,-1.0
462501,60.12,1.0,1.0,1.0,1.0
462502,60.16,-1.0,1.0,-1.0,1.0
462503,60.06,1.0,1.0,1.0,1.0
462504,60.43,1.0,-1.0,1.0,1.0
462505,60.5,-1.0,1.0,-1.0,1.0
462506,60.34,1.0,1.0,1.0,1.0
462507,60.51,1.0,1.0,-1.0,1.0
462508,61.49,-1.0,-1.0,-1.0,1.0
462509,60.64,1.0,1.0,1.0,1.0
462510,62.04,-1.0,1.0,-1.0,1.0
462511,61.56,1.0,1.0,1.0,1.0
462512,61.76,1.0,1.0,1.0,1.0
