,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
464190,32.4,-9.253775849051927,-1.0,1.0,-1.0,1.0
464191,31.37,-10.30609940262796,1.0,1.0,1.0,1.0
464192,31.94,-9.758422956203995,-1.0,1.0,-1.0,1.0
464193,31.09,-10.630746509780037,-1.0,1.0,-1.0,1.0
464194,30.85,-10.893070063356078,1.0,1.0,1.0,1.0
464195,31.45,-10.315393616932116,1.0,1.0,-1.0,1.0
464196,32.0,-9.787717170508152,-1.0,1.0,-1.0,1.0
464197,31.28,-10.530040724084188,-1.0,1.0,1.0,1.0
464198,30.17,-11.662364277660224,1.0,1.0,1.0,1.0
464199,31.31,-10.544687831236269,-1.0,1.0,-1.0,1.0
464200,30.58,-11.297011384812308,-1.0,1.0,-1.0,1.0
464201,30.5,-11.399334938388344,1.0,1.0,1.0,1.0
464202,30.57,-11.35165849196438,-1.0,1.0,-1.0,1.0
464203,29.97,-11.973982045540426,1.0,1.0,1.0,1.0
464204,30.85,-11.116305599116457,1.0,1.0,1.0,1.0
464205,32.0,-9.988629152692496,1.0,1.0,1.0,1.0
464206,33.68,-8.330952706268532,1.0,1.0,1.0,1.0
464207,34.06,-7.9732762598445746,-1.0,1.0,-1.0,1.0
464208,33.64,-8.415599813420613,-1.0,1.0,-1.0,1.0
464209,33.37,-8.707923366996653,1.0,1.0,1.0,1.0
464210,33.67,-8.430246920572685,1.0,1.0,1.0,1.0
464211,35.1,-7.022570474148729,1.0,1.0,1.0,1.0
464212,35.87,-6.274894027724769,-1.0,1.0,-1.0,1.0
464213,35.64,-6.527217581300802,1.0,1.0,1.0,1.0
464214,35.93,-6.259541134876842,1.0,1.0,1.0,1.0
464215,36.79,-5.421864688452885,-1.0,1.0,1.0,1.0
464216,36.3,-5.934188242028924,1.0,1.0,-1.0,1.0
464217,36.44,-5.81651179560496,1.0,1.0,1.0,1.0
464218,38.58,-3.698835349180996,1.0,1.0,1.0,1.0
464219,38.81,-3.4911589027570287,-1.0,1.0,-1.0,1.0
464220,38.6,-3.723482456333073,-1.0,1.0,-1.0,1.0
464221,38.14,-4.205806009909112,1.0,1.0,1.0,1.0
464222,38.61,-3.7581295634851486,1.0,1.0,1.0,1.0
464223,39.19,-3.200453117061187,-1.0,1.0,-1.0,1.0
464224,39.11,-3.3027766706372286,1.0,1.0,1.0,1.0
464225,40.95,-1.4851002242132625,1.0,1.0,1.0,1.0
464226,41.07,-1.3874237777893017,-1.0,1.0,-1.0,1.0
464227,40.08,-2.3997473313653397,-1.0,1.0,-1.0,1.0
464228,39.4,-3.102070884941384,1.0,1.0,1.0,1.0
464229,40.02,-2.504394438517416,-1.0,1.0,-1.0,1.0
464230,39.26,-3.286717992093457,-1.0,1.0,-1.0,1.0
464231,39.2,-3.3690415456694893,1.0,1.0,1.0,1.0
464232,39.61,-2.9813650992455365,-1.0,1.0,-1.0,1.0
464233,39.28,-3.3336886528215715,1.0,1.0,1.0,1.0
