,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
466057,27.51,4.618733009313671,-1.0,1.0,-1.0,1.0
466058,27.14,4.2158553645474415,-1.0,1.0,-1.0,1.0
466059,26.88,3.9229777197812123,-1.0,1.0,-1.0,1.0
466060,26.67,3.680100075014984,-1.0,1.0,-1.0,1.0
466061,26.23,3.2072224302487555,1.0,1.0,1.0,1.0
466062,26.56,3.5043447854825267,1.0,1.0,-1.0,1.0
466063,26.8,3.711467140716298,-1.0,1.0,-1.0,1.0
466064,26.51,3.388589495950072,-1.0,1.0,-1.0,1.0
466065,25.74,2.585711851183838,1.0,1.0,1.0,1.0
466066,26.2,3.012834206417612,-1.0,1.0,-1.0,1.0
466067,25.95,2.729956561651385,1.0,1.0,1.0,1.0
466068,26.12,2.867078916885156,1.0,1.0,1.0,1.0
466069,26.4,3.114201272118926,1.0,1.0,1.0,1.0
466070,26.66,3.3413236273526965,1.0,1.0,1.0,1.0
466071,26.84,3.488445982586469,1.0,1.0,-1.0,1.0
466072,27.12,3.735568337820244,-1.0,1.0,-1.0,1.0
466073,27.09,3.672690693054012,-1.0,1.0,-1.0,1.0
466074,27.05,3.599813048287785,1.0,1.0,-1.0,1.0
466075,27.26,3.776935403521556,1.0,1.0,1.0,1.0
466076,27.36,3.8440577587553264,-1.0,1.0,-1.0,1.0
466077,27.07,3.5211801139890966,1.0,1.0,1.0,1.0
466078,27.26,3.678302469222871,-1.0,1.0,-1.0,1.0
466079,27.0,3.385424824456642,1.0,1.0,-1.0,1.0
466080,27.11,3.4625471796904113,1.0,1.0,1.0,1.0
466081,27.22,3.5396695349241827,-1.0,1.0,-1.0,1.0
466082,26.87,3.1567918901579546,-1.0,1.0,-1.0,1.0
466083,26.72,2.9739142453917253,1.0,1.0,1.0,1.0
466084,26.99,3.2110366006254942,1.0,1.0,1.0,1.0
466085,27.87,4.05815895585927,1.0,1.0,-1.0,1.0
466086,27.9,4.05528131109304,1.0,1.0,1.0,1.0
466087,28.1,4.222403666326812,0.0,1.0,0.0,1.0
466088,28.1,4.189526021560585,1.0,1.0,1.0,1.0
466089,28.33,4.386648376794351,1.0,1.0,1.0,1.0
466090,28.7,4.723770732028125,-1.0,1.0,-1.0,1.0
466091,28.62,4.610893087261901,1.0,1.0,1.0,1.0
466092,28.8,4.758015442495669,-1.0,1.0,-1.0,1.0
466093,28.72,4.64513779772944,1.0,1.0,1.0,1.0
466094,28.74,4.632260152963209,1.0,1.0,1.0,1.0
466095,29.06,4.919382508196982,1.0,1.0,1.0,1.0
466096,29.55,5.376504863430756,1.0,1.0,1.0,1.0
466097,29.75,5.5436272186645255,-1.0,1.0,1.0,1.0
466098,29.67,5.4307495738983,1.0,1.0,1.0,1.0
466099,30.15,5.877871929132067,1.0,1.0,1.0,1.0
466100,31.09,6.78499428436584,1.0,1.0,1.0,1.0
466101,31.28,6.942116639599612,1.0,1.0,1.0,1.0
466102,31.78,7.409238994833384,-1.0,1.0,-1.0,1.0
466103,31.52,7.116361350067155,1.0,1.0,1.0,1.0
466104,32.44,8.003483705300923,1.0,1.0,1.0,1.0
466105,32.7,8.2306060605347,-1.0,1.0,-1.0,1.0
466106,32.35,7.847728415768469,1.0,1.0,1.0,1.0
466107,32.86,8.32485077100224,1.0,-1.0,1.0,-1.0
466108,33.1,8.531973126236009,-1.0,-1.0,-1.0,-1.0
466109,32.98,8.379095481469781,1.0,-1.0,-1.0,-1.0
466110,33.36,8.726217836703555,1.0,-1.0,1.0,-1.0
466111,33.91,9.243340191937321,1.0,-1.0,1.0,-1.0
466112,34.03,9.330462547171098,-1.0,-1.0,-1.0,-1.0
