,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
467923,13.78,5.745027711203202,0.0,1.0,-1.0,1.0
467924,13.78,5.731296735872076,-1.0,1.0,-1.0,1.0
467925,13.58,5.517565760540947,1.0,1.0,1.0,1.0
467926,13.6,5.523834785209818,-1.0,1.0,-1.0,1.0
467927,13.56,5.47010380987869,1.0,1.0,-1.0,1.0
467928,13.99,5.886372834547561,1.0,1.0,1.0,1.0
467929,14.78,6.662641859216433,1.0,1.0,1.0,1.0
467930,14.85,6.718910883885304,-1.0,1.0,-1.0,1.0
467931,14.5,6.3551799085541765,-1.0,1.0,-1.0,1.0
467932,14.14,5.981448933223048,-1.0,1.0,-1.0,1.0
467933,14.05,5.877717957891918,1.0,1.0,1.0,1.0
467934,14.45,6.263986982560789,1.0,1.0,1.0,1.0
467935,14.5,6.300256007229662,-1.0,1.0,-1.0,1.0
467936,13.77,5.556525031898534,1.0,1.0,1.0,1.0
467937,13.81,5.582794056567407,1.0,1.0,1.0,1.0
467938,14.0,5.7590630812362775,-1.0,1.0,-1.0,1.0
467939,13.95,5.695332105905147,-1.0,1.0,-1.0,1.0
467940,13.83,5.5616011305740205,-1.0,1.0,-1.0,1.0
467941,13.6,5.317870155242892,1.0,1.0,1.0,1.0
467942,13.62,5.3241391799117626,-1.0,1.0,-1.0,1.0
467943,13.25,4.940408204580635,1.0,1.0,1.0,1.0
467944,13.31,4.986677229249507,-1.0,1.0,-1.0,1.0
467945,13.16,4.822946253918378,1.0,1.0,1.0,1.0
467946,13.37,5.019215278587248,1.0,1.0,1.0,1.0
467947,13.97,5.60548430325612,1.0,1.0,-1.0,1.0
467948,14.02,5.641753327924992,1.0,1.0,1.0,1.0
467949,14.17,5.778022352593862,-1.0,1.0,1.0,1.0
467950,14.14,5.734291377262736,1.0,1.0,1.0,1.0
467951,14.39,5.970560401931608,1.0,1.0,-1.0,1.0
467952,14.66,6.226829426600478,1.0,1.0,1.0,1.0
467953,14.68,6.233098451269349,1.0,1.0,1.0,1.0
467954,14.86,6.39936747593822,1.0,1.0,-1.0,1.0
467955,15.12,6.645636500607091,1.0,1.0,1.0,1.0
467956,15.17,6.681905525275964,-1.0,1.0,-1.0,1.0
467957,15.15,6.648174549944836,1.0,1.0,1.0,1.0
467958,15.31,6.794443574613707,1.0,1.0,1.0,1.0
467959,15.53,7.000712599282577,-1.0,1.0,-1.0,1.0
467960,15.51,6.966981623951449,-1.0,1.0,-1.0,1.0
467961,15.0,6.443250648620322,1.0,1.0,-1.0,1.0
467962,15.23,6.659519673289193,1.0,1.0,1.0,-1.0
467963,15.48,6.8957886979580625,-1.0,-1.0,-1.0,-1.0
467964,15.17,6.572057722626934,-1.0,-1.0,-1.0,-1.0
467965,15.13,6.518326747295808,1.0,-1.0,1.0,-1.0
467966,15.19,6.564595771964678,1.0,-1.0,1.0,-1.0
467967,15.32,6.68086479663355,1.0,-1.0,1.0,-1.0
467968,15.4,6.7471338213024215,1.0,1.0,1.0,-1.0
467969,15.52,6.853402845971293,1.0,-1.0,1.0,-1.0
467970,15.81,7.1296718706401645,1.0,-1.0,1.0,-1.0
467971,16.15,7.455940895309035,1.0,-1.0,1.0,-1.0
467972,16.28,7.572209919977907,-1.0,-1.0,1.0,-1.0
467973,15.85,7.128478944646777,1.0,-1.0,1.0,-1.0
467974,15.89,7.15474796931565,1.0,-1.0,1.0,-1.0
467975,16.1,7.351016993984523,1.0,-1.0,1.0,-1.0
467976,16.11,7.347286018653393,1.0,-1.0,1.0,-1.0
467977,16.14,7.363555043322265,1.0,-1.0,1.0,-1.0
467978,16.88,8.089824067991135,1.0,-1.0,1.0,-1.0
467979,17.0,8.196093092660007,-1.0,-1.0,-1.0,-1.0
467980,16.96,8.14236211732888,1.0,-1.0,1.0,-1.0
467981,17.24,8.408631141997747,1.0,-1.0,1.0,-1.0
467982,17.49,8.64490016666662,1.0,-1.0,1.0,-1.0
467983,17.58,8.721169191335491,1.0,-1.0,1.0,-1.0
467984,18.1,9.227438216004368,1.0,-1.0,1.0,-1.0
467985,18.35,9.463707240673237,-1.0,-1.0,-1.0,-1.0
467986,18.0,9.099976265342107,-1.0,-1.0,-1.0,-1.0
467987,15.62,6.706245290010978,1.0,-1.0,1.0,-1.0
467988,16.45,7.522514314679849,1.0,-1.0,1.0,-1.0
467989,16.84,7.8987833393487215,-1.0,-1.0,-1.0,-1.0
467990,16.23,7.2750523640175935,1.0,-1.0,1.0,-1.0
467991,16.63,7.661321388686463,-1.0,-1.0,-1.0,-1.0
467992,15.75,6.767590413355336,-1.0,-1.0,-1.0,-1.0
467993,15.47,6.47385943802421,-1.0,-1.0,-1.0,-1.0
467994,14.64,5.6301284626930785,-1.0,-1.0,-1.0,-1.0
467995,13.66,4.636397487361952,1.0,-1.0,1.0,-1.0
467996,15.13,6.092666512030824,-1.0,-1.0,-1.0,-1.0
467997,15.12,6.068935536699693,1.0,-1.0,-1.0,-1.0
467998,15.6,6.535204561368567,-1.0,-1.0,-1.0,-1.0
467999,15.18,6.101473586037438,-1.0,-1.0,1.0,-1.0
468000,14.74,5.647742610706309,1.0,-1.0,-1.0,-1.0
468001,14.76,5.6540116353751815,-1.0,-1.0,-1.0,-1.0
468002,14.41,5.290280660044052,-1.0,-1.0,-1.0,-1.0
468003,14.07,4.936549684712924,-1.0,-1.0,-1.0,-1.0
468004,13.33,4.182818709381795,1.0,-1.0,1.0,-1.0
468005,13.74,4.579087734050668,-1.0,-1.0,-1.0,-1.0
468006,13.66,4.485356758719538,-1.0,-1.0,-1.0,-1.0
468007,13.53,4.341625783388408,-1.0,-1.0,-1.0,-1.0
468008,13.09,3.8878948080572813,1.0,-1.0,1.0,-1.0
468009,13.59,4.374163832726152,-1.0,-1.0,1.0,-1.0
468010,13.35,4.120432857395024,-1.0,-1.0,-1.0,-1.0
468011,12.51,3.2667018820638947,1.0,-1.0,1.0,-1.0
468012,12.9,3.642970906732767,1.0,-1.0,1.0,-1.0
468013,12.94,3.6692399314016377,-1.0,-1.0,-1.0,-1.0
468014,12.4,3.1155089560705096,-1.0,-1.0,-1.0,-1.0
468015,11.87,2.5717779807393804,-1.0,-1.0,1.0,-1.0
468016,11.7,2.388047005408252,-1.0,-1.0,-1.0,-1.0
468017,11.59,2.264316030077124,1.0,-1.0,1.0,-1.0
468018,12.37,3.0305850547459947,-1.0,-1.0,1.0,-1.0
468019,12.36,3.0068540794148664,1.0,-1.0,1.0,-1.0
468020,12.63,3.2631231040837387,1.0,-1.0,1.0,-1.0
468021,13.2,3.8193921287526087,-1.0,-1.0,-1.0,-1.0
468022,12.72,3.325661153421482,-1.0,-1.0,-1.0,-1.0
468023,12.22,2.8119301780903534,1.0,-1.0,-1.0,-1.0
468024,12.32,2.8981992027592245,1.0,-1.0,1.0,-1.0
468025,12.33,2.894468227428096,-1.0,-1.0,-1.0,-1.0
468026,11.96,2.5107372520969684,1.0,-1.0,1.0,-1.0
468027,12.1,2.6370062767658378,-1.0,-1.0,-1.0,-1.0
468028,11.69,2.213275301434709,1.0,-1.0,1.0,-1.0
468029,11.81,2.319544326103582,1.0,-1.0,1.0,-1.0
468030,11.82,2.315813350772453,-1.0,-1.0,-1.0,-1.0
468031,11.26,1.7420823754413242,-1.0,-1.0,-1.0,-1.0
468032,10.76,1.2283514001101956,1.0,-1.0,-1.0,-1.0
468033,10.83,1.2846204247790671,-1.0,-1.0,-1.0,-1.0
468034,10.7,1.140889449447938,1.0,-1.0,1.0,-1.0
468035,10.71,1.137158474116811,1.0,-1.0,1.0,-1.0
468036,11.24,1.6534274987856818,-1.0,-1.0,-1.0,-1.0
468037,11.22,1.6196965234545535,1.0,-1.0,1.0,-1.0
468038,11.51,1.895965548123426,-1.0,-1.0,-1.0,-1.0
468039,11.12,1.492234572792297,1.0,-1.0,1.0,-1.0
468040,11.43,1.7885035974611672,-1.0,-1.0,-1.0,-1.0
468041,11.17,1.5147726221300388,1.0,-1.0,1.0,-1.0
468042,11.23,1.5610416467989108,-1.0,-1.0,-1.0,-1.0
468043,10.47,0.7873106714677842,-1.0,1.0,-1.0,1.0
468044,10.32,0.6235796961366553,1.0,1.0,1.0,1.0
468045,10.62,0.9098487208055256,-1.0,-1.0,-1.0,-1.0
468046,10.21,0.4861177454743988,1.0,1.0,1.0,1.0
468047,10.8,1.06238677014327,1.0,1.0,-1.0,1.0
468048,11.42,1.6686557948121408,1.0,1.0,1.0,-1.0
468049,11.93,2.164924819481012,-1.0,-1.0,-1.0,-1.0
468050,10.53,0.7511938441498831,-1.0,1.0,1.0,1.0
468051,10.11,0.31746286881875463,-1.0,1.0,-1.0,1.0
468052,10.05,0.24373189348762736,1.0,1.0,1.0,1.0
468053,10.28,0.4600009181564975,1.0,1.0,1.0,1.0
468054,10.65,0.8162699428253699,1.0,1.0,1.0,1.0
468055,10.71,0.8625389674942419,1.0,1.0,1.0,1.0
468056,10.78,0.9188079921631118,-1.0,1.0,-1.0,1.0
468057,10.72,0.8450770168319846,1.0,1.0,-1.0,1.0
468058,10.94,1.0513460415008549,1.0,1.0,1.0,-1.0
468059,11.34,1.437615066169727,-1.0,-1.0,-1.0,-1.0
468060,11.02,1.1038840908385978,-1.0,-1.0,-1.0,-1.0
468061,10.62,0.6901531155074689,-1.0,-1.0,-1.0,-1.0
468062,10.54,0.5964221401763403,-1.0,1.0,1.0,1.0
468063,10.48,0.5226911648452129,-1.0,1.0,-1.0,1.0
468064,10.3,0.3289601895140848,1.0,1.0,1.0,1.0
468065,10.65,0.6652292141829559,1.0,1.0,1.0,1.0
468066,10.88,0.8814982388518278,-1.0,1.0,-1.0,1.0
468067,10.66,0.6477672635206986,-1.0,1.0,-1.0,1.0
468068,10.56,0.5340362881895704,-1.0,1.0,-1.0,1.0
468069,10.38,0.3403053128584421,1.0,1.0,1.0,1.0
468070,10.49,0.436574337527313,1.0,1.0,1.0,1.0
468071,10.68,0.612843362196184,-1.0,1.0,-1.0,1.0
468072,10.26,0.17911238686505548,1.0,1.0,1.0,1.0
468073,10.68,0.5853814115339269,-1.0,1.0,-1.0,1.0
468074,10.41,0.30165043620279874,1.0,1.0,1.0,1.0
468075,10.51,0.38791946087166973,1.0,1.0,1.0,1.0
468076,11.01,0.8741884855405413,1.0,1.0,1.0,1.0
468077,11.31,1.1604575102094137,1.0,-1.0,1.0,-1.0
468078,11.43,1.266726534878284,-1.0,-1.0,-1.0,-1.0
468079,10.88,0.7029955595471566,-1.0,-1.0,-1.0,-1.0
468080,10.87,0.6792645842160265,1.0,-1.0,1.0,-1.0
468081,10.94,0.7355336088848983,-1.0,1.0,-1.0,-1.0
468082,10.93,0.7118026335537699,1.0,1.0,-1.0,1.0
468083,11.27,1.0380716582226412,-1.0,-1.0,-1.0,-1.0
468084,11.11,0.8643406828915126,-1.0,-1.0,-1.0,-1.0
468085,11.0,0.7406097075603846,-1.0,-1.0,-1.0,-1.0
468086,10.95,0.6768787322292553,-1.0,-1.0,-1.0,-1.0
468087,10.94,0.6531477568981271,1.0,-1.0,1.0,-1.0
468088,11.15,0.8494167815669993,1.0,-1.0,-1.0,-1.0
