,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
469790,19.96,-8.979361500462844,-1.0,1.0,-1.0,1.0
469791,19.85,-9.091447501766368,1.0,1.0,1.0,1.0
469792,19.96,-8.983533503069893,1.0,1.0,1.0,1.0
469793,20.04,-8.905619504373416,-1.0,1.0,-1.0,1.0
469794,19.72,-9.227705505676939,1.0,1.0,1.0,1.0
469795,20.27,-8.679791506980465,1.0,1.0,1.0,1.0
469796,20.81,-8.141877508283986,1.0,1.0,1.0,1.0
469797,20.92,-8.033963509587506,-1.0,1.0,-1.0,1.0
469798,20.03,-8.926049510891033,1.0,1.0,1.0,1.0
469799,20.1,-8.858135512194554,-1.0,1.0,1.0,1.0
469800,20.06,-8.900221513498082,1.0,1.0,1.0,1.0
469801,20.51,-8.452307514801602,-1.0,1.0,-1.0,1.0
469802,20.27,-8.694393516105126,1.0,1.0,1.0,1.0
469803,20.61,-8.356479517408651,1.0,1.0,1.0,1.0
469804,20.99,-7.978565518712177,1.0,1.0,1.0,1.0
469805,21.25,-7.720651520015696,1.0,1.0,1.0,1.0
469806,21.56,-7.412737521319222,1.0,1.0,1.0,1.0
469807,21.9,-7.074823522622747,-1.0,1.0,1.0,1.0
469808,21.78,-7.196909523926267,-1.0,1.0,-1.0,1.0
469809,21.58,-7.398995525229792,1.0,1.0,1.0,1.0
469810,21.8,-7.181081526533315,1.0,1.0,1.0,1.0
469811,22.0,-6.983167527836842,1.0,1.0,-1.0,1.0
469812,22.08,-6.905253529140363,-1.0,1.0,1.0,1.0
469813,21.99,-6.997339530443888,1.0,1.0,1.0,1.0
469814,22.07,-6.919425531747412,1.0,1.0,1.0,1.0
469815,22.29,-6.701511533050933,-1.0,1.0,1.0,1.0
469816,21.94,-7.053597534354456,1.0,1.0,1.0,1.0
469817,22.06,-6.935683535657983,1.0,1.0,1.0,1.0
469818,22.5,-6.497769536961503,1.0,1.0,1.0,1.0
469819,22.59,-6.409855538265028,1.0,1.0,1.0,1.0
469820,22.6,-6.401941539568551,1.0,1.0,1.0,1.0
469821,22.89,-6.114027540872072,-1.0,1.0,-1.0,1.0
469822,22.82,-6.1861135421755975,-1.0,1.0,-1.0,1.0
469823,22.76,-6.248199543479121,1.0,1.0,1.0,1.0
469824,22.94,-6.070285544782642,1.0,1.0,1.0,1.0
469825,23.14,-5.8723715460861685,1.0,1.0,1.0,1.0
469826,23.21,-5.804457547389692,-1.0,-1.0,-1.0,-1.0
469827,23.14,-5.876543548693213,1.0,1.0,1.0,1.0
469828,23.19,-5.828629549996737,1.0,-1.0,1.0,-1.0
469829,23.27,-5.750715551300264,-1.0,-1.0,-1.0,-1.0
469830,23.22,-5.8028015526037855,-1.0,-1.0,-1.0,-1.0
469831,22.94,-6.084887553907308,-1.0,-1.0,-1.0,-1.0
469832,22.79,-6.2369735552108345,1.0,-1.0,1.0,-1.0
469833,22.83,-6.1990595565143565,1.0,-1.0,1.0,-1.0
469834,23.09,-5.94114555781788,1.0,1.0,1.0,1.0
469835,23.12,-5.913231559121402,-1.0,-1.0,-1.0,-1.0
469836,22.74,-6.29531756042493,1.0,-1.0,1.0,-1.0
469837,23.52,-5.51740356172845,-1.0,-1.0,-1.0,-1.0
469838,23.31,-5.729489563031977,-1.0,-1.0,-1.0,-1.0
469839,23.14,-5.901575564335499,1.0,-1.0,1.0,-1.0
469840,23.49,-5.553661565639022,-1.0,-1.0,-1.0,-1.0
469841,23.18,-5.865747566942545,1.0,-1.0,1.0,-1.0
469842,23.28,-5.7678335682460675,1.0,-1.0,1.0,-1.0
469843,23.46,-5.589919569549591,-1.0,-1.0,-1.0,-1.0
469844,23.32,-5.732005570853115,1.0,-1.0,1.0,-1.0
469845,23.75,-5.30409157215664,1.0,-1.0,1.0,-1.0
469846,23.84,-5.216177573460161,-1.0,-1.0,-1.0,1.0
469847,23.52,-5.538263574763687,1.0,-1.0,1.0,-1.0
469848,23.63,-5.4303495760672105,-1.0,-1.0,-1.0,-1.0
469849,23.6,-5.462435577370731,-1.0,-1.0,-1.0,-1.0
469850,23.43,-5.6345215786742555,1.0,-1.0,1.0,-1.0
469851,23.54,-5.526607579977782,1.0,-1.0,1.0,-1.0
469852,23.86,-5.2086935812813016,-1.0,-1.0,-1.0,-1.0
469853,23.28,-5.790779582584825,-1.0,-1.0,-1.0,-1.0
