,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
478884,39.71,9.936775821328187,-1.0,1.0,-1.0,1.0
478885,39.58,9.793628163935026,1.0,1.0,1.0,1.0
478886,39.8,10.000480506541868,1.0,1.0,1.0,1.0
478887,39.97,10.157332849148707,1.0,1.0,1.0,1.0
478888,40.2,10.37418519175555,-1.0,1.0,-1.0,1.0
478889,40.16,10.321037534362386,-1.0,1.0,-1.0,1.0
478890,39.2,9.347889876969235,-1.0,1.0,-1.0,-1.0
478891,39.02,9.154742219576077,-1.0,1.0,-1.0,1.0
478892,38.84,8.961594562182917,1.0,1.0,1.0,1.0
478893,39.38,9.488446904789754,1.0,1.0,1.0,1.0
478894,39.42,9.515299247396594,1.0,1.0,1.0,1.0
478895,39.5,9.582151590003432,1.0,1.0,1.0,1.0
478896,39.71,9.779003932610276,-1.0,-1.0,-1.0,-1.0
478897,39.39,9.445856275217118,-1.0,1.0,1.0,1.0
478898,38.94,8.982708617823954,1.0,1.0,1.0,1.0
478899,40.51,10.539560960430792,1.0,-1.0,1.0,-1.0
478900,40.6,10.61641330303764,1.0,-1.0,1.0,-1.0
478901,40.87,10.873265645644477,1.0,-1.0,1.0,-1.0
478902,41.1,11.090117988251322,-1.0,1.0,-1.0,1.0
478903,41.07,11.046970330858159,-1.0,1.0,-1.0,1.0
478904,40.92,10.883822673465,1.0,1.0,-1.0,1.0
478905,41.0,10.95067501607184,-1.0,1.0,-1.0,1.0
478906,40.9,10.83752735867868,-1.0,1.0,-1.0,1.0
478907,40.7,10.624379701285527,0.0,1.0,0.0,1.0
478908,40.7,10.611232043892366,-1.0,1.0,-1.0,1.0
478909,40.5,10.398084386499203,1.0,1.0,1.0,1.0
478910,40.77,10.654936729106048,1.0,-1.0,1.0,-1.0
478911,41.11,10.981789071712882,-1.0,-1.0,-1.0,-1.0
478912,41.01,10.868641414319725,1.0,-1.0,1.0,-1.0
478913,41.28,11.12549375692657,1.0,-1.0,1.0,-1.0
478914,41.87,11.702346099533406,-1.0,-1.0,-1.0,-1.0
478915,41.73,11.549198442140243,1.0,-1.0,1.0,-1.0
478916,41.86,11.666050784747087,-1.0,-1.0,-1.0,-1.0
478917,41.67,11.46290312735393,-1.0,-1.0,-1.0,-1.0
478918,41.35,11.129755469960774,1.0,-1.0,1.0,1.0
478919,41.51,11.276607812567608,1.0,-1.0,1.0,-1.0
478920,41.84,11.593460155174455,-1.0,-1.0,-1.0,-1.0
478921,41.67,11.410312497781296,1.0,-1.0,1.0,-1.0
478922,42.32,12.047164840388136,-1.0,-1.0,-1.0,-1.0
478923,39.99,9.704017182994976,1.0,-1.0,1.0,-1.0
478924,40.21,9.910869525601814,-1.0,-1.0,-1.0,-1.0
478925,39.77,9.457721868208658,-1.0,-1.0,-1.0,-1.0
478926,39.58,9.254574210815496,1.0,-1.0,1.0,-1.0
478927,40.13,9.79142655342234,-1.0,-1.0,1.0,-1.0
478928,39.93,9.578278896029179,-1.0,-1.0,-1.0,1.0
478929,39.7,9.335131238636023,1.0,-1.0,-1.0,1.0
478930,40.42,10.04198358124286,1.0,-1.0,1.0,-1.0
478931,40.84,10.448835923849703,1.0,-1.0,-1.0,-1.0
478932,41.6,11.195688266456543,1.0,-1.0,-1.0,-1.0
478933,41.78,11.362540609063384,-1.0,-1.0,-1.0,-1.0
478934,41.63,11.199392951670227,-1.0,-1.0,-1.0,-1.0
478935,41.36,10.91624529427706,-1.0,-1.0,-1.0,-1.0
478936,41.27,10.813097636883906,-1.0,-1.0,-1.0,-1.0
478937,41.2,10.729949979490748,1.0,-1.0,1.0,-1.0
478938,41.35,10.866802322097588,1.0,-1.0,1.0,-1.0
478939,42.52,12.02365466470443,-1.0,-1.0,-1.0,-1.0
478940,28.01,-2.499492992688733,-1.0,-1.0,-1.0,-1.0
478941,27.83,-2.692640650081895,1.0,-1.0,-1.0,-1.0
478942,28.06,-2.4757883074750535,-1.0,-1.0,-1.0,-1.0
478943,27.81,-2.738935964868212,-1.0,-1.0,-1.0,-1.0
478944,27.55,-3.0120836222613683,-1.0,-1.0,-1.0,-1.0
478945,27.36,-3.215231279654532,-1.0,-1.0,-1.0,-1.0
478946,27.25,-3.3383789370476897,-1.0,-1.0,-1.0,-1.0
478947,27.24,-3.36152659444085,-1.0,-1.0,-1.0,-1.0
478948,27.22,-3.394674251834008,0.0,-1.0,0.0,-1.0
478949,27.22,-3.4078219092271667,-1.0,-1.0,-1.0,-1.0
478950,27.17,-3.470969566620326,1.0,-1.0,1.0,-1.0
478951,27.45,-3.204117224013487,-1.0,-1.0,-1.0,-1.0
478952,27.42,-3.2472648814066427,-1.0,-1.0,-1.0,-1.0
478953,27.01,-3.6704125387998014,-1.0,-1.0,-1.0,-1.0
478954,27.0,-3.693560196192962,-1.0,-1.0,-1.0,-1.0
478955,26.68,-4.026707853586121,-1.0,-1.0,-1.0,-1.0
478956,26.53,-4.189855510979282,-1.0,-1.0,-1.0,-1.0
478957,26.47,-4.2630031683724425,1.0,-1.0,-1.0,-1.0
478958,26.6,-4.146150825765599,-1.0,-1.0,-1.0,-1.0
478959,26.55,-4.209298483158758,1.0,-1.0,-1.0,-1.0
478960,26.8,-3.972446140551917,-1.0,-1.0,-1.0,1.0
478961,26.28,-4.505593797945078,1.0,-1.0,1.0,-1.0
478962,26.41,-4.388741455338239,1.0,-1.0,-1.0,-1.0
478963,26.49,-4.321889112731398,-1.0,-1.0,-1.0,-1.0
478964,26.25,-4.575036770124554,-1.0,-1.0,-1.0,-1.0
478965,26.11,-4.728184427517714,-1.0,-1.0,-1.0,-1.0
478966,26.02,-4.831332084910876,-1.0,-1.0,-1.0,-1.0
478967,25.96,-4.9044797423040345,-1.0,-1.0,-1.0,-1.0
478968,25.74,-5.1376273996971955,-1.0,-1.0,-1.0,-1.0
478969,25.14,-5.750775057090352,-1.0,1.0,-1.0,1.0
478970,25.11,-5.793922714483512,1.0,1.0,1.0,1.0
478971,25.56,-5.35707037187667,1.0,1.0,1.0,1.0
478972,25.83,-5.100218029269833,-1.0,1.0,-1.0,1.0
478973,25.54,-5.4033656866629896,-1.0,1.0,-1.0,1.0
478974,25.41,-5.546513344056149,1.0,1.0,1.0,1.0
478975,25.62,-5.349661001449307,-1.0,1.0,-1.0,1.0
478976,25.51,-5.472808658842464,-1.0,1.0,-1.0,1.0
478977,25.27,-5.725956316235628,1.0,1.0,1.0,1.0
478978,25.66,-5.349103973628786,1.0,1.0,1.0,1.0
478979,25.78,-5.242251631021943,1.0,1.0,1.0,1.0
478980,25.89,-5.145399288415104,-1.0,1.0,1.0,1.0
478981,25.67,-5.378546945808259,1.0,1.0,1.0,1.0
478982,25.75,-5.311694603201424,-1.0,1.0,-1.0,1.0
478983,25.49,-5.584842260594583,1.0,1.0,1.0,1.0
478984,25.52,-5.567989917987743,1.0,1.0,1.0,1.0
478985,25.58,-5.5211375753809016,1.0,1.0,1.0,1.0
478986,25.94,-5.174285232774057,1.0,1.0,1.0,1.0
478987,26.13,-4.997432890167222,-1.0,1.0,-1.0,1.0
478988,26.04,-5.10058054756038,1.0,1.0,1.0,1.0
478989,26.1,-5.053728204953536,-1.0,1.0,-1.0,1.0
478990,26.04,-5.126875862346697,1.0,1.0,-1.0,1.0
478991,26.05,-5.130023519739853,-1.0,1.0,-1.0,1.0
478992,25.89,-5.303171177133017,1.0,1.0,1.0,1.0
478993,25.94,-5.266318834526174,1.0,1.0,-1.0,1.0
478994,26.07,-5.149466491919334,-1.0,1.0,-1.0,1.0
478995,25.76,-5.472614149312491,-1.0,1.0,-1.0,1.0
478996,25.67,-5.57576180670565,-1.0,1.0,-1.0,1.0
478997,25.38,-5.8789094640988155,-1.0,1.0,-1.0,1.0
478998,25.36,-5.912057121491972,-1.0,1.0,-1.0,1.0
478999,25.26,-6.025204778885128,1.0,1.0,1.0,1.0
479000,25.45,-5.848352436278289,1.0,1.0,1.0,1.0
479001,26.67,-4.641500093671446,-1.0,-1.0,-1.0,1.0
479002,26.64,-4.684647751064606,1.0,1.0,1.0,1.0
479003,26.74,-4.5977954084577695,-1.0,1.0,-1.0,1.0
479004,26.66,-4.690943065850926,1.0,1.0,-1.0,1.0
479005,26.68,-4.684090723244086,1.0,1.0,1.0,1.0
479006,27.05,-4.327238380637243,1.0,-1.0,1.0,-1.0
479007,27.31,-4.0803860380304044,1.0,-1.0,1.0,-1.0
479008,27.42,-3.983533695423564,1.0,-1.0,1.0,1.0
479009,27.48,-3.936681352816724,1.0,1.0,1.0,1.0
479010,27.71,-3.7198290102098817,1.0,-1.0,1.0,1.0
479011,27.82,-3.622976667603041,1.0,-1.0,1.0,1.0
479012,28.06,-3.3961243249962014,1.0,1.0,-1.0,1.0
479013,28.08,-3.38927198238936,-1.0,1.0,-1.0,1.0
479014,27.56,-3.9224196397825217,1.0,1.0,-1.0,1.0
479015,27.79,-3.7055672971756803,1.0,1.0,1.0,1.0
479016,27.83,-3.6787149545688393,-1.0,1.0,-1.0,1.0
479017,27.78,-3.7418626119619955,1.0,1.0,1.0,1.0
479018,27.81,-3.7250102693551566,1.0,1.0,1.0,1.0
479019,27.83,-3.718157926748319,-1.0,1.0,-1.0,1.0
479020,27.73,-3.831305584141475,1.0,1.0,1.0,1.0
479021,27.79,-3.784453241534635,1.0,1.0,1.0,1.0
479022,28.22,-3.367600898927794,-1.0,1.0,-1.0,1.0
479023,27.88,-3.720748556320952,1.0,1.0,1.0,1.0
479024,27.95,-3.663896213714114,1.0,1.0,1.0,1.0
479025,28.0,-3.627043871107272,1.0,1.0,1.0,1.0
479026,28.04,-3.600191528500432,-1.0,1.0,-1.0,1.0
479027,27.76,-3.893339185893588,-1.0,1.0,-1.0,1.0
479028,27.75,-3.916486843286748,-1.0,1.0,-1.0,1.0
479029,27.68,-3.9996345006799103,1.0,1.0,1.0,1.0
479030,27.75,-3.9427821580730686,-1.0,1.0,-1.0,1.0
479031,26.57,-5.135929815466226,1.0,1.0,1.0,1.0
479032,26.72,-4.999077472859387,1.0,1.0,1.0,1.0
479033,26.96,-4.772225130252544,1.0,1.0,1.0,1.0
479034,27.02,-4.725372787645707,-1.0,1.0,-1.0,1.0
479035,26.82,-4.938520445038865,-1.0,1.0,-1.0,1.0
479036,26.77,-5.001668102432023,-1.0,1.0,-1.0,1.0
479037,26.49,-5.294815759825184,1.0,1.0,1.0,1.0
479038,26.95,-4.847963417218342,1.0,1.0,1.0,1.0
479039,27.57,-4.241111074611503,1.0,1.0,-1.0,1.0
479040,27.64,-4.184258732004661,1.0,1.0,1.0,1.0
479041,27.81,-4.027406389397822,1.0,1.0,1.0,1.0
479042,28.28,-3.5705540467909778,1.0,1.0,1.0,1.0
479043,28.51,-3.3537017041841364,1.0,1.0,1.0,1.0
479044,28.52,-3.3568493615772996,1.0,1.0,1.0,1.0
479045,28.55,-3.339997018970457,1.0,1.0,1.0,1.0
479046,28.58,-3.3231446763636185,-1.0,1.0,-1.0,1.0
479047,28.43,-3.486292333756776,-1.0,1.0,1.0,1.0
479048,28.21,-3.719439991149933,1.0,1.0,1.0,1.0
479049,28.47,-3.4725876485430938,1.0,1.0,1.0,1.0
479050,28.52,-3.4357353059362548,-1.0,1.0,1.0,1.0
479051,28.41,-3.558882963329413,-1.0,1.0,-1.0,1.0
479052,28.31,-3.672030620722573,1.0,1.0,1.0,1.0
479053,28.34,-3.6551782781157303,1.0,1.0,1.0,1.0
