,Close,Target(1),Target(30),Prediction(1),Prediction(30)
480128,78.07,1.0,-1.0,1.0,-1.0
480129,78.5,-1.0,-1.0,1.0,-1.0
480130,78.13,1.0,-1.0,1.0,-1.0
480131,78.79,1.0,-1.0,1.0,-1.0
480132,79.25,-1.0,-1.0,-1.0,-1.0
480133,79.02,-1.0,-1.0,-1.0,-1.0
480134,78.63,1.0,-1.0,1.0,-1.0
480135,78.81,-1.0,-1.0,-1.0,-1.0
480136,77.59,1.0,1.0,1.0,1.0
480137,78.83,-1.0,-1.0,-1.0,-1.0
480138,78.03,1.0,-1.0,1.0,-1.0
480139,78.19,1.0,-1.0,1.0,-1.0
480140,78.5,-1.0,-1.0,1.0,-1.0
480141,76.48,1.0,1.0,1.0,-1.0
480142,76.9,-1.0,1.0,-1.0,1.0
480143,75.87,1.0,1.0,1.0,1.0
480144,76.05,1.0,1.0,-1.0,1.0
480145,76.76,-1.0,1.0,-1.0,1.0
480146,76.47,1.0,-1.0,1.0,-1.0
480147,77.67,-1.0,-1.0,-1.0,-1.0
480148,76.72,1.0,-1.0,1.0,-1.0
480149,77.61,1.0,-1.0,1.0,-1.0
480150,77.66,1.0,-1.0,1.0,-1.0
480151,78.02,1.0,-1.0,-1.0,-1.0
480152,78.67,1.0,-1.0,-1.0,-1.0
480153,78.72,-1.0,-1.0,-1.0,-1.0
480154,77.6,-1.0,-1.0,-1.0,-1.0
480155,76.61,1.0,-1.0,1.0,-1.0
480156,77.38,1.0,-1.0,1.0,-1.0
480157,78.42,-1.0,-1.0,-1.0,-1.0
480158,77.99,-1.0,-1.0,1.0,-1.0
480159,76.14,1.0,1.0,1.0,1.0
480160,76.87,1.0,-1.0,1.0,-1.0
480161,77.36,-1.0,1.0,-1.0,1.0
480162,77.18,-1.0,1.0,1.0,1.0
480163,76.39,1.0,1.0,-1.0,1.0
480164,77.13,1.0,1.0,1.0,1.0
480165,77.93,1.0,-1.0,1.0,-1.0
480166,78.08,-1.0,-1.0,1.0,-1.0
480167,77.89,1.0,-1.0,1.0,-1.0
480168,77.91,-1.0,-1.0,-1.0,-1.0
480169,77.02,-1.0,-1.0,1.0,-1.0
480170,76.49,1.0,1.0,1.0,1.0
480171,77.14,-1.0,-1.0,-1.0,1.0
480172,77.08,1.0,-1.0,-1.0,-1.0
480173,78.01,1.0,-1.0,1.0,-1.0
480174,78.5,-1.0,-1.0,-1.0,-1.0
480175,77.61,-1.0,-1.0,-1.0,-1.0
480176,76.21,1.0,-1.0,1.0,-1.0
480177,76.52,-1.0,-1.0,-1.0,-1.0
480178,75.69,-1.0,1.0,-1.0,1.0
480179,74.45,1.0,1.0,1.0,1.0
480180,75.6,1.0,-1.0,1.0,1.0
480181,75.9,-1.0,-1.0,-1.0,-1.0
480182,74.91,-1.0,1.0,-1.0,1.0
480183,74.32,1.0,1.0,1.0,1.0
480184,74.6,1.0,1.0,1.0,1.0
480185,76.21,-1.0,1.0,-1.0,1.0
480186,76.02,-1.0,1.0,-1.0,-1.0
480187,75.2,-1.0,1.0,-1.0,1.0
480188,74.86,1.0,1.0,1.0,1.0
480189,76.26,1.0,-1.0,1.0,-1.0
480190,76.42,1.0,-1.0,1.0,-1.0
480191,77.47,1.0,-1.0,1.0,-1.0
480192,78.44,1.0,-1.0,1.0,-1.0
480193,78.79,-1.0,-1.0,-1.0,-1.0
480194,78.41,-1.0,-1.0,-1.0,-1.0
480195,77.82,-1.0,-1.0,-1.0,-1.0
480196,76.57,1.0,-1.0,-1.0,-1.0
480197,77.32,-1.0,-1.0,-1.0,-1.0
480198,77.21,-1.0,-1.0,1.0,-1.0
480199,76.32,1.0,-1.0,1.0,-1.0
480200,76.7,1.0,-1.0,1.0,-1.0
480201,76.88,-1.0,-1.0,-1.0,-1.0
480202,76.83,-1.0,-1.0,-1.0,-1.0
480203,76.04,-1.0,1.0,-1.0,1.0
480204,75.46,-1.0,1.0,-1.0,1.0
480205,75.14,-1.0,1.0,1.0,1.0
480206,74.92,1.0,1.0,1.0,1.0
480207,76.16,1.0,1.0,1.0,1.0
480208,76.22,-1.0,-1.0,1.0,-1.0
480209,75.52,-1.0,1.0,-1.0,1.0
480210,75.42,1.0,1.0,1.0,1.0
480211,75.6,1.0,1.0,1.0,1.0
480212,75.71,1.0,1.0,1.0,-1.0
480213,76.72,-1.0,1.0,1.0,1.0
480214,76.71,1.0,1.0,-1.0,1.0
480215,77.21,-1.0,1.0,-1.0,1.0
480216,76.61,-1.0,1.0,-1.0,1.0
480217,75.27,1.0,1.0,1.0,1.0
480218,75.48,-1.0,1.0,-1.0,1.0
480219,75.16,-1.0,1.0,-1.0,1.0
480220,73.3,1.0,1.0,-1.0,1.0
480221,74.1,-1.0,1.0,-1.0,1.0
480222,74.08,-1.0,1.0,1.0,1.0
480223,73.81,-1.0,1.0,-1.0,1.0
480224,73.53,-1.0,1.0,-1.0,1.0
480225,73.46,-1.0,1.0,-1.0,1.0
480226,72.85,1.0,1.0,1.0,1.0
480227,73.09,1.0,1.0,1.0,1.0
480228,74.37,1.0,-1.0,1.0,-1.0
480229,75.17,1.0,-1.0,1.0,1.0
480230,75.89,1.0,-1.0,-1.0,-1.0
480231,75.95,1.0,-1.0,1.0,-1.0
480232,76.8,1.0,-1.0,1.0,1.0
480233,76.91,1.0,-1.0,1.0,-1.0
480234,77.0,-1.0,-1.0,-1.0,-1.0
480235,76.54,1.0,-1.0,-1.0,-1.0
480236,76.82,-1.0,-1.0,-1.0,-1.0
480237,76.8,-1.0,-1.0,-1.0,-1.0
480238,76.01,-1.0,-1.0,-1.0,-1.0
480239,75.66,1.0,-1.0,1.0,-1.0
480240,77.47,1.0,-1.0,1.0,-1.0
480241,77.88,1.0,-1.0,1.0,-1.0
480242,78.28,1.0,-1.0,1.0,-1.0
480243,78.39,-1.0,-1.0,1.0,-1.0
480244,78.0,-1.0,-1.0,-1.0,-1.0
480245,77.77,1.0,-1.0,1.0,-1.0
480246,78.67,-1.0,-1.0,-1.0,-1.0
480247,77.41,1.0,-1.0,1.0,-1.0
480248,77.48,1.0,-1.0,1.0,-1.0
480249,77.62,-1.0,-1.0,-1.0,-1.0
