,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
480721,36.41,-0.32669691600133177,-1.0,1.0,-1.0,1.0
480722,35.73,-1.0149822700999422,1.0,1.0,1.0,1.0
480723,36.4,-0.3532676241985442,-1.0,1.0,-1.0,1.0
480724,35.63,-1.131552978297144,-1.0,1.0,1.0,1.0
480725,35.32,-1.4498383323957498,1.0,1.0,1.0,1.0
480726,35.94,-0.838123686494356,1.0,1.0,1.0,1.0
480727,36.37,-0.4164090405929599,-1.0,1.0,-1.0,1.0
480728,34.8,-1.994694394691571,-1.0,1.0,-1.0,1.0
480729,34.73,-2.072979748790175,-1.0,1.0,-1.0,1.0
480730,34.68,-2.131265102888776,-1.0,1.0,-1.0,1.0
480731,33.64,-3.1795504569873785,1.0,1.0,1.0,1.0
480732,35.15,-1.677835811085984,-1.0,1.0,-1.0,1.0
480733,34.93,-1.9061211651845864,-1.0,1.0,-1.0,1.0
480734,34.54,-2.304406519283198,1.0,1.0,-1.0,1.0
480735,34.64,-2.2126918733817997,1.0,1.0,1.0,1.0
480736,35.06,-1.800977227480402,-1.0,1.0,-1.0,1.0
480737,34.87,-1.9992625815790104,-1.0,1.0,-1.0,1.0
480738,34.85,-2.0275479356776103,1.0,1.0,1.0,1.0
480739,35.03,-1.8558332897762144,1.0,1.0,1.0,-1.0
480740,35.27,-1.6241186438748232,-1.0,1.0,-1.0,1.0
480741,34.84,-2.0624039979734263,1.0,1.0,1.0,1.0
480742,35.59,-1.32068935207203,1.0,1.0,1.0,-1.0
480743,35.84,-1.0789747061706336,1.0,1.0,1.0,1.0
480744,36.39,-0.5372600602692401,1.0,1.0,1.0,1.0
480745,36.54,-0.3955454143678452,1.0,1.0,1.0,1.0
480746,36.79,-0.15383076846645596,-1.0,1.0,-1.0,1.0
480747,36.75,-0.20211612256505876,1.0,1.0,1.0,1.0
480748,38.11,1.1495985233363368,1.0,1.0,1.0,1.0
480749,38.92,1.951313169237736,1.0,1.0,1.0,-1.0
480750,40.9,3.9230278151391293,-1.0,1.0,-1.0,1.0
480751,40.81,3.824742461040529,1.0,1.0,1.0,1.0
480752,41.78,4.786457106941917,1.0,1.0,1.0,1.0
480753,42.32,5.3181717528433134,-1.0,1.0,1.0,1.0
480754,42.11,5.099886398744708,1.0,1.0,1.0,1.0
480755,42.25,5.231601044646106,1.0,1.0,1.0,1.0
480756,42.69,5.663315690547498,1.0,1.0,1.0,1.0
480757,43.03,5.995030336448898,-1.0,1.0,1.0,1.0
480758,42.45,5.40674498235029,-1.0,1.0,1.0,1.0
480759,41.83,4.778459628251682,-1.0,1.0,-1.0,1.0
480760,41.72,4.660174274153079,1.0,1.0,-1.0,1.0
480761,42.17,5.101888920054479,-1.0,1.0,-1.0,1.0
480762,41.92,4.843603565955874,1.0,1.0,1.0,1.0
480763,42.11,5.025318211857269,1.0,-1.0,1.0,-1.0
480764,42.26,5.167032857758656,1.0,1.0,1.0,1.0
480765,43.0,5.898747503660054,-1.0,1.0,-1.0,1.0
480766,42.87,5.760462149561447,1.0,1.0,-1.0,1.0
480767,43.34,6.2221767954628495,1.0,-1.0,1.0,-1.0
480768,44.01,6.8838914413642405,1.0,-1.0,1.0,-1.0
480769,44.95,7.815606087265642,-1.0,-1.0,-1.0,-1.0
480770,44.84,7.697320733167032,-1.0,-1.0,-1.0,-1.0
480771,44.08,6.929035379068424,1.0,-1.0,1.0,-1.0
480772,45.5,8.340750024969822,-1.0,-1.0,-1.0,-1.0
480773,45.27,8.102464670871223,1.0,-1.0,-1.0,-1.0
480774,45.63,8.454179316772617,-1.0,-1.0,-1.0,-1.0
480775,45.46,8.275893962674012,1.0,-1.0,1.0,-1.0
480776,46.43,9.237608608575409,-1.0,-1.0,-1.0,-1.0
480777,46.27,9.069323254476801,-1.0,-1.0,-1.0,-1.0
480778,45.37,8.16103790037819,1.0,-1.0,1.0,-1.0
480779,45.98,8.762752546279586,1.0,-1.0,1.0,-1.0
480780,46.95,9.724467192180988,-1.0,-1.0,-1.0,-1.0
480781,46.29,9.05618183808238,1.0,-1.0,-1.0,-1.0
480782,46.68,9.437896483983778,1.0,-1.0,1.0,-1.0
480783,47.1,9.849611129885169,-1.0,-1.0,-1.0,-1.0
480784,46.84,9.581325775786567,-1.0,-1.0,-1.0,-1.0
480785,44.3,7.033040421687957,-1.0,-1.0,-1.0,-1.0
480786,43.91,6.634755067589352,1.0,-1.0,1.0,-1.0
480787,45.62,8.33646971349075,-1.0,-1.0,-1.0,-1.0
480788,45.58,8.288184359392147,1.0,-1.0,-1.0,-1.0
480789,45.76,8.459899005293536,-1.0,-1.0,-1.0,-1.0
480790,44.48,7.171613651194932,-1.0,-1.0,-1.0,-1.0
480791,43.89,6.5733282970963325,-1.0,-1.0,-1.0,-1.0
480792,42.15,4.825042942997727,-1.0,-1.0,-1.0,1.0
480793,40.71,3.3767575888991246,1.0,1.0,-1.0,1.0
480794,44.11,6.76847223480052,-1.0,-1.0,-1.0,-1.0
480795,43.23,5.880186880701907,1.0,-1.0,1.0,-1.0
480796,43.84,6.481901526603309,-1.0,-1.0,-1.0,-1.0
480797,43.07,5.703616172504701,-1.0,-1.0,-1.0,-1.0
480798,41.32,3.9453308184060982,1.0,-1.0,1.0,-1.0
480799,41.8,4.417045464307493,-1.0,-1.0,-1.0,-1.0
480800,40.91,3.518760110208888,-1.0,-1.0,-1.0,-1.0
480801,40.52,3.1204747561102835,-1.0,-1.0,-1.0,-1.0
480802,37.88,0.4721894020116793,1.0,-1.0,1.0,-1.0
480803,39.48,2.06390404791307,-1.0,-1.0,-1.0,1.0
480804,38.61,1.1856186938144688,1.0,-1.0,1.0,-1.0
480805,39.21,1.7773333397158666,1.0,1.0,1.0,1.0
480806,39.25,1.8090479856172619,1.0,1.0,-1.0,1.0
480807,41.4,3.95076263151865,-1.0,-1.0,-1.0,-1.0
480808,40.49,3.0324772774200497,-1.0,1.0,-1.0,1.0
480809,39.84,2.3741919233214475,1.0,1.0,1.0,1.0
480810,41.58,4.105906569222839,-1.0,-1.0,-1.0,-1.0
480811,41.37,3.8876212151242338,-1.0,-1.0,-1.0,-1.0
480812,38.48,0.98933586102563,-1.0,-1.0,-1.0,-1.0
480813,37.87,0.3710505069270198,1.0,-1.0,1.0,-1.0
480814,38.9,1.3927651528284173,-1.0,-1.0,-1.0,-1.0
480815,38.87,1.3544797987298125,1.0,1.0,1.0,1.0
480816,40.68,3.156194444631211,1.0,-1.0,1.0,-1.0
480817,41.1,3.5679090905326087,-1.0,-1.0,-1.0,-1.0
480818,41.05,3.5096237364340013,1.0,-1.0,1.0,-1.0
480819,41.68,4.131338382335393,-1.0,-1.0,1.0,-1.0
480820,41.0,3.4430530282367897,1.0,-1.0,1.0,-1.0
480821,41.03,3.464767674138187,-1.0,1.0,-1.0,1.0
