,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
486954,81.95,29.67203895349689,-1.0,-1.0,-1.0,-1.0
486955,81.4,29.048865837515823,-1.0,1.0,-1.0,1.0
486956,80.79,28.365692721534764,-1.0,1.0,-1.0,1.0
486957,79.78,27.282519605553695,-1.0,1.0,-1.0,1.0
486958,79.18,26.60934648957263,1.0,1.0,-1.0,1.0
486959,80.96,28.316173373591557,1.0,1.0,1.0,1.0
486960,82.1,29.383000257610487,-1.0,1.0,1.0,1.0
486961,80.97,28.179827141629428,-1.0,1.0,-1.0,1.0
486962,78.5,25.63665402564837,1.0,1.0,1.0,1.0
486963,78.62,25.68348090966731,1.0,1.0,1.0,1.0
486964,79.61,26.600307793686238,-1.0,1.0,-1.0,1.0
486965,75.95,22.867134677705177,1.0,1.0,1.0,1.0
486966,77.41,24.253961561724104,1.0,1.0,-1.0,1.0
486967,78.05,24.82078844574304,1.0,1.0,1.0,1.0
486968,78.25,24.94761532976198,1.0,1.0,1.0,1.0
486969,79.57,26.19444221378091,1.0,1.0,1.0,1.0
486970,79.67,26.22126909779985,1.0,1.0,-1.0,1.0
486971,80.67,27.14809598181879,1.0,1.0,1.0,1.0
486972,81.51,27.91492286583773,1.0,1.0,1.0,1.0
486973,81.99,28.321749749856657,-1.0,1.0,-1.0,1.0
486974,81.49,27.748576633875594,1.0,1.0,1.0,1.0
486975,81.87,28.05540351789454,-1.0,1.0,-1.0,1.0
486976,80.96,27.072230401913462,-1.0,1.0,-1.0,1.0
486977,79.22,25.259057285932396,-1.0,1.0,-1.0,-1.0
486978,78.17,24.13588416995134,-1.0,1.0,-1.0,-1.0
486979,77.63,23.52271105397027,1.0,1.0,1.0,1.0
486980,79.38,25.199537937989213,1.0,1.0,1.0,1.0
486981,80.53,26.276364822008148,1.0,1.0,1.0,1.0
486982,82.14,27.813191706027087,1.0,1.0,1.0,1.0
486983,82.53,28.13001859004602,-1.0,1.0,-1.0,1.0
486984,81.88,27.40684547406495,1.0,1.0,-1.0,1.0
486985,82.0,27.453672358083892,1.0,1.0,1.0,1.0
486986,82.38,27.760499242102817,-1.0,1.0,-1.0,1.0
486987,82.06,27.36732612612176,-1.0,1.0,-1.0,1.0
486988,81.33,26.56415301014069,1.0,1.0,-1.0,1.0
486989,82.81,27.970979894159637,1.0,1.0,1.0,1.0
486990,89.2,34.28780677817857,-1.0,1.0,-1.0,1.0
486991,87.45,32.464633662197514,-1.0,1.0,-1.0,1.0
486992,87.41,32.35146054621644,1.0,1.0,-1.0,1.0
486993,88.98,33.84828743023538,-1.0,1.0,-1.0,1.0
486994,88.94,33.73511431425431,-1.0,1.0,-1.0,-1.0
486995,87.9,32.62194119827325,-1.0,-1.0,-1.0,-1.0
486996,84.27,28.91876808229217,-1.0,1.0,-1.0,1.0
486997,83.37,27.94559496631112,1.0,1.0,1.0,1.0
486998,84.9,29.402421850330054,-1.0,1.0,-1.0,1.0
486999,84.27,28.699248734348984,-1.0,1.0,-1.0,1.0
487000,83.55,27.906075618367918,1.0,1.0,1.0,1.0
487001,86.5,30.78290250238686,1.0,1.0,1.0,1.0
487002,86.92,31.129729386405803,-1.0,1.0,-1.0,1.0
487003,85.62,29.75655627042474,-1.0,1.0,-1.0,1.0
487004,85.59,29.653383154443674,1.0,1.0,1.0,-1.0
487005,87.25,31.24021003846261,1.0,1.0,1.0,1.0
487006,87.51,31.427036922481552,-1.0,1.0,-1.0,-1.0
487007,87.08,30.92386380650048,-1.0,1.0,-1.0,1.0
487008,86.5,30.27069069051941,1.0,1.0,1.0,1.0
487009,87.29,30.98751757453835,1.0,1.0,-1.0,1.0
487010,88.9,32.524344458557295,1.0,1.0,-1.0,1.0
487011,90.83,34.381171342576216,-1.0,1.0,-1.0,1.0
487012,89.79,33.26799822659516,1.0,1.0,1.0,1.0
487013,92.28,35.68482511061409,1.0,1.0,-1.0,1.0
487014,93.41,36.741651994633024,1.0,1.0,1.0,1.0
487015,95.94,39.19847887865196,1.0,-1.0,1.0,-1.0
487016,96.56,39.745305762670895,1.0,-1.0,1.0,-1.0
487017,97.03,40.14213264668983,-1.0,-1.0,-1.0,-1.0
