,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
489399,43.01,-31.665029236049673,1.0,-1.0,1.0,-1.0
489400,43.27,-31.39987132719893,-1.0,-1.0,-1.0,-1.0
489401,42.12,-32.544713418348195,1.0,1.0,1.0,1.0
489402,42.4,-32.259555509497474,-1.0,1.0,1.0,-1.0
489403,41.96,-32.69439760064673,-1.0,1.0,1.0,1.0
489404,41.87,-32.779239691796,-1.0,1.0,1.0,1.0
489405,41.51,-33.134081782945266,1.0,1.0,1.0,1.0
489406,41.93,-32.70892387409453,1.0,1.0,1.0,1.0
489407,43.09,-31.543765965243797,1.0,1.0,1.0,1.0
489408,43.48,-31.148608056393066,1.0,1.0,1.0,1.0
489409,43.51,-31.113450147542327,1.0,1.0,1.0,1.0
489410,44.0,-30.61829223869159,-1.0,1.0,1.0,1.0
489411,43.98,-30.633134329840864,1.0,1.0,1.0,1.0
489412,44.38,-30.227976420990124,1.0,1.0,1.0,1.0
489413,45.05,-29.552818512139396,1.0,1.0,-1.0,1.0
489414,46.2,-28.397660603288656,1.0,-1.0,1.0,-1.0
489415,47.16,-27.432502694437915,-1.0,-1.0,-1.0,-1.0
489416,45.89,-28.697344785587177,1.0,-1.0,1.0,-1.0
489417,46.22,-28.362186876736445,-1.0,-1.0,-1.0,-1.0
489418,45.83,-28.747028967885708,-1.0,-1.0,-1.0,-1.0
489419,45.14,-29.431871059034968,-1.0,-1.0,-1.0,-1.0
489420,44.36,-30.206713150184246,1.0,-1.0,1.0,-1.0
489421,44.78,-29.781555241333514,1.0,-1.0,1.0,-1.0
489422,45.92,-28.636397332482773,-1.0,-1.0,-1.0,-1.0
489423,45.36,-29.19123942363204,-1.0,-1.0,-1.0,-1.0
489424,45.32,-29.226081514781303,-1.0,-1.0,-1.0,-1.0
489425,44.66,-29.880923605930576,-1.0,-1.0,-1.0,-1.0
489426,44.11,-30.42576569707984,-1.0,1.0,-1.0,1.0
489427,42.89,-31.640607788229104,-1.0,1.0,-1.0,-1.0
489428,42.69,-31.83544987937837,1.0,1.0,1.0,1.0
489429,42.82,-31.70029197052764,1.0,1.0,1.0,1.0
489430,43.0,-31.515134061676907,-1.0,1.0,-1.0,1.0
489431,42.5,-32.00997615282617,0.0,1.0,1.0,1.0
489432,42.5,-32.004818243975436,-1.0,1.0,-1.0,1.0
489433,42.33,-32.169660335124696,1.0,1.0,1.0,1.0
489434,42.66,-31.83450242627397,-1.0,1.0,1.0,1.0
489435,42.64,-31.84934451742322,1.0,1.0,1.0,1.0
489436,43.98,-30.50418660857249,1.0,-1.0,1.0,1.0
489437,44.07,-30.409028699721752,-1.0,-1.0,-1.0,-1.0
489438,43.65,-30.82387079087102,1.0,1.0,1.0,1.0
489439,44.62,-29.848712882020287,1.0,1.0,1.0,1.0
489440,45.02,-29.44355497316955,1.0,-1.0,1.0,1.0
489441,46.1,-28.358397064318808,1.0,-1.0,1.0,-1.0
489442,46.84,-27.61323915546808,-1.0,-1.0,-1.0,-1.0
489443,46.58,-27.86808124661735,-1.0,-1.0,-1.0,-1.0
489444,45.4,-29.042923337766613,-1.0,-1.0,-1.0,-1.0
489445,44.9,-29.537765428915886,-1.0,-1.0,-1.0,-1.0
489446,44.46,-29.97260752006515,-1.0,-1.0,-1.0,-1.0
489447,43.6,-30.82744961121441,-1.0,-1.0,-1.0,-1.0
489448,43.26,-31.16229170236368,1.0,1.0,-1.0,1.0
489449,43.34,-31.077133793512946,-1.0,-1.0,-1.0,-1.0
489450,43.1,-31.311975884662207,-1.0,-1.0,-1.0,-1.0
489451,42.68,-31.726817975811482,1.0,-1.0,1.0,-1.0
489452,43.05,-31.35166006696075,-1.0,-1.0,-1.0,-1.0
489453,42.58,-31.816502158110012,-1.0,1.0,-1.0,1.0
489454,42.31,-32.081344249259274,1.0,1.0,1.0,1.0
