,Close,Target(1),Target(30),Prediction(1),Prediction(30)
490398,44.94,1.0,1.0,1.0,1.0
490399,45.45,-1.0,1.0,-1.0,1.0
490400,44.6,-1.0,1.0,-1.0,1.0
490401,44.48,1.0,1.0,-1.0,1.0
490402,45.37,1.0,1.0,1.0,1.0
490403,46.46,1.0,-1.0,-1.0,-1.0
490404,46.96,-1.0,-1.0,-1.0,-1.0
490405,46.71,-1.0,-1.0,-1.0,-1.0
490406,46.56,1.0,1.0,1.0,1.0
490407,46.69,1.0,1.0,1.0,1.0
490408,47.58,1.0,-1.0,1.0,-1.0
490409,48.02,1.0,-1.0,1.0,-1.0
490410,49.28,1.0,-1.0,1.0,-1.0
490411,49.51,1.0,-1.0,1.0,1.0
490412,49.63,-1.0,-1.0,-1.0,-1.0
490413,49.59,1.0,-1.0,1.0,-1.0
490414,50.0,1.0,-1.0,1.0,-1.0
490415,50.44,1.0,-1.0,1.0,-1.0
490416,50.73,1.0,-1.0,1.0,-1.0
490417,51.18,1.0,-1.0,1.0,-1.0
490418,51.94,-1.0,-1.0,1.0,-1.0
490419,50.57,1.0,-1.0,1.0,-1.0
490420,51.33,-1.0,-1.0,-1.0,1.0
490421,48.29,1.0,-1.0,1.0,-1.0
490422,49.72,-1.0,-1.0,-1.0,-1.0
490423,48.24,-1.0,-1.0,-1.0,-1.0
490424,47.6,-1.0,-1.0,-1.0,-1.0
490425,47.38,1.0,-1.0,1.0,-1.0
490426,49.69,1.0,-1.0,1.0,-1.0
490427,50.13,1.0,-1.0,1.0,-1.0
490428,50.24,-1.0,-1.0,-1.0,-1.0
490429,50.17,-1.0,-1.0,-1.0,-1.0
490430,49.08,-1.0,-1.0,-1.0,-1.0
490431,48.2,-1.0,-1.0,1.0,-1.0
490432,46.3,-1.0,-1.0,-1.0,-1.0
490433,45.15,-1.0,-1.0,-1.0,-1.0
490434,44.79,1.0,1.0,1.0,1.0
490435,46.2,1.0,-1.0,1.0,-1.0
490436,46.67,1.0,-1.0,1.0,-1.0
490437,46.81,-1.0,-1.0,-1.0,-1.0
490438,46.15,-1.0,-1.0,-1.0,-1.0
490439,45.01,1.0,-1.0,1.0,1.0
490440,45.47,-1.0,-1.0,-1.0,-1.0
490441,45.21,-1.0,-1.0,-1.0,1.0
490442,44.75,1.0,-1.0,1.0,-1.0
490443,45.63,-1.0,1.0,-1.0,1.0
490444,44.13,-1.0,1.0,-1.0,1.0
490445,44.08,1.0,1.0,1.0,1.0
490446,44.26,-1.0,1.0,1.0,1.0
490447,44.05,1.0,1.0,1.0,1.0
490448,44.16,1.0,1.0,1.0,1.0
490449,44.64,1.0,1.0,1.0,1.0
490450,44.9,-1.0,1.0,-1.0,1.0
490451,44.87,1.0,1.0,1.0,1.0
490452,45.08,-1.0,-1.0,-1.0,-1.0
490453,44.85,-1.0,1.0,-1.0,1.0
490454,44.79,1.0,-1.0,1.0,1.0
490455,45.71,-1.0,-1.0,-1.0,-1.0
490456,45.41,-1.0,1.0,1.0,1.0
490457,44.69,1.0,1.0,1.0,1.0
490458,44.85,1.0,1.0,1.0,1.0
490459,45.05,-1.0,1.0,-1.0,1.0
490460,44.73,-1.0,1.0,-1.0,1.0
490461,44.64,1.0,1.0,1.0,1.0
490462,45.04,-1.0,1.0,-1.0,1.0
490463,44.63,1.0,1.0,1.0,1.0
490464,44.89,1.0,1.0,1.0,1.0
490465,45.39,1.0,1.0,1.0,1.0
490466,45.81,1.0,1.0,1.0,1.0
490467,45.82,-1.0,1.0,-1.0,1.0
490468,43.89,-1.0,1.0,-1.0,1.0
490469,42.86,1.0,1.0,1.0,1.0
490470,43.52,1.0,1.0,1.0,1.0
490471,44.08,1.0,1.0,1.0,1.0
490472,44.23,1.0,1.0,1.0,1.0
490473,46.54,-1.0,1.0,-1.0,1.0
490474,46.3,1.0,1.0,1.0,1.0
490475,47.49,-1.0,1.0,-1.0,1.0
490476,47.19,-1.0,1.0,-1.0,1.0
490477,47.15,-1.0,1.0,-1.0,1.0
490478,46.87,1.0,1.0,1.0,1.0
490479,47.11,-1.0,1.0,-1.0,1.0
490480,45.55,-1.0,1.0,-1.0,1.0
490481,45.44,-1.0,1.0,-1.0,1.0
490482,44.99,-1.0,1.0,-1.0,1.0
490483,44.9,-1.0,1.0,-1.0,1.0
490484,44.27,-1.0,1.0,-1.0,1.0
490485,44.08,1.0,1.0,-1.0,1.0
490486,50.08,-1.0,-1.0,-1.0,-1.0
490487,49.68,1.0,-1.0,1.0,-1.0
490488,50.63,1.0,-1.0,1.0,-1.0
490489,50.68,-1.0,-1.0,-1.0,-1.0
490490,49.49,-1.0,-1.0,-1.0,-1.0
490491,48.91,1.0,1.0,1.0,-1.0
490492,49.16,-1.0,1.0,-1.0,1.0
490493,48.54,1.0,1.0,1.0,1.0
490494,49.71,1.0,-1.0,1.0,-1.0
490495,49.79,-1.0,-1.0,1.0,-1.0
490496,49.36,1.0,-1.0,1.0,-1.0
490497,50.14,1.0,-1.0,1.0,-1.0
490498,50.75,1.0,-1.0,1.0,-1.0
490499,52.14,1.0,-1.0,1.0,-1.0
490500,52.18,-1.0,-1.0,-1.0,-1.0
490501,51.54,1.0,-1.0,-1.0,-1.0
490502,52.41,-1.0,-1.0,-1.0,-1.0
490503,51.6,-1.0,-1.0,-1.0,-1.0
490504,51.02,1.0,-1.0,1.0,-1.0
490505,52.23,-1.0,-1.0,-1.0,-1.0
490506,51.86,1.0,-1.0,1.0,1.0
