,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
490895,19.91,4.551847736145255,1.0,1.0,1.0,1.0
490896,19.96,4.57361269589029,1.0,1.0,1.0,1.0
490897,19.99,4.5753776556353225,1.0,1.0,1.0,1.0
490898,20.01,4.567142615380359,-1.0,1.0,1.0,1.0
490899,19.86,4.388907575125391,1.0,1.0,1.0,1.0
490900,19.88,4.380672534870426,1.0,1.0,1.0,1.0
490901,19.93,4.4024374946154605,-1.0,1.0,-1.0,1.0
490902,19.78,4.224202454360496,-1.0,1.0,-1.0,1.0
490903,19.42,3.8359674141055295,-1.0,1.0,-1.0,1.0
490904,19.38,3.767732373850564,-1.0,1.0,1.0,1.0
490905,19.37,3.7294973335956,1.0,1.0,1.0,1.0
490906,19.46,3.791262293340633,-1.0,1.0,-1.0,1.0
490907,19.38,3.683027253085666,1.0,1.0,-1.0,1.0
490908,19.61,3.8847922128307,1.0,1.0,1.0,1.0
490909,19.63,3.876557172575735,1.0,1.0,1.0,1.0
490910,19.73,3.9483221323207705,1.0,1.0,1.0,1.0
490911,19.78,3.970087092065805,1.0,1.0,1.0,1.0
490912,20.0,4.161852051810838,1.0,1.0,1.0,1.0
490913,20.16,4.293617011555874,1.0,1.0,-1.0,1.0
490914,20.27,4.375381971300906,-1.0,1.0,-1.0,1.0
490915,19.97,4.0471469310459405,1.0,1.0,1.0,1.0
490916,20.26,4.308911890790977,1.0,1.0,1.0,1.0
490917,20.41,4.430676850536012,-1.0,1.0,-1.0,1.0
490918,20.12,4.1124418102810445,1.0,1.0,1.0,1.0
490919,20.27,4.2342067700260815,1.0,1.0,1.0,1.0
490920,20.33,4.265971729771113,1.0,1.0,1.0,1.0
490921,20.35,4.2577366895161495,1.0,1.0,1.0,1.0
490922,20.42,4.299501649261185,1.0,1.0,1.0,1.0
490923,20.71,4.561266609006218,1.0,1.0,1.0,1.0
490924,20.74,4.563031568751249,1.0,1.0,1.0,1.0
490925,20.77,4.5647965284962835,1.0,1.0,1.0,1.0
490926,20.82,4.586561488241318,-1.0,1.0,-1.0,1.0
490927,20.37,4.108326447986354,-1.0,1.0,-1.0,1.0
490928,20.2,3.9100914077313895,1.0,1.0,1.0,1.0
490929,20.37,4.051856367476424,-1.0,1.0,-1.0,1.0
490930,20.36,4.013621327221458,-1.0,1.0,-1.0,1.0
490931,20.33,3.9553862869664895,1.0,1.0,1.0,1.0
490932,20.46,4.057151246711527,-1.0,1.0,-1.0,1.0
490933,20.34,3.90891620645656,1.0,1.0,1.0,1.0
490934,20.44,3.9806811662015953,1.0,1.0,-1.0,1.0
490935,20.52,4.032446125946628,-1.0,1.0,-1.0,1.0
490936,20.47,3.9542110856916612,1.0,1.0,1.0,1.0
490937,20.52,3.9759760454366986,-1.0,1.0,-1.0,1.0
490938,20.42,3.847741005181735,1.0,1.0,1.0,1.0
490939,20.65,4.049505964926766,0.0,1.0,0.0,1.0
490940,20.65,4.0212709246718,-1.0,1.0,-1.0,1.0
490941,20.52,3.863035884416835,1.0,1.0,1.0,1.0
490942,20.83,4.1448008441618684,1.0,1.0,1.0,1.0
490943,20.92,4.206565803906905,1.0,1.0,1.0,1.0
490944,20.98,4.238330763651938,-1.0,1.0,1.0,1.0
490945,20.79,4.020095723396974,-1.0,1.0,-1.0,1.0
490946,20.68,3.881860683142008,1.0,-1.0,1.0,1.0
490947,20.93,4.103625642887042,1.0,1.0,1.0,1.0
490948,21.1,4.245390602632078,0.0,-1.0,1.0,-1.0
490949,21.1,4.217155562377112,1.0,-1.0,1.0,-1.0
490950,21.16,4.2489205221221455,-1.0,-1.0,-1.0,-1.0
490951,21.1,4.160685481867181,-1.0,-1.0,-1.0,-1.0
490952,20.87,3.902450441612213,1.0,-1.0,1.0,-1.0
490953,20.93,3.9342154013572497,1.0,-1.0,1.0,-1.0
490954,21.17,4.145980361102286,1.0,-1.0,1.0,-1.0
490955,21.46,4.407745320847318,-1.0,-1.0,-1.0,-1.0
490956,21.28,4.199510280592353,1.0,-1.0,-1.0,-1.0
490957,21.36,4.251275240337385,-1.0,-1.0,-1.0,-1.0
490958,21.25,4.11304020008242,-1.0,-1.0,-1.0,-1.0
490959,20.92,3.754805159827456,1.0,-1.0,1.0,-1.0
490960,21.02,3.8265701195724873,1.0,-1.0,1.0,-1.0
490961,21.18,3.958335079317522,1.0,-1.0,1.0,-1.0
490962,21.19,3.940100039062561,1.0,-1.0,1.0,-1.0
490963,21.4,4.121864998807592,-1.0,-1.0,-1.0,-1.0
490964,21.26,3.9536299585526287,-1.0,-1.0,-1.0,-1.0
490965,21.22,3.8853949182976604,-1.0,-1.0,1.0,-1.0
490966,20.75,3.387159878042695,1.0,-1.0,1.0,-1.0
490967,20.76,3.3689248377877306,1.0,-1.0,1.0,-1.0
490968,21.58,4.160689797532761,1.0,-1.0,1.0,-1.0
490969,21.59,4.142454757277797,1.0,-1.0,1.0,1.0
490970,21.67,4.1942197170228335,-1.0,-1.0,-1.0,-1.0
490971,21.63,4.1259846767678665,-1.0,-1.0,-1.0,-1.0
490972,21.61,4.077749636512902,1.0,-1.0,-1.0,-1.0
490973,21.7,4.139514596257936,-1.0,-1.0,-1.0,-1.0
490974,21.37,3.7812795560029713,-1.0,-1.0,-1.0,-1.0
490975,21.31,3.693044515748003,-1.0,-1.0,-1.0,-1.0
490976,20.67,3.02480947549304,1.0,-1.0,1.0,-1.0
490977,21.01,3.3365744352380737,-1.0,-1.0,-1.0,-1.0
490978,20.85,3.148339394983108,-1.0,1.0,-1.0,-1.0
490979,20.4,2.6701043547281387,-1.0,1.0,-1.0,1.0
490980,20.16,2.4018693144731778,1.0,1.0,1.0,1.0
490981,20.54,2.7536342742182107,-1.0,1.0,-1.0,1.0
490982,20.29,2.4753992339632447,-1.0,1.0,1.0,1.0
490983,20.12,2.2771641937082805,1.0,1.0,1.0,1.0
490984,20.38,2.5089291534533125,1.0,1.0,1.0,1.0
490985,20.59,2.6906941131983477,-1.0,1.0,1.0,1.0
490986,20.02,2.092459072943381,-1.0,1.0,-1.0,1.0
490987,19.82,1.864224032688416,1.0,1.0,1.0,1.0
490988,20.2,2.2159889924334517,-1.0,1.0,-1.0,1.0
490989,20.05,2.0377539521784875,1.0,1.0,1.0,1.0
490990,20.32,2.279518911923521,-1.0,1.0,-1.0,1.0
490991,20.08,2.0112838716685535,-1.0,1.0,1.0,1.0
