,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
492762,77.9,11.816966592372735,-1.0,-1.0,-1.0,-1.0
492763,77.88,11.767979251606818,-1.0,-1.0,-1.0,-1.0
492764,77.81,11.6689919108409,-1.0,-1.0,-1.0,-1.0
492765,77.34,11.17000457007498,-1.0,-1.0,-1.0,-1.0
492766,75.88,9.681017229309065,1.0,-1.0,1.0,-1.0
492767,77.31,11.082029888543149,-1.0,-1.0,-1.0,-1.0
492768,77.28,11.023042547777235,1.0,-1.0,-1.0,-1.0
492769,77.54,11.254055207011321,-1.0,-1.0,-1.0,-1.0
492770,75.48,9.165067866245394,1.0,-1.0,1.0,-1.0
492771,76.74,10.396080525479476,-1.0,-1.0,-1.0,-1.0
492772,74.21,7.837093184713553,1.0,-1.0,1.0,-1.0
492773,75.72,9.318105843947649,-1.0,-1.0,-1.0,-1.0
492774,75.57,9.13911850318172,1.0,-1.0,1.0,-1.0
492775,75.76,9.300131162415823,1.0,-1.0,1.0,-1.0
492776,75.82,9.331143821649887,1.0,-1.0,1.0,-1.0
492777,77.29,10.77215648088398,1.0,-1.0,1.0,-1.0
492778,78.1,11.553169140118058,-1.0,-1.0,-1.0,-1.0
492779,77.83,11.254181799352141,-1.0,-1.0,-1.0,-1.0
492780,77.75,11.145194458586232,-1.0,-1.0,-1.0,-1.0
492781,76.79,10.156207117820317,-1.0,-1.0,-1.0,-1.0
492782,75.9,9.237219777054392,-1.0,-1.0,-1.0,-1.0
492783,74.04,7.348232436288483,-1.0,-1.0,-1.0,-1.0
492784,71.18,4.4592450955225615,-1.0,-1.0,-1.0,-1.0
492785,70.65,3.900257754756652,1.0,-1.0,-1.0,-1.0
492786,71.24,4.461270413990717,1.0,-1.0,1.0,-1.0
492787,71.77,4.962283073224796,1.0,-1.0,1.0,-1.0
492788,73.25,6.413295732458892,1.0,-1.0,-1.0,-1.0
492789,74.15,7.284308391692973,-1.0,-1.0,-1.0,-1.0
492790,72.5,5.60532105092706,-1.0,-1.0,-1.0,-1.0
492791,72.02,5.096333710161133,-1.0,-1.0,-1.0,-1.0
492792,71.28,4.3273463693952285,-1.0,-1.0,-1.0,-1.0
492793,71.11,4.128359028629306,1.0,-1.0,1.0,-1.0
492794,71.61,4.599371687863382,1.0,-1.0,-1.0,-1.0
492795,72.35,5.310384347097468,-1.0,-1.0,-1.0,-1.0
492796,71.83,4.761397006331548,1.0,-1.0,1.0,-1.0
492797,72.08,4.9824096655656405,1.0,-1.0,1.0,-1.0
492798,72.26,5.1334223247997235,-1.0,-1.0,-1.0,-1.0
492799,72.03,4.8744349840337975,1.0,-1.0,1.0,-1.0
492800,72.2,5.0154476432678905,1.0,-1.0,-1.0,-1.0
492801,72.67,5.456460302501967,1.0,-1.0,1.0,-1.0
492802,72.96,5.71747296173605,1.0,-1.0,1.0,-1.0
492803,73.11,5.838485620970133,-1.0,-1.0,-1.0,-1.0
492804,71.25,3.94949828020421,-1.0,-1.0,1.0,-1.0
492805,71.1,3.7705109394382967,-1.0,-1.0,1.0,-1.0
492806,71.06,3.701523598672382,1.0,-1.0,1.0,-1.0
492807,71.41,4.0225362579064665,1.0,-1.0,1.0,-1.0
492808,71.42,4.003548917140549,-1.0,-1.0,-1.0,-1.0
492809,70.83,3.3845615763746224,-1.0,-1.0,-1.0,-1.0
492810,70.44,2.965574235608713,-1.0,-1.0,-1.0,-1.0
492811,69.8,2.2965868948427897,-1.0,-1.0,-1.0,-1.0
492812,68.09,0.5575995540768872,1.0,-1.0,1.0,-1.0
492813,68.86,1.2986122133109603,-1.0,-1.0,-1.0,-1.0
