,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
496125,38.76,7.056584835449073,-1.0,-1.0,-1.0,-1.0
496126,38.58,6.858896630839379,1.0,-1.0,1.0,-1.0
496127,38.64,6.90120842622969,-1.0,-1.0,-1.0,-1.0
496128,37.97,6.213520221619997,1.0,-1.0,1.0,-1.0
496129,38.18,6.405832017010307,1.0,-1.0,1.0,-1.0
496130,38.3,6.508143812400615,1.0,-1.0,1.0,-1.0
496131,39.54,7.730455607790925,-1.0,-1.0,-1.0,-1.0
496132,38.72,6.892767403181236,-1.0,-1.0,-1.0,-1.0
496133,37.1,5.255079198571547,-1.0,1.0,-1.0,1.0
496134,36.73,4.867390993961852,-1.0,1.0,-1.0,1.0
496135,36.59,4.709702789352168,-1.0,1.0,-1.0,1.0
496136,36.47,4.572014584742469,-1.0,1.0,-1.0,1.0
496137,36.2,4.284326380132782,1.0,1.0,1.0,-1.0
496138,36.88,4.946638175523091,1.0,1.0,1.0,1.0
496139,36.92,4.968949970913401,1.0,1.0,1.0,1.0
496140,37.66,5.691261766303704,-1.0,0.0,-1.0,-1.0
496141,37.34,5.353573561694019,-1.0,1.0,-1.0,1.0
496142,37.29,5.285885357084325,1.0,1.0,1.0,1.0
496143,37.49,5.468197152474637,-1.0,-1.0,-1.0,-1.0
496144,37.12,5.080508947864941,-1.0,1.0,-1.0,1.0
496145,36.51,4.452820743255252,1.0,1.0,-1.0,1.0
496146,36.93,4.855132538645564,-1.0,-1.0,-1.0,-1.0
496147,36.57,4.477444334035873,1.0,1.0,1.0,1.0
496148,36.88,4.7697561294261845,1.0,-1.0,-1.0,-1.0
496149,37.27,5.1420679248164936,1.0,-1.0,1.0,-1.0
496150,37.39,5.2443797202068,-1.0,-1.0,-1.0,-1.0
496151,37.21,5.046691515597112,-1.0,-1.0,-1.0,-1.0
496152,37.14,4.959003310987413,1.0,-1.0,-1.0,-1.0
496153,37.49,5.291315106377724,-1.0,-1.0,1.0,-1.0
496154,37.35,5.133626901768032,-1.0,-1.0,-1.0,-1.0
496155,37.04,4.805938697158339,-1.0,-1.0,-1.0,-1.0
496156,36.67,4.418250492548651,1.0,-1.0,1.0,-1.0
496157,36.88,4.6105622879389605,1.0,-1.0,1.0,-1.0
496158,37.16,4.872874083329265,1.0,-1.0,1.0,-1.0
496159,37.75,5.4451858787195775,1.0,-1.0,1.0,-1.0
496160,37.94,5.6174976741098845,1.0,-1.0,1.0,-1.0
496161,38.08,5.7398094695001936,1.0,-1.0,-1.0,-1.0
496162,38.45,6.092121264890507,-1.0,-1.0,-1.0,-1.0
496163,38.06,5.684433060280818,1.0,-1.0,-1.0,-1.0
496164,38.3,5.906744855671121,1.0,-1.0,-1.0,-1.0
496165,38.5,6.0890566510614335,-1.0,-1.0,-1.0,-1.0
496166,38.01,5.581368446451742,-1.0,-1.0,-1.0,-1.0
496167,37.78,5.333680241842053,-1.0,-1.0,-1.0,-1.0
496168,37.43,4.965992037232361,1.0,-1.0,1.0,-1.0
496169,37.89,5.408303832622671,-1.0,-1.0,-1.0,-1.0
496170,37.66,5.160615628012977,-1.0,-1.0,-1.0,-1.0
496171,37.35,4.832927423403291,1.0,-1.0,1.0,-1.0
496172,37.71,5.1752392187935925,-1.0,-1.0,-1.0,-1.0
496173,37.39,4.8375510141839015,-1.0,-1.0,-1.0,-1.0
496174,37.25,4.67986280957421,-1.0,-1.0,-1.0,-1.0
496175,36.79,4.202174604964519,-1.0,-1.0,-1.0,-1.0
496176,36.78,4.17448640035483,1.0,-1.0,1.0,-1.0
496177,36.97,4.346798195745137,-1.0,-1.0,-1.0,-1.0
496178,36.85,4.209109991135449,-1.0,-1.0,-1.0,-1.0
496179,36.7,4.04142178652576,-1.0,-1.0,-1.0,-1.0
496180,36.21,3.533733581916067,-1.0,-1.0,-1.0,-1.0
496181,36.04,3.3460453773063747,-1.0,-1.0,-1.0,-1.0
496182,35.71,2.998357172696686,1.0,-1.0,1.0,-1.0
496183,35.9,3.1706689680869933,1.0,-1.0,1.0,-1.0
496184,36.06,3.3129807634773063,-1.0,-1.0,-1.0,-1.0
496185,34.74,1.975292558867615,-1.0,-1.0,-1.0,-1.0
496186,33.77,0.9876043542579254,1.0,-1.0,1.0,-1.0
496187,35.46,2.6599161496482324,-1.0,-1.0,-1.0,-1.0
496188,35.0,2.182227945038541,-1.0,-1.0,1.0,-1.0
496189,34.48,1.6445397404288469,1.0,-1.0,1.0,-1.0
496190,34.56,1.7068515358191618,1.0,1.0,1.0,1.0
496191,35.25,2.3791633312094693,-1.0,-1.0,-1.0,-1.0
496192,35.04,2.1514751265997702,1.0,-1.0,1.0,-1.0
496193,35.27,2.363786921990084,1.0,1.0,1.0,1.0
496194,35.81,2.886098717380392,-1.0,1.0,-1.0,-1.0
