,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
499859,29.32,10.26944629377132,1.0,-1.0,-1.0,-1.0
499860,29.5,10.428013965919462,1.0,-1.0,1.0,-1.0
499861,29.67,10.576581638067617,-1.0,-1.0,-1.0,-1.0
499862,29.16,10.04514931021576,-1.0,1.0,-1.0,1.0
499863,28.18,9.043716982363904,1.0,1.0,1.0,1.0
499864,28.41,9.252284654512053,1.0,1.0,1.0,1.0
499865,28.46,9.280852326660199,1.0,1.0,1.0,1.0
499866,28.63,9.429419998808342,-1.0,1.0,-1.0,1.0
499867,27.84,8.617987670956488,1.0,1.0,1.0,1.0
499868,28.02,8.776555343104636,-1.0,1.0,-1.0,1.0
499869,27.72,8.455123015252779,1.0,1.0,-1.0,1.0
499870,28.01,8.723690687400929,-1.0,1.0,-1.0,1.0
499871,27.99,8.682258359549074,1.0,1.0,1.0,-1.0
499872,28.12,8.790826031697224,-1.0,1.0,-1.0,1.0
499873,27.93,8.579393703845366,1.0,1.0,1.0,-1.0
499874,28.35,8.977961375993512,1.0,1.0,1.0,1.0
499875,28.59,9.196529048141661,1.0,1.0,1.0,1.0
499876,28.97,9.555096720289805,-1.0,1.0,-1.0,1.0
499877,28.77,9.33366439243795,-1.0,1.0,-1.0,1.0
499878,28.73,9.272232064586095,-1.0,1.0,-1.0,1.0
499879,28.33,8.850799736734242,1.0,1.0,-1.0,1.0
499880,28.63,9.129367408882386,-1.0,1.0,-1.0,1.0
499881,28.6,9.077935081030537,1.0,1.0,1.0,1.0
499882,28.67,9.126502753178684,1.0,1.0,1.0,1.0
499883,29.02,9.455070425326827,-1.0,1.0,-1.0,1.0
499884,28.46,8.873638097474974,0.0,1.0,0.0,1.0
499885,28.46,8.852205769623119,1.0,1.0,1.0,1.0
499886,28.63,9.000773441771265,-1.0,1.0,-1.0,1.0
499887,28.59,8.939341113919411,1.0,1.0,-1.0,1.0
499888,28.63,8.957908786067556,1.0,1.0,1.0,1.0
499889,28.8,9.106476458215708,1.0,1.0,-1.0,1.0
499890,28.97,9.25504413036385,1.0,1.0,1.0,1.0
499891,29.18,9.443611802511995,1.0,1.0,1.0,1.0
499892,29.27,9.51217947466014,1.0,1.0,-1.0,1.0
499893,29.29,9.510747146808287,1.0,1.0,1.0,1.0
499894,29.37,9.569314818956435,1.0,1.0,1.0,1.0
499895,29.63,9.80788249110458,-1.0,1.0,-1.0,1.0
499896,29.61,9.766450163252728,-1.0,1.0,1.0,1.0
499897,29.59,9.725017835400873,1.0,1.0,1.0,1.0
499898,29.6,9.71358550754902,1.0,1.0,1.0,1.0
499899,29.88,9.972153179697164,-1.0,-1.0,-1.0,-1.0
