,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
501763,2.11,0.5254241872303298,1.0,1.0,1.0,1.0
501765,2.3,0.7127244197392133,-1.0,1.0,-1.0,1.0
501778,2.3,0.6951759310469559,-1.0,1.0,-1.0,1.0
501792,2.5,0.8762775586091405,-1.0,-1.0,-1.0,-1.0
501806,2.41,0.7673791861713248,-1.0,-1.0,-1.0,-1.0
501814,2.21,0.5565801162068587,1.0,1.0,1.0,1.0
501815,2.24,0.5852302324613006,0.0,1.0,0.0,1.0
501819,2.16,0.4998306974790676,1.0,1.0,1.0,1.0
501869,2.41,0.6823365102011545,-1.0,-1.0,-1.0,-1.0
501900,2.52,0.7504901140888485,-1.0,-1.0,-1.0,-1.0
501905,2.34,0.5637406953610569,-1.0,-1.0,-1.0,-1.0
501907,2.38,0.6010409278699405,-1.0,-1.0,-1.0,-1.0
501936,2.26,0.4418942992487509,-1.0,1.0,-1.0,1.0
501965,2.33,0.4727476706275617,-1.0,1.0,-1.0,1.0
501981,2.48,0.6011495306986294,1.0,-1.0,1.0,-1.0
501982,2.49,0.6097996469530713,-1.0,0.0,-1.0,0.0
502107,1.88,-0.16893582124171136,-1.0,-1.0,-1.0,-1.0
502115,1.79,-0.269734891206177,1.0,-1.0,1.0,-1.0
502116,1.8,-0.2610847749517353,-1.0,-1.0,-1.0,-1.0
502176,1.61,-0.5320777996852308,-1.0,1.0,-1.0,1.0
502195,1.72,-0.447725590850838,1.0,1.0,1.0,1.0
502196,1.74,-0.4290754745963963,1.0,1.0,1.0,1.0
502216,1.9,-0.29607314950756125,-1.0,-1.0,-1.0,-1.0
502222,2.02,-0.1841724519809107,-1.0,-1.0,-1.0,-1.0
502251,1.68,-0.5633190806021007,-1.0,1.0,-1.0,1.0
502252,1.64,-0.6046689643476586,-1.0,1.0,-1.0,1.0
502256,1.69,-0.5600684993298919,-1.0,-1.0,-1.0,-1.0
502262,1.79,-0.4681678018032409,-1.0,-1.0,1.0,-1.0
502263,1.77,-0.4895176855487997,-1.0,-1.0,-1.0,-1.0
502264,1.73,-0.5308675692943576,0.0,-1.0,0.0,-1.0
502265,1.73,-0.532217453039916,0.0,-1.0,0.0,-1.0
502266,1.73,-0.5335673367854743,1.0,-1.0,-1.0,-1.0
502267,1.74,-0.5249172205310326,-1.0,-1.0,-1.0,-1.0
502268,1.71,-0.5562671042765911,1.0,-1.0,1.0,-1.0
502269,1.72,-0.5476169880221489,-1.0,-1.0,-1.0,-1.0
502270,1.7,-0.5689668717677072,-1.0,1.0,-1.0,1.0
502271,1.68,-0.5903167555132656,-1.0,1.0,-1.0,1.0
502272,1.66,-0.6116666392588239,1.0,1.0,-1.0,1.0
502273,1.69,-0.5830165230043822,-1.0,1.0,-1.0,1.0
502274,1.68,-0.5943664067499401,1.0,1.0,1.0,1.0
502275,1.69,-0.5857162904954989,1.0,1.0,1.0,1.0
502276,1.71,-0.5670661742410568,-1.0,1.0,-1.0,1.0
502277,1.69,-0.5884160579866151,0.0,1.0,0.0,1.0
502278,1.69,-0.5897659417321734,-1.0,1.0,-1.0,1.0
502279,1.68,-0.6011158254777318,1.0,1.0,1.0,1.0
502280,1.73,-0.5524657092232901,-1.0,0.0,-1.0,-1.0
502281,1.71,-0.5738155929688481,-1.0,1.0,-1.0,1.0
502282,1.65,-0.6351654767144064,-1.0,1.0,-1.0,1.0
502283,1.6,-0.6865153604599645,1.0,1.0,1.0,1.0
502284,1.63,-0.6578652442055231,-1.0,1.0,-1.0,1.0
502285,1.54,-0.7492151279510813,1.0,1.0,1.0,1.0
502286,1.55,-0.7405650116966391,1.0,1.0,-1.0,1.0
502287,1.58,-0.7119148954421979,-1.0,1.0,-1.0,1.0
502288,1.5,-0.7932647791877558,1.0,1.0,1.0,1.0
502289,1.58,-0.7146146629333141,-1.0,1.0,-1.0,1.0
502290,1.56,-0.7359645466788725,1.0,1.0,1.0,1.0
502291,1.59,-0.7073144304244308,-1.0,1.0,-1.0,1.0
502292,1.57,-0.7286643141699891,-1.0,1.0,-1.0,1.0
502293,1.55,-0.750014197915547,-1.0,1.0,-1.0,1.0
502294,1.48,-0.8213640816611054,-1.0,1.0,-1.0,1.0
502295,1.47,-0.8327139654066638,1.0,1.0,1.0,1.0
502296,1.5,-0.8040638491522221,-1.0,1.0,-1.0,1.0
502297,1.47,-0.8354137328977804,1.0,1.0,1.0,1.0
502298,1.54,-0.7667636166433383,1.0,1.0,1.0,1.0
502299,1.67,-0.6381135003888971,1.0,1.0,1.0,1.0
502300,1.82,-0.4894633841344549,-1.0,-1.0,-1.0,-1.0
502301,1.74,-0.5708132678800133,1.0,-1.0,1.0,1.0
502302,1.75,-0.5621631516255716,-1.0,-1.0,-1.0,-1.0
502303,1.72,-0.5935130353711295,0.0,-1.0,0.0,-1.0
502304,1.72,-0.5948629191166883,1.0,-1.0,1.0,-1.0
502305,1.73,-0.5862128028622462,-1.0,-1.0,-1.0,-1.0
502306,1.72,-0.5975626866078045,1.0,-1.0,1.0,-1.0
502307,1.88,-0.43891257035336295,-1.0,-1.0,-1.0,-1.0
502308,1.77,-0.5502624540989212,1.0,-1.0,1.0,-1.0
502309,1.81,-0.5116123378444795,-1.0,-1.0,-1.0,-1.0
502310,1.73,-0.5929622215900374,1.0,-1.0,-1.0,-1.0
502311,1.75,-0.5743121053355962,1.0,-1.0,1.0,-1.0
502312,1.76,-0.5656619890811541,1.0,-1.0,1.0,-1.0
502313,1.8,-0.5270118728267124,1.0,-1.0,-1.0,-1.0
502314,1.93,-0.3983617565722708,-1.0,-1.0,-1.0,-1.0
502315,1.88,-0.4497116403178287,1.0,-1.0,1.0,-1.0
502316,1.96,-0.3710615240633873,1.0,-1.0,1.0,-1.0
502317,2.13,-0.2024114078089454,1.0,-1.0,1.0,-1.0
502318,2.33,-0.0037612915545035537,-1.0,-1.0,-1.0,-1.0
502319,2.04,-0.2951111753000619,0.0,-1.0,0.0,-1.0
502320,2.04,-0.29646105904562026,-1.0,-1.0,-1.0,-1.0
502321,1.95,-0.38781094279117867,-1.0,-1.0,-1.0,-1.0
502322,1.92,-0.4191608265367366,-1.0,-1.0,-1.0,-1.0
502323,1.91,-0.4305107102822954,-1.0,-1.0,-1.0,-1.0
502324,1.81,-0.5318605940278531,-1.0,-1.0,-1.0,-1.0
502325,1.73,-0.6132104777734115,-1.0,1.0,-1.0,-1.0
502326,1.68,-0.6645603615189699,1.0,1.0,-1.0,1.0
502327,1.72,-0.6259102452645278,-1.0,1.0,-1.0,1.0
502328,1.68,-0.6672601290100866,0.0,1.0,0.0,1.0
502329,1.68,-0.6686100127556445,0.0,1.0,-1.0,1.0
502330,1.68,-0.6699598965012028,-1.0,1.0,-1.0,1.0
502331,1.66,-0.6913097802467612,-1.0,1.0,1.0,1.0
502332,1.61,-0.7426596639923193,1.0,1.0,1.0,1.0
502333,1.71,-0.6440095477378778,-1.0,1.0,0.0,1.0
502334,1.59,-0.7653594314834355,-1.0,1.0,-1.0,1.0
502335,1.58,-0.7767093152289943,1.0,1.0,1.0,1.0
502336,1.64,-0.7180591989745524,1.0,1.0,1.0,1.0
502337,1.65,-0.7094090827201107,1.0,1.0,1.0,1.0
502338,1.66,-0.7007589664656689,-1.0,1.0,-1.0,1.0
502339,1.62,-0.7421088502112267,-1.0,1.0,-1.0,1.0
502340,1.6,-0.7634587339567855,-1.0,1.0,-1.0,1.0
502341,1.59,-0.7748086177023434,1.0,1.0,1.0,1.0
502342,1.68,-0.6861585014479019,-1.0,1.0,-1.0,1.0
502343,1.62,-0.7475083851934601,1.0,1.0,-1.0,1.0
502344,1.65,-0.7188582689390186,1.0,1.0,1.0,1.0
502345,1.7,-0.6702081526845769,0.0,1.0,0.0,1.0
502346,1.7,-0.6715580364301348,1.0,1.0,1.0,1.0
502347,1.75,-0.6229079201756931,-1.0,1.0,1.0,1.0
502348,1.72,-0.6542578039212514,-1.0,1.0,-1.0,1.0
502349,1.7,-0.6756076876668098,1.0,1.0,1.0,1.0
502350,1.77,-0.6069575714123681,-1.0,1.0,-1.0,-1.0
502351,1.74,-0.638307455157926,1.0,1.0,0.0,1.0
502352,1.8,-0.5796573389034847,0.0,1.0,0.0,1.0
502353,1.8,-0.5810072226490426,-1.0,1.0,-1.0,-1.0
502354,1.79,-0.5923571063946009,1.0,1.0,-1.0,1.0
502355,1.81,-0.5737069901401592,1.0,1.0,1.0,1.0
502356,1.82,-0.5650568738857176,0.0,1.0,0.0,1.0
502357,1.82,-0.5664067576312759,1.0,1.0,1.0,1.0
502358,1.86,-0.5277566413768338,1.0,1.0,1.0,1.0
502359,1.88,-0.5091065251223923,-1.0,1.0,-1.0,1.0
502360,1.8,-0.5904564088679505,1.0,1.0,1.0,1.0
502361,1.82,-0.5718062926135088,0.0,1.0,0.0,1.0
502362,1.82,-0.5731561763590671,-1.0,1.0,-1.0,-1.0
502363,1.8,-0.594506060104625,0.0,1.0,0.0,1.0
502364,1.8,-0.5958559438501838,-1.0,1.0,-1.0,1.0
502365,1.76,-0.6372058275957417,0.0,1.0,0.0,1.0
502366,1.76,-0.6385557113413001,-1.0,1.0,-1.0,1.0
502367,1.73,-0.6699055950868584,-1.0,1.0,-1.0,1.0
502368,1.71,-0.6912554788324168,1.0,1.0,1.0,1.0
502369,1.82,-0.5826053625779749,1.0,1.0,1.0,1.0
502370,1.93,-0.473955246323533,1.0,1.0,-1.0,-1.0
502371,1.95,-0.4553051300690914,1.0,1.0,-1.0,1.0
502372,2.0,-0.4066550138146496,-1.0,1.0,-1.0,1.0
502373,1.99,-0.4180048975602079,-1.0,1.0,-1.0,1.0
502374,1.93,-0.4793547813057664,1.0,1.0,1.0,1.0
502375,2.06,-0.3507046650513241,-1.0,1.0,-1.0,-1.0
502376,2.04,-0.3720545487968829,1.0,1.0,1.0,1.0
502377,2.07,-0.343404432542441,1.0,1.0,1.0,1.0
502378,2.2,-0.214754316287999,-1.0,-1.0,-1.0,-1.0
502379,2.09,-0.3261042000335577,1.0,-1.0,1.0,-1.0
502380,2.16,-0.2574540837791157,-1.0,-1.0,-1.0,-1.0
502381,2.08,-0.3388039675246741,-1.0,-1.0,-1.0,-1.0
502382,2.01,-0.4101538512702323,-1.0,-1.0,-1.0,-1.0
502383,1.92,-0.5015037350157905,0.0,-1.0,0.0,-1.0
502384,1.92,-0.5028536187613488,-1.0,1.0,-1.0,-1.0
502385,1.91,-0.5142035025069072,1.0,-1.0,1.0,-1.0
502386,1.97,-0.4555533862524654,1.0,-1.0,1.0,-1.0
502387,2.0,-0.4269032699980233,-1.0,-1.0,-1.0,-1.0
502388,1.98,-0.4482531537435817,0.0,-1.0,-1.0,-1.0
502389,1.98,-0.44960303748914004,-1.0,0.0,-1.0,0.0
502390,1.97,-0.4609529212346983,1.0,1.0,-1.0,-1.0
502391,1.98,-0.4523028049802567,1.0,-1.0,1.0,-1.0
502392,1.99,-0.443652688725815,1.0,-1.0,1.0,-1.0
502393,2.02,-0.4150025724713733,-1.0,-1.0,-1.0,-1.0
502394,2.0,-0.4363524562169312,0.0,-1.0,0.0,-1.0
502395,2.0,-0.4377023399624895,1.0,-1.0,1.0,-1.0
502396,2.01,-0.4290522237080481,1.0,-1.0,-1.0,-1.0
502397,2.03,-0.4104021074536064,1.0,-1.0,1.0,-1.0
502398,2.05,-0.3917519911991647,1.0,-1.0,1.0,-1.0
502399,2.08,-0.3631018749447224,1.0,-1.0,1.0,-1.0
502400,2.09,-0.3544517586902809,1.0,-1.0,1.0,-1.0
502401,2.11,-0.3358016424358392,1.0,-1.0,1.0,-1.0
502402,2.14,-0.3071515261813973,-1.0,-1.0,-1.0,-1.0
502403,2.13,-0.31850140992695586,1.0,-1.0,1.0,-1.0
