,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
508953,52.8,-16.68545671367967,-1.0,1.0,-1.0,1.0
508954,52.12,-17.34483507685217,-1.0,1.0,-1.0,1.0
508955,51.87,-17.574213440024653,-1.0,1.0,-1.0,1.0
508956,51.07,-18.35359180319716,1.0,1.0,1.0,1.0
508957,51.08,-18.322970166369654,1.0,1.0,1.0,1.0
508958,52.5,-16.882348529542142,1.0,1.0,1.0,1.0
508959,53.42,-15.941726892714641,-1.0,1.0,-1.0,1.0
508960,52.49,-16.851105255887127,-1.0,1.0,-1.0,1.0
508961,50.38,-18.94048361905963,1.0,1.0,1.0,1.0
508962,50.75,-18.54986198223212,-1.0,1.0,-1.0,1.0
508963,50.13,-19.149240345404614,1.0,1.0,1.0,1.0
508964,51.52,-17.7386187085771,-1.0,1.0,-1.0,1.0
508965,50.9,-18.337997071749605,1.0,1.0,1.0,-1.0
508966,51.52,-17.6973754349221,-1.0,1.0,-1.0,1.0
508967,51.26,-17.936753798094596,1.0,1.0,1.0,1.0
508968,52.7,-16.47613216126709,-1.0,1.0,-1.0,1.0
508969,52.48,-16.67551052443958,1.0,1.0,1.0,1.0
508970,53.06,-16.074888887612072,1.0,1.0,1.0,1.0
508971,53.5,-15.614267250784565,-1.0,1.0,-1.0,1.0
508972,53.15,-15.943645613957068,-1.0,1.0,-1.0,1.0
508973,51.78,-17.29302397712955,1.0,1.0,1.0,1.0
508974,51.9,-17.152402340302054,-1.0,1.0,-1.0,1.0
508975,51.55,-17.481780703474556,1.0,1.0,1.0,1.0
508976,51.9,-17.111159066647037,1.0,1.0,1.0,1.0
508977,53.25,-15.740537429819538,1.0,1.0,-1.0,1.0
508978,53.66,-15.30991579299203,-1.0,1.0,1.0,1.0
508979,53.44,-15.509294156164527,-1.0,1.0,-1.0,1.0
508980,53.21,-15.718672519337012,1.0,1.0,-1.0,1.0
508981,53.9,-15.008050882509515,-1.0,1.0,-1.0,1.0
508982,53.7,-15.187429245682011,-1.0,1.0,-1.0,1.0
508983,53.57,-15.296807608854499,1.0,1.0,1.0,1.0
508984,53.94,-14.906185972027005,-1.0,1.0,-1.0,1.0
508985,53.79,-15.035564335199487,1.0,1.0,-1.0,1.0
508986,54.0,-14.804942698371987,-1.0,1.0,-1.0,1.0
508987,53.71,-15.074321061544476,1.0,1.0,-1.0,1.0
508988,54.68,-14.083699424716976,1.0,1.0,1.0,1.0
508989,55.62,-13.123077787889464,-1.0,1.0,-1.0,1.0
508990,55.42,-13.302456151061962,-1.0,1.0,-1.0,1.0
