,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
510820,63.06,0.2248038297245856,1.0,1.0,1.0,1.0
510821,63.28,0.4985685397615924,-1.0,1.0,-1.0,1.0
510822,63.09,0.3623332497986098,-1.0,1.0,-1.0,1.0
510823,61.23,-1.4439020401643816,1.0,1.0,1.0,1.0
510824,61.88,-0.7401373301273608,-1.0,1.0,-1.0,1.0
510825,61.63,-0.9363726200903456,-1.0,1.0,-1.0,1.0
510826,60.0,-2.512607910053333,-1.0,1.0,-1.0,1.0
510827,59.35,-3.108843200016324,-1.0,1.0,-1.0,1.0
510828,57.94,-4.4650784899793114,1.0,1.0,1.0,1.0
510829,58.1,-4.2513137799422935,1.0,1.0,1.0,-1.0
510830,58.48,-3.8175490699052834,1.0,1.0,1.0,-1.0
510831,59.57,-2.6737843598682645,1.0,1.0,1.0,-1.0
510832,68.36,6.169980350168751,1.0,1.0,1.0,1.0
510833,70.1,7.963745060205753,1.0,-1.0,1.0,1.0
510834,70.24,8.157509770242767,-1.0,-1.0,-1.0,-1.0
510835,68.56,6.531274480279792,1.0,1.0,1.0,1.0
510836,68.62,6.645039190316807,-1.0,1.0,-1.0,1.0
510837,66.77,4.848803900353816,1.0,1.0,1.0,1.0
510838,66.84,4.972568610390837,1.0,1.0,1.0,1.0
510839,69.82,8.006333320427835,-1.0,1.0,-1.0,1.0
510840,68.04,6.280098030464862,1.0,1.0,1.0,1.0
510841,74.07,12.363862740501867,-1.0,-1.0,-1.0,-1.0
510842,72.4,10.747627450538893,1.0,1.0,1.0,1.0
510843,73.69,12.0913921605759,1.0,1.0,1.0,-1.0
510844,76.06,14.51515687061292,-1.0,-1.0,-1.0,-1.0
510845,71.72,10.228921580649924,1.0,1.0,1.0,1.0
510846,72.71,11.272686290686936,1.0,1.0,1.0,1.0
510847,74.5,13.116451000723956,-1.0,-1.0,-1.0,-1.0
510848,72.26,10.930215710760978,1.0,1.0,1.0,1.0
510849,73.89,12.613980420797985,-1.0,-1.0,-1.0,-1.0
510850,73.05,11.827745130835,-1.0,-1.0,-1.0,-1.0
510851,72.89,11.72150984087201,-1.0,-1.0,-1.0,-1.0
510852,71.05,9.93527455090902,-1.0,1.0,-1.0,1.0
510853,70.39,9.32903926094604,1.0,1.0,1.0,1.0
510854,71.31,10.302803970983057,1.0,1.0,1.0,1.0
510855,71.63,10.676568681020065,-1.0,-1.0,-1.0,-1.0
510856,70.33,9.430333391057083,1.0,1.0,1.0,1.0
510857,70.85,10.004098101094087,1.0,-1.0,1.0,-1.0
510858,71.53,10.737862811131107,-1.0,-1.0,-1.0,-1.0
510859,70.67,9.931627521168123,1.0,-1.0,1.0,-1.0
510860,71.38,10.695392231205133,-1.0,-1.0,-1.0,-1.0
510861,71.35,10.719156941242149,-1.0,-1.0,-1.0,-1.0
510862,70.45,9.87292165127917,-1.0,-1.0,-1.0,-1.0
510863,69.94,9.41668636131618,-1.0,1.0,-1.0,-1.0
510864,69.66,9.190451071353188,1.0,1.0,1.0,-1.0
510865,70.55,10.134215781390203,1.0,-1.0,1.0,-1.0
510866,72.04,11.677980491427226,1.0,-1.0,-1.0,-1.0
510867,72.68,12.371745201464245,-1.0,-1.0,1.0,-1.0
510868,72.63,12.375509911501247,1.0,-1.0,1.0,-1.0
510869,73.32,13.119274621538253,-1.0,-1.0,-1.0,-1.0
510870,72.28,12.133039331575274,1.0,-1.0,1.0,-1.0
510871,72.39,12.296804041612289,1.0,-1.0,1.0,-1.0
510872,74.28,14.240568751649306,-1.0,-1.0,-1.0,-1.0
510873,74.14,14.15433346168632,-1.0,-1.0,-1.0,-1.0
510874,73.65,13.718098171723339,1.0,-1.0,1.0,-1.0
510875,73.8,13.921862881760347,1.0,-1.0,-1.0,-1.0
510876,74.06,14.235627591797359,1.0,-1.0,-1.0,-1.0
510877,74.11,14.339392301834373,-1.0,-1.0,-1.0,-1.0
510878,73.7,13.983157011871393,-1.0,-1.0,-1.0,-1.0
510879,73.59,13.926921721908407,-1.0,-1.0,-1.0,-1.0
510880,72.05,12.440686431945414,-1.0,-1.0,-1.0,-1.0
