,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
512178,18.35,6.935145288433287,-1.0,1.0,-1.0,1.0
512179,18.1,6.655247136121592,1.0,1.0,-1.0,1.0
512180,18.35,6.875348983809893,-1.0,1.0,-1.0,1.0
512181,18.24,6.735450831498192,-1.0,1.0,-1.0,1.0
512182,17.99,6.4555526791864954,1.0,1.0,-1.0,1.0
512183,18.42,6.855654526874801,1.0,1.0,-1.0,1.0
512184,18.58,6.985756374563102,1.0,1.0,1.0,1.0
512185,19.06,7.4358582222514045,-1.0,1.0,-1.0,1.0
512186,18.36,6.7059600699397075,1.0,1.0,1.0,1.0
512187,18.8,7.116061917628012,-1.0,1.0,-1.0,1.0
512188,18.05,6.336163765316313,1.0,1.0,1.0,1.0
512189,18.2,6.456265613004616,-1.0,1.0,-1.0,1.0
512190,18.09,6.31636746069292,1.0,1.0,1.0,1.0
512191,18.15,6.34646930838122,1.0,1.0,1.0,1.0
512192,18.29,6.456571156069523,1.0,1.0,1.0,1.0
512193,18.55,6.6866730037578295,1.0,1.0,1.0,1.0
512194,18.57,6.6767748514461305,1.0,1.0,1.0,1.0
512195,18.61,6.686876699134432,1.0,1.0,1.0,1.0
512196,18.63,6.676978546822735,-1.0,1.0,-1.0,1.0
512197,18.53,6.54708039451104,-1.0,1.0,-1.0,1.0
512198,18.44,6.4271822421993425,1.0,1.0,-1.0,1.0
512199,18.6,6.557284089887644,1.0,1.0,1.0,-1.0
512200,18.67,6.5973859375759485,-1.0,1.0,-1.0,1.0
512201,18.63,6.527487785264249,1.0,1.0,1.0,-1.0
512202,18.8,6.667589632952553,1.0,1.0,1.0,1.0
512203,19.25,7.087691480640856,1.0,1.0,1.0,1.0
512204,19.44,7.247793328329159,1.0,1.0,1.0,1.0
512205,19.75,7.527895176017458,1.0,1.0,1.0,1.0
512206,20.03,7.777997023705764,1.0,1.0,1.0,1.0
512207,20.07,7.788098871394067,1.0,1.0,1.0,1.0
512208,20.15,7.838200719082367,1.0,1.0,1.0,1.0
512209,20.22,7.878302566770669,1.0,1.0,1.0,1.0
512210,20.24,7.868404414458972,1.0,1.0,1.0,1.0
512211,20.3,7.898506262147277,-1.0,1.0,-1.0,1.0
512212,20.28,7.84860810983558,-1.0,1.0,1.0,1.0
512213,20.25,7.788709957523881,1.0,1.0,1.0,1.0
512214,20.51,8.018811805212186,1.0,1.0,1.0,1.0
512215,20.73,8.208913652900486,1.0,1.0,1.0,1.0
512216,21.03,8.47901550058879,-1.0,-1.0,-1.0,-1.0
512217,20.8,8.219117348277093,1.0,1.0,1.0,1.0
512218,20.94,8.329219195965397,1.0,-1.0,1.0,-1.0
512219,20.99,8.349321043653697,-1.0,-1.0,-1.0,-1.0
512220,20.97,8.299422891342,1.0,-1.0,1.0,-1.0
512221,21.05,8.349524739030304,1.0,-1.0,1.0,-1.0
512222,21.16,8.429626586718607,-1.0,-1.0,-1.0,-1.0
512223,21.06,8.299728434406909,1.0,-1.0,1.0,-1.0
512224,21.12,8.329830282095212,1.0,-1.0,1.0,-1.0
512225,21.61,8.789932129783514,1.0,-1.0,1.0,-1.0
512226,21.69,8.840033977471819,-1.0,-1.0,1.0,-1.0
512227,21.42,8.540135825160121,1.0,-1.0,1.0,-1.0
512228,21.71,8.800237672848422,1.0,-1.0,1.0,-1.0
512229,21.91,8.970339520536728,1.0,-1.0,1.0,-1.0
512230,22.04,9.070441368225028,-1.0,-1.0,1.0,-1.0
512231,21.99,8.990543215913329,1.0,-1.0,1.0,-1.0
512232,22.31,9.280645063601634,-1.0,-1.0,-1.0,-1.0
512233,22.18,9.120746911289935,-1.0,-1.0,-1.0,-1.0
512234,21.4,8.310848758978237,1.0,-1.0,1.0,-1.0
512235,21.58,8.46095060666654,1.0,-1.0,1.0,-1.0
512236,21.71,8.561052454354845,1.0,-1.0,1.0,-1.0
512237,21.84,8.661154302043148,1.0,-1.0,1.0,-1.0
512238,22.26,9.051256149731449,1.0,-1.0,1.0,-1.0
512239,22.68,9.441357997419752,1.0,-1.0,1.0,-1.0
512240,22.96,9.691459845108056,-1.0,-1.0,-1.0,-1.0
512241,21.77,8.471561692796358,-1.0,-1.0,-1.0,-1.0
512242,21.19,7.861663540484661,1.0,-1.0,1.0,-1.0
512243,21.84,8.481765388172963,-1.0,-1.0,-1.0,-1.0
512244,21.0,7.611867235861265,1.0,-1.0,1.0,-1.0
512245,21.11,7.691969083549568,-1.0,-1.0,-1.0,-1.0
512246,20.4,6.952070931237871,1.0,-1.0,-1.0,-1.0
512247,20.86,7.382172778926173,-1.0,-1.0,-1.0,-1.0
512248,20.15,6.642274626614476,-1.0,-1.0,-1.0,-1.0
512249,19.12,5.582376474302781,1.0,-1.0,1.0,-1.0
512250,19.62,6.0524783219910825,-1.0,-1.0,-1.0,-1.0
512251,19.61,6.012580169679384,1.0,-1.0,1.0,-1.0
512252,20.04,6.412682017367686,-1.0,-1.0,-1.0,-1.0
512253,19.83,6.1727838650559885,-1.0,-1.0,-1.0,-1.0
512254,19.64,5.952885712744294,1.0,-1.0,1.0,-1.0
512255,19.65,5.932987560432595,-1.0,-1.0,-1.0,-1.0
512256,19.05,5.303089408120899,1.0,-1.0,1.0,-1.0
512257,19.12,5.343191255809202,-1.0,-1.0,-1.0,-1.0
512258,18.08,4.273293103497503,1.0,-1.0,1.0,-1.0
512259,18.77,4.933394951185806,-1.0,-1.0,-1.0,-1.0
512260,18.36,4.493496798874109,-1.0,-1.0,-1.0,-1.0
512261,18.3,4.403598646562413,-1.0,-1.0,1.0,-1.0
512262,18.28,4.353700494250717,1.0,-1.0,1.0,1.0
512263,18.93,4.973802341939017,-1.0,-1.0,-1.0,-1.0
512264,18.59,4.60390418962732,-1.0,-1.0,-1.0,-1.0
512265,18.39,4.374006037315624,1.0,-1.0,-1.0,-1.0
512266,18.73,4.684107885003927,1.0,-1.0,1.0,-1.0
512267,18.77,4.6942097326922285,-1.0,-1.0,-1.0,-1.0
512268,18.43,4.324311580380531,-1.0,-1.0,1.0,-1.0
512269,18.22,4.0844134280688325,1.0,-1.0,1.0,-1.0
512270,18.25,4.084515275757139,1.0,-1.0,1.0,1.0
512271,18.3,4.10461712344544,1.0,1.0,1.0,1.0
512272,18.98,4.754718971133743,1.0,-1.0,1.0,-1.0
512273,19.15,4.894820818822044,-1.0,-1.0,-1.0,-1.0
512274,19.1,4.8149226665103475,1.0,1.0,-1.0,1.0
512275,19.69,5.375024514198652,-1.0,-1.0,-1.0,-1.0
512276,19.54,5.1951263618869525,-1.0,-1.0,-1.0,-1.0
512277,19.33,4.955228209575253,-1.0,1.0,-1.0,1.0
512278,19.17,4.7653300572635615,-1.0,1.0,-1.0,1.0
512279,19.0,4.565431904951861,-1.0,1.0,-1.0,1.0
512280,18.67,4.205533752640166,-1.0,1.0,-1.0,1.0
512281,18.58,4.085635600328466,-1.0,1.0,-1.0,1.0
512282,18.34,3.8157374480167685,1.0,1.0,-1.0,1.0
512283,18.89,4.335839295705074,-1.0,1.0,-1.0,1.0
512284,18.86,4.275941143393375,-1.0,1.0,-1.0,1.0
512285,18.05,3.4360429910816777,-1.0,1.0,-1.0,1.0
512286,17.78,3.1361448387699813,-1.0,1.0,-1.0,1.0
512287,17.7,3.0262466864582827,-1.0,1.0,-1.0,1.0
512288,17.3,2.596348534146585,1.0,1.0,1.0,1.0
512289,17.36,2.6264503818348874,1.0,1.0,1.0,1.0
512290,17.79,3.0265522295231904,1.0,1.0,1.0,1.0
512291,17.96,3.1666540772114957,1.0,1.0,1.0,1.0
512292,18.2,3.376755924899795,-1.0,1.0,-1.0,1.0
512293,18.15,3.2968577725880976,1.0,1.0,-1.0,1.0
512294,18.28,3.3969596202764034,-1.0,1.0,-1.0,1.0
512295,18.12,3.2070614679647065,1.0,1.0,-1.0,1.0
512296,18.14,3.1971633156530075,-1.0,1.0,-1.0,1.0
512297,17.6,2.6272651633413133,1.0,1.0,1.0,1.0
512298,17.71,2.707367011029614,1.0,1.0,1.0,1.0
512299,18.15,3.1174688587179133,-1.0,-1.0,-1.0,-1.0
512300,17.78,2.717570706406219,1.0,1.0,1.0,1.0
512301,18.4,3.30767255409452,1.0,1.0,-1.0,1.0
512302,18.63,3.5077744017828216,1.0,1.0,1.0,1.0
512303,19.0,3.847876249471128,1.0,-1.0,1.0,-1.0
512304,19.49,4.307978097159428,-1.0,-1.0,1.0,-1.0
512305,19.34,4.128079944847732,1.0,-1.0,1.0,-1.0
512306,19.46,4.218181792536036,1.0,-1.0,1.0,-1.0
512307,19.47,4.198283640224337,1.0,-1.0,1.0,-1.0
512308,20.1,4.7983854879126415,-1.0,-1.0,1.0,-1.0
512309,20.04,4.708487335600943,1.0,-1.0,1.0,-1.0
512310,20.16,4.798589183289246,1.0,-1.0,1.0,1.0
512311,20.31,4.9186910309775485,-1.0,-1.0,-1.0,-1.0
512312,20.21,4.788792878665851,1.0,-1.0,1.0,-1.0
512313,20.48,5.028894726354153,-1.0,-1.0,-1.0,1.0
512314,20.35,4.868996574042456,-1.0,-1.0,-1.0,1.0
512315,19.76,4.2490984217307615,1.0,-1.0,1.0,1.0
512316,19.96,4.419200269419063,-1.0,1.0,-1.0,1.0
512317,19.94,4.369302117107367,1.0,-1.0,1.0,-1.0
512318,20.15,4.5494039647956654,-1.0,-1.0,-1.0,-1.0
512319,20.13,4.499505812483969,1.0,-1.0,1.0,-1.0
512320,20.15,4.489607660172272,-1.0,-1.0,-1.0,-1.0
512321,19.7,4.009709507860573,-1.0,-1.0,-1.0,-1.0
512322,19.51,3.789811355548881,-1.0,-1.0,-1.0,1.0
512323,19.42,3.6699132032371833,-1.0,1.0,-1.0,1.0
512324,18.85,3.0700150509254835,-1.0,1.0,-1.0,1.0
512325,18.67,2.8601168986137875,-1.0,1.0,-1.0,1.0
512326,18.32,2.4802187463020893,1.0,1.0,1.0,1.0
512327,18.54,2.670320593990392,-1.0,1.0,1.0,1.0
512328,18.09,2.1904224416786957,-1.0,1.0,-1.0,1.0
512329,17.91,1.980524289366997,1.0,1.0,1.0,1.0
512330,18.49,2.5306261370552985,1.0,1.0,1.0,1.0
512331,18.75,2.7607279847436037,1.0,1.0,1.0,1.0
512332,19.19,3.1708298324319064,-1.0,1.0,-1.0,1.0
512333,18.66,2.6109316801202103,-1.0,1.0,-1.0,1.0
512334,18.65,2.5710335278085097,1.0,1.0,1.0,1.0
512335,18.82,2.7111353754968133,1.0,1.0,1.0,1.0
512336,18.96,2.8212372231851184,1.0,1.0,1.0,1.0
512337,19.35,3.1813390708734204,1.0,1.0,1.0,1.0
512338,19.41,3.2114409185617205,1.0,1.0,1.0,1.0
512339,19.5,3.2715427662500254,-1.0,1.0,-1.0,1.0
512340,19.36,3.1016446139383262,1.0,1.0,1.0,1.0
512341,19.43,3.1417464616266315,1.0,1.0,1.0,1.0
512342,19.7,3.3818483093149325,-1.0,1.0,-1.0,1.0
512343,19.52,3.1719501570032342,-1.0,1.0,1.0,1.0
512344,19.48,3.10205200469154,-1.0,1.0,-1.0,1.0
512345,19.34,2.9321538523798414,1.0,1.0,1.0,1.0
512346,20.17,3.7322557000681438,-1.0,1.0,1.0,1.0
512347,19.74,3.272357547756446,1.0,1.0,1.0,1.0
512348,19.89,3.392459395444749,-1.0,1.0,-1.0,1.0
512349,19.82,3.2925612431330507,-1.0,1.0,-1.0,1.0
512350,19.43,2.872663090821355,-1.0,1.0,-1.0,1.0
512351,19.3,2.712764938509657,-1.0,1.0,-1.0,1.0
512352,19.29,2.6728667861979574,1.0,1.0,1.0,1.0
512353,19.88,3.2329686338862618,1.0,1.0,1.0,1.0
512354,19.9,3.2230704815745628,-1.0,1.0,-1.0,1.0
512355,19.77,3.0631723292628656,1.0,1.0,1.0,1.0
512356,19.88,3.14327417695117,1.0,1.0,1.0,1.0
512357,19.9,3.133376024639471,1.0,1.0,1.0,1.0
512358,20.01,3.213477872327779,1.0,1.0,1.0,1.0
512359,20.12,3.2935797200160803,-1.0,1.0,1.0,1.0
512360,19.96,3.103681567704381,-1.0,1.0,-1.0,1.0
512361,19.91,3.023783415392685,1.0,1.0,1.0,1.0
512362,20.47,3.5538852630809856,-1.0,1.0,-1.0,1.0
512363,20.17,3.223987110769293,1.0,1.0,-1.0,1.0
512364,20.62,3.6440889584575937,-1.0,1.0,-1.0,1.0
512365,20.48,3.474190806145895,1.0,1.0,1.0,1.0
512366,20.66,3.6242926538342,1.0,1.0,1.0,1.0
512367,20.9,3.8343945015225,-1.0,1.0,-1.0,1.0
512368,20.85,3.7544963492108034,1.0,1.0,-1.0,1.0
512369,21.03,3.9045981968991086,-1.0,1.0,-1.0,1.0
