,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
514917,7.02,15.008360434733977,1.0,1.0,1.0,1.0
514918,7.14,15.06035867702682,1.0,1.0,1.0,1.0
514919,7.28,15.132356919319658,1.0,1.0,1.0,1.0
514920,9.01,16.794355161612494,-1.0,1.0,-1.0,1.0
514921,8.89,16.606353403905338,-1.0,1.0,-1.0,1.0
514922,8.72,16.368351646198178,1.0,1.0,1.0,1.0
514923,8.84,16.420349888491018,1.0,1.0,1.0,1.0
514924,8.85,16.362348130783857,-1.0,1.0,-1.0,1.0
514925,8.62,16.064346373076695,1.0,1.0,1.0,1.0
514926,8.69,16.066344615369538,1.0,1.0,1.0,1.0
514927,8.7,16.008342857662374,1.0,1.0,1.0,1.0
514928,8.88,16.12034109995522,-1.0,1.0,-1.0,1.0
514929,8.78,15.952339342248054,1.0,1.0,1.0,1.0
514930,9.05,16.154337584540894,-1.0,1.0,-1.0,1.0
514931,9.03,16.066335826833736,1.0,1.0,1.0,1.0
514932,9.27,16.238334069126577,-1.0,1.0,-1.0,1.0
514933,9.22,16.120332311419418,1.0,1.0,1.0,1.0
514934,9.44,16.272330553712262,1.0,1.0,1.0,1.0
514935,9.52,16.284328796005095,-1.0,1.0,-1.0,1.0
514936,9.32,16.016327038297938,-1.0,1.0,-1.0,1.0
514937,9.19,15.818325280590775,1.0,1.0,1.0,1.0
514938,9.24,15.800323522883616,1.0,1.0,1.0,1.0
514939,9.37,15.862321765176455,1.0,1.0,1.0,1.0
514940,9.44,15.864320007469294,1.0,1.0,1.0,1.0
514941,9.96,16.316318249762134,-1.0,1.0,-1.0,1.0
514942,9.85,16.138316492054976,-1.0,1.0,-1.0,1.0
514943,9.65,15.870314734347815,1.0,1.0,1.0,1.0
514944,9.72,15.872312976640654,-1.0,1.0,-1.0,1.0
514945,9.66,15.744311218933493,1.0,1.0,1.0,1.0
514946,9.81,15.826309461226337,1.0,1.0,1.0,1.0
514947,9.99,15.938307703519175,1.0,1.0,1.0,1.0
514948,10.18,16.060305945812015,-1.0,1.0,-1.0,1.0
514949,10.17,15.982304188104855,-1.0,1.0,-1.0,1.0
514950,10.0,15.744302430397697,-1.0,1.0,-1.0,1.0
514951,9.94,15.616300672690532,1.0,1.0,1.0,1.0
514952,10.09,15.698298914983376,1.0,1.0,1.0,1.0
514953,10.13,15.670297157276215,-1.0,1.0,-1.0,1.0
514954,10.08,15.552295399569054,-1.0,1.0,-1.0,1.0
514955,10.06,15.464293641861895,1.0,1.0,1.0,1.0
514956,10.41,15.746291884154735,1.0,1.0,1.0,1.0
514957,10.42,15.688290126447573,-1.0,1.0,-1.0,1.0
514958,10.34,15.540288368740413,1.0,1.0,1.0,1.0
514959,10.51,15.642286611033251,1.0,1.0,1.0,1.0
514960,10.61,15.674284853326093,-1.0,1.0,-1.0,1.0
514961,10.56,15.556283095618936,1.0,1.0,1.0,1.0
514962,10.72,15.648281337911776,-1.0,1.0,-1.0,1.0
514963,10.53,15.390279580204613,1.0,1.0,1.0,1.0
514964,11.43,16.222277822497453,1.0,1.0,1.0,1.0
514965,11.91,16.634276064790292,-1.0,1.0,-1.0,1.0
514966,11.39,16.046274307083134,1.0,1.0,1.0,1.0
514967,11.69,16.278272549375973,1.0,1.0,1.0,1.0
514968,11.77,16.29027079166881,1.0,1.0,1.0,1.0
514969,11.88,16.33226903396165,1.0,1.0,1.0,1.0
514970,12.34,16.72426727625449,1.0,1.0,1.0,1.0
514971,12.51,16.82626551854733,-1.0,1.0,-1.0,1.0
514972,12.4,16.648263760840173,-1.0,1.0,1.0,1.0
514973,12.19,16.37026200313301,-1.0,1.0,1.0,1.0
514974,12.11,16.22226024542585,1.0,1.0,1.0,1.0
514975,12.44,16.48425848771869,-1.0,1.0,1.0,1.0
