,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
518650,14.67,-5.821183419967558,1.0,1.0,1.0,1.0
518651,14.81,-5.687157363230987,-1.0,1.0,-1.0,1.0
518652,14.45,-6.053131306494413,-1.0,1.0,-1.0,1.0
518653,14.31,-6.1991052497578405,-1.0,1.0,1.0,1.0
518654,14.25,-6.2650791930212675,1.0,1.0,1.0,1.0
518655,14.85,-5.671053136284696,1.0,1.0,1.0,1.0
518656,15.17,-5.357027079548123,-1.0,1.0,-1.0,1.0
518657,15.11,-5.423001022811551,-1.0,1.0,-1.0,1.0
518658,14.73,-5.808974966074978,-1.0,1.0,-1.0,1.0
518659,14.68,-5.8649489093384055,-1.0,1.0,-1.0,1.0
518660,14.58,-5.9709228526018325,1.0,1.0,1.0,1.0
518661,14.81,-5.74689679586526,-1.0,1.0,-1.0,1.0
518662,14.72,-5.842870739128688,1.0,1.0,-1.0,1.0
518663,14.79,-5.7788446823921165,-1.0,1.0,-1.0,1.0
518664,14.64,-5.9348186256555415,1.0,1.0,1.0,1.0
518665,15.01,-5.57079256891897,-1.0,1.0,-1.0,1.0
518666,14.97,-5.616766512182397,1.0,1.0,1.0,1.0
518667,15.0,-5.592740455445823,1.0,1.0,1.0,1.0
518668,15.16,-5.4387143987092506,1.0,1.0,1.0,1.0
518669,15.21,-5.394688341972678,-1.0,1.0,-1.0,1.0
518670,15.04,-5.570662285236106,-1.0,1.0,-1.0,1.0
518671,15.01,-5.606636228499534,-1.0,1.0,-1.0,1.0
518672,14.99,-5.632610171762961,1.0,1.0,1.0,1.0
518673,15.02,-5.608584115026388,1.0,1.0,1.0,1.0
518674,15.17,-5.464558058289817,-1.0,1.0,1.0,1.0
518675,15.14,-5.5005320015532435,1.0,1.0,1.0,1.0
518676,15.15,-5.49650594481667,-1.0,1.0,-1.0,1.0
518677,15.14,-5.5124798880800965,1.0,1.0,-1.0,1.0
518678,15.38,-5.2784538313435245,1.0,1.0,1.0,1.0
518679,15.44,-5.224427774606953,-1.0,1.0,-1.0,-1.0
518680,15.43,-5.2404017178703794,1.0,1.0,1.0,1.0
518681,15.55,-5.126375661133807,1.0,1.0,1.0,1.0
518682,15.57,-5.1123496043972345,-1.0,1.0,-1.0,1.0
518683,15.49,-5.198323547660662,1.0,1.0,-1.0,1.0
518684,15.51,-5.18429749092409,1.0,1.0,1.0,1.0
518685,15.68,-5.020271434187516,1.0,1.0,1.0,1.0
518686,15.83,-4.876245377450943,-1.0,1.0,-1.0,1.0
518687,15.76,-4.952219320714372,-1.0,1.0,-1.0,1.0
518688,15.73,-4.988193263977799,-1.0,1.0,1.0,1.0
518689,15.7,-5.024167207241226,1.0,1.0,-1.0,1.0
518690,15.86,-4.8701411505046535,-1.0,1.0,-1.0,1.0
518691,15.7,-5.036115093768082,-1.0,-1.0,-1.0,-1.0
518692,15.61,-5.132089037031509,1.0,-1.0,1.0,-1.0
518693,15.78,-4.9680629802949365,1.0,1.0,1.0,1.0
518694,15.97,-4.7840369235583635,1.0,-1.0,1.0,-1.0
518695,15.99,-4.7700108668217895,-1.0,1.0,-1.0,-1.0
518696,15.8,-4.965984810085216,1.0,1.0,1.0,1.0
518697,16.16,-4.611958753348644,1.0,-1.0,1.0,-1.0
518698,16.29,-4.4879326966120745,1.0,-1.0,1.0,-1.0
518699,16.45,-4.333906639875502,-1.0,-1.0,-1.0,-1.0
518700,16.33,-4.459880583138928,-1.0,-1.0,-1.0,-1.0
518701,16.2,-4.5958545264023565,1.0,-1.0,1.0,-1.0
518702,16.25,-4.551828469665782,1.0,-1.0,1.0,-1.0
518703,16.28,-4.5278024129292085,-1.0,-1.0,-1.0,-1.0
518704,16.24,-4.573776356192639,1.0,-1.0,1.0,-1.0
518705,16.35,-4.469750299456064,-1.0,-1.0,-1.0,-1.0
518706,16.33,-4.495724242719493,-1.0,-1.0,-1.0,-1.0
518707,16.32,-4.511698185982919,1.0,-1.0,1.0,-1.0
518708,16.39,-4.447672129246347,1.0,-1.0,1.0,-1.0
