,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
520517,15.92,3.460306016877388,1.0,1.0,1.0,1.0
520518,15.94,3.4538554191972093,1.0,1.0,1.0,1.0
520519,16.0,3.4874048215170337,-1.0,1.0,-1.0,1.0
520520,15.88,3.3409542238368584,1.0,1.0,-1.0,1.0
520521,15.94,3.3745036261566788,1.0,1.0,1.0,1.0
520522,16.02,3.4280530284765027,-1.0,1.0,-1.0,1.0
520523,15.98,3.3616024307963266,1.0,1.0,1.0,1.0
520524,16.0,3.3551518331161496,-1.0,1.0,-1.0,1.0
520525,15.52,2.8487012354359735,-1.0,1.0,-1.0,1.0
520526,15.42,2.722250637755796,-1.0,1.0,-1.0,1.0
520527,15.32,2.5958000400756203,1.0,1.0,1.0,1.0
520528,15.63,2.8793494423954424,1.0,1.0,1.0,1.0
520529,15.66,2.8828988447152657,1.0,1.0,1.0,1.0
520530,15.74,2.9364482470350897,-1.0,1.0,-1.0,1.0
520531,15.62,2.789997649354911,1.0,1.0,1.0,1.0
520532,15.91,3.053547051674736,1.0,1.0,1.0,1.0
520533,16.12,3.2370964539945586,-1.0,1.0,-1.0,1.0
520534,16.11,3.2006458563143814,-1.0,1.0,-1.0,1.0
520535,16.09,3.1541952586342035,-1.0,1.0,1.0,1.0
520536,16.08,3.1177446609540267,-1.0,1.0,-1.0,1.0
520537,16.03,3.0412940632738525,1.0,1.0,1.0,1.0
520538,16.23,3.2148434655936735,1.0,1.0,1.0,1.0
520539,16.54,3.498392867913497,1.0,1.0,1.0,1.0
520540,16.9,3.83194227023332,1.0,1.0,1.0,1.0
520541,17.06,3.965491672553142,-1.0,1.0,-1.0,1.0
520542,17.01,3.889041074872969,-1.0,1.0,1.0,1.0
520543,16.91,3.7625904771927896,0.0,1.0,0.0,1.0
520544,16.91,3.7361398795126135,1.0,1.0,1.0,1.0
520545,17.08,3.8796892818324333,1.0,1.0,1.0,1.0
520546,17.2,3.9732386841522582,1.0,1.0,1.0,1.0
520547,17.23,3.976788086472084,1.0,1.0,1.0,1.0
520548,17.28,4.0003374887919065,1.0,1.0,1.0,1.0
520549,17.44,4.1338868911117315,1.0,1.0,1.0,1.0
520550,17.48,4.147436293431554,1.0,1.0,1.0,1.0
520551,17.6,4.240985695751377,0.0,1.0,0.0,1.0
520552,17.6,4.2145350980712015,1.0,1.0,1.0,1.0
520553,17.72,4.30808450039102,1.0,1.0,1.0,1.0
520554,18.66,5.2216339027108445,-1.0,1.0,-1.0,1.0
520555,18.38,4.915183305030666,1.0,1.0,1.0,1.0
520556,18.47,4.97873270735049,1.0,1.0,1.0,1.0
520557,18.62,5.102282109670316,-1.0,1.0,1.0,1.0
520558,18.34,4.795831511990136,1.0,-1.0,1.0,-1.0
520559,18.39,4.819380914309962,1.0,-1.0,1.0,-1.0
520560,18.47,4.872930316629782,1.0,1.0,1.0,1.0
520561,18.49,4.8664797189496065,-1.0,1.0,-1.0,1.0
520562,18.45,4.8000291212694295,-1.0,1.0,-1.0,1.0
520563,18.38,4.703578523589252,1.0,1.0,1.0,1.0
520564,18.5,4.797127925909077,1.0,-1.0,1.0,-1.0
520565,18.53,4.8006773282289,-1.0,-1.0,-1.0,-1.0
520566,18.48,4.724226730548724,-1.0,-1.0,-1.0,-1.0
520567,18.4,4.617776132868546,1.0,-1.0,1.0,-1.0
520568,18.5,4.691325535188369,1.0,-1.0,1.0,-1.0
520569,18.8,4.964874937508193,1.0,-1.0,1.0,-1.0
520570,18.88,5.018424339828014,0.0,-1.0,0.0,-1.0
520571,18.88,4.991973742147838,1.0,-1.0,1.0,-1.0
520572,18.95,5.0355231444676605,-1.0,-1.0,-1.0,-1.0
520573,18.91,4.969072546787485,-1.0,-1.0,-1.0,-1.0
520574,18.79,4.822621949107308,1.0,-1.0,1.0,-1.0
520575,18.9,4.90617135142713,1.0,-1.0,1.0,-1.0
520576,19.09,5.069720753746955,1.0,-1.0,1.0,-1.0
520577,19.18,5.133270156066777,1.0,-1.0,-1.0,-1.0
520578,19.56,5.4868195583866,-1.0,-1.0,-1.0,-1.0
520579,19.48,5.3803689607064245,1.0,-1.0,1.0,-1.0
520580,19.5,5.373918363026247,-1.0,-1.0,-1.0,-1.0
520581,19.18,5.0274677653460715,-1.0,-1.0,-1.0,-1.0
520582,19.11,4.9310171676658925,1.0,-1.0,1.0,-1.0
520583,19.39,5.1845665699857175,-1.0,-1.0,-1.0,-1.0
520584,18.98,4.748115972305541,1.0,-1.0,1.0,-1.0
520585,19.44,5.181665374625363,-1.0,-1.0,-1.0,-1.0
520586,19.34,5.055214776945186,-1.0,-1.0,-1.0,-1.0
520587,18.8,4.488764179265012,-1.0,-1.0,-1.0,-1.0
520588,18.08,3.7423135815848307,-1.0,1.0,-1.0,1.0
520589,17.65,3.2858629839046536,1.0,1.0,1.0,1.0
