,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
522384,47.55,-3.166717564627554,-1.0,1.0,-1.0,1.0
522385,47.11,-3.5910394817153697,1.0,1.0,1.0,1.0
522386,47.25,-3.435361398803188,-1.0,1.0,-1.0,1.0
522387,47.17,-3.499683315891005,-1.0,1.0,-1.0,1.0
522388,46.75,-3.904005232978825,-1.0,1.0,-1.0,1.0
522389,45.53,-5.108327150066644,-1.0,1.0,1.0,1.0
522390,45.24,-5.3826490671544525,-1.0,1.0,-1.0,1.0
522391,44.47,-6.136970984242276,1.0,1.0,1.0,1.0
522392,44.9,-5.691292901330094,1.0,1.0,1.0,1.0
522393,45.74,-4.835614818417909,1.0,1.0,1.0,1.0
522394,46.33,-4.229936735505731,-1.0,1.0,-1.0,1.0
522395,46.3,-4.244258652593551,1.0,1.0,1.0,1.0
522396,46.67,-3.8585805696813655,-1.0,1.0,-1.0,1.0
522397,46.62,-3.892902486769188,-1.0,1.0,-1.0,1.0
522398,46.5,-3.997224403857004,1.0,1.0,1.0,1.0
522399,46.99,-3.4915463209448205,-1.0,1.0,1.0,1.0
522400,46.94,-3.525868238032644,-1.0,-1.0,-1.0,-1.0
522401,46.82,-3.6301901551204594,1.0,-1.0,1.0,-1.0
522402,47.72,-2.7145120722082794,1.0,-1.0,-1.0,-1.0
522403,47.74,-2.6788339892960953,1.0,-1.0,1.0,-1.0
522404,48.18,-2.2231559063839086,1.0,-1.0,1.0,-1.0
522405,48.53,-1.8574778234717255,-1.0,-1.0,-1.0,-1.0
522406,45.85,-4.521799740559544,1.0,-1.0,1.0,-1.0
522407,47.42,-2.9361216576473623,1.0,-1.0,-1.0,-1.0
522408,48.27,-2.0704435747351795,1.0,-1.0,1.0,-1.0
522409,48.38,-1.9447654918229984,-1.0,-1.0,-1.0,-1.0
522410,47.77,-2.5390874089108166,1.0,-1.0,1.0,-1.0
522411,48.35,-1.9434093259986371,-1.0,-1.0,-1.0,-1.0
522412,47.95,-2.327731243086454,-1.0,-1.0,-1.0,-1.0
522413,47.51,-2.752053160174277,1.0,-1.0,1.0,-1.0
522414,47.72,-2.526375077262095,1.0,-1.0,1.0,-1.0
522415,47.8,-2.4306969943499155,-1.0,-1.0,-1.0,-1.0
522416,47.59,-2.6250189114377283,1.0,-1.0,1.0,-1.0
522417,47.84,-2.3593408285255464,1.0,-1.0,1.0,-1.0
522418,48.05,-2.133662745613364,-1.0,-1.0,-1.0,-1.0
522419,47.87,-2.2979846627011824,-1.0,-1.0,1.0,-1.0
522420,47.49,-2.6623065797889964,1.0,-1.0,1.0,-1.0
522421,47.52,-2.616628496876814,-1.0,-1.0,-1.0,-1.0
522422,47.18,-2.9409504139646363,-1.0,-1.0,-1.0,-1.0
522423,46.45,-3.6552723310524513,1.0,1.0,1.0,1.0
522424,46.83,-3.2595942481402744,-1.0,1.0,-1.0,-1.0
522425,46.64,-3.4339161652280907,1.0,-1.0,1.0,-1.0
522426,47.88,-2.1782380823159078,-1.0,-1.0,-1.0,-1.0
522427,47.67,-2.3725599994037267,1.0,-1.0,1.0,-1.0
522428,47.71,-2.316881916491546,-1.0,-1.0,-1.0,-1.0
522429,47.26,-2.751203833579368,-1.0,-1.0,-1.0,-1.0
522430,46.93,-3.0655257506671845,-1.0,-1.0,-1.0,-1.0
522431,46.76,-3.2198476677550047,1.0,-1.0,1.0,-1.0
522432,47.1,-2.864169584842813,-1.0,-1.0,-1.0,-1.0
522433,46.68,-3.268491501930633,1.0,-1.0,1.0,-1.0
522434,47.46,-2.4728134190184505,-1.0,-1.0,-1.0,-1.0
522435,46.64,-3.2771353361062694,-1.0,-1.0,-1.0,-1.0
522436,45.67,-4.231457253194087,1.0,-1.0,-1.0,1.0
522437,46.89,-2.9957791702819065,-1.0,-1.0,-1.0,-1.0
522438,46.68,-3.1901010873697264,-1.0,-1.0,-1.0,-1.0
522439,45.61,-4.244423004457545,-1.0,-1.0,-1.0,1.0
522440,45.09,-4.7487449215453585,1.0,-1.0,1.0,-1.0
522441,45.7,-4.123066838633179,-1.0,-1.0,-1.0,-1.0
522442,45.46,-4.347388755720998,-1.0,1.0,1.0,1.0
522443,44.78,-5.0117106728088165,1.0,1.0,1.0,1.0
522444,46.08,-3.6960325898966384,1.0,1.0,1.0,1.0
522445,46.98,-2.7803545069844593,-1.0,1.0,-1.0,1.0
522446,46.25,-3.4946764240722668,-1.0,1.0,-1.0,1.0
522447,45.64,-4.088998341160085,1.0,1.0,1.0,1.0
522448,46.18,-3.5333202582479046,1.0,1.0,1.0,1.0
522449,46.26,-3.437642175335725,1.0,-1.0,1.0,1.0
522450,46.59,-3.091964092423538,-1.0,-1.0,-1.0,-1.0
522451,46.47,-3.196286009511361,1.0,-1.0,1.0,-1.0
522452,46.96,-2.6906079265991782,1.0,-1.0,1.0,-1.0
522453,47.34,-2.294929843686994,-1.0,-1.0,-1.0,-1.0
522454,47.04,-2.5792517607748167,-1.0,1.0,1.0,1.0
522455,46.6,-3.0035736778626334,-1.0,1.0,-1.0,1.0
522456,45.67,-3.9178955949504513,1.0,1.0,-1.0,1.0
522457,46.4,-3.1722175120382734,-1.0,1.0,-1.0,1.0
522458,46.13,-3.426539429126088,-1.0,1.0,-1.0,1.0
522459,45.14,-4.400861346213902,-1.0,1.0,-1.0,1.0
522460,44.33,-5.195183263301722,1.0,1.0,1.0,1.0
522461,44.99,-4.519505180389538,1.0,1.0,1.0,1.0
522462,45.29,-4.203827097477358,-1.0,1.0,-1.0,1.0
522463,44.62,-4.858149014565178,1.0,1.0,1.0,1.0
522464,45.7,-3.762470931652992,-1.0,1.0,-1.0,1.0
522465,44.69,-4.756792848740815,1.0,1.0,1.0,1.0
522466,45.02,-4.4111147658286285,-1.0,1.0,-1.0,1.0
522467,43.94,-5.4754366829164525,-1.0,1.0,-1.0,1.0
522468,43.89,-5.509758600004269,1.0,1.0,1.0,1.0
522469,45.31,-4.074080517092085,-1.0,1.0,-1.0,1.0
522470,44.73,-4.638402434179909,1.0,1.0,1.0,1.0
522471,45.57,-3.7827243512677233,1.0,1.0,1.0,1.0
522472,45.91,-3.4270462683555465,1.0,1.0,1.0,1.0
522473,46.86,-2.4613681854433547,1.0,1.0,1.0,1.0
522474,48.16,-1.1456901025311763,-1.0,1.0,-1.0,1.0
522475,48.03,-1.2600120196189906,-1.0,1.0,-1.0,1.0
522476,47.21,-2.064333936706809,-1.0,1.0,-1.0,1.0
522477,46.7,-2.558655853794626,0.0,1.0,0.0,1.0
522478,46.7,-2.5429777708824446,-1.0,1.0,-1.0,-1.0
522479,45.63,-3.5972996879702634,-1.0,1.0,-1.0,1.0
522480,44.72,-4.491621605058086,1.0,1.0,1.0,1.0
522481,45.13,-4.0659435221459015,1.0,1.0,1.0,-1.0
522482,45.42,-3.7602654392337205,1.0,1.0,1.0,1.0
522483,47.33,-1.834587356321542,-1.0,1.0,-1.0,1.0
522484,47.29,-1.85890927340936,1.0,1.0,1.0,1.0
522485,47.99,-1.1432311904971757,1.0,1.0,1.0,-1.0
522486,48.41,-0.7075531075849995,-1.0,1.0,-1.0,1.0
522487,47.85,-1.2518750246728059,1.0,1.0,1.0,1.0
522488,48.09,-0.9961969417606228,1.0,1.0,1.0,-1.0
522489,49.45,0.3794811411515582,-1.0,1.0,-1.0,1.0
522490,48.72,-0.3348407759362644,1.0,1.0,1.0,1.0
522491,49.45,0.410837306975921,1.0,1.0,1.0,1.0
522492,49.66,0.6365153898880962,1.0,1.0,1.0,1.0
522493,49.75,0.7421934728002809,1.0,1.0,1.0,1.0
522494,50.34,1.347871555712466,1.0,1.0,1.0,1.0
522495,50.6,1.6235496386246453,1.0,1.0,1.0,1.0
522496,50.78,1.8192277215368264,1.0,1.0,1.0,1.0
522497,51.23,2.284905804449004,1.0,1.0,1.0,1.0
522498,51.73,2.800583887361185,1.0,1.0,1.0,1.0
522499,51.86,2.9462619702733686,-1.0,1.0,-1.0,1.0
522500,51.12,2.2219400531855484,-1.0,1.0,1.0,1.0
522501,50.64,1.7576181360977399,-1.0,1.0,-1.0,1.0
522502,50.39,1.5232962190099215,1.0,1.0,1.0,1.0
522503,50.67,1.818974301922104,1.0,1.0,1.0,1.0
522504,51.03,2.194652384834285,1.0,1.0,1.0,1.0
522505,51.06,2.2403304677464675,1.0,1.0,1.0,1.0
522506,51.79,2.9860085506586462,1.0,-1.0,1.0,-1.0
522507,52.84,4.051686633570832,-1.0,-1.0,-1.0,-1.0
522508,52.27,3.4973647164830126,-1.0,1.0,-1.0,1.0
522509,52.01,3.2530427993951885,-1.0,-1.0,-1.0,-1.0
522510,51.8,3.058720882307369,1.0,-1.0,1.0,-1.0
522511,51.93,3.204398965219553,1.0,-1.0,1.0,-1.0
522512,52.0,3.2900770481317347,1.0,-1.0,1.0,-1.0
522513,52.22,3.5257551310439155,1.0,-1.0,1.0,-1.0
522514,52.38,3.7014332139561006,1.0,1.0,1.0,-1.0
522515,52.8,4.137111296868284,-1.0,-1.0,-1.0,-1.0
522516,52.66,4.012789379780465,1.0,-1.0,1.0,-1.0
522517,53.45,4.818467462692652,-1.0,-1.0,-1.0,-1.0
522518,53.01,4.394145545604829,-1.0,-1.0,-1.0,-1.0
522519,52.33,3.7298236285170105,1.0,-1.0,1.0,-1.0
522520,52.62,4.035501711429191,-1.0,-1.0,1.0,-1.0
522521,52.29,3.7211797943413742,1.0,-1.0,1.0,-1.0
522522,52.51,3.9568578772535545,1.0,-1.0,1.0,-1.0
522523,52.66,4.122535960165735,1.0,-1.0,1.0,-1.0
522524,52.9,4.378214043077918,1.0,1.0,1.0,1.0
522525,53.19,4.6838921259900985,-1.0,-1.0,1.0,-1.0
522526,52.96,4.469570208902283,-1.0,1.0,-1.0,1.0
522527,52.7,4.2252482918144665,1.0,1.0,1.0,1.0
522528,53.26,4.80092637472665,1.0,1.0,1.0,1.0
522529,53.96,5.516604457638834,-1.0,-1.0,-1.0,-1.0
522530,52.86,4.4322825405510144,-1.0,1.0,-1.0,1.0
522531,51.86,3.4479606234631963,1.0,1.0,-1.0,-1.0
522532,51.92,3.52363870637538,-1.0,1.0,-1.0,1.0
522533,51.63,3.249316789287562,1.0,1.0,1.0,1.0
522534,51.98,3.6149948721997376,-1.0,1.0,-1.0,1.0
522535,51.56,3.2106729551119244,1.0,1.0,1.0,1.0
522536,51.78,3.4463510380241047,1.0,1.0,1.0,1.0
522537,52.14,3.8220291209362856,1.0,1.0,1.0,1.0
522538,52.51,4.2077072038484635,-1.0,1.0,-1.0,1.0
522539,51.56,3.2733852867606497,-1.0,1.0,-1.0,1.0
522540,51.33,3.0590633696728275,-1.0,1.0,-1.0,1.0
522541,50.98,2.724741452585008,1.0,1.0,1.0,1.0
522542,51.28,3.040419535497193,1.0,1.0,1.0,1.0
522543,51.7,3.4760976184093835,1.0,1.0,1.0,1.0
522544,52.39,4.1817757013215635,-1.0,1.0,-1.0,1.0
522545,52.04,3.847453784233743,1.0,1.0,1.0,1.0
522546,52.3,4.123131867145921,-1.0,-1.0,1.0,-1.0
522547,52.06,3.8988099500581086,1.0,-1.0,1.0,-1.0
522548,52.34,4.194488032970291,-1.0,-1.0,1.0,0.0
522549,51.99,3.860166115882471,-1.0,-1.0,-1.0,-1.0
522550,51.97,3.8558441987946495,-1.0,0.0,1.0,0.0
522551,51.59,3.4915222817068354,1.0,1.0,1.0,1.0
522552,52.2,4.117200364619016,1.0,-1.0,1.0,-1.0
522553,52.22,4.152878447531194,1.0,-1.0,1.0,-1.0
522554,53.01,4.958556530443374,-1.0,-1.0,-1.0,-1.0
522555,52.95,4.9142346133555606,1.0,-1.0,1.0,-1.0
522556,53.36,5.339912696267746,1.0,1.0,1.0,1.0
522557,53.72,5.715590779179927,-1.0,1.0,-1.0,1.0
522558,53.39,5.40126886209211,1.0,1.0,1.0,1.0
522559,53.59,5.616946945004294,1.0,1.0,1.0,1.0
522560,53.72,5.762625027916472,-1.0,1.0,-1.0,1.0
522561,53.7,5.758303110828656,1.0,1.0,-1.0,1.0
522562,54.3,6.373981193740832,-1.0,1.0,-1.0,1.0
522563,53.9,5.989659276653015,1.0,1.0,1.0,1.0
522564,54.69,6.7953373595651945,1.0,1.0,-1.0,-1.0
522565,54.98,7.101015442477377,-1.0,1.0,1.0,1.0
522566,54.41,6.546693525389558,-1.0,1.0,-1.0,-1.0
522567,53.9,6.0523716083017405,1.0,1.0,-1.0,1.0
522568,54.35,6.518049691213925,-1.0,-1.0,-1.0,-1.0
522569,54.13,6.313727774126107,-1.0,1.0,-1.0,1.0
522570,53.89,6.089405857038294,-1.0,-1.0,-1.0,-1.0
522571,53.41,5.625083939950472,1.0,1.0,-1.0,-1.0
522572,53.6,5.8307620228626575,-1.0,-1.0,-1.0,-1.0
522573,53.53,5.776440105774839,-1.0,-1.0,-1.0,-1.0
522574,53.47,5.732118188687018,1.0,-1.0,1.0,-1.0
522575,53.69,5.967796271599197,-1.0,-1.0,-1.0,-1.0
522576,51.1,3.3934743545113832,-1.0,1.0,-1.0,1.0
522577,50.17,2.479152437423565,1.0,1.0,1.0,1.0
522578,51.03,3.354830520335746,1.0,1.0,1.0,1.0
522579,51.94,4.280508603247924,1.0,1.0,1.0,1.0
522580,51.97,4.326186686160106,1.0,1.0,1.0,1.0
522581,52.13,4.501864769072292,-1.0,1.0,-1.0,1.0
522582,51.66,4.047542851984467,1.0,1.0,-1.0,1.0
522583,52.18,4.583220934896652,1.0,1.0,1.0,1.0
522584,52.25,4.668899017808839,1.0,1.0,1.0,1.0
522585,52.87,5.304577100721018,1.0,1.0,1.0,1.0
522586,53.39,5.840255183633204,1.0,1.0,1.0,1.0
522587,53.92,6.385933266545386,-1.0,-1.0,-1.0,-1.0
522588,53.77,6.251611349457568,1.0,-1.0,1.0,-1.0
522589,54.03,6.5272894323697495,1.0,-1.0,-1.0,-1.0
