,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
522827,55.7,37.328938050792274,1.0,1.0,1.0,1.0
522828,56.03,37.54993230974096,1.0,1.0,1.0,1.0
522829,56.74,38.150926568689655,-1.0,1.0,-1.0,1.0
522830,56.64,37.94192082763834,-1.0,1.0,-1.0,1.0
522831,56.6,37.79291508658703,1.0,1.0,1.0,1.0
522832,57.92,39.003909345535725,1.0,1.0,1.0,1.0
522833,58.18,39.1549036044844,1.0,1.0,1.0,1.0
522834,58.51,39.375897863433096,-1.0,1.0,-1.0,1.0
522835,57.9,38.656892122381784,-1.0,1.0,-1.0,1.0
522836,57.66,38.307886381330476,1.0,1.0,1.0,1.0
522837,57.97,38.50888064027917,1.0,1.0,1.0,1.0
522838,59.55,39.97987489922786,-1.0,1.0,-1.0,1.0
522839,58.54,38.86086915817656,1.0,1.0,-1.0,1.0
522840,59.41,39.62186341712525,-1.0,1.0,-1.0,1.0
522841,58.89,38.992857676073925,1.0,1.0,1.0,1.0
522842,59.56,39.553851935022614,1.0,1.0,1.0,1.0
522843,59.94,39.82484619397131,1.0,1.0,1.0,1.0
522844,61.51,41.285840452920006,-1.0,1.0,-1.0,1.0
522845,61.21,40.876834711868696,1.0,1.0,1.0,1.0
522846,61.67,41.22782897081738,-1.0,1.0,-1.0,1.0
522847,61.24,40.688823229766065,1.0,1.0,1.0,1.0
522848,61.69,41.029817488714755,-1.0,1.0,-1.0,1.0
522849,61.12,40.35081174766346,1.0,1.0,1.0,1.0
522850,61.26,40.38180600661215,1.0,1.0,1.0,1.0
522851,63.01,42.022800265560825,-1.0,1.0,-1.0,1.0
522852,62.91,41.813794524509525,-1.0,1.0,-1.0,1.0
522853,62.32,41.114788783458216,1.0,1.0,1.0,1.0
522854,63.08,41.765783042406895,1.0,1.0,-1.0,1.0
522855,64.22,42.7967773013556,-1.0,1.0,-1.0,1.0
522856,64.16,42.62777156030428,-1.0,1.0,-1.0,1.0
522857,64.0,42.35876581925298,1.0,1.0,-1.0,1.0
522858,64.55,42.79976007820167,1.0,1.0,1.0,1.0
522859,64.75,42.89075433715036,-1.0,1.0,-1.0,1.0
522860,64.0,42.03174859609905,1.0,1.0,1.0,1.0
522861,64.31,42.23274285504774,1.0,1.0,1.0,1.0
522862,64.63,42.44373711399642,1.0,1.0,1.0,1.0
522863,64.9,42.60473137294513,1.0,1.0,-1.0,1.0
522864,65.05,42.64572563189381,1.0,1.0,1.0,1.0
522865,65.54,43.02671989084251,-1.0,1.0,-1.0,1.0
522866,64.94,42.317714149791186,1.0,1.0,1.0,1.0
522867,65.19,42.45870840873987,-1.0,1.0,-1.0,1.0
522868,64.94,42.09970266768857,1.0,-1.0,1.0,-1.0
522869,64.98,42.03069692663726,1.0,-1.0,1.0,-1.0
522870,65.53,42.471691185585954,1.0,-1.0,1.0,-1.0
522871,65.78,42.61268544453464,-1.0,-1.0,-1.0,-1.0
522872,65.72,42.443679703483326,-1.0,1.0,-1.0,1.0
522873,65.57,42.184673962432015,1.0,-1.0,1.0,-1.0
522874,66.25,42.75566822138071,1.0,-1.0,1.0,-1.0
522875,66.42,42.8166624803294,-1.0,-1.0,-1.0,-1.0
522876,65.73,42.017656739278095,-1.0,-1.0,-1.0,-1.0
522877,65.22,41.39865099822678,-1.0,-1.0,-1.0,-1.0
522878,65.1,41.16964525717546,1.0,-1.0,1.0,-1.0
522879,66.15,42.110639516124174,1.0,-1.0,1.0,-1.0
522880,66.22,42.071633775072854,1.0,-1.0,1.0,-1.0
522881,66.64,42.382628034021536,1.0,-1.0,1.0,-1.0
522882,66.85,42.48362229297023,-1.0,-1.0,-1.0,-1.0
522883,66.82,42.34461655191892,-1.0,-1.0,-1.0,-1.0
522884,65.97,41.38561081086761,1.0,-1.0,-1.0,-1.0
522885,66.42,41.7266050698163,1.0,-1.0,1.0,-1.0
