,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
528439,9.1,6.465499940530126,-1.0,-1.0,-1.0,-1.0
528465,6.32,3.2796948231387253,1.0,1.0,-1.0,1.0
528469,7.2,4.097263266616971,1.0,-1.0,1.0,-1.0
528470,7.48,4.3616553774865325,-1.0,-1.0,0.0,-1.0
528471,7.2,4.0660474883560935,0.0,1.0,0.0,1.0
528496,7.06,3.5358502600951307,-1.0,1.0,-1.0,1.0
528498,7.23,3.6746344818342553,-1.0,1.0,-1.0,1.0
528499,7.18,3.609026592703815,-1.0,1.0,-1.0,1.0
528501,7.32,3.7178108144429394,-1.0,-1.0,-1.0,-1.0
528504,7.06,3.4109871470516224,-1.0,1.0,-1.0,1.0
528532,7.33,3.2439662513993444,-1.0,1.0,-1.0,1.0
528547,7.95,3.629847914442768,1.0,-1.0,1.0,-1.0
528593,7.07,2.0318850144425955,-1.0,1.0,-1.0,1.0
528645,6.65,0.8002747796597927,-1.0,1.0,-1.0,1.0
528703,7.52,0.7650172100943582,-1.0,-1.0,-1.0,1.0
528725,7.58,0.4816436492247114,-1.0,-1.0,-1.0,-1.0
528789,7.33,-0.7672612551233531,-1.0,1.0,-1.0,1.0
528808,8.36,-0.033811148601685666,-1.0,1.0,1.0,1.0
528830,9.26,0.5228152905286674,1.0,-1.0,1.0,-1.0
528833,9.35,0.5659916231373519,-1.0,-1.0,-1.0,-1.0
528883,8.93,-0.6344028333845735,-1.0,-1.0,-1.0,-1.0
528898,8.96,-0.8385211703411493,1.0,1.0,1.0,-1.0
528899,9.02,-0.7941290594715902,1.0,1.0,1.0,-1.0
528923,8.77,-1.418718398602115,-1.0,1.0,-1.0,1.0
528939,8.67,-1.7684446246891294,-1.0,1.0,-1.0,1.0
528965,9.59,-1.254249742080532,0.0,-1.0,-1.0,-1.0
528966,9.59,-1.2698576312109695,-1.0,-1.0,-1.0,-1.0
528967,9.56,-1.3154655203414087,-1.0,-1.0,-1.0,-1.0
528968,9.46,-1.4310734094718462,-1.0,-1.0,-1.0,-1.0
528969,9.44,-1.4666812986022857,1.0,-1.0,1.0,-1.0
528970,9.47,-1.4522891877327242,-1.0,-1.0,-1.0,-1.0
528971,9.33,-1.6078970768631624,-1.0,-1.0,-1.0,-1.0
528972,9.32,-1.6335049659936018,-1.0,1.0,-1.0,1.0
528973,9.25,-1.71911285512404,1.0,1.0,1.0,1.0
528974,9.29,-1.6947207442544787,1.0,1.0,1.0,1.0
528975,9.31,-1.690328633384917,1.0,1.0,1.0,1.0
