,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
530056,30.93,-12.41550868541573,-1.0,1.0,-1.0,1.0
530057,30.91,-12.42923733498185,1.0,1.0,-1.0,1.0
530058,30.93,-12.402965984547969,-1.0,1.0,-1.0,1.0
530059,29.82,-13.506694634114089,-1.0,1.0,-1.0,1.0
530060,29.13,-14.190423283680214,1.0,1.0,1.0,1.0
530061,30.11,-13.204151933246331,1.0,1.0,1.0,1.0
530062,30.97,-12.337880582812453,1.0,1.0,-1.0,1.0
530063,31.02,-12.28160923237857,-1.0,1.0,-1.0,1.0
530064,29.89,-13.40533788194469,1.0,1.0,1.0,1.0
530065,30.38,-12.909066531510813,1.0,1.0,1.0,1.0
530066,30.52,-12.762795181076926,1.0,1.0,1.0,1.0
530067,31.01,-12.266523830643045,-1.0,1.0,-1.0,1.0
530068,30.76,-12.510252480209171,1.0,1.0,1.0,1.0
530069,31.54,-11.723981129775288,-1.0,1.0,1.0,1.0
530070,31.46,-11.797709779341409,1.0,1.0,1.0,1.0
530071,32.3,-10.951438428907537,-1.0,1.0,-1.0,1.0
530072,32.08,-11.165167078473651,-1.0,1.0,-1.0,1.0
530073,31.68,-11.558895728039772,-1.0,1.0,-1.0,1.0
530074,31.29,-11.942624377605894,-1.0,1.0,-1.0,1.0
530075,30.64,-12.58635302717201,-1.0,1.0,-1.0,1.0
530076,29.9,-13.320081676738136,-1.0,1.0,-1.0,1.0
530077,29.83,-13.383810326304257,1.0,1.0,-1.0,1.0
530078,30.01,-13.19753897587037,0.0,1.0,1.0,1.0
530079,30.01,-13.191267625436492,1.0,1.0,1.0,1.0
530080,31.46,-11.734996275002615,-1.0,1.0,-1.0,1.0
530081,31.09,-12.098724924568732,1.0,1.0,-1.0,1.0
530082,31.24,-11.942453574134856,1.0,1.0,1.0,1.0
530083,31.36,-11.816182223700974,1.0,1.0,1.0,1.0
530084,32.05,-11.119910873267095,1.0,1.0,1.0,1.0
530085,32.51,-10.653639522833217,1.0,1.0,1.0,1.0
530086,32.55,-10.60736817239934,1.0,1.0,1.0,1.0
530087,33.18,-9.971096821965453,1.0,1.0,1.0,1.0
530088,33.32,-9.824825471531575,-1.0,1.0,1.0,1.0
530089,32.91,-10.228554121097703,-1.0,1.0,-1.0,1.0
530090,32.82,-10.312282770663812,1.0,1.0,1.0,1.0
530091,33.19,-9.936011420229939,-1.0,1.0,-1.0,1.0
530092,33.04,-10.07974006979606,1.0,1.0,1.0,1.0
530093,33.3,-9.813468719362175,-1.0,1.0,-1.0,1.0
530094,32.46,-10.647197368928296,1.0,1.0,1.0,1.0
530095,32.94,-10.160926018494422,-1.0,1.0,-1.0,1.0
530096,32.74,-10.354654668060533,1.0,1.0,1.0,1.0
530097,33.17,-9.918383317626656,-1.0,-1.0,-1.0,-1.0
