,Close,Target(1),Target(30),Prediction(1),Prediction(30)
533787,44.13,-1.0,1.0,-1.0,1.0
533788,43.56,-1.0,1.0,-1.0,1.0
533789,42.59,-1.0,1.0,-1.0,1.0
533790,41.4,-1.0,1.0,-1.0,1.0
533791,40.8,1.0,1.0,1.0,1.0
533792,41.97,1.0,1.0,1.0,1.0
533793,42.92,-1.0,1.0,-1.0,1.0
533794,41.94,-1.0,1.0,-1.0,1.0
533795,39.5,1.0,1.0,1.0,1.0
533796,40.46,-1.0,1.0,-1.0,1.0
533797,39.57,1.0,1.0,1.0,1.0
533798,40.46,-1.0,1.0,-1.0,-1.0
533799,39.92,1.0,1.0,-1.0,1.0
533800,41.15,-1.0,1.0,-1.0,-1.0
533801,41.13,1.0,1.0,1.0,1.0
533802,42.69,-1.0,1.0,-1.0,1.0
533803,42.44,1.0,1.0,1.0,1.0
533804,43.62,1.0,1.0,1.0,1.0
533805,44.35,-1.0,1.0,-1.0,1.0
533806,43.66,-1.0,1.0,-1.0,1.0
533807,42.0,1.0,1.0,1.0,-1.0
533808,42.09,-1.0,1.0,-1.0,1.0
533809,41.88,-1.0,1.0,1.0,1.0
533810,41.4,1.0,1.0,1.0,1.0
533811,42.37,1.0,1.0,1.0,1.0
533812,42.91,1.0,1.0,1.0,1.0
533813,43.16,1.0,1.0,1.0,1.0
533814,43.51,1.0,1.0,1.0,1.0
533815,44.56,1.0,1.0,1.0,1.0
533816,44.84,1.0,1.0,1.0,1.0
533817,44.93,1.0,1.0,1.0,1.0
533818,45.03,-1.0,1.0,-1.0,1.0
533819,45.01,1.0,1.0,1.0,1.0
533820,45.28,-1.0,1.0,-1.0,1.0
533821,45.12,1.0,-1.0,1.0,-1.0
533822,46.07,-1.0,-1.0,-1.0,-1.0
533823,45.11,-1.0,1.0,-1.0,1.0
533824,44.74,-1.0,1.0,-1.0,1.0
533825,44.39,1.0,1.0,1.0,1.0
533826,44.66,1.0,1.0,1.0,1.0
533827,46.33,-1.0,-1.0,-1.0,-1.0
533828,45.82,-1.0,-1.0,-1.0,-1.0
533829,44.88,1.0,1.0,1.0,1.0
533830,45.67,1.0,1.0,1.0,1.0
533831,46.04,-1.0,-1.0,-1.0,-1.0
533832,45.56,-1.0,1.0,-1.0,-1.0
533833,45.38,1.0,1.0,1.0,-1.0
533834,45.95,1.0,-1.0,1.0,-1.0
533835,47.53,1.0,-1.0,1.0,-1.0
533836,47.64,-1.0,-1.0,-1.0,-1.0
533837,47.61,-1.0,-1.0,-1.0,-1.0
533838,47.49,-1.0,-1.0,-1.0,-1.0
533839,47.4,-1.0,-1.0,-1.0,-1.0
533840,47.15,-1.0,-1.0,-1.0,-1.0
533841,47.0,1.0,-1.0,1.0,-1.0
533842,47.67,-1.0,-1.0,1.0,-1.0
533843,46.65,-1.0,-1.0,-1.0,-1.0
533844,45.64,-1.0,-1.0,-1.0,-1.0
533845,45.53,-1.0,-1.0,1.0,-1.0
533846,45.26,-1.0,-1.0,1.0,-1.0
533847,45.11,1.0,-1.0,1.0,-1.0
533848,45.27,1.0,-1.0,1.0,-1.0
533849,46.06,-1.0,-1.0,-1.0,-1.0
533850,45.76,-1.0,-1.0,1.0,1.0
533851,44.62,1.0,-1.0,1.0,-1.0
533852,45.01,1.0,-1.0,1.0,-1.0
533853,45.66,-1.0,-1.0,-1.0,-1.0
533854,45.32,1.0,-1.0,1.0,-1.0
533855,45.93,-1.0,-1.0,1.0,-1.0
533856,45.16,1.0,-1.0,1.0,1.0
533857,45.77,-1.0,-1.0,-1.0,-1.0
533858,44.7,1.0,-1.0,-1.0,-1.0
533859,44.9,1.0,-1.0,1.0,-1.0
533860,46.57,-1.0,-1.0,-1.0,-1.0
533861,45.99,1.0,-1.0,1.0,-1.0
533862,46.77,-1.0,-1.0,-1.0,-1.0
533863,46.33,-1.0,-1.0,1.0,-1.0
533864,45.89,-1.0,-1.0,-1.0,-1.0
533865,45.53,-1.0,-1.0,-1.0,-1.0
533866,44.51,1.0,-1.0,1.0,-1.0
533867,44.56,-1.0,-1.0,-1.0,-1.0
