,Close,Target(1),Target(30),Prediction(1),Prediction(30)
539148,15.45,-1.0,1.0,-1.0,1.0
539149,15.21,-1.0,1.0,-1.0,1.0
539150,14.99,-1.0,1.0,1.0,1.0
539151,14.8,1.0,1.0,1.0,1.0
539152,15.39,1.0,1.0,1.0,-1.0
539153,16.02,-1.0,-1.0,-1.0,-1.0
539154,15.6,1.0,1.0,1.0,-1.0
539155,16.12,-1.0,-1.0,-1.0,-1.0
539156,15.9,-1.0,1.0,-1.0,1.0
539157,15.85,1.0,1.0,-1.0,1.0
539158,15.92,-1.0,1.0,-1.0,1.0
539159,15.76,1.0,1.0,-1.0,-1.0
539160,16.09,-1.0,1.0,-1.0,-1.0
539161,15.71,1.0,1.0,1.0,-1.0
539162,16.14,-1.0,1.0,-1.0,1.0
539163,16.09,1.0,1.0,1.0,1.0
539164,16.39,1.0,1.0,1.0,1.0
539165,16.5,-1.0,1.0,-1.0,1.0
539166,16.21,1.0,1.0,1.0,1.0
539167,16.39,-1.0,1.0,-1.0,1.0
539168,16.16,1.0,1.0,1.0,1.0
539169,16.38,-1.0,1.0,-1.0,1.0
539170,16.24,-1.0,1.0,-1.0,1.0
539171,16.11,-1.0,1.0,-1.0,1.0
539172,16.05,1.0,1.0,1.0,1.0
539173,16.18,1.0,1.0,1.0,1.0
539174,16.32,-1.0,1.0,-1.0,1.0
539175,16.19,-1.0,1.0,-1.0,1.0
539176,15.89,-1.0,1.0,-1.0,-1.0
539177,15.88,1.0,1.0,1.0,1.0
539178,15.94,-1.0,1.0,-1.0,1.0
539179,15.88,1.0,1.0,1.0,1.0
539180,15.92,1.0,1.0,1.0,1.0
539181,16.06,-1.0,1.0,-1.0,1.0
539182,15.94,1.0,1.0,1.0,1.0
539183,15.97,-1.0,1.0,-1.0,1.0
539184,15.96,-1.0,1.0,-1.0,1.0
539185,15.84,1.0,1.0,1.0,-1.0
539186,16.0,1.0,1.0,1.0,1.0
539187,16.21,1.0,1.0,1.0,1.0
