,Close,Target(1),Target(30),Prediction(1),Prediction(30)
540145,15.39,-1.0,1.0,-1.0,1.0
540146,15.13,-1.0,1.0,-1.0,1.0
540147,14.93,-1.0,1.0,-1.0,1.0
540148,14.67,1.0,1.0,1.0,1.0
540149,15.28,1.0,1.0,1.0,1.0
540150,15.89,-1.0,-1.0,-1.0,-1.0
540151,15.47,1.0,1.0,1.0,1.0
540152,15.97,-1.0,-1.0,-1.0,-1.0
540153,15.73,-1.0,1.0,-1.0,1.0
540154,15.65,1.0,1.0,1.0,1.0
540155,15.71,-1.0,1.0,-1.0,1.0
540156,15.57,1.0,1.0,1.0,1.0
540157,15.89,-1.0,1.0,-1.0,1.0
540158,15.51,1.0,1.0,1.0,1.0
540159,15.95,-1.0,1.0,-1.0,1.0
540160,15.93,1.0,1.0,1.0,1.0
540161,16.22,1.0,1.0,1.0,1.0
540162,16.34,-1.0,1.0,-1.0,1.0
540163,16.0,1.0,1.0,1.0,1.0
540164,16.18,-1.0,1.0,-1.0,1.0
540165,15.95,1.0,1.0,-1.0,1.0
540166,16.13,-1.0,1.0,-1.0,1.0
540167,15.98,-1.0,1.0,-1.0,1.0
540168,15.92,-1.0,1.0,-1.0,1.0
540169,15.83,1.0,1.0,1.0,1.0
540170,15.9,1.0,1.0,1.0,1.0
540171,16.1,-1.0,1.0,-1.0,1.0
540172,15.98,-1.0,1.0,-1.0,1.0
540173,15.7,0.0,1.0,0.0,1.0
540174,15.7,1.0,1.0,1.0,1.0
540175,15.76,-1.0,1.0,-1.0,1.0
540176,15.71,1.0,1.0,1.0,1.0
540177,15.75,1.0,1.0,1.0,1.0
540178,15.86,-1.0,-1.0,1.0,-1.0
540179,15.73,1.0,1.0,1.0,1.0
540180,15.76,1.0,1.0,1.0,1.0
540181,15.77,-1.0,1.0,-1.0,1.0
540182,15.7,1.0,1.0,1.0,1.0
540183,15.78,1.0,1.0,1.0,1.0
540184,16.03,1.0,1.0,1.0,1.0
540185,16.24,-1.0,1.0,-1.0,1.0
540186,16.19,1.0,1.0,1.0,1.0
540187,16.34,1.0,1.0,1.0,1.0
540188,16.56,1.0,1.0,1.0,1.0
540189,17.05,1.0,1.0,1.0,1.0
540190,17.1,-1.0,1.0,-1.0,1.0
540191,16.89,1.0,1.0,1.0,-1.0
540192,16.96,1.0,1.0,1.0,1.0
540193,17.0,1.0,1.0,1.0,1.0
540194,17.04,-1.0,1.0,-1.0,1.0
540195,16.87,-1.0,1.0,1.0,1.0
540196,16.64,-1.0,1.0,-1.0,1.0
540197,16.53,1.0,1.0,1.0,-1.0
540198,17.04,-1.0,1.0,1.0,1.0
540199,16.8,-1.0,1.0,-1.0,1.0
540200,16.29,-1.0,1.0,-1.0,1.0
540201,16.17,-1.0,1.0,-1.0,1.0
540202,16.06,-1.0,1.0,-1.0,1.0
540203,15.91,1.0,1.0,-1.0,1.0
540204,16.14,-1.0,1.0,-1.0,1.0
540205,15.87,-1.0,1.0,-1.0,1.0
540206,15.84,1.0,1.0,1.0,1.0
540207,15.91,-1.0,1.0,-1.0,1.0
540208,15.8,1.0,1.0,1.0,1.0
540209,15.88,1.0,1.0,1.0,1.0
540210,16.22,1.0,1.0,1.0,1.0
540211,16.41,1.0,1.0,1.0,1.0
540212,16.56,1.0,1.0,1.0,1.0
540213,16.58,1.0,1.0,1.0,1.0
