,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
541142,26.85,-1.4236644758745385,1.0,1.0,1.0,1.0
541143,27.27,-1.0208258360448779,1.0,1.0,1.0,1.0
541144,27.84,-0.4679871962152191,-1.0,1.0,-1.0,1.0
541145,27.78,-0.5451485563855556,1.0,1.0,-1.0,1.0
541146,27.93,-0.4123099165558948,-1.0,1.0,-1.0,1.0
541147,27.86,-0.4994712767262328,-1.0,1.0,-1.0,1.0
541148,27.7,-0.6766326368965707,-1.0,1.0,-1.0,1.0
541149,27.06,-1.3337939970669126,-1.0,1.0,-1.0,1.0
541150,26.02,-2.390955357237249,1.0,1.0,1.0,1.0
541151,26.12,-2.308116717407586,-1.0,1.0,1.0,1.0
541152,25.74,-2.7052780775779257,-1.0,1.0,1.0,1.0
541153,25.52,-2.9424394377482628,1.0,1.0,1.0,1.0
541154,25.75,-2.729600797918604,1.0,1.0,1.0,1.0
541155,26.03,-2.4667621580889403,1.0,1.0,1.0,1.0
541156,26.99,-1.5239235182592807,1.0,1.0,1.0,1.0
541157,27.85,-0.6810848784296155,1.0,1.0,1.0,1.0
541158,28.32,-0.228246238599958,1.0,1.0,-1.0,1.0
541159,28.75,0.184592401229704,-1.0,1.0,-1.0,1.0
541160,28.58,-0.0025689589406354685,-1.0,1.0,-1.0,1.0
541161,28.3,-0.2997303191109708,-1.0,1.0,-1.0,1.0
541162,28.03,-0.5868916792813081,1.0,1.0,1.0,1.0
541163,28.31,-0.3240530394516519,0.0,1.0,-1.0,1.0
541164,28.31,-0.34121439962198963,-1.0,1.0,-1.0,1.0
541165,28.0,-0.6683757597923261,-1.0,1.0,-1.0,1.0
541166,27.98,-0.7055371199626634,-1.0,1.0,-1.0,1.0
541167,27.97,-0.7326984801330028,-1.0,1.0,-1.0,1.0
541168,27.96,-0.7598598403033421,1.0,1.0,1.0,1.0
541169,28.06,-0.677021200473682,1.0,1.0,1.0,1.0
541170,28.44,-0.3141825606440172,1.0,1.0,1.0,1.0
541171,28.61,-0.16134392081435678,1.0,1.0,1.0,1.0
541172,29.12,0.331494719015307,1.0,1.0,-1.0,1.0
541173,29.22,0.4143333588449636,0.0,1.0,-1.0,1.0
541174,29.22,0.3971719986746258,-1.0,1.0,-1.0,1.0
