,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
544876,36.62,0.8451398161509259,-1.0,1.0,-1.0,1.0
544877,36.55,0.7467124507379239,-1.0,1.0,-1.0,1.0
544878,36.0,0.16828508532493205,-1.0,1.0,-1.0,1.0
544879,35.85,-0.010142280088061284,-1.0,1.0,-1.0,1.0
544880,35.3,-0.5885696455010603,1.0,1.0,-1.0,1.0
544881,36.03,0.11300298908594185,1.0,1.0,1.0,1.0
544882,36.94,0.9945756236729436,1.0,1.0,-1.0,1.0
544883,37.02,1.0461482582599544,-1.0,1.0,-1.0,1.0
544884,35.76,-0.24227910715305254,-1.0,1.0,-1.0,-1.0
544885,35.28,-0.7507064725660442,-1.0,1.0,-1.0,1.0
544886,34.54,-1.5191338379790411,1.0,1.0,-1.0,1.0
544887,35.25,-0.8375612033920348,1.0,1.0,-1.0,1.0
544888,35.75,-0.3659885688050366,-1.0,1.0,-1.0,1.0
544889,35.56,-0.5844159342180291,-1.0,1.0,1.0,1.0
544890,35.2,-0.9728432996310232,1.0,1.0,1.0,1.0
544891,35.95,-0.2512706650440251,1.0,1.0,1.0,1.0
544892,36.35,0.12030196954297878,1.0,1.0,1.0,1.0
544893,36.78,0.5218746041299838,1.0,1.0,1.0,-1.0
544894,37.07,0.7834472387169882,-1.0,1.0,-1.0,1.0
544895,36.98,0.6650198733039829,-1.0,1.0,-1.0,1.0
544896,36.67,0.32659250789099303,1.0,1.0,1.0,-1.0
544897,36.88,0.5081651424779992,-1.0,1.0,-1.0,-1.0
544898,36.62,0.2197377770649922,0.0,1.0,0.0,1.0
544899,36.62,0.19131041165199747,1.0,1.0,1.0,1.0
544900,37.68,1.2228830462390048,-1.0,1.0,-1.0,1.0
544901,37.66,1.1744556808260072,-1.0,1.0,1.0,1.0
544902,37.63,1.1160283154130113,-1.0,1.0,1.0,1.0
544903,37.51,0.9676009500000121,1.0,1.0,1.0,1.0
544904,38.06,1.4891735845870215,-1.0,1.0,-1.0,1.0
544905,37.99,1.3907462191740194,1.0,1.0,1.0,1.0
544906,38.23,1.6023188537610196,1.0,1.0,1.0,1.0
544907,38.84,2.183891488348032,1.0,1.0,1.0,1.0
544908,39.26,2.5754641229350312,1.0,1.0,1.0,-1.0
544909,39.31,2.5970367575220337,-1.0,1.0,-1.0,1.0
544910,39.16,2.4186093921090333,1.0,1.0,1.0,1.0
544911,39.24,2.470182026696044,1.0,1.0,1.0,1.0
544912,39.78,2.981754661283041,-1.0,1.0,-1.0,1.0
544913,39.56,2.733327295870048,-1.0,1.0,-1.0,1.0
544914,39.08,2.224899930457049,1.0,1.0,1.0,1.0
544915,39.66,2.7764725650440525,1.0,1.0,1.0,1.0
544916,39.82,2.9080451996310543,-1.0,1.0,-1.0,1.0
544917,39.75,2.8096178342180598,1.0,1.0,1.0,1.0
544918,39.77,2.801190468805068,1.0,-1.0,1.0,-1.0
544919,39.81,2.812763103392065,-1.0,1.0,-1.0,1.0
544920,39.57,2.5443357379790683,1.0,1.0,1.0,1.0
544921,39.88,2.825908372566076,-1.0,1.0,-1.0,1.0
544922,38.81,1.7274810071530808,1.0,1.0,1.0,1.0
544923,38.83,1.719053641740075,1.0,1.0,1.0,1.0
544924,39.24,2.100626276327084,1.0,1.0,1.0,1.0
544925,39.4,2.232198910914086,-1.0,1.0,-1.0,-1.0
544926,38.9,1.7037715455010911,1.0,1.0,1.0,1.0
544927,39.18,1.9553441800880904,1.0,-1.0,1.0,1.0
544928,39.45,2.1969168146750992,-1.0,-1.0,-1.0,1.0
544929,39.24,1.9584894492621032,1.0,-1.0,1.0,-1.0
544930,39.5,2.1900620838490994,1.0,-1.0,1.0,-1.0
544931,40.81,3.471634718436107,1.0,-1.0,1.0,-1.0
544932,41.2,3.8332073530231128,-1.0,-1.0,-1.0,-1.0
544933,40.53,3.1347799876101163,1.0,-1.0,1.0,-1.0
544934,41.12,3.6963526221971112,1.0,-1.0,1.0,1.0
544935,43.58,6.127925256784117,-1.0,-1.0,-1.0,-1.0
544936,42.87,5.389497891371121,1.0,-1.0,1.0,-1.0
544937,42.92,5.411070525958125,1.0,-1.0,-1.0,-1.0
544938,43.37,5.832643160545125,-1.0,-1.0,-1.0,-1.0
544939,43.04,5.474215795132132,-1.0,-1.0,-1.0,-1.0
544940,41.82,4.225788429719138,1.0,-1.0,1.0,-1.0
544941,42.17,4.547361064306138,1.0,-1.0,1.0,-1.0
544942,43.13,5.478933698893144,-1.0,-1.0,-1.0,-1.0
544943,42.66,4.980506333480143,1.0,-1.0,1.0,-1.0
544944,43.56,5.852078968067148,-1.0,-1.0,-1.0,-1.0
544945,42.22,4.483651602654148,-1.0,-1.0,1.0,-1.0
544946,41.39,3.6252242372411563,-1.0,-1.0,-1.0,-1.0
544947,40.62,2.8267968718281584,-1.0,-1.0,-1.0,1.0
544948,39.22,1.3983695064151576,1.0,-1.0,1.0,1.0
544949,41.21,3.3599421410021653,1.0,-1.0,-1.0,1.0
544950,41.51,3.6315147755891672,1.0,-1.0,1.0,-1.0
544951,42.03,4.1230874101761685,-1.0,-1.0,-1.0,-1.0
544952,41.76,3.8246600447631702,-1.0,-1.0,1.0,-1.0
544953,41.11,3.1462326793501774,1.0,-1.0,1.0,-1.0
544954,41.22,3.2278053139371816,-1.0,-1.0,-1.0,-1.0
544955,40.54,2.5193779485241805,-1.0,-1.0,-1.0,-1.0
544956,39.96,1.9109505831111877,-1.0,-1.0,-1.0,1.0
544957,38.14,0.06252321769819247,1.0,-1.0,1.0,-1.0
544958,38.36,0.2540958522851895,-1.0,-1.0,-1.0,-1.0
544959,37.73,-0.4043315131278078,-1.0,-1.0,-1.0,-1.0
544960,36.99,-1.1727588785407974,1.0,-1.0,1.0,-1.0
544961,37.7,-0.4911862439537913,1.0,-1.0,1.0,-1.0
544962,38.78,0.5603863906332052,-1.0,-1.0,-1.0,-1.0
544963,37.95,-0.29804097477978786,-1.0,-1.0,-1.0,-1.0
544964,36.78,-1.4964683401927843,1.0,-1.0,1.0,-1.0
544965,37.94,-0.3648957056057896,1.0,-1.0,-1.0,-1.0
544966,38.09,-0.2433230710187786,-1.0,-1.0,-1.0,1.0
544967,36.07,-2.2917504364317764,1.0,-1.0,1.0,-1.0
544968,36.13,-2.260177801844769,-1.0,1.0,-1.0,1.0
544969,36.07,-2.348605167257773,0.0,1.0,0.0,1.0
544970,36.07,-2.377032532670768,1.0,1.0,1.0,1.0
544971,37.32,-1.1554598980837625,1.0,1.0,1.0,1.0
544972,37.41,-1.0938872634967678,1.0,1.0,1.0,1.0
544973,37.47,-1.0623146289097605,1.0,1.0,1.0,1.0
544974,38.6,0.03925800567724736,1.0,-1.0,1.0,1.0
544975,38.9,0.3108306402642498,-1.0,-1.0,-1.0,-1.0
544976,38.36,-0.2575967251487512,-1.0,-1.0,-1.0,-1.0
544977,38.07,-0.5760240905617451,-1.0,-1.0,-1.0,-1.0
544978,37.88,-0.7944514559747375,-1.0,-1.0,-1.0,-1.0
544979,36.74,-1.9628788213877402,1.0,1.0,1.0,1.0
544980,37.01,-1.7213061868007389,-1.0,1.0,-1.0,1.0
544981,36.23,-2.5297335522137345,-1.0,1.0,-1.0,1.0
544982,36.14,-2.6481609176267256,-1.0,1.0,-1.0,1.0
544983,36.04,-2.776588283039729,-1.0,1.0,-1.0,1.0
544984,34.85,-3.995015648452721,-1.0,1.0,-1.0,1.0
544985,34.3,-4.573443013865719,1.0,1.0,1.0,1.0
544986,34.31,-4.591870379278717,-1.0,1.0,-1.0,1.0
544987,33.91,-5.020297744691717,-1.0,1.0,1.0,1.0
544988,33.77,-5.1887251101047065,1.0,1.0,1.0,1.0
544989,34.43,-4.557152475517704,1.0,1.0,1.0,1.0
544990,34.51,-4.505579840930707,1.0,1.0,1.0,1.0
544991,34.61,-4.434007206343701,1.0,1.0,1.0,1.0
544992,34.86,-4.212434571756695,1.0,1.0,1.0,1.0
544993,35.95,-3.1508619371696938,-1.0,-1.0,-1.0,1.0
544994,35.78,-3.34928930258269,1.0,-1.0,1.0,-1.0
544995,36.16,-2.997716667995689,-1.0,-1.0,-1.0,-1.0
544996,35.31,-3.8761440334086794,1.0,1.0,1.0,1.0
544997,35.99,-3.2245713988216806,1.0,-1.0,1.0,-1.0
544998,36.97,-2.2729987642346785,-1.0,-1.0,-1.0,-1.0
544999,36.4,-2.871426129647673,1.0,-1.0,1.0,-1.0
545000,37.74,-1.559853495060672,1.0,-1.0,1.0,1.0
545001,38.48,-0.8482808604736718,-1.0,-1.0,-1.0,-1.0
545002,38.32,-1.0367082258866631,-1.0,-1.0,1.0,-1.0
545003,37.98,-1.4051355912996613,-1.0,-1.0,-1.0,-1.0
545004,37.38,-2.0335629567126574,-1.0,-1.0,1.0,-1.0
545005,37.27,-2.171990322125652,-1.0,1.0,-1.0,1.0
545006,37.26,-2.2104176875386514,1.0,1.0,-1.0,1.0
545007,37.99,-1.5088450529516493,-1.0,1.0,-1.0,1.0
545008,37.86,-1.6672724183646466,1.0,1.0,1.0,1.0
545009,38.27,-1.2856997837776376,1.0,1.0,1.0,1.0
545010,38.81,-0.7741271491906332,-1.0,1.0,-1.0,1.0
545011,38.38,-1.2325545146036347,1.0,1.0,1.0,1.0
545012,38.9,-0.7409818800166335,-1.0,1.0,1.0,1.0
545013,38.43,-1.239409245429627,-1.0,1.0,-1.0,1.0
545014,37.24,-2.4578366108426266,-1.0,1.0,-1.0,1.0
545015,36.74,-2.9862639762556213,-1.0,1.0,-1.0,1.0
545016,36.36,-3.394691341668618,-1.0,1.0,-1.0,1.0
545017,36.25,-3.5331187070816137,1.0,1.0,1.0,1.0
545018,36.64,-3.1715460724946136,1.0,1.0,-1.0,1.0
545019,36.94,-2.899973437907612,-1.0,1.0,-1.0,1.0
545020,36.39,-3.4784008033206035,1.0,1.0,1.0,1.0
545021,36.45,-3.4468281687336026,-1.0,1.0,-1.0,1.0
545022,35.78,-4.1452555341466,-1.0,1.0,-1.0,1.0
545023,35.33,-4.623682899559597,1.0,1.0,1.0,1.0
545024,35.45,-4.532110264972586,-1.0,1.0,1.0,1.0
545025,35.31,-4.70053763038559,1.0,1.0,1.0,1.0
545026,35.69,-4.348964995798589,-1.0,1.0,-1.0,1.0
545027,35.11,-4.957392361211582,-1.0,1.0,-1.0,1.0
545028,34.96,-5.1358197266245815,1.0,1.0,1.0,1.0
545029,35.81,-4.314247092037577,1.0,1.0,1.0,1.0
545030,36.05,-4.1026744574505765,1.0,1.0,1.0,1.0
545031,37.01,-3.171101822863569,-1.0,1.0,-1.0,1.0
545032,36.27,-3.939529188276566,1.0,1.0,1.0,1.0
545033,36.88,-3.357956553689561,1.0,1.0,1.0,-1.0
545034,37.13,-3.136383919102556,1.0,1.0,1.0,1.0
545035,37.57,-2.7248112845155603,1.0,1.0,1.0,1.0
545036,38.28,-2.043238649928554,1.0,1.0,1.0,1.0
545037,38.44,-1.9116660153415523,-1.0,1.0,-1.0,1.0
545038,38.35,-2.030093380754544,-1.0,1.0,1.0,1.0
545039,38.34,-2.0685207461675432,1.0,1.0,1.0,1.0
545040,39.22,-1.2169481115805425,1.0,1.0,1.0,1.0
545041,39.48,-0.9853754769935392,-1.0,1.0,-1.0,1.0
545042,39.32,-1.1738028424065376,-1.0,1.0,-1.0,1.0
545043,39.03,-1.4922302078195315,-1.0,1.0,-1.0,1.0
545044,38.56,-1.990657573232525,1.0,1.0,-1.0,1.0
545045,39.79,-0.7890849386455229,-1.0,1.0,1.0,1.0
545046,39.56,-1.0475123040585217,1.0,1.0,1.0,1.0
545047,39.71,-0.9259396694715178,-1.0,1.0,-1.0,1.0
545048,39.43,-1.2343670348845135,1.0,1.0,1.0,1.0
545049,39.48,-1.2127944002975184,1.0,1.0,1.0,1.0
545050,39.66,-1.0612217657105134,-1.0,1.0,-1.0,1.0
545051,39.08,-1.6696491311235064,1.0,1.0,1.0,1.0
545052,40.24,-0.5380764965364975,-1.0,1.0,-1.0,1.0
545053,39.77,-1.0365038619494982,-1.0,1.0,-1.0,1.0
545054,39.74,-1.094931227362494,1.0,1.0,1.0,1.0
545055,40.27,-0.5933585927754876,1.0,1.0,1.0,1.0
545056,40.63,-0.26178595818849004,1.0,1.0,1.0,1.0
545057,40.79,-0.13021332360148818,1.0,1.0,1.0,1.0
545058,40.96,0.011359310985518787,1.0,1.0,1.0,1.0
545059,41.29,0.31293194557252235,1.0,1.0,1.0,1.0
545060,41.76,0.7545045801595194,1.0,1.0,1.0,1.0
545061,42.07,1.036077214746527,-1.0,1.0,-1.0,1.0
545062,41.29,0.22764984933353105,1.0,1.0,1.0,1.0
545063,42.45,1.3592224839205331,1.0,1.0,1.0,1.0
545064,43.05,1.9307951185075325,1.0,1.0,1.0,1.0
545065,43.23,2.082367753094537,1.0,1.0,1.0,1.0
545066,43.6,2.4239403876815477,1.0,1.0,1.0,1.0
545067,43.88,2.6755130222685466,-1.0,1.0,1.0,1.0
545068,43.7,2.4670856568555517,1.0,1.0,1.0,1.0
545069,43.86,2.5986582914425544,1.0,1.0,1.0,1.0
545070,43.96,2.6702309260295536,1.0,1.0,1.0,1.0
545071,44.03,2.7118035606165587,1.0,1.0,1.0,1.0
545072,44.59,3.2433761952035667,1.0,1.0,1.0,1.0
545073,45.4,4.024948829790567,1.0,1.0,1.0,1.0
545074,46.42,5.016521464377568,1.0,1.0,1.0,-1.0
545075,46.74,5.308094098964574,-1.0,-1.0,-1.0,-1.0
545076,46.56,5.09966673355158,-1.0,1.0,-1.0,-1.0
545077,46.3,4.8112393681385734,1.0,1.0,1.0,-1.0
545078,46.49,4.972812002725583,-1.0,-1.0,-1.0,-1.0
545079,46.48,4.934384637312583,-1.0,-1.0,-1.0,-1.0
545080,46.05,4.475957271899588,-1.0,-1.0,-1.0,-1.0
545081,45.63,4.027529906486592,-1.0,1.0,-1.0,1.0
545082,44.97,3.339102541073593,-1.0,1.0,-1.0,1.0
545083,44.93,3.2706751756606,1.0,1.0,1.0,1.0
545084,45.36,3.6722478102475975,1.0,1.0,1.0,1.0
545085,45.92,4.203820444834605,-1.0,1.0,-1.0,1.0
545086,45.78,4.03539307942161,-1.0,1.0,-1.0,1.0
545087,44.83,3.056965714008612,1.0,1.0,1.0,1.0
545088,45.63,3.828538348595615,-1.0,1.0,-1.0,1.0
545089,45.27,3.4401109831826204,1.0,1.0,1.0,1.0
545090,45.44,3.5816836177696203,0.0,1.0,0.0,1.0
545091,45.44,3.5532562523566185,1.0,-1.0,1.0,-1.0
545092,46.47,4.554828886943625,1.0,-1.0,1.0,-1.0
545093,46.94,4.996401521530629,1.0,-1.0,1.0,-1.0
545094,47.31,5.337974156117639,1.0,-1.0,1.0,-1.0
545095,47.51,5.509546790704633,-1.0,-1.0,-1.0,-1.0
545096,46.89,4.8611194252916405,-1.0,-1.0,-1.0,-1.0
545097,46.24,4.182692059878646,1.0,-1.0,1.0,-1.0
545098,46.35,4.264264694465645,1.0,-1.0,1.0,-1.0
545099,46.64,4.525837329052648,-1.0,-1.0,-1.0,-1.0
545100,46.46,4.317409963639655,1.0,-1.0,1.0,-1.0
545101,46.61,4.4389825982266595,-1.0,-1.0,-1.0,1.0
545102,46.06,3.86055523281366,-1.0,-1.0,-1.0,-1.0
545103,46.0,3.772127867400663,1.0,-1.0,1.0,-1.0
545104,46.44,4.183700501987666,1.0,-1.0,1.0,-1.0
545105,46.68,4.395273136574666,1.0,-1.0,1.0,-1.0
545106,46.74,4.426845771161673,-1.0,1.0,-1.0,-1.0
545107,46.64,4.298418405748676,-1.0,1.0,-1.0,1.0
545108,46.29,3.9199910403356815,-1.0,1.0,-1.0,1.0
545109,46.07,3.67156367492268,-1.0,1.0,-1.0,1.0
545110,46.04,3.613136309509685,1.0,1.0,1.0,1.0
545111,46.24,3.784708944096693,-1.0,1.0,-1.0,1.0
545112,45.91,3.4262815786836853,-1.0,1.0,-1.0,1.0
545113,45.8,3.2878542132706916,1.0,1.0,1.0,1.0
545114,46.24,3.699426847857701,1.0,1.0,1.0,1.0
545115,46.29,3.720999482444704,1.0,1.0,1.0,1.0
545116,46.86,4.262572117031702,1.0,1.0,1.0,-1.0
545117,47.4,4.7741447516187066,-1.0,1.0,-1.0,1.0
545118,47.0,4.345717386205713,-1.0,1.0,-1.0,-1.0
545119,46.26,3.5772900207927094,-1.0,1.0,1.0,1.0
545120,46.02,3.3088626553797202,-1.0,1.0,-1.0,1.0
545121,45.37,2.6304352899667194,-1.0,1.0,-1.0,1.0
545122,44.84,2.0720079245537306,-1.0,1.0,-1.0,1.0
545123,44.83,2.0335805591407308,1.0,1.0,-1.0,1.0
545124,45.5,2.67515319372773,-1.0,1.0,-1.0,1.0
545125,45.44,2.5867258283147336,1.0,1.0,-1.0,1.0
545126,45.56,2.6782984629017363,-1.0,1.0,-1.0,1.0
545127,45.53,2.6198710974887405,1.0,1.0,1.0,1.0
545128,45.73,2.791443732075741,1.0,1.0,1.0,1.0
545129,45.91,2.9430163666627465,1.0,1.0,1.0,1.0
545130,46.34,3.3445890012497586,-1.0,1.0,-1.0,-1.0
545131,46.25,3.2261616358367533,-1.0,1.0,1.0,1.0
545132,44.82,1.7677342704237589,1.0,1.0,1.0,1.0
545133,44.88,1.7993069050107593,1.0,1.0,1.0,1.0
545134,45.89,2.7808795395977626,1.0,1.0,1.0,1.0
545135,46.25,3.1124521741847677,1.0,1.0,1.0,1.0
545136,47.11,3.944024808771772,1.0,1.0,1.0,1.0
545137,47.91,4.715597443358766,-1.0,-1.0,-1.0,-1.0
545138,47.8,4.577170077945774,1.0,-1.0,1.0,-1.0
545139,48.19,4.938742712532778,1.0,-1.0,1.0,-1.0
