,Close,Target(1),Target(30),Prediction(1),Prediction(30)
550476,77.65,-1.0,1.0,-1.0,1.0
550477,76.66,-1.0,1.0,-1.0,1.0
550478,76.43,1.0,1.0,1.0,1.0
550479,77.5,1.0,1.0,1.0,1.0
550480,78.34,1.0,1.0,1.0,1.0
550481,79.83,1.0,1.0,1.0,1.0
550482,80.78,-1.0,1.0,-1.0,1.0
550483,80.13,-1.0,1.0,-1.0,1.0
550484,76.44,1.0,1.0,1.0,1.0
550485,76.71,-1.0,1.0,-1.0,1.0
550486,76.3,1.0,1.0,1.0,1.0
550487,77.91,1.0,1.0,1.0,1.0
550488,78.39,1.0,1.0,1.0,1.0
550489,80.46,-1.0,1.0,-1.0,1.0
550490,79.8,1.0,1.0,1.0,1.0
550491,81.18,-1.0,1.0,-1.0,1.0
550492,80.94,1.0,1.0,1.0,1.0
550493,80.99,1.0,1.0,-1.0,1.0
550494,81.51,-1.0,1.0,-1.0,1.0
550495,80.01,-1.0,1.0,-1.0,1.0
550496,79.01,1.0,1.0,1.0,1.0
550497,79.55,-1.0,1.0,-1.0,1.0
550498,79.03,1.0,1.0,1.0,1.0
550499,79.85,1.0,1.0,-1.0,-1.0
550500,80.75,1.0,1.0,1.0,-1.0
550501,81.2,-1.0,1.0,-1.0,1.0
550502,81.03,1.0,1.0,-1.0,1.0
550503,81.25,1.0,1.0,1.0,1.0
550504,81.94,-1.0,1.0,-1.0,1.0
550505,81.49,0.0,1.0,-1.0,1.0
550506,81.49,1.0,1.0,1.0,1.0
550507,81.97,-1.0,1.0,-1.0,1.0
550508,81.86,-1.0,1.0,-1.0,-1.0
550509,81.84,-1.0,1.0,-1.0,1.0
550510,81.06,1.0,1.0,1.0,1.0
550511,82.37,1.0,1.0,1.0,1.0
550512,83.21,-1.0,1.0,-1.0,1.0
550513,82.51,1.0,1.0,1.0,1.0
550514,82.58,-1.0,1.0,-1.0,1.0
550515,82.57,1.0,1.0,1.0,1.0
550516,83.32,-1.0,-1.0,-1.0,-1.0
550517,82.95,-1.0,-1.0,-1.0,-1.0
550518,81.51,1.0,-1.0,1.0,-1.0
550519,81.73,1.0,1.0,1.0,1.0
550520,84.14,1.0,-1.0,1.0,-1.0
550521,84.27,1.0,1.0,1.0,1.0
550522,84.54,1.0,-1.0,1.0,-1.0
550523,86.6,1.0,-1.0,1.0,-1.0
550524,88.41,1.0,-1.0,1.0,-1.0
550525,88.49,-1.0,-1.0,-1.0,-1.0
550526,86.3,1.0,-1.0,1.0,1.0
550527,86.58,-1.0,-1.0,-1.0,-1.0
550528,86.56,1.0,-1.0,-1.0,-1.0
550529,86.79,-1.0,-1.0,-1.0,-1.0
550530,85.69,1.0,-1.0,1.0,-1.0
550531,86.16,1.0,-1.0,1.0,-1.0
550532,86.47,-1.0,-1.0,-1.0,-1.0
550533,85.06,-1.0,-1.0,-1.0,-1.0
550534,84.69,1.0,-1.0,1.0,-1.0
550535,86.59,-1.0,-1.0,-1.0,-1.0
550536,85.88,-1.0,-1.0,1.0,-1.0
550537,85.3,1.0,-1.0,-1.0,-1.0
550538,87.48,-1.0,-1.0,-1.0,-1.0
550539,87.41,-1.0,-1.0,-1.0,-1.0
550540,84.35,1.0,-1.0,1.0,-1.0
550541,84.9,1.0,-1.0,1.0,-1.0
550542,86.25,1.0,-1.0,1.0,-1.0
550543,88.66,1.0,-1.0,1.0,1.0
550544,89.99,-1.0,-1.0,-1.0,-1.0
550545,86.54,-1.0,1.0,-1.0,-1.0
550546,82.88,-1.0,1.0,-1.0,1.0
550547,80.42,1.0,1.0,1.0,1.0
550548,80.61,1.0,1.0,1.0,1.0
550549,84.16,-1.0,-1.0,-1.0,-1.0
550550,83.03,1.0,1.0,1.0,-1.0
550551,84.75,-1.0,-1.0,-1.0,-1.0
550552,83.42,-1.0,-1.0,-1.0,-1.0
550553,81.96,-1.0,-1.0,-1.0,-1.0
550554,80.53,1.0,-1.0,-1.0,1.0
550555,80.93,-1.0,-1.0,-1.0,-1.0
550556,79.54,-1.0,-1.0,-1.0,1.0
550557,77.66,1.0,-1.0,1.0,-1.0
550558,79.41,-1.0,-1.0,1.0,-1.0
550559,77.9,1.0,1.0,1.0,1.0
550560,78.94,-1.0,1.0,-1.0,1.0
550561,78.18,1.0,1.0,1.0,1.0
550562,82.43,1.0,-1.0,1.0,-1.0
550563,82.51,-1.0,-1.0,-1.0,-1.0
550564,80.07,1.0,1.0,1.0,1.0
550565,81.85,1.0,1.0,1.0,1.0
550566,82.92,-1.0,-1.0,-1.0,-1.0
550567,78.42,1.0,1.0,1.0,1.0
550568,78.74,1.0,1.0,1.0,1.0
550569,80.09,-1.0,-1.0,-1.0,-1.0
550570,79.97,1.0,1.0,1.0,1.0
550571,83.49,1.0,-1.0,1.0,-1.0
550572,85.01,-1.0,-1.0,1.0,-1.0
550573,84.71,1.0,-1.0,1.0,-1.0
550574,86.74,1.0,-1.0,1.0,-1.0
550575,87.08,-1.0,-1.0,-1.0,-1.0
550576,86.62,1.0,-1.0,1.0,-1.0
550577,86.98,-1.0,-1.0,-1.0,-1.0
550578,85.8,-1.0,-1.0,-1.0,-1.0
550579,83.66,1.0,-1.0,1.0,-1.0
550580,83.81,-1.0,-1.0,-1.0,-1.0
550581,81.46,1.0,-1.0,-1.0,-1.0
550582,81.73,-1.0,-1.0,-1.0,-1.0
550583,80.91,-1.0,-1.0,-1.0,-1.0
550584,78.52,-1.0,-1.0,-1.0,1.0
550585,77.15,-1.0,-1.0,-1.0,-1.0
550586,76.75,-1.0,-1.0,-1.0,-1.0
550587,76.37,1.0,-1.0,-1.0,1.0
550588,77.0,1.0,-1.0,1.0,-1.0
550589,79.58,1.0,-1.0,1.0,-1.0
550590,80.91,1.0,-1.0,1.0,-1.0
550591,81.11,-1.0,-1.0,1.0,1.0
550592,80.91,1.0,-1.0,1.0,-1.0
550593,82.3,-1.0,-1.0,-1.0,1.0
550594,82.07,1.0,-1.0,1.0,-1.0
550595,82.1,-1.0,-1.0,-1.0,-1.0
550596,79.38,1.0,-1.0,1.0,-1.0
550597,79.52,1.0,-1.0,1.0,-1.0
550598,80.95,-1.0,-1.0,-1.0,-1.0
550599,80.05,1.0,-1.0,1.0,-1.0
550600,82.12,1.0,-1.0,1.0,1.0
550601,82.14,1.0,-1.0,1.0,-1.0
550602,82.92,-1.0,-1.0,-1.0,-1.0
550603,79.94,-1.0,-1.0,-1.0,1.0
550604,78.88,-1.0,-1.0,-1.0,-1.0
550605,77.69,1.0,1.0,1.0,1.0
550606,77.93,1.0,1.0,-1.0,1.0
550607,80.19,-1.0,-1.0,-1.0,-1.0
550608,78.67,1.0,-1.0,1.0,1.0
550609,78.79,-1.0,-1.0,-1.0,-1.0
550610,77.6,-1.0,-1.0,-1.0,-1.0
550611,76.33,1.0,1.0,1.0,1.0
550612,76.95,1.0,-1.0,1.0,-1.0
550613,77.81,-1.0,-1.0,-1.0,-1.0
550614,76.34,1.0,-1.0,1.0,-1.0
550615,76.46,-1.0,-1.0,-1.0,-1.0
550616,75.39,1.0,-1.0,1.0,-1.0
550617,75.9,1.0,-1.0,1.0,-1.0
550618,76.83,-1.0,-1.0,-1.0,-1.0
550619,75.62,-1.0,1.0,-1.0,1.0
550620,75.39,-1.0,1.0,-1.0,1.0
550621,75.06,1.0,1.0,1.0,1.0
550622,75.57,-1.0,1.0,-1.0,1.0
550623,74.02,-1.0,1.0,-1.0,-1.0
550624,72.9,-1.0,1.0,-1.0,1.0
550625,72.23,1.0,1.0,1.0,-1.0
550626,75.42,-1.0,1.0,-1.0,1.0
550627,73.79,-1.0,1.0,-1.0,1.0
550628,73.24,1.0,1.0,1.0,1.0
550629,76.86,1.0,1.0,1.0,1.0
550630,77.84,1.0,1.0,1.0,1.0
550631,78.32,-1.0,1.0,1.0,1.0
550632,76.45,1.0,1.0,1.0,1.0
550633,77.22,1.0,1.0,1.0,-1.0
550634,77.57,1.0,1.0,1.0,1.0
550635,78.2,1.0,1.0,1.0,-1.0
550636,78.61,-1.0,1.0,1.0,1.0
550637,78.37,-1.0,1.0,-1.0,-1.0
550638,78.14,-1.0,1.0,-1.0,1.0
550639,76.45,-1.0,1.0,-1.0,1.0
550640,76.2,1.0,1.0,1.0,1.0
550641,77.23,-1.0,1.0,-1.0,1.0
550642,76.92,-1.0,1.0,1.0,1.0
550643,75.94,-1.0,1.0,-1.0,1.0
550644,74.57,1.0,1.0,1.0,1.0
550645,76.3,-1.0,1.0,-1.0,1.0
550646,74.81,1.0,1.0,1.0,1.0
550647,75.51,1.0,1.0,1.0,1.0
550648,76.63,1.0,1.0,1.0,1.0
550649,78.3,1.0,1.0,1.0,1.0
550650,80.77,-1.0,1.0,-1.0,1.0
550651,80.59,1.0,1.0,1.0,1.0
550652,82.46,1.0,1.0,1.0,1.0
550653,82.93,-1.0,1.0,-1.0,-1.0
550654,82.39,1.0,1.0,1.0,-1.0
550655,83.18,1.0,1.0,1.0,1.0
550656,83.72,-1.0,1.0,-1.0,1.0
550657,83.23,1.0,1.0,1.0,1.0
550658,84.29,1.0,1.0,1.0,1.0
550659,84.91,1.0,1.0,1.0,1.0
550660,84.94,1.0,1.0,1.0,1.0
550661,85.45,-1.0,1.0,1.0,1.0
550662,81.2,-1.0,1.0,-1.0,-1.0
550663,80.97,-1.0,1.0,-1.0,1.0
550664,78.8,1.0,1.0,1.0,1.0
550665,79.58,1.0,1.0,1.0,-1.0
550666,80.06,-1.0,1.0,-1.0,1.0
550667,79.04,1.0,1.0,1.0,1.0
550668,79.41,-1.0,1.0,-1.0,1.0
550669,78.87,-1.0,1.0,-1.0,1.0
550670,78.63,1.0,1.0,1.0,1.0
550671,79.83,1.0,1.0,1.0,1.0
550672,81.51,1.0,1.0,1.0,-1.0
550673,81.72,1.0,1.0,1.0,1.0
550674,84.49,-1.0,1.0,-1.0,1.0
550675,84.23,1.0,1.0,-1.0,1.0
550676,84.27,-1.0,1.0,-1.0,1.0
550677,84.01,1.0,1.0,1.0,1.0
550678,84.6,1.0,1.0,1.0,1.0
550679,87.77,-1.0,1.0,1.0,1.0
550680,87.46,1.0,1.0,-1.0,1.0
550681,87.75,-1.0,1.0,-1.0,-1.0
550682,85.17,1.0,1.0,1.0,-1.0
550683,85.65,1.0,1.0,1.0,1.0
550684,87.32,1.0,1.0,1.0,-1.0
550685,88.19,1.0,1.0,1.0,1.0
550686,88.47,-1.0,1.0,-1.0,1.0
550687,88.08,1.0,1.0,1.0,1.0
550688,88.94,-1.0,1.0,-1.0,1.0
550689,87.65,1.0,1.0,-1.0,1.0
550690,88.98,-1.0,1.0,-1.0,1.0
550691,88.17,1.0,1.0,1.0,1.0
550692,90.25,1.0,1.0,1.0,1.0
550693,90.74,1.0,1.0,1.0,-1.0
550694,91.74,1.0,1.0,-1.0,1.0
550695,93.05,-1.0,1.0,-1.0,1.0
550696,92.72,-1.0,1.0,-1.0,1.0
550697,90.89,1.0,1.0,1.0,1.0
550698,91.07,1.0,1.0,-1.0,-1.0
550699,93.04,1.0,1.0,1.0,-1.0
550700,93.88,1.0,1.0,1.0,1.0
550701,94.1,1.0,1.0,1.0,1.0
550702,94.8,1.0,-1.0,1.0,-1.0
550703,94.84,1.0,1.0,1.0,1.0
550704,95.2,1.0,1.0,-1.0,1.0
550705,95.47,1.0,1.0,1.0,1.0
550706,96.63,1.0,1.0,1.0,1.0
550707,97.76,-1.0,-1.0,-1.0,-1.0
550708,97.44,-1.0,1.0,-1.0,1.0
550709,96.87,1.0,1.0,1.0,1.0
550710,97.7,1.0,-1.0,1.0,-1.0
550711,99.03,-1.0,-1.0,-1.0,1.0
550712,97.61,1.0,1.0,1.0,1.0
550713,98.1,-1.0,1.0,-1.0,1.0
550714,98.0,-1.0,1.0,-1.0,1.0
550715,96.66,1.0,1.0,1.0,1.0
550716,97.02,-1.0,1.0,-1.0,1.0
550717,96.46,-1.0,1.0,-1.0,1.0
550718,96.19,-1.0,1.0,-1.0,1.0
550719,95.79,1.0,1.0,1.0,1.0
550720,96.92,1.0,1.0,1.0,1.0
550721,97.5,-1.0,1.0,-1.0,1.0
550722,96.42,1.0,1.0,1.0,1.0
550723,97.32,1.0,1.0,1.0,1.0
550724,98.55,-1.0,1.0,-1.0,1.0
550725,98.27,-1.0,1.0,-1.0,1.0
550726,96.41,1.0,1.0,1.0,1.0
550727,97.97,-1.0,1.0,-1.0,1.0
550728,97.18,-1.0,1.0,-1.0,1.0
550729,97.15,-1.0,1.0,-1.0,1.0
550730,96.94,1.0,1.0,1.0,1.0
550731,96.97,-1.0,1.0,-1.0,1.0
550732,93.81,1.0,1.0,1.0,1.0
550733,96.68,1.0,1.0,1.0,1.0
550734,98.93,-1.0,-1.0,-1.0,-1.0
550735,98.66,-1.0,-1.0,-1.0,-1.0
550736,98.18,-1.0,1.0,-1.0,1.0
550737,97.51,1.0,1.0,1.0,1.0
550738,97.54,1.0,1.0,-1.0,1.0
550739,97.76,-1.0,1.0,-1.0,1.0
550740,97.25,1.0,1.0,1.0,1.0
550741,98.93,1.0,1.0,1.0,1.0
550742,99.74,1.0,1.0,1.0,1.0
550743,101.25,1.0,1.0,1.0,1.0
550744,103.07,1.0,1.0,1.0,1.0
550745,105.02,1.0,-1.0,-1.0,-1.0
550746,105.85,1.0,-1.0,1.0,-1.0
550747,107.37,-1.0,-1.0,-1.0,-1.0
550748,102.14,1.0,1.0,1.0,-1.0
550749,102.96,-1.0,-1.0,1.0,-1.0
550750,101.76,1.0,-1.0,1.0,-1.0
550751,103.1,-1.0,1.0,-1.0,1.0
550752,101.97,-1.0,-1.0,-1.0,-1.0
550753,100.22,1.0,-1.0,1.0,-1.0
550754,100.79,1.0,-1.0,-1.0,-1.0
550755,103.41,-1.0,-1.0,-1.0,-1.0
550756,103.15,1.0,-1.0,1.0,-1.0
550757,103.53,-1.0,-1.0,-1.0,-1.0
550758,100.92,-1.0,-1.0,-1.0,-1.0
550759,100.87,-1.0,-1.0,-1.0,-1.0
550760,97.43,1.0,1.0,-1.0,1.0
550761,98.75,1.0,1.0,1.0,1.0
550762,99.02,-1.0,1.0,1.0,1.0
550763,97.97,-1.0,1.0,-1.0,1.0
550764,95.93,1.0,1.0,-1.0,1.0
550765,97.86,1.0,1.0,1.0,1.0
550766,98.33,1.0,1.0,1.0,-1.0
550767,100.98,-1.0,1.0,-1.0,1.0
550768,100.16,-1.0,1.0,-1.0,1.0
550769,100.1,-1.0,1.0,1.0,1.0
550770,99.79,1.0,1.0,1.0,1.0
550771,100.85,1.0,1.0,1.0,1.0
550772,100.87,1.0,1.0,1.0,1.0
550773,103.79,-1.0,-1.0,-1.0,-1.0
550774,103.76,1.0,-1.0,1.0,-1.0
550775,104.49,-1.0,-1.0,-1.0,-1.0
550776,104.3,-1.0,-1.0,-1.0,-1.0
550777,103.52,-1.0,-1.0,-1.0,-1.0
550778,102.73,-1.0,-1.0,-1.0,-1.0
550779,101.04,1.0,-1.0,1.0,-1.0
550780,101.13,1.0,-1.0,-1.0,-1.0
550781,103.72,-1.0,-1.0,-1.0,-1.0
550782,100.42,-1.0,1.0,-1.0,1.0
550783,96.9,-1.0,1.0,-1.0,1.0
550784,96.89,1.0,1.0,1.0,1.0
550785,97.55,1.0,1.0,1.0,1.0
550786,98.76,-1.0,1.0,-1.0,1.0
550787,97.06,1.0,1.0,1.0,1.0
550788,98.71,1.0,1.0,1.0,1.0
550789,100.86,-1.0,1.0,1.0,1.0
550790,100.53,-1.0,1.0,-1.0,1.0
550791,100.39,1.0,1.0,1.0,1.0
550792,102.91,1.0,-1.0,1.0,-1.0
550793,103.0,1.0,1.0,1.0,1.0
550794,105.13,1.0,-1.0,1.0,-1.0
550795,114.29,1.0,-1.0,-1.0,-1.0
550796,115.74,-1.0,-1.0,-1.0,-1.0
550797,111.64,-1.0,-1.0,-1.0,-1.0
550798,108.89,-1.0,-1.0,-1.0,-1.0
550799,105.96,1.0,-1.0,1.0,-1.0
550800,106.42,1.0,-1.0,1.0,-1.0
550801,107.48,-1.0,-1.0,-1.0,-1.0
550802,106.98,-1.0,-1.0,-1.0,-1.0
550803,103.63,-1.0,-1.0,-1.0,-1.0
550804,103.09,-1.0,-1.0,-1.0,-1.0
550805,102.36,-1.0,-1.0,-1.0,-1.0
550806,101.0,1.0,-1.0,1.0,-1.0
550807,101.4,1.0,1.0,1.0,-1.0
550808,102.2,-1.0,1.0,-1.0,1.0
550809,100.38,1.0,1.0,-1.0,1.0
550810,100.4,-1.0,1.0,-1.0,1.0
550811,98.95,1.0,1.0,1.0,1.0
550812,102.5,1.0,1.0,-1.0,1.0
550813,104.22,1.0,1.0,1.0,1.0
550814,104.99,1.0,-1.0,1.0,-1.0
550815,106.57,1.0,-1.0,-1.0,-1.0
550816,107.85,-1.0,-1.0,-1.0,-1.0
550817,103.68,1.0,-1.0,1.0,-1.0
550818,103.79,1.0,1.0,-1.0,1.0
550819,104.2,-1.0,1.0,-1.0,1.0
550820,101.94,-1.0,1.0,1.0,-1.0
550821,101.46,1.0,1.0,1.0,1.0
550822,102.49,1.0,1.0,1.0,1.0
550823,103.96,-1.0,1.0,-1.0,1.0
550824,103.39,-1.0,1.0,-1.0,-1.0
550825,102.14,1.0,1.0,1.0,1.0
550826,104.78,-1.0,-1.0,-1.0,-1.0
550827,102.15,1.0,-1.0,1.0,-1.0
550828,102.82,-1.0,-1.0,-1.0,-1.0
550829,102.19,-1.0,-1.0,-1.0,-1.0
550830,101.5,1.0,-1.0,1.0,-1.0
550831,102.4,-1.0,-1.0,-1.0,-1.0
550832,100.93,-1.0,-1.0,-1.0,-1.0
550833,99.39,-1.0,-1.0,-1.0,-1.0
550834,98.46,1.0,-1.0,-1.0,-1.0
550835,98.93,1.0,-1.0,1.0,-1.0
550836,100.93,1.0,-1.0,1.0,-1.0
550837,102.88,1.0,-1.0,1.0,-1.0
550838,104.04,1.0,-1.0,-1.0,-1.0
550839,105.52,1.0,-1.0,-1.0,-1.0
550840,106.75,-1.0,-1.0,-1.0,-1.0
550841,105.79,1.0,-1.0,1.0,-1.0
550842,107.6,-1.0,-1.0,-1.0,-1.0
550843,106.27,-1.0,-1.0,-1.0,-1.0
550844,101.76,1.0,-1.0,1.0,-1.0
550845,102.03,1.0,-1.0,1.0,-1.0
550846,102.97,1.0,-1.0,1.0,-1.0
550847,103.36,1.0,-1.0,1.0,-1.0
550848,105.34,-1.0,-1.0,-1.0,-1.0
550849,105.26,1.0,-1.0,1.0,-1.0
550850,106.97,-1.0,-1.0,-1.0,-1.0
550851,106.19,1.0,-1.0,1.0,-1.0
550852,108.08,-1.0,-1.0,-1.0,-1.0
550853,107.88,-1.0,-1.0,-1.0,-1.0
550854,107.37,-1.0,-1.0,-1.0,-1.0
550855,104.83,-1.0,-1.0,-1.0,-1.0
550856,101.4,-1.0,-1.0,-1.0,1.0
550857,99.75,-1.0,-1.0,-1.0,-1.0
550858,98.18,-1.0,-1.0,-1.0,-1.0
550859,97.78,-1.0,-1.0,-1.0,-1.0
550860,94.6,-1.0,-1.0,-1.0,-1.0
550861,94.23,-1.0,-1.0,-1.0,-1.0
550862,87.76,-1.0,-1.0,-1.0,-1.0
550863,87.34,-1.0,-1.0,-1.0,-1.0
550864,79.63,1.0,1.0,1.0,1.0
550865,84.41,-1.0,-1.0,-1.0,-1.0
550866,81.25,1.0,-1.0,1.0,-1.0
550867,84.8,1.0,-1.0,1.0,-1.0
550868,85.12,1.0,-1.0,1.0,-1.0
550869,89.31,-1.0,-1.0,-1.0,-1.0
550870,87.37,1.0,-1.0,1.0,-1.0
550871,87.61,-1.0,-1.0,-1.0,-1.0
550872,82.75,-1.0,-1.0,-1.0,-1.0
550873,80.91,-1.0,-1.0,-1.0,-1.0
550874,80.46,1.0,-1.0,1.0,-1.0
550875,82.69,1.0,-1.0,1.0,-1.0
