,Close,Target(1),Target(30),Prediction(1),Prediction(30)
559808,202.84,1.0,1.0,1.0,1.0
559809,204.44,1.0,1.0,1.0,1.0
559810,207.52,-1.0,1.0,-1.0,1.0
559811,201.68,-1.0,1.0,-1.0,1.0
559812,195.35,1.0,1.0,1.0,1.0
559813,204.2,1.0,1.0,1.0,1.0
559814,204.42,1.0,1.0,1.0,1.0
559815,208.53,-1.0,1.0,1.0,1.0
559816,200.01,-1.0,1.0,-1.0,1.0
559817,196.96,1.0,1.0,1.0,1.0
559818,200.62,1.0,1.0,1.0,1.0
559819,205.38,1.0,1.0,1.0,1.0
559820,206.4,1.0,1.0,1.0,1.0
559821,208.9,-1.0,1.0,-1.0,1.0
559822,207.78,1.0,1.0,1.0,1.0
559823,211.21,1.0,1.0,1.0,1.0
559824,212.87,1.0,1.0,1.0,1.0
559825,232.95,-1.0,1.0,-1.0,1.0
559826,230.57,-1.0,1.0,-1.0,1.0
559827,229.07,-1.0,1.0,1.0,1.0
559828,225.09,-1.0,1.0,-1.0,1.0
559829,225.02,-1.0,1.0,-1.0,1.0
559830,223.87,1.0,1.0,1.0,1.0
559831,226.71,1.0,1.0,1.0,1.0
559832,238.54,1.0,1.0,1.0,1.0
559833,241.34,-1.0,1.0,-1.0,1.0
559834,235.82,-1.0,1.0,-1.0,1.0
559835,233.12,1.0,1.0,1.0,1.0
559836,235.34,1.0,1.0,1.0,1.0
559837,240.18,-1.0,1.0,1.0,1.0
559838,238.33,1.0,1.0,1.0,1.0
559839,240.99,1.0,1.0,1.0,1.0
559840,242.21,-1.0,1.0,-1.0,1.0
559841,238.91,-1.0,1.0,-1.0,1.0
559842,238.86,1.0,1.0,1.0,1.0
559843,241.81,1.0,1.0,1.0,1.0
559844,242.92,-1.0,1.0,-1.0,1.0
559845,242.81,-1.0,1.0,-1.0,1.0
559846,239.01,1.0,1.0,1.0,1.0
559847,243.02,1.0,1.0,1.0,1.0
559848,244.41,-1.0,-1.0,1.0,-1.0
559849,243.8,1.0,-1.0,1.0,-1.0
559850,255.03,-1.0,-1.0,-1.0,-1.0
559851,252.11,1.0,-1.0,1.0,-1.0
559852,255.67,1.0,-1.0,1.0,-1.0
559853,255.99,-1.0,-1.0,-1.0,-1.0
559854,255.0,1.0,-1.0,1.0,-1.0
559855,257.65,1.0,-1.0,1.0,-1.0
559856,261.6,-1.0,-1.0,-1.0,-1.0
559857,259.81,-1.0,-1.0,-1.0,-1.0
559858,259.31,1.0,-1.0,1.0,-1.0
559859,259.49,1.0,-1.0,1.0,-1.0
559860,260.23,-1.0,-1.0,-1.0,-1.0
559861,257.6,1.0,-1.0,1.0,-1.0
559862,265.26,-1.0,-1.0,1.0,-1.0
559863,264.98,-1.0,-1.0,-1.0,-1.0
559864,254.86,-1.0,-1.0,-1.0,-1.0
559865,247.58,1.0,-1.0,1.0,-1.0
559866,255.28,-1.0,-1.0,-1.0,-1.0
559867,253.15,1.0,-1.0,1.0,-1.0
559868,258.31,1.0,-1.0,1.0,-1.0
559869,261.7,1.0,-1.0,1.0,-1.0
559870,270.36,-1.0,-1.0,-1.0,-1.0
559871,264.3,-1.0,-1.0,-1.0,-1.0
559872,261.78,1.0,-1.0,1.0,-1.0
559873,273.0,-1.0,-1.0,1.0,-1.0
559874,262.05,1.0,-1.0,1.0,-1.0
559875,269.08,-1.0,-1.0,-1.0,-1.0
559876,258.37,-1.0,-1.0,-1.0,-1.0
559877,246.98,-1.0,-1.0,-1.0,-1.0
559878,233.1,-1.0,-1.0,-1.0,-1.0
559879,225.39,1.0,-1.0,1.0,-1.0
559880,249.75,-1.0,-1.0,-1.0,-1.0
559881,219.57,-1.0,-1.0,-1.0,1.0
559882,217.88,-1.0,-1.0,-1.0,-1.0
559883,212.89,-1.0,-1.0,-1.0,-1.0
559884,208.28,-1.0,-1.0,-1.0,-1.0
559885,200.15,-1.0,-1.0,-1.0,-1.0
