,Close,Target(1),Target(30),Prediction(1),Prediction(30)
563561,1.01,1.0,0.0,1.0,-1.0
563562,1.02,1.0,1.0,1.0,-1.0
563563,1.03,1.0,1.0,1.0,1.0
563564,1.04,0.0,-1.0,0.0,-1.0
563565,1.04,0.0,-1.0,0.0,-1.0
563566,1.04,1.0,1.0,0.0,1.0
563567,1.05,0.0,1.0,0.0,1.0
563568,1.05,1.0,0.0,1.0,0.0
563569,1.06,1.0,1.0,1.0,1.0
563570,1.08,-1.0,-1.0,-1.0,-1.0
563571,1.07,-1.0,1.0,-1.0,1.0
563572,1.06,0.0,1.0,0.0,-1.0
563573,1.06,0.0,1.0,0.0,1.0
563574,1.06,1.0,1.0,1.0,1.0
563575,1.08,0.0,-1.0,0.0,-1.0
563576,1.08,-1.0,-1.0,-1.0,-1.0
563577,1.07,0.0,-1.0,-1.0,-1.0
563578,1.07,1.0,-1.0,1.0,-1.0
563579,1.09,1.0,-1.0,1.0,-1.0
563580,1.1,0.0,-1.0,0.0,-1.0
563581,1.1,1.0,-1.0,1.0,-1.0
563582,1.11,-1.0,-1.0,-1.0,-1.0
563583,1.08,-1.0,-1.0,-1.0,-1.0
563584,1.06,1.0,-1.0,1.0,-1.0
563585,1.07,-1.0,-1.0,-1.0,-1.0
563586,1.06,1.0,-1.0,1.0,-1.0
563587,1.07,0.0,-1.0,0.0,-1.0
563588,1.07,0.0,-1.0,0.0,-1.0
563589,1.07,-1.0,-1.0,-1.0,-1.0
563590,1.05,-1.0,-1.0,-1.0,-1.0
563591,1.01,1.0,-1.0,1.0,-1.0
563592,1.03,1.0,-1.0,1.0,-1.0
563593,1.04,-1.0,-1.0,0.0,-1.0
563594,1.02,1.0,-1.0,1.0,-1.0
563595,1.03,1.0,-1.0,1.0,-1.0
563596,1.07,1.0,-1.0,-1.0,-1.0
563597,1.08,-1.0,-1.0,1.0,-1.0
563598,1.05,1.0,-1.0,1.0,-1.0
563599,1.08,-1.0,-1.0,-1.0,-1.0
563600,1.06,1.0,-1.0,1.0,-1.0
563601,1.08,0.0,-1.0,0.0,-1.0
563602,1.08,-1.0,-1.0,1.0,-1.0
563603,1.07,1.0,-1.0,1.0,-1.0
563604,1.09,-1.0,-1.0,-1.0,-1.0
