,Close,Target(1),Target(30),Prediction(1),Prediction(30)
564169,60.23,1.0,1.0,1.0,1.0
564170,60.25,1.0,1.0,1.0,1.0
564171,60.29,-1.0,1.0,-1.0,1.0
564172,59.74,-1.0,1.0,-1.0,1.0
564173,59.62,1.0,1.0,1.0,1.0
564174,60.7,1.0,1.0,1.0,1.0
564175,61.15,1.0,1.0,1.0,1.0
564176,61.29,-1.0,1.0,-1.0,1.0
564177,59.64,-1.0,1.0,-1.0,1.0
564178,59.51,-1.0,1.0,1.0,1.0
564179,58.96,1.0,1.0,1.0,1.0
564180,60.05,1.0,1.0,1.0,1.0
564181,60.38,1.0,1.0,1.0,1.0
564182,61.19,-1.0,1.0,-1.0,1.0
564183,60.92,1.0,1.0,1.0,1.0
564184,61.31,1.0,1.0,1.0,1.0
564185,62.11,1.0,1.0,1.0,1.0
564186,62.53,1.0,1.0,1.0,1.0
564187,62.66,-1.0,1.0,-1.0,1.0
564188,62.41,-1.0,1.0,-1.0,1.0
564189,61.78,1.0,1.0,1.0,1.0
564190,62.08,1.0,1.0,1.0,1.0
564191,62.3,1.0,1.0,1.0,1.0
564192,62.47,1.0,1.0,1.0,1.0
564193,63.43,1.0,1.0,1.0,1.0
564194,63.8,1.0,1.0,1.0,1.0
564195,63.98,1.0,1.0,1.0,1.0
564196,64.11,1.0,1.0,1.0,1.0
564197,64.37,-1.0,1.0,-1.0,1.0
564198,64.15,1.0,1.0,1.0,1.0
564199,64.36,1.0,1.0,1.0,1.0
564200,64.43,1.0,1.0,1.0,1.0
564201,64.97,1.0,-1.0,1.0,-1.0
564202,65.1,1.0,-1.0,1.0,-1.0
564203,66.15,-1.0,-1.0,-1.0,-1.0
564204,66.07,1.0,-1.0,1.0,-1.0
564205,66.57,-1.0,-1.0,1.0,-1.0
564206,66.52,1.0,-1.0,1.0,-1.0
564207,66.56,-1.0,-1.0,-1.0,-1.0
564208,66.31,1.0,-1.0,1.0,-1.0
564209,66.86,-1.0,-1.0,-1.0,-1.0
564210,66.26,1.0,-1.0,1.0,-1.0
564211,66.55,1.0,-1.0,1.0,-1.0
