,Close,Target(1),Target(30),Prediction(1),Prediction(30)
567903,23.76,-1.0,1.0,-1.0,1.0
567904,23.36,1.0,1.0,1.0,1.0
567905,24.01,-1.0,1.0,-1.0,1.0
567906,23.17,-1.0,1.0,-1.0,1.0
567907,23.05,1.0,1.0,-1.0,1.0
567908,23.33,1.0,1.0,1.0,1.0
567909,24.0,-1.0,1.0,-1.0,1.0
567910,23.45,-1.0,1.0,-1.0,1.0
567911,22.57,-1.0,1.0,-1.0,1.0
567912,22.46,-1.0,1.0,1.0,1.0
567913,22.19,-1.0,1.0,-1.0,1.0
567914,21.45,1.0,1.0,1.0,1.0
567915,21.9,1.0,1.0,1.0,1.0
567916,22.21,-1.0,1.0,-1.0,1.0
567917,22.04,1.0,1.0,1.0,1.0
567918,22.81,1.0,1.0,1.0,1.0
567919,22.84,1.0,1.0,1.0,1.0
567920,22.97,-1.0,1.0,-1.0,1.0
567921,22.83,1.0,1.0,1.0,1.0
567922,23.0,-1.0,1.0,1.0,1.0
567923,22.21,1.0,1.0,1.0,1.0
567924,23.2,-1.0,1.0,-1.0,1.0
567925,23.12,1.0,1.0,1.0,1.0
567926,23.21,-1.0,1.0,-1.0,1.0
567927,23.16,1.0,1.0,1.0,1.0
567928,23.78,1.0,1.0,1.0,1.0
567929,23.96,1.0,1.0,1.0,1.0
567930,24.16,1.0,1.0,1.0,1.0
567931,24.8,1.0,1.0,1.0,1.0
567932,24.91,1.0,1.0,1.0,1.0
567933,25.04,1.0,1.0,1.0,1.0
567934,25.43,1.0,1.0,1.0,1.0
567935,25.44,1.0,1.0,1.0,1.0
567936,25.61,1.0,1.0,1.0,1.0
567937,25.97,1.0,1.0,1.0,1.0
567938,26.83,1.0,1.0,1.0,1.0
567939,27.76,0.0,1.0,0.0,1.0
567940,27.76,-1.0,1.0,0.0,1.0
567941,27.4,1.0,1.0,1.0,1.0
567942,27.45,1.0,1.0,1.0,1.0
567943,28.04,1.0,1.0,1.0,1.0
567944,28.66,1.0,-1.0,-1.0,-1.0
567945,29.18,-1.0,-1.0,-1.0,-1.0
567946,29.17,1.0,1.0,-1.0,1.0
567947,29.32,-1.0,1.0,-1.0,1.0
567948,28.82,1.0,1.0,1.0,1.0
567949,29.21,1.0,1.0,1.0,1.0
567950,29.44,1.0,-1.0,1.0,1.0
567951,30.09,1.0,-1.0,1.0,1.0
567952,30.32,-1.0,-1.0,-1.0,1.0
567953,29.63,-1.0,-1.0,-1.0,-1.0
567954,29.42,-1.0,-1.0,-1.0,-1.0
567955,29.3,-1.0,-1.0,-1.0,-1.0
567956,29.07,1.0,-1.0,1.0,-1.0
567957,29.1,1.0,-1.0,1.0,-1.0
567958,29.86,1.0,-1.0,1.0,-1.0
567959,29.9,-1.0,-1.0,-1.0,-1.0
567960,29.04,1.0,-1.0,1.0,-1.0
567961,29.67,1.0,-1.0,1.0,-1.0
567962,30.22,-1.0,-1.0,1.0,-1.0
567963,30.08,-1.0,-1.0,-1.0,-1.0
567964,29.63,1.0,-1.0,1.0,-1.0
567965,31.04,-1.0,-1.0,-1.0,-1.0
567966,30.77,-1.0,-1.0,1.0,-1.0
567967,28.82,1.0,-1.0,1.0,-1.0
567968,29.25,1.0,-1.0,1.0,-1.0
567969,30.33,-1.0,-1.0,-1.0,-1.0
567970,29.22,1.0,-1.0,1.0,-1.0
567971,30.26,-1.0,-1.0,-1.0,-1.0
567972,29.55,-1.0,-1.0,1.0,-1.0
567973,29.4,-1.0,-1.0,-1.0,-1.0
567974,28.34,-1.0,-1.0,-1.0,-1.0
567975,27.67,1.0,-1.0,1.0,-1.0
567976,30.23,-1.0,-1.0,-1.0,-1.0
567977,29.85,1.0,-1.0,1.0,-1.0
567978,30.68,-1.0,-1.0,-1.0,-1.0
567979,30.11,-1.0,-1.0,-1.0,-1.0
567980,28.9,1.0,-1.0,1.0,-1.0
567981,29.31,-1.0,-1.0,-1.0,-1.0
567982,28.49,-1.0,-1.0,-1.0,-1.0
567983,28.16,-1.0,-1.0,-1.0,-1.0
567984,26.13,1.0,-1.0,1.0,-1.0
567985,26.2,-1.0,-1.0,-1.0,-1.0
567986,25.91,1.0,-1.0,1.0,-1.0
567987,26.1,-1.0,-1.0,-1.0,-1.0
567988,26.07,1.0,-1.0,1.0,-1.0
567989,28.12,-1.0,-1.0,-1.0,-1.0
567990,27.19,-1.0,-1.0,-1.0,-1.0
567991,26.3,1.0,-1.0,1.0,-1.0
567992,27.55,-1.0,-1.0,-1.0,-1.0
567993,27.41,-1.0,-1.0,-1.0,-1.0
567994,25.87,-1.0,-1.0,1.0,-1.0
567995,25.03,1.0,-1.0,1.0,-1.0
567996,25.7,-1.0,-1.0,-1.0,-1.0
567997,25.29,1.0,1.0,1.0,-1.0
567998,26.36,-1.0,-1.0,-1.0,-1.0
567999,25.75,1.0,-1.0,1.0,-1.0
568000,25.88,1.0,-1.0,1.0,-1.0
568001,27.04,-1.0,-1.0,-1.0,-1.0
568002,26.42,-1.0,-1.0,-1.0,-1.0
568003,26.4,-1.0,-1.0,-1.0,-1.0
568004,26.35,-1.0,-1.0,1.0,1.0
568005,26.07,-1.0,-1.0,-1.0,-1.0
568006,25.68,-1.0,-1.0,-1.0,-1.0
568007,25.51,-1.0,-1.0,-1.0,-1.0
568008,24.87,1.0,-1.0,1.0,-1.0
568009,25.4,0.0,-1.0,0.0,-1.0
568010,25.4,-1.0,-1.0,-1.0,-1.0
568011,23.93,-1.0,-1.0,-1.0,1.0
568012,23.44,-1.0,-1.0,-1.0,-1.0
568013,23.14,-1.0,-1.0,-1.0,1.0
568014,23.01,-1.0,-1.0,-1.0,-1.0
568015,22.96,1.0,1.0,1.0,1.0
568016,24.07,1.0,-1.0,1.0,-1.0
568017,24.51,1.0,-1.0,1.0,-1.0
568018,24.87,-1.0,-1.0,-1.0,-1.0
568019,24.61,1.0,-1.0,1.0,-1.0
568020,25.48,-1.0,-1.0,-1.0,-1.0
568021,25.4,-1.0,-1.0,-1.0,-1.0
568022,25.3,-1.0,-1.0,-1.0,-1.0
568023,23.8,1.0,-1.0,-1.0,-1.0
568024,24.12,1.0,-1.0,1.0,-1.0
568025,24.49,-1.0,-1.0,-1.0,-1.0
568026,24.24,1.0,1.0,1.0,1.0
568027,25.35,1.0,-1.0,1.0,-1.0
568028,25.59,1.0,-1.0,1.0,1.0
568029,25.63,-1.0,-1.0,-1.0,-1.0
568030,25.53,-1.0,-1.0,1.0,-1.0
568031,24.92,1.0,1.0,1.0,1.0
568032,25.9,-1.0,-1.0,-1.0,-1.0
568033,25.61,1.0,1.0,1.0,1.0
