,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
571640,20.69,6.180440552729312,1.0,-1.0,1.0,-1.0
571641,21.15,6.6341814760718805,-1.0,-1.0,-1.0,-1.0
571647,22.64,8.086627016127299,-1.0,-1.0,-1.0,-1.0
571652,22.72,8.135331632840145,1.0,-1.0,1.0,-1.0
571681,19.57,4.8038184097746655,1.0,-1.0,1.0,-1.0
571684,20.04,5.2550411798023715,-1.0,-1.0,-1.0,-1.0
571690,20.87,6.047486719857793,1.0,-1.0,1.0,-1.0
571703,20.0,5.096118723311196,-1.0,-1.0,1.0,-1.0
571728,18.43,3.3696418068754355,-1.0,-1.0,-1.0,-1.0
572107,15.38,-2.052548246290685,1.0,1.0,1.0,1.0
572108,15.52,-1.9188073229481155,-1.0,1.0,-1.0,1.0
572174,17.11,-0.7419063823385237,-1.0,-1.0,-1.0,-1.0
572175,17.1,-0.7581654589959541,1.0,-1.0,1.0,-1.0
572176,17.64,-0.22442453565338386,1.0,-1.0,1.0,-1.0
572177,17.7,-0.17068361231081394,1.0,-1.0,1.0,-1.0
572178,17.82,-0.056942688968245385,1.0,-1.0,1.0,-1.0
572179,18.17,0.2867982343743272,-1.0,-1.0,-1.0,-1.0
572180,18.12,0.23053915771689404,-1.0,-1.0,-1.0,-1.0
572181,18.06,0.1642800810594629,1.0,-1.0,1.0,-1.0
572182,18.08,0.1780210044020336,-1.0,-1.0,-1.0,-1.0
572183,17.73,-0.17823807225539667,1.0,-1.0,1.0,-1.0
572184,18.37,0.455502851087175,-1.0,-1.0,-1.0,-1.0
572185,18.15,0.2292437744297402,-1.0,-1.0,-1.0,-1.0
572186,18.0,0.07298469777231276,1.0,-1.0,1.0,-1.0
572187,18.26,0.3267256211148819,0.0,-1.0,1.0,-1.0
572188,18.26,0.32046654445745304,-1.0,-1.0,-1.0,-1.0
572189,18.19,0.24420746780002034,-1.0,-1.0,-1.0,-1.0
572190,17.78,-0.17205160885740867,-1.0,-1.0,-1.0,-1.0
572191,17.39,-0.5683106855148381,1.0,1.0,1.0,1.0
572192,17.62,-0.3445697621722701,-1.0,-1.0,-1.0,-1.0
572193,17.44,-0.5308288388296987,-1.0,1.0,-1.0,1.0
572194,17.24,-0.7370879154871339,1.0,1.0,1.0,1.0
572195,17.28,-0.7033469921445601,-1.0,1.0,-1.0,1.0
572196,17.08,-0.9096060688019952,-1.0,1.0,-1.0,1.0
572197,16.73,-1.265865145459422,-1.0,1.0,-1.0,1.0
572198,16.65,-1.3521242221168528,-1.0,1.0,-1.0,1.0
572199,16.48,-1.5283832987742834,-1.0,1.0,-1.0,1.0
572200,16.43,-1.5846423754317132,-1.0,1.0,-1.0,1.0
572201,16.31,-1.7109014520891463,1.0,1.0,-1.0,1.0
572202,16.89,-1.1371605287465734,-1.0,1.0,-1.0,1.0
572203,16.76,-1.2734196054040048,-1.0,1.0,-1.0,1.0
572204,16.47,-1.5696786820614363,-1.0,1.0,-1.0,1.0
572205,16.34,-1.7059377587188642,-1.0,1.0,-1.0,1.0
572206,16.24,-1.812196835376298,-1.0,1.0,-1.0,1.0
572207,16.0,-2.0584559120337254,-1.0,1.0,-1.0,1.0
572208,15.92,-2.1447149886911583,-1.0,1.0,-1.0,1.0
572209,15.86,-2.210974065348587,-1.0,1.0,-1.0,1.0
572210,15.85,-2.2272331420060194,1.0,1.0,1.0,1.0
572211,16.4,-1.6834922186634491,1.0,1.0,-1.0,1.0
572212,16.53,-1.5597512953208792,-1.0,1.0,-1.0,1.0
572213,16.47,-1.6260103719783103,1.0,1.0,1.0,1.0
572214,16.6,-1.5022694486357366,1.0,1.0,1.0,1.0
572215,16.7,-1.4085285252931712,-1.0,1.0,-1.0,1.0
572216,16.37,-1.7447876019505983,1.0,1.0,1.0,1.0
572217,16.64,-1.4810466786080312,1.0,1.0,1.0,1.0
572218,17.27,-0.8573057552654609,1.0,-1.0,1.0,-1.0
572219,17.42,-0.7135648319228878,1.0,-1.0,1.0,-1.0
572220,17.43,-0.7098239085803222,1.0,-1.0,1.0,-1.0
572221,17.45,-0.6960829852377515,1.0,-1.0,1.0,-1.0
