,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
573265,57.37,-7.555056177226,-1.0,1.0,-1.0,1.0
573266,56.6,-8.364222471436896,1.0,1.0,1.0,1.0
573267,57.4,-7.6033887656478,-1.0,1.0,-1.0,1.0
573268,56.32,-8.7225550598587,-1.0,1.0,-1.0,1.0
573269,55.91,-9.171721354069604,1.0,1.0,1.0,1.0
573270,57.14,-7.9808876482805,1.0,1.0,1.0,1.0
573271,58.14,-7.020053942491401,-1.0,1.0,-1.0,1.0
573272,57.3,-7.899220236702305,-1.0,1.0,-1.0,1.0
573273,54.93,-10.308386530913202,1.0,1.0,1.0,1.0
573274,54.97,-10.307552825124104,-1.0,1.0,1.0,1.0
573275,54.54,-10.776719119335006,1.0,1.0,1.0,1.0
573276,55.75,-9.605885413545906,-1.0,1.0,-1.0,1.0
573277,55.55,-9.84505170775681,1.0,1.0,1.0,1.0
573278,56.76,-8.674218001967711,-1.0,1.0,-1.0,1.0
573280,57.25,-8.262550590389509,1.0,1.0,1.0,1.0
573281,58.19,-7.361716884600412,1.0,1.0,1.0,1.0
573282,58.76,-6.8308831788113125,1.0,1.0,1.0,1.0
573283,59.0,-6.63004947302221,-1.0,1.0,-1.0,1.0
573284,58.92,-6.74921576723311,-1.0,1.0,-1.0,1.0
573285,58.31,-7.398382061444012,1.0,1.0,1.0,1.0
573286,58.87,-6.877548355654915,1.0,1.0,1.0,1.0
573287,58.9,-6.886714649865817,1.0,1.0,1.0,1.0
573288,60.31,-5.515880944076713,1.0,1.0,1.0,1.0
573289,61.71,-4.155047238287615,1.0,1.0,1.0,1.0
573290,62.07,-3.8342135324985023,1.0,1.0,1.0,1.0
573291,62.41,-3.5333798267094068,-1.0,1.0,-1.0,1.0
573292,62.07,-3.9125461209203034,1.0,1.0,1.0,1.0
573293,62.93,-3.091712415131205,1.0,1.0,1.0,1.0
573294,63.02,-3.0408787093421026,1.0,1.0,1.0,1.0
573295,63.33,-2.7700450035530086,1.0,1.0,1.0,1.0
573296,63.82,-2.3192112977639066,-1.0,1.0,-1.0,1.0
573297,63.69,-2.4883775919748103,-1.0,1.0,-1.0,1.0
573298,63.61,-2.607543886185709,1.0,1.0,1.0,1.0
573299,63.84,-2.4167101803966062,1.0,1.0,1.0,1.0
573300,64.44,-1.8558764746075127,1.0,1.0,1.0,1.0
573301,65.37,-0.9650427688184068,1.0,1.0,1.0,1.0
573302,65.6,-0.7742090630293177,-1.0,1.0,-1.0,1.0
573303,65.11,-1.3033753572402134,1.0,1.0,1.0,1.0
573304,65.55,-0.9025416514511164,1.0,1.0,1.0,1.0
573305,66.57,0.07829205433797881,-1.0,1.0,-1.0,1.0
573306,65.34,-1.1908742398729115,-1.0,-1.0,-1.0,-1.0
573307,64.79,-1.7800405340838097,-1.0,-1.0,1.0,-1.0
573308,64.61,-1.9992068282947173,1.0,1.0,1.0,1.0
573309,65.24,-1.4083731225056226,1.0,1.0,1.0,1.0
573310,65.52,-1.1675394167165225,-1.0,1.0,-1.0,1.0
573311,64.74,-1.986705710927424,1.0,1.0,1.0,1.0
573312,65.27,-1.495872005138324,1.0,1.0,1.0,1.0
573313,66.42,-0.38503829934921896,-1.0,-1.0,-1.0,-1.0
573314,66.32,-0.5242045935601283,1.0,-1.0,1.0,-1.0
573315,66.5,-0.383370887771008,1.0,-1.0,1.0,-1.0
573316,67.59,0.6674628180180946,1.0,-1.0,1.0,-1.0
573317,68.48,1.5182965238071944,1.0,-1.0,1.0,-1.0
573318,69.48,2.4791302295962936,1.0,-1.0,1.0,-1.0
573319,69.76,2.719963935385394,1.0,-1.0,-1.0,-1.0
573320,70.54,3.4607976411744943,-1.0,-1.0,-1.0,-1.0
573321,70.21,3.091631346963581,-1.0,-1.0,-1.0,-1.0
573322,69.07,1.91246505275268,1.0,-1.0,-1.0,-1.0
573323,69.39,2.1932987585417862,-1.0,-1.0,-1.0,-1.0
573324,67.8,0.564132464330882,1.0,-1.0,1.0,-1.0
573325,71.0,3.724966170119984,-1.0,-1.0,-1.0,-1.0
573326,70.44,3.125799875909081,1.0,-1.0,1.0,-1.0
573327,70.99,3.6366335816981774,1.0,-1.0,1.0,-1.0
573328,71.16,3.7674672874872783,-1.0,-1.0,-1.0,-1.0
573329,68.75,1.318300993276381,1.0,-1.0,1.0,-1.0
573330,69.06,1.5891346990654824,1.0,-1.0,1.0,-1.0
573331,71.23,3.719968404854584,-1.0,-1.0,-1.0,-1.0
573332,69.18,1.6308021106436854,1.0,-1.0,1.0,-1.0
573333,70.82,3.231635816432772,-1.0,-1.0,-1.0,-1.0
573334,67.98,0.3524695222218811,-1.0,-1.0,-1.0,-1.0
573335,67.24,-0.4266967719890289,-1.0,-1.0,-1.0,-1.0
573336,64.5,-3.205863066199925,-1.0,-1.0,-1.0,-1.0
573337,62.25,-5.495029360410825,1.0,-1.0,-1.0,-1.0
573338,67.69,-0.0941956546217284,-1.0,-1.0,-1.0,-1.0
573339,67.05,-0.7733619488326298,1.0,-1.0,1.0,-1.0
573340,69.06,1.1974717569564746,-1.0,-1.0,-1.0,-1.0
573341,68.18,0.2783054627455783,-1.0,-1.0,-1.0,-1.0
573342,66.46,-1.480860831465321,-1.0,-1.0,-1.0,1.0
573343,66.27,-1.7100271256762198,-1.0,-1.0,-1.0,-1.0
573344,64.95,-3.0691934198871134,-1.0,-1.0,-1.0,-1.0
573345,63.63,-4.428359714098015,-1.0,-1.0,-1.0,-1.0
573346,59.7,-8.397526008308915,1.0,-1.0,-1.0,-1.0
573347,60.57,-7.566692302519819,-1.0,-1.0,-1.0,-1.0
573348,59.56,-8.615858596730718,1.0,-1.0,1.0,-1.0
573349,59.85,-8.36502489094162,1.0,-1.0,-1.0,-1.0
573350,60.27,-7.984191185152517,1.0,-1.0,-1.0,1.0
573351,62.73,-5.563357479363424,-1.0,-1.0,-1.0,-1.0
573352,61.46,-6.872523773574322,-1.0,-1.0,-1.0,-1.0
573353,59.5,-8.871690067785226,1.0,-1.0,1.0,-1.0
573354,61.68,-6.730856361996125,1.0,-1.0,1.0,-1.0
573355,61.98,-6.4700226562070275,-1.0,-1.0,-1.0,-1.0
573356,58.52,-9.969188950417925,-1.0,-1.0,-1.0,-1.0
573357,57.08,-11.448355244628827,1.0,1.0,1.0,1.0
573358,58.12,-10.44752153883973,1.0,1.0,1.0,1.0
573359,58.42,-10.186687833050627,1.0,1.0,1.0,1.0
573360,60.85,-7.795854127261528,1.0,1.0,1.0,1.0
573361,61.06,-7.625020421472428,-1.0,1.0,-1.0,1.0
573362,60.89,-7.83418671568333,1.0,1.0,1.0,1.0
573363,63.47,-5.293353009894234,-1.0,-1.0,-1.0,-1.0
573364,61.74,-7.06251930410513,-1.0,-1.0,-1.0,-1.0
573365,61.5,-7.341685598316031,-1.0,1.0,-1.0,1.0
573366,60.86,-8.02085189252692,1.0,1.0,1.0,1.0
573367,61.03,-7.8900181867378185,-1.0,1.0,-1.0,1.0
573368,58.53,-10.429184480948722,1.0,1.0,1.0,1.0
573369,58.64,-10.358350775159623,-1.0,1.0,-1.0,1.0
573370,56.64,-12.397517069370522,1.0,1.0,1.0,1.0
573371,58.21,-10.866683363581425,-1.0,1.0,-1.0,1.0
573372,57.99,-11.125849657792322,-1.0,1.0,-1.0,1.0
573373,56.16,-12.995015952003227,-1.0,1.0,-1.0,1.0
573374,55.46,-13.734182246214125,-1.0,1.0,-1.0,1.0
573375,55.23,-14.003348540425028,-1.0,1.0,-1.0,1.0
573376,55.02,-14.252514834635925,-1.0,1.0,-1.0,1.0
573377,54.8,-14.511681128846831,1.0,1.0,1.0,1.0
573378,56.87,-12.480847423057732,1.0,1.0,1.0,1.0
573379,57.27,-12.120013717268627,1.0,1.0,1.0,1.0
573380,57.32,-12.10918001147953,-1.0,1.0,-1.0,1.0
573381,56.44,-13.028346305690436,1.0,1.0,1.0,1.0
573382,58.27,-11.237512599901331,-1.0,1.0,-1.0,1.0
573383,57.4,-12.146678894112235,1.0,1.0,1.0,1.0
573384,58.08,-11.505845188323136,-1.0,1.0,-1.0,1.0
573385,56.26,-13.365011482534035,1.0,1.0,1.0,1.0
573386,56.88,-12.784177776744931,1.0,1.0,1.0,1.0
573387,57.97,-11.733344070955837,1.0,1.0,1.0,1.0
573388,58.29,-11.452510365166738,1.0,1.0,1.0,1.0
573389,60.6,-9.181676659377636,1.0,1.0,1.0,1.0
573390,62.19,-7.630842953588541,1.0,1.0,1.0,1.0
573391,62.36,-7.500009247799441,-1.0,1.0,1.0,1.0
