,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
576999,20.52,3.0994818285650254,1.0,1.0,-1.0,1.0
577000,20.57,3.12752049535024,-1.0,1.0,-1.0,1.0
577001,20.39,2.925559162135457,-1.0,1.0,-1.0,1.0
577002,20.07,2.58359782892067,1.0,1.0,1.0,1.0
577003,20.14,2.6316364957058878,1.0,1.0,1.0,1.0
577004,20.19,2.659675162491101,1.0,1.0,1.0,1.0
577005,20.82,3.267713829276317,-1.0,1.0,-1.0,1.0
577006,20.68,3.1057524960615304,-1.0,1.0,-1.0,1.0
577007,19.82,2.223791162846748,1.0,1.0,-1.0,1.0
577008,20.52,2.9018298296319607,1.0,1.0,1.0,1.0
577009,20.95,3.3098684964171774,-1.0,1.0,-1.0,1.0
577010,20.89,3.2279071632023917,-1.0,1.0,-1.0,1.0
577011,20.7,3.0159458299876083,1.0,1.0,1.0,1.0
577012,20.87,3.1639844967728235,1.0,1.0,1.0,1.0
577013,21.0,3.2720231635580386,1.0,1.0,1.0,1.0
577014,21.59,3.840061830343252,0.0,1.0,0.0,1.0
577015,21.59,3.818100497128469,1.0,1.0,1.0,1.0
577016,21.92,4.1261391639136855,-1.0,1.0,-1.0,1.0
577017,21.79,3.974177830698899,1.0,1.0,1.0,1.0
577018,22.38,4.542216497484112,-1.0,1.0,-1.0,1.0
577019,22.32,4.460255164269331,1.0,1.0,1.0,1.0
577020,22.35,4.468293831054545,1.0,1.0,-1.0,1.0
577021,22.41,4.506332497839762,-1.0,1.0,-1.0,1.0
577022,22.21,4.284371164624975,1.0,1.0,1.0,1.0
577023,23.26,5.312409831410194,1.0,1.0,1.0,1.0
577024,23.43,5.4604484981954045,-1.0,1.0,-1.0,1.0
577025,23.34,5.348487164980622,-1.0,1.0,-1.0,1.0
577026,23.12,5.106525831765836,1.0,1.0,1.0,1.0
577027,23.79,5.7545644985510505,-1.0,-1.0,-1.0,-1.0
577028,23.68,5.6226031653362645,-1.0,1.0,-1.0,1.0
577029,23.52,5.440641832121482,-1.0,1.0,-1.0,1.0
577030,23.5,5.398680498906696,-1.0,1.0,-1.0,1.0
577031,23.46,5.336719165691914,-1.0,1.0,-1.0,1.0
577032,23.37,5.224757832477128,1.0,1.0,1.0,1.0
