,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
578866,23.7,-2.1486007902882847,1.0,1.0,-1.0,1.0
578867,24.25,-1.6118863214914858,1.0,1.0,-1.0,1.0
578868,24.65,-1.2251718526946895,-1.0,1.0,-1.0,1.0
578869,24.02,-1.8684573838978868,-1.0,1.0,-1.0,1.0
578870,24.0,-1.9017429151010887,1.0,1.0,1.0,1.0
578871,24.59,-1.325028446304291,1.0,1.0,1.0,1.0
578872,24.69,-1.2383139775074916,-1.0,1.0,-1.0,1.0
578873,23.86,-2.0815995087106955,-1.0,1.0,-1.0,1.0
578874,22.8,-3.1548850399138932,1.0,1.0,1.0,1.0
578875,23.15,-2.8181705711170966,-1.0,1.0,-1.0,1.0
578876,22.52,-3.4614561023202985,-1.0,1.0,-1.0,1.0
578877,22.49,-3.5047416335235013,-1.0,1.0,-1.0,1.0
578878,22.42,-3.5880271647267,-1.0,1.0,-1.0,1.0
578879,22.14,-3.8813126959299,1.0,1.0,1.0,1.0
578880,22.63,-3.4045982271331034,1.0,1.0,1.0,1.0
578881,23.3,-2.7478837583363043,1.0,1.0,1.0,1.0
578882,23.46,-2.6011692895395058,1.0,1.0,1.0,1.0
578883,23.91,-2.164454820742709,-1.0,1.0,-1.0,1.0
578884,23.76,-2.3277403519459057,1.0,1.0,1.0,1.0
578885,23.97,-2.1310258831491105,-1.0,1.0,-1.0,1.0
578886,23.68,-2.434311414352312,1.0,1.0,1.0,1.0
578887,23.92,-2.207596945555512,1.0,1.0,-1.0,1.0
578888,24.28,-1.8608824767587144,1.0,1.0,1.0,1.0
578889,24.34,-1.8141680079619145,1.0,1.0,1.0,1.0
578890,24.46,-1.707453539165115,1.0,1.0,1.0,1.0
578891,24.64,-1.5407390703683177,-1.0,1.0,1.0,1.0
578892,24.45,-1.7440246015715208,1.0,1.0,1.0,1.0
578893,24.55,-1.6573101327747215,1.0,1.0,1.0,1.0
578894,25.41,-0.8105956639779208,1.0,1.0,1.0,1.0
578895,25.81,-0.4238811951811243,1.0,1.0,1.0,1.0
578896,26.01,-0.2371667263843236,1.0,1.0,1.0,1.0
578897,26.6,0.3395477424124742,1.0,1.0,1.0,1.0
578898,26.92,0.6462622112092724,1.0,1.0,1.0,-1.0
578899,27.27,0.9829766800060716,1.0,1.0,1.0,1.0
578900,27.37,1.0696911488028709,1.0,1.0,1.0,1.0
578901,27.98,1.6664056175996684,1.0,-1.0,1.0,-1.0
578902,28.58,2.2531200863964638,1.0,1.0,1.0,1.0
578903,28.6,2.2598345551932653,-1.0,-1.0,-1.0,-1.0
578904,28.06,1.706549023990064,1.0,1.0,1.0,1.0
578905,28.09,1.723263492786863,1.0,-1.0,1.0,1.0
578906,28.47,2.08997796158366,1.0,-1.0,1.0,-1.0
578907,28.78,2.38669243038046,1.0,-1.0,-1.0,-1.0
578908,28.89,2.483406899177257,-1.0,-1.0,-1.0,-1.0
578909,28.86,2.440121367974058,-1.0,-1.0,-1.0,-1.0
578910,28.5,2.0668358367708564,-1.0,-1.0,-1.0,-1.0
578911,27.77,1.323550305567654,-1.0,1.0,-1.0,1.0
578912,27.24,0.7802647743644506,0.0,1.0,1.0,1.0
578913,27.24,0.7669792431612485,1.0,-1.0,1.0,-1.0
578914,27.75,1.2636937119580478,1.0,-1.0,1.0,-1.0
578915,28.64,2.14040818075485,-1.0,-1.0,-1.0,-1.0
578916,27.53,1.0171226495516483,0.0,-1.0,0.0,-1.0
578917,27.53,1.0038371183484465,1.0,-1.0,1.0,-1.0
578918,27.9,1.3605515871452418,-1.0,-1.0,-1.0,-1.0
578919,27.78,1.227266055942046,1.0,-1.0,-1.0,-1.0
578920,28.28,1.7139805247388438,1.0,-1.0,-1.0,-1.0
578921,28.36,1.78069499353564,-1.0,-1.0,-1.0,-1.0
578922,27.42,0.8274094623324402,-1.0,-1.0,1.0,-1.0
578923,26.86,0.2541239311292358,1.0,-1.0,1.0,-1.0
578924,27.17,0.550838399926036,1.0,-1.0,1.0,-1.0
578925,27.73,1.0975528687228362,-1.0,-1.0,-1.0,-1.0
578926,27.7,1.054267337519633,1.0,-1.0,1.0,-1.0
578927,27.88,1.2209818063164306,1.0,-1.0,1.0,-1.0
578928,28.31,1.6376962751132282,1.0,-1.0,-1.0,-1.0
578929,28.36,1.6744107439100304,-1.0,-1.0,-1.0,-1.0
578930,27.54,0.8411252127068279,1.0,-1.0,1.0,-1.0
578931,27.85,1.1378396815036282,1.0,-1.0,1.0,-1.0
578932,28.89,2.1645541503004253,-1.0,-1.0,-1.0,-1.0
578933,27.86,1.1212686190972219,1.0,-1.0,1.0,-1.0
578934,28.88,2.12798308789402,-1.0,-1.0,-1.0,-1.0
578935,28.03,1.2646975566908232,-1.0,-1.0,-1.0,-1.0
578936,27.94,1.1614120254876212,-1.0,-1.0,-1.0,-1.0
578937,26.58,-0.21187350571558386,-1.0,1.0,-1.0,1.0
578938,25.47,-1.3351590369187851,1.0,1.0,-1.0,1.0
578939,27.57,0.7515554318780175,1.0,-1.0,-1.0,-1.0
578940,27.63,0.7982699006748142,1.0,-1.0,1.0,-1.0
578941,28.88,2.0349843694716117,-1.0,-1.0,-1.0,-1.0
578942,28.31,1.4516988382684095,-1.0,-1.0,-1.0,-1.0
578943,26.61,-0.26158669293479164,-1.0,-1.0,-1.0,-1.0
578944,26.54,-0.34487222413799395,-1.0,-1.0,-1.0,-1.0
578945,26.2,-0.6981577553411924,1.0,-1.0,1.0,-1.0
578946,26.22,-0.6914432865443949,-1.0,-1.0,-1.0,-1.0
578947,24.86,-2.0647288177475964,1.0,-1.0,1.0,-1.0
578948,25.57,-1.3680143489507977,-1.0,-1.0,-1.0,-1.0
578949,24.53,-2.4212998801539958,-1.0,-1.0,1.0,-1.0
578950,24.49,-2.4745854113572,1.0,-1.0,1.0,-1.0
578951,24.66,-2.3178709425604005,1.0,-1.0,1.0,-1.0
578952,26.14,-0.8511564737636022,-1.0,-1.0,-1.0,-1.0
578953,25.93,-1.074442004966805,-1.0,-1.0,-1.0,-1.0
578954,25.11,-1.9077275361700077,1.0,-1.0,1.0,-1.0
578955,25.65,-1.3810130673732068,-1.0,-1.0,-1.0,-1.0
578956,25.58,-1.4642985985764092,-1.0,-1.0,-1.0,-1.0
578957,24.15,-2.9075841297796114,-1.0,-1.0,-1.0,-1.0
578958,24.06,-3.0108696609828134,1.0,-1.0,-1.0,-1.0
578959,24.72,-2.364155192186012,1.0,-1.0,1.0,-1.0
578960,25.17,-1.9274407233892104,1.0,-1.0,1.0,-1.0
578961,26.45,-0.6607262545924151,1.0,-1.0,1.0,-1.0
578962,26.82,-0.30401178579561616,1.0,-1.0,-1.0,-1.0
578963,27.11,-0.0272973169988191,1.0,-1.0,1.0,-1.0
578964,27.69,0.5394171517979807,-1.0,-1.0,-1.0,-1.0
578965,27.11,-0.05386837940521971,-1.0,-1.0,-1.0,-1.0
578966,26.94,-0.23715391060841995,-1.0,-1.0,-1.0,-1.0
578967,26.7,-0.49043944181162397,-1.0,-1.0,-1.0,-1.0
578968,26.53,-0.6737249730148243,-1.0,-1.0,-1.0,-1.0
578969,25.3,-1.9170105042180268,1.0,1.0,1.0,1.0
578970,25.4,-1.8302960354212277,-1.0,1.0,-1.0,1.0
578971,24.74,-2.5035815666244297,1.0,1.0,1.0,1.0
578972,25.43,-1.8268670978276305,-1.0,1.0,1.0,1.0
578973,25.08,-2.190152629030834,-1.0,1.0,-1.0,1.0
578974,24.2,-3.083438160234035,-1.0,1.0,-1.0,1.0
578975,23.71,-3.586723691437232,-1.0,1.0,-1.0,1.0
578976,23.41,-3.9000092226404353,-1.0,1.0,-1.0,1.0
578977,22.75,-4.573294753843636,-1.0,1.0,-1.0,1.0
578978,22.24,-5.096580285046841,1.0,1.0,1.0,1.0
578979,23.72,-3.6298658162500415,1.0,1.0,1.0,1.0
578980,24.37,-2.9931513474532387,1.0,-1.0,1.0,-1.0
578981,24.56,-2.8164368786564435,1.0,-1.0,1.0,-1.0
578982,24.69,-2.699722409859642,1.0,-1.0,1.0,-1.0
578983,25.3,-2.1030079410628453,-1.0,-1.0,-1.0,-1.0
578984,24.87,-2.546293472266047,-1.0,-1.0,-1.0,-1.0
578985,24.36,-3.069579003469247,-1.0,-1.0,-1.0,-1.0
578986,23.0,-4.44286453467245,1.0,1.0,1.0,1.0
578987,23.8,-3.65615006587565,1.0,-1.0,1.0,-1.0
578988,24.04,-3.4294355970788537,-1.0,-1.0,-1.0,-1.0
578989,22.5,-4.982721128282055,1.0,1.0,1.0,1.0
578990,22.95,-4.546006659485253,1.0,1.0,1.0,1.0
578991,23.4,-4.109292190688457,1.0,1.0,1.0,1.0
578992,24.52,-3.0025777218916585,1.0,1.0,1.0,1.0
578993,24.69,-2.8458632530948584,-1.0,1.0,-1.0,1.0
578994,24.58,-2.9691487842980635,-1.0,1.0,1.0,1.0
578995,24.22,-3.342434315501261,1.0,1.0,1.0,1.0
578996,24.96,-2.6157198467044616,1.0,1.0,1.0,1.0
578997,26.06,-1.5290053779076658,-1.0,-1.0,-1.0,-1.0
578998,25.72,-1.882290909110868,1.0,1.0,1.0,1.0
578999,25.96,-1.6555764403140678,-1.0,1.0,-1.0,1.0
579000,25.82,-1.808861971517267,-1.0,-1.0,-1.0,1.0
579001,25.63,-2.0121475027204703,1.0,1.0,1.0,1.0
579002,26.12,-1.5354330339236704,-1.0,-1.0,-1.0,1.0
