,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
580732,47.05,-12.068582180062208,-1.0,1.0,-1.0,1.0
580733,47.0,-12.142779639207339,-1.0,1.0,-1.0,1.0
580734,46.64,-12.526977098352475,-1.0,1.0,-1.0,1.0
580735,46.21,-12.981174557497607,-1.0,1.0,-1.0,1.0
580736,45.51,-13.70537201664274,1.0,1.0,1.0,1.0
580737,46.11,-13.129569475787875,1.0,1.0,1.0,1.0
580738,47.6,-11.663766934933006,-1.0,1.0,-1.0,1.0
580739,46.97,-12.317964394078144,-1.0,1.0,-1.0,1.0
580740,45.94,-13.372161853223282,-1.0,1.0,-1.0,1.0
580741,45.66,-13.676359312368412,-1.0,1.0,-1.0,1.0
580742,45.53,-13.830556771513542,1.0,1.0,-1.0,1.0
580743,46.85,-12.534754230658677,-1.0,1.0,-1.0,-1.0
580744,46.81,-12.598951689803812,1.0,1.0,-1.0,1.0
580745,48.67,-10.763149148948948,1.0,1.0,1.0,1.0
580746,49.29,-10.167346608094078,1.0,1.0,1.0,1.0
580747,49.42,-10.061544067239213,1.0,1.0,1.0,1.0
580748,49.83,-9.67574152638435,1.0,1.0,1.0,1.0
580749,50.28,-9.249938985529482,-1.0,1.0,-1.0,1.0
580750,49.98,-9.574136444674624,-1.0,1.0,-1.0,1.0
580751,49.75,-9.828333903819749,-1.0,1.0,-1.0,1.0
580752,49.3,-10.302531362964883,1.0,1.0,1.0,1.0
580753,49.83,-9.796728822110019,-1.0,1.0,-1.0,1.0
580754,49.61,-10.040926281255151,-1.0,1.0,-1.0,1.0
580755,48.98,-10.695123740400293,-1.0,1.0,-1.0,1.0
580756,48.93,-10.769321199545416,1.0,1.0,-1.0,1.0
580757,49.81,-9.913518658690547,1.0,1.0,-1.0,1.0
580758,49.98,-9.76771611783569,1.0,1.0,1.0,1.0
580759,50.66,-9.111913576980825,1.0,1.0,1.0,1.0
580760,51.25,-8.546111036125957,-1.0,1.0,-1.0,1.0
580761,50.79,-9.030308495271086,-1.0,1.0,-1.0,1.0
580762,50.38,-9.464505954416216,-1.0,1.0,-1.0,1.0
580763,50.3,-9.56870341356136,-1.0,1.0,-1.0,1.0
580764,50.24,-9.652900872706489,-1.0,1.0,-1.0,1.0
580765,50.14,-9.777098331851626,1.0,-1.0,1.0,-1.0
580766,50.92,-9.021295790996751,1.0,-1.0,-1.0,-1.0
580767,51.24,-8.725493250141888,1.0,-1.0,1.0,-1.0
580768,51.83,-8.159690709287027,-1.0,-1.0,-1.0,-1.0
580769,51.82,-8.19388816843216,1.0,-1.0,1.0,-1.0
580770,52.68,-7.358085627577295,1.0,-1.0,1.0,-1.0
580771,52.89,-7.172283086722423,-1.0,-1.0,-1.0,-1.0
580772,52.44,-7.646480545867561,-1.0,-1.0,-1.0,-1.0
580773,51.89,-8.220678005012694,-1.0,-1.0,-1.0,-1.0
580774,51.72,-8.41487546415783,1.0,-1.0,1.0,-1.0
580775,52.12,-8.039072923302967,1.0,-1.0,1.0,-1.0
580776,52.53,-7.653270382448099,-1.0,-1.0,-1.0,-1.0
580777,52.49,-7.717467841593226,-1.0,-1.0,1.0,-1.0
580778,52.16,-8.071665300738367,1.0,-1.0,1.0,-1.0
580779,52.47,-7.7858627598835,1.0,-1.0,1.0,-1.0
580780,52.85,-7.430060219028633,-1.0,-1.0,-1.0,-1.0
580781,52.65,-7.654257678173771,-1.0,-1.0,-1.0,-1.0
580782,52.52,-7.8084551373188935,-1.0,-1.0,-1.0,-1.0
580783,52.37,-7.982652596464035,1.0,-1.0,1.0,-1.0
580784,52.75,-7.626850055609168,1.0,-1.0,1.0,-1.0
580785,52.95,-7.4510475147543005,-1.0,-1.0,-1.0,-1.0
580786,52.46,-7.965244973899437,-1.0,-1.0,-1.0,-1.0
580787,51.3,-9.149442433044571,1.0,-1.0,1.0,-1.0
580788,51.59,-8.883639892189699,-1.0,-1.0,-1.0,-1.0
580789,50.74,-9.757837351334837,1.0,-1.0,-1.0,-1.0
580790,51.35,-9.172034810479973,1.0,-1.0,1.0,-1.0
580791,51.92,-8.626232269625106,1.0,-1.0,1.0,-1.0
580792,51.99,-8.580429728770234,-1.0,-1.0,-1.0,-1.0
580793,51.24,-9.35462718791537,-1.0,-1.0,-1.0,-1.0
580794,51.14,-9.478824647060506,-1.0,-1.0,1.0,-1.0
580795,50.13,-10.513022106205641,-1.0,-1.0,-1.0,-1.0
580796,48.44,-12.227219565350781,1.0,-1.0,1.0,-1.0
580797,49.09,-11.601417024495902,1.0,-1.0,1.0,-1.0
580798,49.58,-11.135614483641042,-1.0,-1.0,-1.0,-1.0
580799,49.08,-11.659811942786176,1.0,-1.0,1.0,-1.0
580800,49.42,-11.34400940193131,-1.0,-1.0,-1.0,-1.0
580801,49.0,-11.788206861076446,-1.0,-1.0,-1.0,-1.0
580802,48.71,-12.102404320221574,-1.0,-1.0,-1.0,-1.0
580803,47.0,-13.83660177936671,-1.0,-1.0,-1.0,1.0
580804,46.42,-14.440799238511847,1.0,-1.0,1.0,1.0
580805,48.35,-12.534996697656979,0.0,-1.0,0.0,-1.0
580806,48.35,-12.559194156802116,-1.0,-1.0,-1.0,-1.0
580807,47.99,-12.943391615947242,-1.0,-1.0,-1.0,-1.0
580808,47.36,-13.59758907509238,-1.0,-1.0,-1.0,-1.0
580809,46.56,-14.421786534237512,-1.0,-1.0,-1.0,1.0
580810,46.25,-14.75598399338265,-1.0,-1.0,-1.0,-1.0
580811,45.56,-15.470181452527786,1.0,1.0,1.0,1.0
580812,46.26,-14.794378911672913,-1.0,1.0,-1.0,1.0
