,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
582599,54.01,6.480522808998423,-1.0,1.0,-1.0,1.0
582600,52.66,5.099406294118894,1.0,1.0,1.0,1.0
582601,54.36,6.76828977923936,-1.0,1.0,-1.0,1.0
582602,54.14,6.517173264359826,1.0,1.0,1.0,1.0
582603,55.43,7.776056749480298,1.0,1.0,1.0,1.0
582604,55.86,8.174940234600761,-1.0,1.0,-1.0,1.0
582605,54.65,6.933823719721232,-1.0,1.0,1.0,1.0
582606,53.71,5.9627072048417,-1.0,1.0,1.0,1.0
582607,51.03,3.251590689962171,1.0,1.0,1.0,1.0
582608,51.79,3.9804741750826333,-1.0,1.0,-1.0,1.0
582609,50.75,2.9093576602030997,1.0,1.0,1.0,1.0
582610,51.06,3.1882411453235733,1.0,1.0,1.0,1.0
582611,51.28,3.3771246304440368,1.0,1.0,1.0,1.0
582612,51.4,3.466008115564506,1.0,1.0,1.0,1.0
582613,51.52,3.5548916006849756,1.0,1.0,1.0,1.0
582614,52.44,4.4437750858054335,-1.0,1.0,-1.0,1.0
582615,51.85,3.8226585709259098,1.0,1.0,1.0,1.0
582616,51.87,3.8115420560463695,-1.0,1.0,-1.0,1.0
582617,51.7,3.610425541166848,1.0,1.0,1.0,1.0
582618,53.17,5.049309026287311,-1.0,1.0,-1.0,1.0
582619,52.56,4.408192511407783,1.0,1.0,-1.0,1.0
582620,53.78,5.597075996528248,-1.0,1.0,-1.0,1.0
582621,53.64,5.425959481648711,1.0,1.0,1.0,1.0
582622,53.76,5.514842966769179,1.0,1.0,1.0,1.0
582623,53.81,5.533726451889648,-1.0,1.0,1.0,1.0
582624,53.51,5.2026099370101155,1.0,1.0,1.0,1.0
582625,53.75,5.411493422130584,1.0,1.0,1.0,1.0
582626,54.2,5.8303769072510505,1.0,1.0,1.0,1.0
582627,55.57,7.16926039237152,-1.0,1.0,-1.0,1.0
582628,55.53,7.098143877491985,1.0,1.0,-1.0,1.0
582629,56.19,7.727027362612453,1.0,1.0,1.0,1.0
582630,57.4,8.905910847732919,1.0,1.0,1.0,1.0
582631,58.44,9.914794332853392,-1.0,1.0,-1.0,1.0
582632,57.86,9.303677817973856,-1.0,1.0,1.0,1.0
582633,57.3,8.712561303094319,1.0,1.0,1.0,1.0
582634,58.62,10.001444788214789,1.0,1.0,1.0,1.0
582635,59.96,11.310328273335259,-1.0,1.0,1.0,1.0
582636,59.2,10.519211758455732,1.0,1.0,1.0,1.0
582637,59.61,10.898095243576194,1.0,1.0,1.0,1.0
582638,59.85,11.10697872869666,-1.0,1.0,1.0,1.0
582639,59.81,11.035862213817135,1.0,1.0,1.0,1.0
582640,59.87,11.064745698937593,1.0,1.0,1.0,1.0
582641,59.93,11.093629184058068,-1.0,1.0,1.0,1.0
582642,59.57,10.702512669178533,-1.0,1.0,1.0,1.0
582643,59.47,10.571396154298995,-1.0,1.0,-1.0,1.0
582644,58.69,9.760279639419466,1.0,1.0,1.0,1.0
582645,59.7,10.739163124539935,1.0,1.0,1.0,-1.0
582646,60.24,11.248046609660406,1.0,1.0,1.0,1.0
582647,61.66,12.636930094780865,1.0,1.0,1.0,1.0
582648,62.58,13.52581357990134,-1.0,1.0,-1.0,1.0
582649,62.5,13.414697065021805,1.0,1.0,1.0,1.0
582650,64.1,14.983580550142266,1.0,-1.0,1.0,-1.0
582651,64.8,15.65246403526274,1.0,-1.0,1.0,-1.0
582652,65.27,16.091347520383202,-1.0,-1.0,-1.0,-1.0
582653,63.62,14.410231005503675,1.0,-1.0,1.0,-1.0
582654,65.16,15.91911449062414,-1.0,-1.0,-1.0,-1.0
582655,64.16,14.887997975744609,-1.0,1.0,-1.0,1.0
582656,63.02,13.716881460865082,1.0,-1.0,1.0,-1.0
