,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
584466,75.42,10.059437579948607,-1.0,-1.0,-1.0,-1.0
584467,74.94,9.591938362940962,-1.0,-1.0,-1.0,-1.0
584468,74.14,8.80443914593333,-1.0,-1.0,-1.0,-1.0
584469,73.17,7.846939928925692,-1.0,-1.0,-1.0,-1.0
584470,72.76,7.449440711918057,-1.0,-1.0,-1.0,-1.0
584471,72.12,6.821941494910419,1.0,-1.0,1.0,-1.0
584472,72.5,7.214442277902776,-1.0,-1.0,1.0,-1.0
584473,71.9,6.626943060895144,1.0,-1.0,1.0,-1.0
584474,72.2,6.939443843887503,-1.0,-1.0,-1.0,-1.0
584475,71.05,5.801944626879845,-1.0,-1.0,-1.0,-1.0
584476,70.24,5.004445409872204,1.0,-1.0,1.0,-1.0
584477,70.97,5.746946192864571,-1.0,-1.0,-1.0,-1.0
584478,70.48,5.269446975856937,1.0,-1.0,-1.0,-1.0
584479,70.84,5.641947758849298,1.0,-1.0,1.0,-1.0
584480,72.24,7.054448541841651,1.0,-1.0,1.0,-1.0
584481,72.5,7.326949324834017,1.0,-1.0,1.0,-1.0
584482,73.22,8.059450107826379,-1.0,-1.0,-1.0,-1.0
584483,71.57,6.421950890818735,1.0,-1.0,1.0,-1.0
584484,72.38,7.244451673811098,1.0,-1.0,1.0,-1.0
584485,72.6,7.476952456803446,-1.0,-1.0,-1.0,-1.0
584486,72.42,7.309453239795816,-1.0,-1.0,-1.0,-1.0
584487,71.84,6.741954022788177,-1.0,-1.0,-1.0,-1.0
584488,71.78,6.694454805780537,1.0,-1.0,-1.0,-1.0
584489,72.27,7.196955588772894,-1.0,-1.0,-1.0,-1.0
584490,71.8,6.739456371765258,-1.0,-1.0,-1.0,-1.0
584491,69.96,4.911957154757616,-1.0,-1.0,-1.0,-1.0
584492,69.59,4.554457937749987,-1.0,-1.0,-1.0,-1.0
584493,64.07,-0.9530412792576612,-1.0,1.0,-1.0,1.0
584494,63.65,-1.360540496265294,1.0,1.0,1.0,1.0
584495,65.08,0.08196028672705324,-1.0,1.0,-1.0,1.0
584496,64.71,-0.2755389302805895,1.0,1.0,1.0,1.0
584497,65.08,0.10696185271177684,1.0,1.0,1.0,1.0
584498,66.55,1.5894626357041377,1.0,1.0,1.0,1.0
584499,67.15,2.2019634186965082,1.0,-1.0,-1.0,-1.0
584500,68.36,3.424464201688864,1.0,-1.0,1.0,-1.0
584501,68.45,3.5269649846812285,1.0,-1.0,-1.0,-1.0
584502,68.53,3.6194657676735886,-1.0,-1.0,-1.0,-1.0
584503,68.5,3.6019665506659493,-1.0,-1.0,-1.0,-1.0
584504,67.94,3.0544673336582946,1.0,-1.0,1.0,-1.0
584505,69.39,4.516968116650659,1.0,-1.0,1.0,-1.0
584506,69.83,4.969468899643019,1.0,-1.0,1.0,-1.0
584507,70.01,5.1619696826353865,1.0,-1.0,1.0,-1.0
584508,70.02,5.18447046562774,-1.0,-1.0,-1.0,-1.0
584509,69.4,4.576971248620112,1.0,-1.0,1.0,-1.0
584510,69.89,5.079472031612468,-1.0,-1.0,-1.0,-1.0
584511,68.69,3.8919728146048267,-1.0,-1.0,-1.0,-1.0
584512,68.64,3.854473597597192,-1.0,-1.0,-1.0,-1.0
584513,68.51,3.7369743805895577,-1.0,-1.0,-1.0,-1.0
584514,68.07,3.3094751635818938,-1.0,-1.0,-1.0,-1.0
584515,67.69,2.94197594657426,-1.0,-1.0,-1.0,-1.0
584516,67.55,2.8144767295666213,-1.0,-1.0,-1.0,-1.0
584517,67.01,2.2869775125589906,1.0,-1.0,1.0,-1.0
584518,67.32,2.609478295551341,-1.0,-1.0,-1.0,-1.0
584519,66.92,2.2219790785437112,1.0,-1.0,1.0,-1.0
584520,67.32,2.6344798615360645,-1.0,-1.0,-1.0,-1.0
584521,67.19,2.5169806445284313,1.0,-1.0,1.0,-1.0
584522,67.79,3.1294814275208016,-1.0,-1.0,1.0,-1.0
584523,67.39,2.741982210513143,-1.0,-1.0,-1.0,-1.0
584524,67.33,2.6944829935055026,1.0,-1.0,1.0,-1.0
584525,67.36,2.736983776497865,0.0,-1.0,0.0,-1.0
584526,67.36,2.7494845594902277,1.0,-1.0,0.0,-1.0
584527,67.69,3.0919853424825874,1.0,-1.0,1.0,-1.0
584528,67.9,3.314486125474957,-1.0,-1.0,-1.0,-1.0
584529,67.07,2.4969869084673064,-1.0,-1.0,-1.0,-1.0
584530,66.81,2.2494876914596773,1.0,-1.0,-1.0,-1.0
584531,67.28,2.731988474452038,-1.0,-1.0,-1.0,-1.0
584532,66.79,2.254489257444405,1.0,1.0,-1.0,-1.0
584533,67.41,2.886990040436743,-1.0,1.0,-1.0,-1.0
584534,66.17,1.6594908234291097,-1.0,1.0,-1.0,1.0
584535,65.49,0.9919916064214648,-1.0,1.0,-1.0,1.0
584536,64.61,0.12449238941383099,1.0,1.0,1.0,1.0
584537,64.66,0.18699317240619,1.0,1.0,1.0,1.0
584538,65.14,0.6794939553985557,1.0,1.0,1.0,1.0
584539,65.34,0.8919947383909204,-1.0,1.0,-1.0,1.0
584540,63.85,-0.5855044786167198,1.0,1.0,1.0,1.0
584541,64.88,0.456996304375636,-1.0,1.0,-1.0,1.0
584542,62.72,-1.6905029126320132,-1.0,1.0,-1.0,1.0
584543,62.15,-2.2480021296396515,-1.0,1.0,-1.0,1.0
584544,61.31,-3.0755013466472865,1.0,1.0,-1.0,1.0
584545,61.81,-2.563000563654924,-1.0,1.0,-1.0,1.0
584546,60.85,-3.5104997806625637,1.0,1.0,1.0,1.0
584547,61.81,-2.5379989976702007,1.0,1.0,1.0,1.0
584548,63.74,-0.5954982146778391,1.0,-1.0,1.0,-1.0
584549,64.23,-0.09299743168547536,1.0,-1.0,1.0,-1.0
584550,65.0,0.6895033513068825,-1.0,-1.0,-1.0,-1.0
584551,64.66,0.3620041342992408,1.0,-1.0,1.0,-1.0
584552,66.35,2.0645049172915857,1.0,-1.0,-1.0,-1.0
584553,66.93,2.6570057002839604,-1.0,-1.0,-1.0,-1.0
584554,66.05,1.7895064832763126,1.0,-1.0,-1.0,-1.0
584555,67.33,3.0820072662686755,-1.0,-1.0,-1.0,-1.0
584556,66.85,2.6145080492610333,1.0,-1.0,-1.0,-1.0
584557,67.19,2.9670088322533985,-1.0,-1.0,-1.0,-1.0
584558,67.05,2.83950961524576,-1.0,-1.0,-1.0,-1.0
584559,66.73,2.5320103982381283,-1.0,-1.0,-1.0,-1.0
584560,66.17,1.984511181230488,1.0,-1.0,-1.0,-1.0
584561,67.16,2.9870119642228303,1.0,-1.0,1.0,-1.0
584562,67.88,3.719512747215191,1.0,-1.0,1.0,-1.0
