,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
587090,122.16,-75.21984250120963,-1.0,1.0,-1.0,1.0
587091,119.94,-77.390589537123,-1.0,1.0,1.0,1.0
587092,119.02,-78.26133657303642,-1.0,1.0,-1.0,1.0
587093,118.02,-79.21208360894981,-1.0,1.0,-1.0,1.0
587094,117.36,-79.8228306448632,1.0,1.0,1.0,1.0
587095,119.04,-78.09357768077662,1.0,1.0,1.0,1.0
587096,119.88,-77.20432471669001,-1.0,1.0,-1.0,1.0
587097,118.42,-78.61507175260341,-1.0,1.0,-1.0,1.0
587098,115.46,-81.52581878851682,1.0,1.0,1.0,1.0
587099,116.68,-80.2565658244302,-1.0,1.0,-1.0,1.0
587100,115.36,-81.52731286034363,1.0,1.0,1.0,1.0
587101,118.32,-78.51805989625703,1.0,1.0,1.0,1.0
587102,119.5,-77.28880693217042,1.0,1.0,-1.0,1.0
587103,120.46,-76.27955396808382,1.0,1.0,1.0,1.0
587104,120.72,-75.9703010039972,1.0,1.0,1.0,1.0
587105,122.84,-73.8010480399106,1.0,1.0,1.0,1.0
587106,123.62,-72.97179507582402,1.0,1.0,1.0,1.0
587107,124.22,-72.32254211173742,1.0,1.0,1.0,1.0
587108,124.96,-71.53328914765082,-1.0,1.0,-1.0,1.0
587109,124.14,-72.30403618356421,-1.0,1.0,-1.0,1.0
587110,122.9,-73.4947832194776,1.0,1.0,1.0,1.0
587111,124.2,-72.14553025539102,-1.0,1.0,1.0,1.0
587112,122.12,-74.17627729130443,1.0,1.0,1.0,1.0
587113,123.08,-73.1670243272178,1.0,1.0,1.0,1.0
587114,124.76,-71.4377713631312,1.0,1.0,1.0,1.0
587115,125.2,-70.94851839904459,1.0,1.0,1.0,1.0
587116,125.88,-70.219265434958,-1.0,1.0,1.0,1.0
587117,125.82,-70.23001247087143,1.0,1.0,1.0,1.0
587118,126.58,-69.42075950678482,1.0,1.0,1.0,1.0
587119,127.1,-68.85150654269822,-1.0,1.0,-1.0,1.0
587120,125.86,-70.04225357861161,1.0,1.0,1.0,1.0
587121,127.4,-68.45300061452501,-1.0,1.0,-1.0,1.0
587122,126.58,-69.22374765043843,1.0,1.0,1.0,1.0
587123,128.32,-67.43449468635183,1.0,1.0,1.0,1.0
587124,128.98,-66.72524172226521,1.0,1.0,1.0,1.0
587125,129.28,-66.37598875817861,1.0,1.0,1.0,1.0
587126,131.8,-63.806735794091985,-1.0,1.0,-1.0,1.0
587127,129.48,-66.07748283000541,1.0,1.0,1.0,1.0
587128,129.86,-65.64822986591881,1.0,1.0,1.0,1.0
587129,130.96,-64.49897690183221,1.0,1.0,1.0,1.0
587130,132.1,-63.309723937745616,-1.0,1.0,-1.0,1.0
587131,130.86,-64.50047097365899,-1.0,-1.0,-1.0,1.0
587132,129.38,-65.9312180095724,1.0,-1.0,1.0,-1.0
587133,132.14,-63.12196504548581,-1.0,1.0,1.0,1.0
587134,131.52,-63.692712081399215,1.0,1.0,-1.0,1.0
587135,132.1,-63.06345911731261,-1.0,1.0,1.0,1.0
587136,130.8,-64.31420615322601,1.0,1.0,1.0,1.0
587137,133.0,-62.064953189139395,1.0,-1.0,1.0,1.0
587138,133.84,-61.175700225052786,1.0,-1.0,1.0,-1.0
587139,135.2,-59.766447260966224,-1.0,-1.0,-1.0,-1.0
587140,134.9,-60.01719429687961,1.0,-1.0,-1.0,-1.0
587141,135.86,-59.007941332792996,1.0,-1.0,1.0,-1.0
587142,137.36,-57.45868836870639,1.0,-1.0,1.0,-1.0
587143,137.78,-56.9894354046198,1.0,-1.0,1.0,1.0
587144,138.66,-56.06018244053322,1.0,-1.0,-1.0,-1.0
587145,139.02,-55.650929476446606,1.0,-1.0,1.0,-1.0
587146,139.46,-55.16167651236,-1.0,-1.0,-1.0,-1.0
587147,138.32,-56.25242354827341,1.0,-1.0,1.0,-1.0
587148,140.4,-54.123170584186795,1.0,-1.0,1.0,-1.0
587149,140.82,-53.6539176201002,1.0,-1.0,1.0,1.0
587150,140.98,-53.44466465601363,-1.0,-1.0,-1.0,-1.0
587151,140.5,-53.875411691927006,1.0,-1.0,1.0,-1.0
587152,142.54,-51.78615872784042,-1.0,-1.0,-1.0,-1.0
587153,141.44,-52.83690576375381,-1.0,-1.0,-1.0,-1.0
587154,137.92,-56.30765279966722,1.0,-1.0,1.0,-1.0
587155,139.84,-54.338399835580596,1.0,-1.0,1.0,-1.0
587156,142.48,-51.649146871494025,-1.0,-1.0,-1.0,-1.0
587157,140.74,-53.3398939074074,1.0,-1.0,1.0,-1.0
587158,142.56,-51.4706409433208,-1.0,-1.0,-1.0,-1.0
587159,136.94,-57.0413879792342,-1.0,-1.0,-1.0,1.0
587160,134.94,-58.9921350151476,-1.0,-1.0,-1.0,1.0
587161,129.5,-64.38288205106102,-1.0,1.0,-1.0,1.0
587162,127.58,-66.25362908697441,1.0,1.0,1.0,1.0
587163,134.18,-59.60437612288779,-1.0,-1.0,-1.0,-1.0
587164,132.86,-60.87512315880118,1.0,-1.0,1.0,-1.0
587165,135.28,-58.4058701947146,-1.0,-1.0,-1.0,-1.0
587166,133.56,-60.076617230627996,-1.0,-1.0,-1.0,-1.0
587167,130.18,-63.40736426654141,1.0,-1.0,1.0,-1.0
587168,132.24,-61.29811130245479,-1.0,-1.0,-1.0,1.0
587169,131.26,-62.22885833836821,-1.0,-1.0,-1.0,-1.0
587170,128.72,-64.7196053742816,-1.0,-1.0,-1.0,1.0
587171,123.12,-70.27035241019499,1.0,-1.0,1.0,-1.0
587172,125.38,-67.96109944610842,-1.0,-1.0,1.0,1.0
587173,123.06,-70.23184648202181,1.0,1.0,1.0,1.0
587174,124.44,-68.80259351793521,-1.0,1.0,-1.0,1.0
587175,123.72,-69.4733405538486,1.0,1.0,1.0,1.0
587176,130.18,-62.964087589761995,-1.0,-1.0,-1.0,1.0
587177,128.14,-64.9548346256754,-1.0,1.0,-1.0,1.0
587178,125.08,-67.96558166158881,1.0,1.0,1.0,1.0
587179,129.46,-63.536328697502206,-1.0,-1.0,-1.0,-1.0
587180,127.92,-65.0270757334156,-1.0,-1.0,-1.0,1.0
587181,123.58,-69.317822769329,-1.0,1.0,-1.0,1.0
587182,121.04,-71.80856980524239,1.0,1.0,1.0,1.0
587183,124.26,-68.53931684115581,-1.0,1.0,-1.0,1.0
587184,123.82,-68.93006387706922,1.0,1.0,1.0,1.0
587185,126.64,-66.0608109129826,1.0,1.0,1.0,1.0
587186,129.56,-63.091557948895996,-1.0,1.0,-1.0,1.0
587187,128.14,-64.46230498480939,1.0,1.0,1.0,1.0
587188,131.16,-61.39305202072279,1.0,1.0,1.0,1.0
