,Close,Target(1),Target(30),Prediction(1),Prediction(30)
590585,161.7,-1.0,-1.0,-1.0,-1.0
590586,160.88,-1.0,1.0,-1.0,1.0
590587,158.01,-1.0,1.0,-1.0,1.0
590588,157.7,-1.0,1.0,-1.0,1.0
590589,157.16,-1.0,1.0,-1.0,1.0
590590,156.03,-1.0,1.0,-1.0,1.0
590591,155.21,1.0,1.0,1.0,1.0
590592,157.07,-1.0,1.0,-1.0,1.0
590593,155.16,-1.0,1.0,-1.0,1.0
590594,152.79,1.0,1.0,1.0,1.0
590595,153.32,1.0,1.0,1.0,1.0
590596,157.05,-1.0,1.0,-1.0,1.0
590597,153.68,1.0,1.0,1.0,1.0
590598,155.9,-1.0,1.0,-1.0,1.0
590599,155.66,-1.0,1.0,-1.0,1.0
590600,152.07,1.0,1.0,1.0,1.0
590601,155.79,-1.0,1.0,-1.0,1.0
590602,153.28,-1.0,1.0,-1.0,1.0
590603,146.49,-1.0,1.0,-1.0,1.0
590604,145.74,1.0,1.0,1.0,1.0
590605,147.32,1.0,1.0,1.0,1.0
590606,147.83,1.0,1.0,1.0,1.0
590607,148.87,1.0,1.0,-1.0,1.0
590608,150.76,-1.0,1.0,-1.0,1.0
590609,149.28,1.0,1.0,1.0,1.0
590610,156.14,-1.0,-1.0,1.0,-1.0
590611,154.72,1.0,1.0,1.0,1.0
590612,161.03,-1.0,-1.0,-1.0,-1.0
590613,159.06,1.0,-1.0,1.0,-1.0
590614,160.51,1.0,-1.0,1.0,-1.0
590615,161.15,1.0,-1.0,1.0,-1.0
590616,162.96,1.0,-1.0,1.0,-1.0
590617,166.32,-1.0,-1.0,-1.0,-1.0
590618,164.44,1.0,-1.0,1.0,-1.0
590619,164.95,1.0,-1.0,-1.0,-1.0
590620,167.6,-1.0,-1.0,-1.0,-1.0
590621,166.95,-1.0,-1.0,-1.0,-1.0
590622,163.89,1.0,-1.0,-1.0,-1.0
590623,164.48,1.0,-1.0,1.0,-1.0
590624,165.32,-1.0,-1.0,-1.0,-1.0
590625,163.91,1.0,-1.0,1.0,-1.0
590626,165.85,-1.0,-1.0,-1.0,-1.0
590627,162.82,1.0,-1.0,1.0,-1.0
590628,165.49,-1.0,-1.0,-1.0,1.0
590629,165.15,1.0,-1.0,1.0,-1.0
590630,167.48,-1.0,-1.0,-1.0,-1.0
590631,166.16,-1.0,-1.0,1.0,-1.0
590632,164.0,-1.0,-1.0,-1.0,-1.0
590633,159.01,-1.0,-1.0,1.0,-1.0
590634,155.94,1.0,-1.0,1.0,-1.0
590635,158.05,-1.0,-1.0,-1.0,-1.0
590636,155.55,-1.0,-1.0,-1.0,-1.0
590637,154.05,-1.0,-1.0,-1.0,-1.0
590638,153.16,1.0,-1.0,1.0,-1.0
590639,154.66,1.0,-1.0,1.0,-1.0
590640,155.85,1.0,-1.0,1.0,-1.0
590641,157.2,-1.0,-1.0,-1.0,1.0
590642,152.77,-1.0,-1.0,-1.0,-1.0
590643,151.03,-1.0,-1.0,-1.0,-1.0
590644,146.99,1.0,-1.0,1.0,-1.0
590645,148.27,1.0,-1.0,1.0,-1.0
590646,149.66,-1.0,-1.0,-1.0,-1.0
590647,144.25,-1.0,-1.0,-1.0,-1.0
590648,140.07,1.0,-1.0,1.0,-1.0
590649,140.48,1.0,-1.0,1.0,-1.0
590650,140.86,1.0,-1.0,1.0,-1.0
590651,143.32,-1.0,-1.0,-1.0,-1.0
590652,141.99,1.0,-1.0,1.0,-1.0
590653,145.15,1.0,-1.0,1.0,-1.0
590654,151.55,-1.0,-1.0,-1.0,-1.0
590655,149.93,-1.0,-1.0,-1.0,-1.0
590656,147.7,-1.0,-1.0,-1.0,-1.0
590657,146.7,1.0,-1.0,-1.0,-1.0
590658,147.04,-1.0,-1.0,-1.0,-1.0
590659,145.69,-1.0,-1.0,-1.0,-1.0
590660,144.86,1.0,-1.0,-1.0,-1.0
590661,146.02,-1.0,-1.0,-1.0,1.0
590662,145.28,1.0,-1.0,1.0,1.0
590663,145.8,-1.0,-1.0,-1.0,-1.0
590664,142.99,-1.0,1.0,1.0,1.0
590665,130.55,-1.0,1.0,-1.0,-1.0
590666,126.87,1.0,1.0,1.0,1.0
590667,129.51,1.0,1.0,1.0,1.0
590668,130.82,1.0,1.0,1.0,1.0
590669,131.31,-1.0,1.0,-1.0,1.0
590670,131.26,1.0,1.0,-1.0,1.0
590671,132.37,1.0,1.0,1.0,1.0
590672,132.8,1.0,1.0,1.0,-1.0
590673,133.17,-1.0,1.0,1.0,1.0
590674,132.9,1.0,1.0,1.0,-1.0
590675,133.14,1.0,1.0,1.0,1.0
590676,136.83,1.0,1.0,1.0,-1.0
590677,138.63,-1.0,1.0,-1.0,1.0
590678,135.84,1.0,1.0,1.0,1.0
590679,136.72,1.0,1.0,1.0,1.0
590680,138.8,-1.0,1.0,-1.0,1.0
590681,138.2,1.0,1.0,1.0,1.0
590682,138.66,-1.0,1.0,-1.0,1.0
590683,137.51,-1.0,1.0,-1.0,1.0
590684,136.54,1.0,1.0,1.0,1.0
590685,139.34,-1.0,1.0,-1.0,1.0
590686,138.95,1.0,1.0,1.0,1.0
590687,140.03,-1.0,1.0,-1.0,1.0
590688,139.41,1.0,1.0,1.0,1.0
590689,141.17,1.0,1.0,-1.0,1.0
590690,142.68,-1.0,1.0,-1.0,1.0
590691,140.39,1.0,1.0,1.0,1.0
590692,141.68,-1.0,1.0,-1.0,1.0
590693,141.5,1.0,1.0,1.0,1.0
590694,143.62,-1.0,1.0,-1.0,1.0
590695,141.86,1.0,1.0,1.0,1.0
590696,143.91,1.0,1.0,1.0,1.0
590697,144.3,1.0,1.0,1.0,1.0
590698,145.0,1.0,-1.0,1.0,-1.0
590699,147.94,1.0,-1.0,1.0,-1.0
590700,148.9,-1.0,-1.0,-1.0,-1.0
590701,145.97,-1.0,-1.0,-1.0,-1.0
590702,145.76,1.0,-1.0,1.0,-1.0
590703,150.42,1.0,-1.0,1.0,-1.0
590704,153.31,0.0,-1.0,0.0,-1.0
590705,153.31,-1.0,-1.0,-1.0,-1.0
590706,151.15,-1.0,-1.0,-1.0,1.0
590707,148.84,-1.0,1.0,-1.0,1.0
590708,148.06,-1.0,1.0,-1.0,1.0
590709,147.27,-1.0,1.0,-1.0,1.0
590710,146.15,1.0,1.0,1.0,1.0
590711,158.85,-1.0,-1.0,-1.0,-1.0
590712,153.44,1.0,-1.0,-1.0,-1.0
590713,155.35,-1.0,-1.0,-1.0,1.0
590714,151.86,1.0,-1.0,1.0,-1.0
590715,154.81,-1.0,-1.0,-1.0,-1.0
590716,151.09,1.0,-1.0,1.0,-1.0
590717,155.33,1.0,-1.0,1.0,-1.0
590718,157.28,-1.0,-1.0,-1.0,1.0
590719,157.07,-1.0,-1.0,-1.0,-1.0
590720,154.99,-1.0,-1.0,-1.0,-1.0
590721,153.84,1.0,-1.0,1.0,-1.0
590722,154.64,-1.0,-1.0,-1.0,-1.0
590723,153.89,-1.0,-1.0,-1.0,-1.0
590724,150.45,1.0,-1.0,1.0,-1.0
590725,151.59,-1.0,-1.0,-1.0,-1.0
590726,150.01,-1.0,-1.0,-1.0,-1.0
590727,148.1,-1.0,-1.0,-1.0,-1.0
590728,142.82,-1.0,1.0,-1.0,-1.0
590729,141.56,1.0,1.0,1.0,1.0
590730,143.28,-1.0,1.0,-1.0,1.0
590731,142.25,-1.0,1.0,-1.0,1.0
590732,139.0,1.0,1.0,1.0,1.0
590733,139.15,1.0,1.0,1.0,1.0
590734,149.29,-1.0,1.0,-1.0,1.0
590735,148.53,-1.0,1.0,-1.0,1.0
590736,147.88,1.0,1.0,1.0,1.0
590737,150.84,-1.0,-1.0,-1.0,-1.0
590738,149.43,-1.0,1.0,1.0,1.0
590739,147.75,1.0,1.0,1.0,1.0
590740,149.22,-1.0,1.0,-1.0,1.0
590741,147.99,1.0,1.0,-1.0,1.0
590742,148.12,1.0,1.0,1.0,1.0
590743,148.82,1.0,1.0,1.0,1.0
590744,150.03,-1.0,-1.0,-1.0,-1.0
590745,148.74,1.0,-1.0,1.0,1.0
590746,148.95,1.0,-1.0,1.0,-1.0
590747,149.94,-1.0,-1.0,-1.0,-1.0
590748,146.07,1.0,-1.0,1.0,-1.0
590749,146.27,-1.0,-1.0,-1.0,-1.0
590750,144.83,-1.0,1.0,-1.0,1.0
590751,143.18,1.0,1.0,1.0,1.0
