,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
591455,7.82,0.28326133340605075,-1.0,1.0,-1.0,1.0
591457,7.9,0.3452440290765493,1.0,1.0,1.0,1.0
591458,8.3,0.7362353769117984,-1.0,1.0,-1.0,1.0
591462,8.16,0.5602007682527956,1.0,-1.0,1.0,-1.0
591463,8.22,0.6111921160880449,1.0,-1.0,1.0,-1.0
591464,8.4,0.7821834639232943,1.0,-1.0,1.0,-1.0
591465,8.46,0.8331748117585436,-1.0,-1.0,-1.0,-1.0
591466,8.44,0.8041661595937919,1.0,-1.0,1.0,-1.0
591467,8.6,0.9551575074290408,-1.0,-1.0,-1.0,-1.0
591470,8.5,0.8281315509347893,-1.0,-1.0,-1.0,-1.0
591473,8.74,1.0411055944405376,1.0,-1.0,1.0,-1.0
591474,8.87,1.1620969422757854,-1.0,-1.0,-1.0,-1.0
591475,8.81,1.0930882901110364,-1.0,-1.0,-1.0,-1.0
591476,8.57,0.8440796379462849,-1.0,-1.0,-1.0,-1.0
591478,8.26,0.5160623336167829,-1.0,1.0,-1.0,1.0
591479,8.07,0.31705368145203305,1.0,1.0,-1.0,1.0
591480,8.36,0.598045029287281,1.0,1.0,1.0,-1.0
591481,8.39,0.6190363771225318,-1.0,-1.0,-1.0,-1.0
591482,8.1,0.3200277249577805,1.0,1.0,1.0,1.0
591483,8.17,0.3810190727930296,1.0,1.0,1.0,-1.0
591485,8.19,0.3830017684635276,-1.0,1.0,-1.0,1.0
591488,8.54,0.7059758119692754,-1.0,-1.0,-1.0,-1.0
591489,8.35,0.5069671598045247,-1.0,1.0,-1.0,1.0
591490,8.28,0.4279585076397741,-1.0,1.0,-1.0,1.0
591491,7.96,0.09894985547502344,-1.0,1.0,-1.0,1.0
591492,7.89,0.019941203310272826,-1.0,1.0,-1.0,1.0
591494,8.24,0.3519238989807718,-1.0,1.0,-1.0,1.0
591498,8.32,0.3958892903217688,1.0,1.0,1.0,1.0
591500,8.27,0.3278719859922665,1.0,1.0,-1.0,1.0
591501,8.42,0.4688633338275166,-1.0,1.0,-1.0,1.0
591505,8.25,0.2628287251685135,-1.0,-1.0,-1.0,1.0
591508,8.5,0.4858027686742616,-1.0,-1.0,-1.0,-1.0
591515,8.28,0.20274220352100514,-1.0,1.0,-1.0,1.0
591522,8.55,0.4096816383677524,1.0,-1.0,1.0,-1.0
591532,8.39,0.15959511672024362,-1.0,-1.0,-1.0,-1.0
591533,8.32,0.08058646455549301,-1.0,-1.0,-1.0,-1.0
591537,8.64,0.3645518558964902,-1.0,-1.0,-1.0,-1.0
591538,8.29,0.005543203731738444,-1.0,-1.0,-1.0,1.0
591541,8.38,0.06851724723748731,1.0,-1.0,-1.0,-1.0
591542,8.45,0.1295085950727355,0.0,-1.0,0.0,-1.0
591548,8.0,-0.3745433179157676,1.0,-1.0,1.0,-1.0
591549,8.09,-0.29355197008051803,-1.0,-1.0,-1.0,1.0
591550,7.97,-0.4225606222452703,1.0,-1.0,1.0,-1.0
591551,7.98,-0.4215692744100199,1.0,-1.0,1.0,-1.0
591552,8.11,-0.3005779265747712,0.0,-1.0,0.0,-1.0
591557,7.97,-0.4856211873985243,1.0,-1.0,-1.0,-1.0
591558,8.02,-0.4446298395632749,-1.0,1.0,-1.0,1.0
591560,7.96,-0.5226471438927769,-1.0,-1.0,-1.0,-1.0
591563,7.6,-0.9096731003870301,1.0,-1.0,1.0,-1.0
591566,7.86,-0.6766990568812803,1.0,-1.0,1.0,-1.0
591569,8.18,-0.3837250133755337,-1.0,-1.0,-1.0,-1.0
591572,8.24,-0.35075096986978593,1.0,-1.0,-1.0,-1.0
591576,7.99,-0.6367855785287889,-1.0,-1.0,-1.0,-1.0
591578,7.93,-0.7148028828582902,-1.0,-1.0,-1.0,-1.0
591585,7.78,-0.9278634480115456,-1.0,-1.0,-1.0,-1.0
591588,8.14,-0.5948894045057962,-1.0,-1.0,-1.0,-1.0
591590,7.5,-1.2529067088352992,-1.0,-1.0,-1.0,-1.0
591592,7.07,-1.7009240131647996,-1.0,-1.0,-1.0,-1.0
591593,6.99,-1.78993266532955,-1.0,-1.0,-1.0,-1.0
591594,6.64,-2.1489413174943026,-1.0,1.0,-1.0,-1.0
591595,6.61,-2.1879499696590523,-1.0,1.0,-1.0,1.0
591598,7.19,-1.6349759261533048,1.0,-1.0,1.0,-1.0
591599,7.2,-1.6339845783180555,1.0,-1.0,1.0,-1.0
591600,7.24,-1.6029932304828058,-1.0,-1.0,-1.0,-1.0
591602,6.49,-2.3710105348123065,1.0,-1.0,-1.0,-1.0
591603,6.86,-2.0100191869770585,-1.0,-1.0,-1.0,-1.0
591606,6.78,-2.1170451434713096,-1.0,-1.0,-1.0,-1.0
591607,6.65,-2.2560537956360616,-1.0,1.0,-1.0,1.0
591608,6.55,-2.3650624478008124,1.0,1.0,1.0,1.0
591613,6.6,-2.360105708624566,-1.0,1.0,-1.0,1.0
591617,6.91,-2.0861403172835686,-1.0,1.0,-1.0,1.0
591621,6.94,-2.0921749259425715,-1.0,1.0,-1.0,1.0
591624,6.74,-2.3192008824368227,1.0,1.0,1.0,1.0
591625,7.0,-2.068209534601575,-1.0,1.0,-1.0,1.0
591626,6.63,-2.4472181867663254,-1.0,1.0,-1.0,1.0
591627,6.24,-2.8462268389310754,0.0,1.0,-1.0,1.0
591630,6.6,-2.5132527954253288,-1.0,1.0,-1.0,1.0
591631,6.54,-2.5822614475900787,-1.0,1.0,-1.0,1.0
591632,6.33,-2.801270099754829,-1.0,1.0,-1.0,1.0
591633,6.27,-2.8702787519195816,-1.0,1.0,-1.0,1.0
591634,5.97,-3.179287404084332,-1.0,1.0,-1.0,1.0
591639,6.93,-2.2643306649080848,1.0,-1.0,1.0,-1.0
591641,7.2,-2.0123479692375854,1.0,-1.0,1.0,-1.0
591642,7.33,-1.891356621402336,-1.0,-1.0,-1.0,-1.0
591645,7.11,-2.1383825778965884,1.0,1.0,1.0,1.0
591647,7.08,-2.1863998822260906,1.0,1.0,1.0,1.0
591649,7.56,-1.7244171865555922,-1.0,-1.0,-1.0,-1.0
591651,7.7,-1.602434490885094,0.0,-1.0,0.0,-1.0
591653,7.52,-1.8004517952145953,-1.0,1.0,-1.0,1.0
591654,7.09,-2.2394604473793454,1.0,1.0,1.0,1.0
591658,7.24,-2.125495056038348,-1.0,-1.0,-1.0,-1.0
591660,7.28,-2.1035123603678505,-1.0,1.0,-1.0,1.0
591662,7.27,-2.131529664697352,1.0,1.0,1.0,1.0
591663,7.45,-1.9605383168621016,-1.0,1.0,-1.0,-1.0
591666,7.0,-2.4375642733563545,0.0,1.0,0.0,1.0
591667,7.0,-2.446572925521105,-1.0,1.0,-1.0,1.0
591668,6.78,-2.675581577685855,-1.0,1.0,-1.0,1.0
591670,6.61,-2.8635988820153573,-1.0,1.0,-1.0,1.0
591672,6.5,-2.9916161863448583,1.0,1.0,-1.0,1.0
591675,7.3,-2.2186421428391108,0.0,1.0,0.0,1.0
591676,7.3,-2.227650795003861,1.0,1.0,1.0,1.0
591678,7.78,-1.7656680993333635,-1.0,1.0,-1.0,1.0
591680,7.44,-2.123685403662864,1.0,1.0,-1.0,1.0
591691,7.52,-2.142780577475124,1.0,1.0,1.0,1.0
591694,7.7,-1.9898065339693745,-1.0,1.0,-1.0,1.0
591696,7.47,-2.237823838298877,1.0,1.0,1.0,1.0
591697,7.73,-1.9868324904636268,-1.0,1.0,-1.0,1.0
591702,7.9,-1.8618757512873805,0.0,1.0,-1.0,1.0
591703,7.9,-1.8708844034521324,-1.0,1.0,-1.0,1.0
591705,8.12,-1.6689017077816342,-1.0,1.0,-1.0,1.0
591708,8.16,-1.6559276642758862,-1.0,1.0,-1.0,1.0
591710,8.51,-1.323944968605387,-1.0,-1.0,-1.0,-1.0
591711,8.3,-1.5429536207701364,1.0,1.0,1.0,-1.0
591712,8.72,-1.1319622729348868,-1.0,-1.0,-1.0,-1.0
591714,8.42,-1.44997957726439,1.0,-1.0,1.0,-1.0
591716,8.58,-1.3079968815938905,-1.0,-1.0,-1.0,-1.0
591717,8.45,-1.4470055337586416,-1.0,1.0,-1.0,1.0
591719,8.59,-1.3250228380881437,1.0,1.0,1.0,1.0
591721,8.94,-0.9930401424176444,-1.0,1.0,-1.0,1.0
