,Close,Target(1),Target(30),Prediction(1),Prediction(30)
594949,32.0,-1.0,1.0,-1.0,1.0
594950,31.39,-1.0,1.0,-1.0,1.0
594951,30.16,-1.0,1.0,-1.0,1.0
594952,29.35,1.0,1.0,1.0,1.0
594953,30.1,1.0,1.0,1.0,1.0
594954,32.49,-1.0,1.0,-1.0,1.0
594955,32.48,-1.0,1.0,-1.0,1.0
594956,31.83,-1.0,1.0,-1.0,1.0
594957,31.32,1.0,1.0,1.0,1.0
594958,31.67,1.0,1.0,1.0,1.0
594959,32.1,-1.0,1.0,-1.0,1.0
594960,31.26,1.0,1.0,1.0,1.0
594961,31.38,1.0,1.0,1.0,1.0
594962,32.19,-1.0,1.0,-1.0,1.0
594963,31.63,-1.0,1.0,-1.0,1.0
594964,31.41,-1.0,1.0,-1.0,1.0
594965,31.13,1.0,1.0,1.0,1.0
594966,31.3,-1.0,1.0,-1.0,1.0
594967,31.01,-1.0,1.0,-1.0,1.0
594968,30.44,-1.0,1.0,-1.0,1.0
594969,30.03,-1.0,1.0,-1.0,1.0
594970,29.92,-1.0,1.0,-1.0,1.0
594971,29.53,1.0,1.0,1.0,1.0
594972,29.9,1.0,1.0,1.0,1.0
594973,31.53,1.0,1.0,1.0,1.0
594974,31.83,1.0,1.0,1.0,1.0
594975,32.12,1.0,1.0,1.0,1.0
594976,32.6,1.0,1.0,1.0,1.0
594977,33.49,-1.0,1.0,-1.0,1.0
594978,32.77,1.0,1.0,1.0,1.0
594979,33.53,1.0,1.0,1.0,1.0
594980,34.9,-1.0,1.0,-1.0,1.0
594981,33.86,0.0,1.0,0.0,1.0
594982,33.86,1.0,1.0,1.0,1.0
594983,34.66,-1.0,1.0,-1.0,1.0
594984,33.48,1.0,1.0,1.0,1.0
594985,34.16,-1.0,1.0,-1.0,1.0
594986,32.87,-1.0,1.0,1.0,1.0
594987,32.58,-1.0,1.0,-1.0,1.0
594988,31.89,1.0,1.0,1.0,1.0
594989,32.31,1.0,1.0,1.0,1.0
594990,33.24,1.0,1.0,1.0,1.0
594991,34.0,1.0,1.0,1.0,1.0
594992,34.24,-1.0,1.0,-1.0,1.0
594993,33.8,-1.0,1.0,-1.0,1.0
594994,33.37,-1.0,1.0,-1.0,1.0
594995,33.25,-1.0,1.0,-1.0,1.0
594996,32.68,1.0,1.0,1.0,1.0
594997,33.48,-1.0,1.0,-1.0,1.0
