,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
601844,46.92,-23.216912208606292,-1.0,1.0,-1.0,1.0
601845,45.94,-24.264024684969158,-1.0,1.0,-1.0,1.0
601846,45.4,-24.871137161332012,-1.0,1.0,-1.0,1.0
601847,45.23,-25.108249637694875,-1.0,1.0,-1.0,1.0
601848,43.98,-26.425362114057737,1.0,1.0,1.0,1.0
601849,45.84,-24.632474590420586,1.0,1.0,1.0,1.0
601850,46.78,-23.759587066783446,-1.0,1.0,-1.0,1.0
601851,45.87,-24.736699543146308,-1.0,1.0,1.0,1.0
601852,44.12,-26.553812019509174,-1.0,1.0,-1.0,1.0
601853,43.62,-27.120924495872025,1.0,1.0,-1.0,1.0
601854,44.27,-26.538036972234888,1.0,1.0,1.0,1.0
601855,46.31,-24.565149448597737,-1.0,1.0,-1.0,1.0
601856,45.37,-25.572261924960607,1.0,1.0,1.0,1.0
601857,47.33,-23.67937440132347,-1.0,1.0,-1.0,1.0
601858,47.1,-23.97648687768632,1.0,1.0,1.0,1.0
601859,48.8,-22.343599354049193,-1.0,1.0,-1.0,1.0
601860,48.73,-22.48071183041204,1.0,1.0,1.0,1.0
601861,49.26,-22.01782430677491,1.0,1.0,1.0,1.0
601862,49.49,-21.854936783137756,-1.0,1.0,-1.0,1.0
601863,48.02,-23.392049259500613,-1.0,1.0,-1.0,1.0
601864,46.18,-25.299161735863485,1.0,1.0,1.0,1.0
601865,46.3,-25.24627421222634,1.0,1.0,1.0,1.0
601866,46.67,-24.9433866885892,-1.0,1.0,1.0,1.0
601867,46.65,-25.03049916495205,1.0,1.0,1.0,1.0
601868,47.15,-24.59761164131492,1.0,1.0,1.0,1.0
601869,47.84,-23.97472411767777,1.0,1.0,1.0,1.0
601870,48.0,-23.88183659404064,-1.0,1.0,-1.0,1.0
601871,47.69,-24.25894907040349,1.0,1.0,1.0,1.0
601872,48.98,-23.03606154676636,-1.0,1.0,-1.0,1.0
601873,48.54,-23.543174023129215,1.0,1.0,1.0,1.0
601874,49.43,-22.72028649949207,1.0,1.0,1.0,1.0
601875,50.97,-21.24739897585493,1.0,1.0,1.0,1.0
601876,51.09,-21.19451145221778,1.0,1.0,1.0,1.0
601877,52.78,-19.57162392858065,-1.0,1.0,-1.0,1.0
601878,52.1,-20.3187364049435,1.0,1.0,1.0,1.0
601879,53.75,-18.735848881306367,-1.0,1.0,-1.0,1.0
601880,53.29,-19.26296135766922,-1.0,1.0,-1.0,1.0
601881,53.07,-19.550073834032084,-1.0,1.0,-1.0,1.0
601882,53.03,-19.65718631039495,-1.0,1.0,-1.0,1.0
601883,52.6,-20.1542987867578,1.0,1.0,1.0,1.0
601884,53.79,-19.031411263120667,1.0,1.0,1.0,1.0
601885,53.9,-18.98852373948352,-1.0,1.0,-1.0,1.0
601886,53.36,-19.595636215846387,-1.0,1.0,1.0,1.0
601887,52.84,-20.18274869220923,1.0,1.0,1.0,1.0
601888,54.42,-18.669861168572094,1.0,1.0,1.0,1.0
601889,54.73,-18.426973644934954,1.0,1.0,1.0,1.0
601890,56.32,-16.904086121297816,1.0,1.0,1.0,1.0
601891,59.15,-14.141198597660685,1.0,1.0,1.0,1.0
601892,61.4,-11.958311074023536,-1.0,-1.0,-1.0,-1.0
601893,60.96,-12.465423550386395,-1.0,-1.0,-1.0,-1.0
601894,59.58,-13.912536026749251,1.0,-1.0,1.0,-1.0
601895,60.21,-13.349648503112116,1.0,-1.0,-1.0,-1.0
601896,60.99,-12.636760979474964,-1.0,-1.0,-1.0,-1.0
601897,60.84,-12.85387345583783,1.0,-1.0,1.0,-1.0
601898,62.02,-11.74098593220068,1.0,-1.0,1.0,-1.0
601899,62.69,-11.138098408563552,-1.0,-1.0,-1.0,-1.0
601900,62.39,-11.505210884926413,-1.0,1.0,-1.0,-1.0
601901,60.74,-13.222323361289265,1.0,1.0,1.0,1.0
601902,61.4,-12.629435837652132,1.0,1.0,1.0,1.0
601903,63.3,-10.796548314014986,-1.0,1.0,-1.0,1.0
601904,63.28,-10.883660790377846,1.0,1.0,1.0,1.0
601905,64.8,-9.4307732667407,1.0,-1.0,1.0,-1.0
601906,66.09,-8.207885743103558,0.0,-1.0,1.0,-1.0
601907,66.09,-8.274998219466426,-1.0,-1.0,-1.0,-1.0
601908,62.55,-11.882110695829285,1.0,1.0,-1.0,1.0
601909,63.14,-11.359223172192145,1.0,1.0,-1.0,1.0
601910,63.92,-10.646335648554997,1.0,1.0,1.0,1.0
601911,64.13,-10.503448124917867,1.0,1.0,1.0,1.0
601912,66.23,-8.47056060128071,-1.0,1.0,-1.0,1.0
601913,64.13,-10.637673077643583,-1.0,1.0,-1.0,1.0
601914,62.86,-11.974785554006429,-1.0,1.0,-1.0,-1.0
601915,61.43,-13.471898030369296,-1.0,1.0,-1.0,1.0
601916,58.5,-16.46901050673216,1.0,1.0,1.0,1.0
601917,63.89,-11.146122983095012,-1.0,1.0,-1.0,1.0
601918,63.85,-11.253235459457876,1.0,1.0,1.0,1.0
601919,65.5,-9.670347935820725,-1.0,-1.0,1.0,1.0
601920,64.82,-10.4174604121836,-1.0,1.0,-1.0,1.0
601921,62.91,-12.394572888546447,-1.0,1.0,-1.0,1.0
601922,60.93,-14.441685364909313,-1.0,-1.0,-1.0,-1.0
601923,60.52,-14.918797841272161,-1.0,-1.0,-1.0,-1.0
601924,59.53,-15.975910317635028,-1.0,-1.0,-1.0,-1.0
601925,56.4,-19.17302279399789,1.0,1.0,1.0,-1.0
601926,59.45,-16.190135270360738,-1.0,-1.0,-1.0,-1.0
601927,58.08,-17.627247746723608,1.0,1.0,1.0,1.0
601928,58.6,-17.174360223086463,1.0,1.0,1.0,1.0
601929,60.0,-15.841472699449325,1.0,1.0,1.0,1.0
601930,63.49,-12.418585175812176,1.0,-1.0,1.0,-1.0
601931,63.7,-12.27569765217504,-1.0,-1.0,-1.0,-1.0
601932,61.74,-14.302810128537894,1.0,1.0,1.0,1.0
601933,65.78,-10.329922604900759,1.0,-1.0,1.0,-1.0
601934,67.51,-8.66703508126362,-1.0,-1.0,-1.0,-1.0
601935,63.24,-13.004147557626474,-1.0,-1.0,-1.0,-1.0
601936,62.3,-14.011260033989346,1.0,-1.0,-1.0,-1.0
601937,63.95,-12.42837251035219,1.0,-1.0,-1.0,-1.0
601938,64.56,-11.885484986715054,1.0,-1.0,1.0,-1.0
601939,68.87,-7.642597463077905,1.0,-1.0,1.0,-1.0
601940,70.1,-6.479709939440781,-1.0,-1.0,-1.0,-1.0
601941,69.64,-7.006822415803626,1.0,-1.0,1.0,-1.0
601942,71.03,-5.683934892166492,1.0,-1.0,-1.0,-1.0
601943,71.66,-5.121047368529362,-1.0,-1.0,-1.0,-1.0
601944,71.52,-5.3281598448922125,1.0,-1.0,-1.0,-1.0
601945,71.65,-5.265272321255068,-1.0,-1.0,-1.0,-1.0
601946,71.03,-5.952384797617924,-1.0,-1.0,-1.0,-1.0
601947,66.97,-10.079497273980794,1.0,-1.0,1.0,-1.0
601948,67.19,-9.926609750343644,-1.0,-1.0,-1.0,-1.0
601949,64.97,-12.213722226706507,1.0,-1.0,-1.0,-1.0
