,Close,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
603711,37.0,3.217831351155837,-1.0,-1.0,-1.0,-1.0
603712,36.39,2.5855961239816168,1.0,-1.0,1.0,-1.0
603713,37.6,3.773360896807404,1.0,-1.0,1.0,-1.0
603714,37.95,4.101125669633183,1.0,-1.0,1.0,-1.0
603715,38.45,4.57889044245897,1.0,-1.0,1.0,-1.0
603716,38.7,4.8066552152847555,1.0,-1.0,1.0,-1.0
603717,39.39,5.474419988110533,-1.0,-1.0,-1.0,-1.0
603718,38.95,5.0121847609363215,1.0,-1.0,1.0,-1.0
603719,39.27,5.309949533762109,-1.0,-1.0,-1.0,-1.0
603720,38.85,4.867714306587885,1.0,-1.0,1.0,-1.0
603721,39.13,5.125479079413672,-1.0,-1.0,-1.0,-1.0
603722,39.05,5.023243852239446,-1.0,-1.0,-1.0,-1.0
603723,38.85,4.801008625065236,-1.0,-1.0,-1.0,-1.0
603724,38.19,4.118773397891019,-1.0,-1.0,-1.0,-1.0
603725,37.62,3.526538170716797,1.0,-1.0,1.0,-1.0
603726,38.14,4.024302943542587,1.0,-1.0,1.0,-1.0
603727,38.73,4.592067716368369,-1.0,-1.0,-1.0,-1.0
603728,37.99,3.829832489194153,-1.0,-1.0,-1.0,-1.0
603729,37.19,3.007597262019935,-1.0,-1.0,-1.0,-1.0
603730,35.98,1.7753620348457204,-1.0,-1.0,-1.0,-1.0
603731,34.25,0.023126807671502547,-1.0,-1.0,-1.0,-1.0
603732,33.75,-0.4991084195027114,-1.0,-1.0,1.0,-1.0
603733,32.7,-1.5713436466769295,1.0,-1.0,1.0,-1.0
603734,33.17,-1.1235788738511443,1.0,-1.0,1.0,-1.0
603735,34.62,0.3041858989746373,1.0,-1.0,1.0,-1.0
603736,35.04,0.7019506718004179,-1.0,-1.0,-1.0,-1.0
603737,35.0,0.639715444626205,-1.0,-1.0,-1.0,-1.0
603738,33.77,-0.6125197825480058,1.0,1.0,1.0,1.0
603739,35.07,0.6652449902777704,1.0,-1.0,1.0,-1.0
603740,35.31,0.8830097631035585,-1.0,-1.0,-1.0,-1.0
603741,34.29,-0.15922546407065852,1.0,1.0,1.0,1.0
603742,34.7,0.22853930875512415,-1.0,1.0,-1.0,1.0
603743,34.37,-0.12369591841909512,-1.0,-1.0,-1.0,-1.0
603744,33.46,-1.0559311455933127,1.0,1.0,1.0,1.0
603745,33.55,-0.9881663727675304,1.0,1.0,1.0,1.0
603746,33.77,-0.7904015999417382,1.0,1.0,1.0,1.0
603747,33.8,-0.7826368271159652,-1.0,1.0,-1.0,1.0
603748,33.77,-0.8348720542901731,-1.0,1.0,-1.0,1.0
603749,33.32,-1.3071072814643898,-1.0,1.0,-1.0,1.0
603750,32.92,-1.7293425086386094,1.0,1.0,1.0,1.0
603751,34.25,-0.42157773581282504,-1.0,1.0,1.0,1.0
603752,33.35,-1.3438129629870377,1.0,1.0,1.0,1.0
603753,34.16,-0.5560481901612633,-1.0,1.0,-1.0,1.0
603754,33.91,-0.8282834173354772,-1.0,1.0,-1.0,1.0
603755,33.77,-0.9905186445096916,-1.0,1.0,-1.0,1.0
603756,32.25,-2.5327538716839086,-1.0,1.0,-1.0,1.0
603757,30.63,-4.174989098858124,1.0,1.0,1.0,1.0
603758,31.04,-3.787224326032344,1.0,1.0,1.0,1.0
603759,31.48,-3.3694595532065565,1.0,1.0,1.0,1.0
603760,32.83,-2.0416947803807735,-1.0,1.0,-1.0,1.0
603761,32.67,-2.2239300075549906,-1.0,1.0,-1.0,1.0
603762,31.86,-3.0561652347292068,1.0,1.0,1.0,1.0
603763,32.38,-2.5584004619034246,-1.0,1.0,-1.0,1.0
603764,31.67,-3.29063568907764,1.0,1.0,1.0,1.0
603765,32.06,-2.9228709162518527,1.0,1.0,1.0,1.0
603766,32.63,-2.3751061434260734,1.0,1.0,1.0,1.0
603767,33.22,-1.807341370600291,1.0,1.0,1.0,1.0
603768,34.05,-0.9995765977745066,1.0,1.0,1.0,1.0
603769,34.62,-0.4518118249487273,-1.0,1.0,-1.0,1.0
603770,34.29,-0.8040470521229395,1.0,1.0,1.0,1.0
603771,34.84,-0.2762822792971491,1.0,1.0,1.0,1.0
603772,34.87,-0.2685175064713761,-1.0,1.0,-1.0,1.0
603773,33.83,-1.330752733645589,1.0,1.0,1.0,1.0
603774,34.79,-0.3929879608198093,1.0,1.0,1.0,1.0
603775,34.99,-0.2152231879940203,1.0,1.0,-1.0,-1.0
