,Close,Target(1),Target(30),Prediction(1),Prediction(30)
606669,37.12,-1.0,-1.0,-1.0,-1.0
606670,36.91,1.0,-1.0,1.0,-1.0
606671,37.2,-1.0,-1.0,-1.0,-1.0
606672,36.52,-1.0,1.0,-1.0,1.0
606673,36.4,1.0,1.0,1.0,1.0
606674,37.1,1.0,1.0,1.0,1.0
606675,37.34,-1.0,1.0,-1.0,1.0
606676,34.45,-1.0,1.0,-1.0,1.0
606677,32.55,1.0,1.0,1.0,1.0
606678,33.14,-1.0,1.0,-1.0,1.0
606679,32.67,1.0,1.0,1.0,1.0
606680,33.4,-1.0,1.0,-1.0,1.0
606681,33.21,1.0,1.0,1.0,1.0
606682,34.04,1.0,1.0,1.0,1.0
606683,34.15,1.0,1.0,1.0,1.0
606684,34.7,-1.0,1.0,-1.0,1.0
606685,34.64,1.0,1.0,1.0,1.0
606686,34.69,1.0,1.0,1.0,1.0
606687,34.85,1.0,1.0,1.0,1.0
606688,35.12,-1.0,1.0,-1.0,1.0
606689,34.43,1.0,1.0,1.0,1.0
606690,34.86,-1.0,1.0,-1.0,1.0
606691,34.74,1.0,1.0,1.0,1.0
606692,35.29,0.0,1.0,-1.0,1.0
606693,35.29,-1.0,1.0,-1.0,1.0
606694,35.08,1.0,1.0,1.0,1.0
606695,35.11,1.0,1.0,1.0,1.0
606696,35.29,1.0,1.0,1.0,1.0
606697,35.91,1.0,1.0,1.0,1.0
606698,36.01,1.0,1.0,1.0,1.0
606699,36.61,-1.0,1.0,-1.0,1.0
606700,36.43,-1.0,1.0,1.0,1.0
606701,35.96,1.0,1.0,1.0,1.0
606702,36.8,1.0,1.0,1.0,1.0
606703,36.96,1.0,1.0,1.0,1.0
606704,37.69,1.0,1.0,1.0,1.0
606705,38.49,1.0,1.0,1.0,1.0
606706,38.53,1.0,1.0,1.0,1.0
606707,38.69,1.0,1.0,1.0,1.0
606708,38.77,1.0,1.0,1.0,1.0
606709,38.89,-1.0,1.0,-1.0,1.0
606710,38.54,-1.0,1.0,-1.0,1.0
606711,38.26,1.0,1.0,1.0,1.0
606712,38.56,1.0,1.0,1.0,1.0
606713,38.86,1.0,1.0,1.0,1.0
606714,39.01,-1.0,1.0,1.0,1.0
606715,38.76,1.0,1.0,1.0,1.0
606716,39.19,1.0,1.0,1.0,1.0
606717,39.62,1.0,1.0,1.0,1.0
606718,41.56,1.0,1.0,1.0,1.0
