,Close,Target(1),Target(30),Prediction(1),Prediction(30)
616002,6.55,-1.0,1.0,-1.0,1.0
616003,6.08,1.0,1.0,1.0,1.0
616004,6.17,1.0,1.0,1.0,-1.0
616005,6.43,-1.0,1.0,-1.0,1.0
616006,6.35,1.0,1.0,1.0,1.0
616007,6.64,-1.0,1.0,-1.0,1.0
616008,6.58,-1.0,1.0,-1.0,1.0
616009,6.39,-1.0,1.0,-1.0,1.0
616010,6.12,1.0,1.0,1.0,1.0
616011,6.18,1.0,1.0,1.0,1.0
616012,6.23,1.0,1.0,1.0,1.0
616013,6.29,1.0,1.0,1.0,1.0
616014,6.36,1.0,1.0,1.0,1.0
616015,6.38,-1.0,1.0,1.0,1.0
616016,6.35,1.0,1.0,1.0,1.0
616017,6.62,-1.0,1.0,-1.0,1.0
616018,6.46,-1.0,1.0,-1.0,1.0
616019,6.42,1.0,1.0,1.0,1.0
616020,6.57,1.0,1.0,-1.0,1.0
616021,6.81,-1.0,1.0,-1.0,1.0
616022,6.53,1.0,1.0,1.0,1.0
616023,6.64,-1.0,1.0,-1.0,1.0
616024,6.54,1.0,1.0,1.0,1.0
616025,6.75,-1.0,1.0,-1.0,1.0
616026,6.65,-1.0,1.0,-1.0,1.0
616027,6.61,1.0,1.0,1.0,1.0
616028,6.62,1.0,1.0,1.0,1.0
616029,6.67,1.0,1.0,1.0,1.0
616030,6.84,1.0,1.0,1.0,1.0
616031,6.98,-1.0,1.0,-1.0,1.0
616032,6.91,1.0,1.0,1.0,1.0
616033,7.29,1.0,1.0,1.0,1.0
616034,7.38,-1.0,1.0,-1.0,1.0
616035,7.34,-1.0,1.0,-1.0,1.0
616036,7.23,1.0,1.0,1.0,1.0
616037,7.51,1.0,1.0,1.0,1.0
616038,7.7,-1.0,1.0,-1.0,1.0
616039,7.5,-1.0,1.0,-1.0,1.0
616040,7.38,1.0,1.0,1.0,1.0
616041,7.62,1.0,1.0,1.0,1.0
616042,7.73,1.0,1.0,1.0,1.0
616043,7.85,-1.0,1.0,-1.0,1.0
616044,7.69,-1.0,1.0,-1.0,1.0
616045,7.63,1.0,1.0,1.0,1.0
616046,7.64,-1.0,1.0,-1.0,1.0
616047,7.62,1.0,1.0,1.0,-1.0
616048,7.85,-1.0,1.0,-1.0,1.0
616049,7.77,1.0,1.0,1.0,1.0
616050,8.19,1.0,1.0,1.0,1.0
616051,8.55,-1.0,-1.0,-1.0,-1.0
616052,8.37,1.0,-1.0,1.0,-1.0
616053,8.6,-1.0,-1.0,1.0,-1.0
616054,8.59,1.0,-1.0,1.0,1.0
616055,8.74,-1.0,-1.0,-1.0,-1.0
616056,8.34,1.0,-1.0,1.0,-1.0
616057,8.82,-1.0,-1.0,-1.0,-1.0
616058,8.53,-1.0,-1.0,1.0,-1.0
616059,8.3,1.0,-1.0,1.0,-1.0
616060,8.33,1.0,-1.0,1.0,-1.0
616061,8.8,-1.0,-1.0,-1.0,-1.0
616062,8.79,1.0,-1.0,1.0,-1.0
616063,8.89,1.0,-1.0,1.0,-1.0
616064,8.95,-1.0,-1.0,-1.0,-1.0
616065,8.69,-1.0,-1.0,1.0,-1.0
616066,8.43,1.0,-1.0,-1.0,-1.0
616067,8.49,1.0,-1.0,1.0,-1.0
616068,8.65,1.0,-1.0,1.0,-1.0
616069,8.84,0.0,-1.0,1.0,-1.0
616070,8.84,-1.0,-1.0,-1.0,-1.0
616071,8.58,1.0,-1.0,1.0,-1.0
616072,8.67,-1.0,-1.0,1.0,1.0
616073,8.21,-1.0,-1.0,-1.0,-1.0
616074,7.99,1.0,-1.0,1.0,-1.0
616075,8.51,1.0,-1.0,1.0,-1.0
616076,8.67,1.0,-1.0,1.0,-1.0
616077,8.81,-1.0,-1.0,-1.0,-1.0
616078,8.74,-1.0,-1.0,-1.0,1.0
616079,8.26,1.0,-1.0,1.0,-1.0
616080,8.27,-1.0,-1.0,-1.0,-1.0
616081,7.92,-1.0,-1.0,1.0,1.0
616082,7.82,-1.0,-1.0,-1.0,1.0
616083,7.25,1.0,-1.0,1.0,-1.0
616084,7.47,-1.0,-1.0,-1.0,-1.0
616085,7.2,1.0,-1.0,1.0,-1.0
616086,7.45,-1.0,-1.0,-1.0,-1.0
616087,7.4,1.0,-1.0,1.0,-1.0
616088,7.88,-1.0,-1.0,-1.0,-1.0
616089,7.63,-1.0,-1.0,-1.0,-1.0
616090,7.38,1.0,-1.0,1.0,-1.0
616091,7.69,-1.0,-1.0,-1.0,1.0
616092,7.64,-1.0,-1.0,-1.0,-1.0
