,Close,Target(1),Target(30),Prediction(1),Prediction(30)
617869,26.36,1.0,1.0,1.0,1.0
617870,26.42,1.0,1.0,1.0,1.0
617871,26.89,-1.0,1.0,-1.0,1.0
617872,26.84,1.0,1.0,-1.0,1.0
617873,26.92,-1.0,1.0,-1.0,1.0
617874,26.87,1.0,1.0,1.0,1.0
617875,27.32,-1.0,1.0,-1.0,1.0
617876,27.04,-1.0,1.0,-1.0,1.0
617877,26.32,1.0,1.0,1.0,1.0
617878,26.4,-1.0,1.0,-1.0,1.0
617879,26.37,1.0,1.0,1.0,1.0
617880,26.62,1.0,1.0,1.0,1.0
617881,26.8,1.0,1.0,1.0,1.0
617882,27.22,-1.0,1.0,-1.0,1.0
617883,27.08,1.0,1.0,1.0,1.0
617884,27.92,1.0,1.0,1.0,1.0
617885,28.18,1.0,1.0,1.0,1.0
617886,28.31,1.0,1.0,1.0,1.0
617887,28.61,-1.0,1.0,-1.0,1.0
617888,28.12,-1.0,1.0,-1.0,1.0
617889,27.3,1.0,1.0,1.0,1.0
617890,27.68,1.0,1.0,1.0,1.0
617891,27.7,1.0,1.0,1.0,1.0
617892,27.9,1.0,1.0,1.0,1.0
617893,28.82,-1.0,1.0,-1.0,1.0
617894,28.76,1.0,1.0,-1.0,1.0
617895,28.77,1.0,1.0,1.0,1.0
617896,28.78,1.0,1.0,1.0,1.0
617897,29.92,-1.0,1.0,-1.0,1.0
617898,29.65,1.0,1.0,1.0,1.0
617899,29.86,1.0,1.0,1.0,1.0
617900,30.18,1.0,1.0,1.0,1.0
617901,30.32,-1.0,1.0,-1.0,1.0
617902,30.15,1.0,1.0,1.0,1.0
617903,30.3,1.0,1.0,1.0,1.0
617904,30.83,1.0,-1.0,1.0,-1.0
617905,31.4,0.0,-1.0,-1.0,-1.0
617906,31.4,-1.0,-1.0,-1.0,-1.0
617907,31.16,1.0,-1.0,1.0,1.0
617908,31.41,1.0,-1.0,1.0,-1.0
617909,31.58,-1.0,-1.0,-1.0,-1.0
617910,30.86,-1.0,-1.0,-1.0,-1.0
617911,30.75,1.0,-1.0,1.0,-1.0
617912,30.91,1.0,-1.0,-1.0,-1.0
617913,31.15,-1.0,-1.0,-1.0,-1.0
617914,31.02,-1.0,-1.0,-1.0,-1.0
617915,30.43,1.0,-1.0,1.0,-1.0
617916,30.5,1.0,-1.0,-1.0,-1.0
617917,31.18,1.0,-1.0,1.0,-1.0
617918,31.52,-1.0,-1.0,-1.0,-1.0
617919,31.02,-1.0,-1.0,1.0,-1.0
617920,30.87,1.0,-1.0,1.0,-1.0
617921,31.11,1.0,-1.0,-1.0,-1.0
617922,31.12,1.0,-1.0,1.0,-1.0
617923,31.17,1.0,-1.0,1.0,-1.0
617924,31.29,0.0,-1.0,0.0,-1.0
617925,31.29,-1.0,-1.0,-1.0,-1.0
617926,30.66,-1.0,-1.0,-1.0,-1.0
617927,30.52,1.0,-1.0,1.0,-1.0
617928,30.7,1.0,-1.0,1.0,-1.0
617929,31.04,1.0,-1.0,1.0,-1.0
617930,31.92,1.0,-1.0,-1.0,-1.0
617931,32.16,-1.0,-1.0,-1.0,-1.0
617932,31.89,-1.0,-1.0,-1.0,-1.0
617933,31.4,-1.0,-1.0,-1.0,-1.0
617934,28.2,-1.0,-1.0,-1.0,-1.0
617935,27.91,-1.0,-1.0,-1.0,-1.0
617936,27.38,1.0,-1.0,1.0,-1.0
617937,27.99,-1.0,-1.0,-1.0,-1.0
617938,27.07,-1.0,-1.0,-1.0,-1.0
617939,26.98,-1.0,-1.0,-1.0,-1.0
617940,26.39,-1.0,-1.0,-1.0,-1.0
617941,25.56,1.0,-1.0,1.0,-1.0
617942,27.3,-1.0,-1.0,-1.0,-1.0
617943,27.25,1.0,-1.0,1.0,-1.0
617944,27.67,-1.0,-1.0,-1.0,-1.0
617945,27.47,-1.0,-1.0,1.0,-1.0
617946,26.57,1.0,-1.0,1.0,-1.0
617947,27.1,-1.0,-1.0,1.0,-1.0
617948,26.84,-1.0,-1.0,-1.0,1.0
617949,26.51,-1.0,-1.0,-1.0,-1.0
617950,24.83,1.0,-1.0,1.0,-1.0
617951,25.24,1.0,-1.0,1.0,-1.0
617952,25.44,-1.0,-1.0,-1.0,1.0
617953,24.83,1.0,-1.0,1.0,-1.0
617954,24.96,1.0,1.0,1.0,1.0
617955,25.61,-1.0,-1.0,-1.0,-1.0
617956,25.29,-1.0,1.0,-1.0,1.0
617957,24.7,1.0,1.0,1.0,1.0
617958,25.03,1.0,-1.0,1.0,-1.0
617959,25.24,-1.0,-1.0,-1.0,-1.0
617960,23.61,-1.0,1.0,-1.0,1.0
617961,22.86,1.0,1.0,1.0,-1.0
617962,22.98,-1.0,1.0,-1.0,-1.0
617963,22.97,1.0,1.0,1.0,1.0
617964,24.21,-1.0,1.0,-1.0,1.0
617965,24.14,-1.0,1.0,-1.0,1.0
